Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
"Administrative Sup-
port Services","General Admin-
istration and
Support Services","36,577,327","92,003,420","6,227,108","8,894,529",17.02,-,108,0
"Crop Development
and Management","Agriculture Ex-
tension Services","62,981,550","158,418,304","10,722,296","15,315,259",17.02,-,108,0
"Crop Development
and Management","Irrigation and
civil works","55,396,437","139,339,370","9,430,968","13,470,783",17.02,-,108,0
"Livestock Resources
Management and
Development","Livestock pro-
ductivity","54,001,864","135,831,582","9,193,549","13,131,664",17.02,-,108,0
"Livestock Resources
Management and
Development","Value chain
development","51,261,928","128,939,786","8,727,089","12,465,392",17.02,-,108,0
"Fisheries Develop-
ment","Promotion of fish
production","15,231,380","38,311,685","2,593,067","3,703,823",17.02,-,108,0
"Cooperative Devel-
opment & Manage-
ment","Capacity devel-
opment in value
addition","15,231,380","38,311,685","2,593,067","3,703,823",17.02,-,108,0
Sub Total,,"290,681,865","731,155,833","49,487,144","70,685,274",17.02,9.67,108,0
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,,,,108,0
"General Administra-
tion, Planning and
Support Services","General Admin-
istration Services","6,398,065","24,103,173","692,222","1,294,510",10.82,-,108,0
"Water Service
Delivery","Domestic water
supply","12,796,131","48,206,348","1,384,443","2,589,019",10.82,-,108,0
"Irrigation and civil
works","Irrigation and
civil works","3,199,033","12,051,587","346,111","647,255",10.82,-,108,0
"Environmental
Management and
Conservation","Physical Plan-
ning Services","3,199,033","12,051,587","346,111","647,255",10.82,-,108,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",109,0
"Forestry and Land-
scapes Conservation","Forestry and
Landscapes
Conservation","3,199,033","12,051,587","346,111","647,255",10.82,-,109,0
"Climate Change
Mitigation and
Adaptation","Climate Change
Mitigation and
Adaptation","3,199,033","12,051,587","346,111","647,255",10.82,-,109,0
Sub Total,,"31,990,326","120,515,868","3,461,108","6,472,548",10.82,5.37,109,0
HEALTH,,,,,,,,109,0
"Curative Health
Services","Primary Health-
care","1,073,546,753","97,532,616","488,848,118","3,756,361",45.54,-,109,0
"Preventive and
Promotive Health
Services","Health Promo-
tion and Disease
Control","443,446,522","40,287,486","201,926,928","1,551,628",45.54,-,109,0
"General Adminis-
tration Planning and
Support Services","General Admin-
istration Services","350,092,246","31,806,172","159,417,310","1,224,980",45.54,-,109,0
Sub Total,,"1,867,085,521","169,626,274","850,192,356","6,532,969",45.54,3.85,109,0
"EMBU LEVEL 5
HOSPITAL",,,,,,,,109,0
"Curative Health
Services","Primary Health-
care","117,990,665","87,420,220","52,743,343","5,563,346",44.70,-,109,0
"Preventive and
Promotive Health
Services","Health Promo-
tion and Disease
Control","32,412,785","24,014,890","14,488,931","1,528,286",44.70,-,109,0
"General Adminis-
tration Planning and
Support Services","General Admin-
istration Services","23,707,250","17,564,890","10,597,445","1,117,814",44.70,-,109,0
Sub Total,,"174,110,700","129,000,000","77,829,720","8,209,446",44.70,6.36,109,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING.",,,,,,,,109,0
"General Administra-
tion, Planning and
Support Services","General Admin-
istration Services","3,265,587","61,206,669","166,908","13,168,386",5.11,-,109,0
Road Development,"Road Develop-
ment","21,226,317","397,843,346","1,084,901","85,594,506",5.11,-,109,0
Public Works,Public Works,"1,632,794","30,603,334","83,454","6,584,193",5.11,-,109,0
"Renewable Energy
Development",Energy,"3,265,587","61,206,669","166,908","13,168,386",5.11,-,109,0
"Transport and
logistics","Transport and
Logistics","3,265,587","61,206,669","166,908","13,168,386",5.11,-,109,0
Sub Total,,"32,655,872","612,066,687","1,669,079","131,683,856",5.11,21.51,109,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,,,109,0
"Education Adminis-
tration and Support
Services","Human Resource
Development","25,366,976","5,784,374","11,393,725","1,746,736",44.92,-,109,0
"Education Adminis-
tration and Support
Services","General
Operation and
Maintenance","25,366,976","5,784,374","11,393,725","1,746,736",44.92,-,109,0
"Education Adminis-
tration and Support
Services","Continuous
assessment,
monitoring and
Evaluation","25,366,976","5,784,374","11,393,725","1,746,736",44.92,-,109,0
"Access and Retention
In ECDE Centres","Construction of
ECD Classes.","22,830,279","5,205,936","10,254,352","1,572,062",44.92,-,109,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",110,0
"Access and Retention
In ECDE Centres","Community
mobilization and
sensitization","22,830,279","5,205,936","10,254,352","1,572,062",44.92,-,110,0
"Access and Retention
In ECDE Centres","Development and
review of nurtur-
ing care ACTS &
Policies","22,830,279","5,205,936","10,254,352","1,572,062",44.92,-,110,0
"Access and Retention
In ECDE Centres","Facilitate
school feeding
Programme/ Re-
introduce school
milk programmes","22,830,279","5,205,936","10,254,352","1,572,062",44.92,-,110,0
"Access and Retention
In ECDE Centres","Provide and im-
prove on outdoor
and indoor play
equipment.","22,830,279","5,205,936","10,254,352","1,572,062",44.92,-,110,0
"Improve Quality and
Relevance of ECDE
Services","Enhance the use
of digital learn-
ing programmes","7,610,093","1,735,312","3,418,117","524,021",44.92,-,110,0
"Improve Quality and
Relevance of ECDE
Services","Retooling of
ECDE Teachers","7,610,093","1,735,312","3,418,117","524,021",44.92,-,110,0
"Improve Quality and
Relevance of ECDE
Services","Provision of
adequate and
relevant learning
materials","7,610,093","1,735,312","3,418,117","524,021",44.92,-,110,0
"Improve Quality and
Relevance of ECDE
Services","Renovation of
ECDE facilities","7,610,093","1,735,312","3,418,117","524,021",44.92,-,110,0
"Improve Quality and
Relevance of ECDE
Services","Improve quality
assurance","7,610,093","1,735,312","3,418,117","524,021",44.92,-,110,0
"Improve on Transi-
tion from Pre-Prima-
ry to Primary School","Develop a
county education
management
system to track
the transition of
children.","47,563,080","10,845,700","21,363,233","3,275,130",44.92,-,110,0
"Improve on Transi-
tion from Pre-Prima-
ry to Primary School","Sensitization
of parents and
BOMs on ECDE
issues","47,563,080","10,845,700","21,363,233","3,275,130",44.92,-,110,0
"Increase access and
retention in Vocation-
al training.","Refurbish exist-
ing VTCs","11,415,139","2,602,968","5,127,176","786,031",44.92,-,110,0
"Increase access and
retention in Vocation-
al training.","Construction of
dormitories, in
existing VTCs","11,415,139","2,602,968","5,127,176","786,031",44.92,-,110,0
"Increase access and
retention in Vocation-
al training.","Construction
of dining halls
and kitchens in
existing VTCs","11,415,139","2,602,968","5,127,176","786,031",44.92,-,110,0
"Increase access and
retention in Vocation-
al training.","Provision of
bursaries, grants,
and scholarships","11,415,139","2,602,968","5,127,176","786,031",44.92,-,110,0
"Increase access and
retention in Vocation-
al training.","Provision of
modern tools and
equipment","11,415,139","2,602,968","5,127,176","786,031",44.92,-,110,0
Sub Total,,"380,504,642","86,765,603","170,905,868","26,201,039",44.92,30.20,110,0
,,,,,,,86,110,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",111,0
"YOUTH EMPOWERMENT AND SPORTS, GENDER, CULTURE, CHILDREN AND SOCIAL SERVICES",,,,,,,,111,0
"General Administra-
tion, Planning and
Support Services","General Admin-
istrative Unit","19,585,174","2,631,360","89,288",-,0.46,-,111,0
"Gender and Social
Development","Gender main-
streaming and
Development","24,481,468","3,289,200","111,610",-,0.46,-,111,0
Children Services,"Child Rehabilita-
tion and Custody","16,320,979","2,192,800","74,407",-,0.46,-,111,0
"Culture and Cultural
Preservation","Cultural preser-
vation","21,217,272","2,850,640","96,728",-,0.46,-,111,0
"Youth Development
and Empowerment
Services","Youth Devel-
opment and
Empowerment
Services","44,066,642","5,920,560","200,898",-,0.46,-,111,0
"Management and de-
velopment of Sports
and Sport facilities","Community
Sports Pro-
gramme","18,769,126","2,521,720","85,567",-,0.46,-,111,0
"Management and de-
velopment of Sports
and Sport facilities","Sports admin-
istration and
development","18,769,126","2,521,720","85,567",-,0.46,-,111,0
Sub Total,,"163,209,786","21,928,000","744,065",-,0.46,-,111,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,,,111,0
"General Administra-
tion, Planning and
Support Services","General Admin-
istration Services","8,209,887","4,430,214","565,779",-,6.89,-,111,0
Physical Planning,"Physical Plan-
ning Services","20,524,717","11,075,535","1,414,448",-,6.89,-,111,0
Physical Planning,"Establishment
and Promotion of
Land Policy","8,209,887","4,430,214","565,779",-,6.89,-,111,0
Urban Development,"Urban Develop-
ment","32,839,548","17,720,857","2,263,117",-,6.89,-,111,0
"Municipality of
Embu","Municipality of
Embu","4,104,944","2,215,107","282,890",-,6.89,-,111,0
"Automation of land
records and opera-
tions","Establishment of
a GIS (Geo-ref-
erencing) Infor-
mation Station","4,104,944","2,215,107","282,890",-,6.89,-,111,0
Valuation and Rating,Valuation Roll,"4,104,944","2,215,107","282,890",-,6.89,-,111,0
Sub Total,,"82,098,870","44,302,142","5,657,793",-,6.89,-,111,0
EMBU COUNTY REVENUE AUTHORITY (ECRA),,,,,,,,111,0
"General Adminis-
tration Planning and
Support Services","General Admin-
istration Planning
and Support
Services","8,111,774","2,001,026","1,475,825",-,18.19,-,111,0
"General Adminis-
tration Planning and
Support Services","Revenue Man-
agement Services","4,049,649","998,974","736,777",-,18.19,-,111,0
Sub Total,,"12,161,423","3,000,000","2,212,602",-,18.19,-,111,0
"EMBU MUNICI-
PAL BOARD",,,,,,,-,111,0
"General Administra-
tion, Planning and
Support Services","1) General
Administration
Services","493,829","3,177,363","493,829","141,543",100,-,111,0
