Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,Sub total,"136,001,139","169,094,559","28,599,462","550,000",21.0,1.1,83,0
,,"Rec
(Kshs.)",Dev (Kshs.),Rec (Kshs.),Dev (Kshs.),Rec,Dev,84,0
"Water, irrigation and Natural Resources",,,,,,,,84,0
"General Administrative and
support services","Administrative sup-
port services","155,286,456",-,"23,379,175",-,15.1,-,84,0
Water supply services,"Urban water supply
and sewerage",-,"18,000,000",-,-,-,-,84,0
,Rural water supply,-,"114,600,000",-,"785,789",-,0.7,84,0
"Environmental management
and protection","Environmental man-
agement",-,"16,700,000",-,-,-,-,84,0
"Smallholder irrigation and
drainage","Irrigation infrastruc-
ture development",-,"5,000,000",-,-,-,-,84,0
"Forest development and
management","Rehabilitation and
Restoration of degrad-
ed landscape",-,"15,400,000",-,-,-,-,84,0
Climate Change Fund,"Financing Local-
ly-Led Climate Action
Program (FLLOCA)",-,"125,000,000",-,"21,276,804",-,17.0,84,0
,"Establishment of
Climate Change
Information Service
Hub Phase 1",-,"5,000,000",-,-,-,-,84,0
,Sub total,"155,286,456","299,700,000","23,379,175","22,062,593",15.1,17.7,84,0
Health and Sanitation,,,,,,,,84,0
"General Administration and
support services","Administrative sup-
port service","1,794,641,011",0,"874,929,715",-,48.8,-,84,0
Curative Health Services,"Infrastructure devel-
opment",-,"136,100,000",-,-,-,-,84,0
,Hospital equipment,-,"32,000,000",-,-,-,-,84,0
"Preventive and Promotive
Health Services","Infrastructure devel-
opment",-,"65,850,000",-,-,-,-,84,0
,"Lower-level hospital
equipment",-,"17,600,000",-,-,-,-,84,0
,Preventive Services,-,"5,000,000",-,-,-,-,84,0
,"Health promotion
unit",-,"90,017,375",-,"27,310,813",-,30.3,84,0
,Sub total,"1,794,641,011","346,567,375","874,929,715","27,310,813",48.8,30.3,84,0
County Public Service Board,,,,,,,,84,0
"General Administration and
support services","Administrative sup-
port service","114,713,417",-,"9,196,700",-,8.0,-,84,0
,Sub total,"114,713,417",-,"9,196,700",-,8.0,-,84,0
County Attorney,,,,,,,,84,0
"General Administration and
support services","Administrative sup-
port service","66,273,000",-,"8,479,806",-,12.8,-,84,0
,Sub total,"66,273,000",-,"8,479,806",-,12.8,-,84,0
The Governorship,,,,,,,,84,0
"General Administration and
support services","Administrative Sup-
port Services","243,102,010",-,"103,895,604",-,42.7,-,84,0
Disaster Risk Management,Disaster preparedness,-,"75,000,000",-,"3,240,000",-,4.3,84,0
"Information Dissemination
and Knowledge Manage-
ment","Communication
Services",-,"2,000,000",-,-,-,-,84,0
ICT Support Services,ICT Services,-,-,-,-,-,-,84,0
,Sub total,"243,102,010","77,000,000","103,895,604","3,240,000",42.7,4.3,84,0
