Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,SP 3.3: Audit Services,"17,547,721",,"5,144,207",,29.3,0,68,0
,"SP 3.4: Supply Chain
Services","18,118,235",,"8,562,159",,47.3,0,68,0
,SP 3.5: Asset Management,"5,000,000",,,,0,0,68,0
"Programme 4:
Service Delivery
and Organizational
Transformation","SP 4.1: Service Delivery
Unit","5,000,000",,,,0,0,68,0
,SP 4.3: Investment Initiative,"5,000,000",,,,0,0,68,0
,"SP 4.4: Special Coordination
Unit","17,827,013",,"2,907,625",,16.3,0,68,0
,"SP 4.5: Maintenance of com-
puter, software and networks
- Revenue System","12,000,000",,,,0,0,68,0
,"SP 4.8: System Enhance-
ment","20,000,000",-,"4,092,320",,20.5,0,68,0
,SP 4.9: Emergency Fund,,"100,000,000",,,0,0,68,0
,ICT,,"33,250,000",,,0,0,68,0
,Health Management System,,"37,955,528",,,0,0,68,0
Sub Total,,"1,174,255,850","336,594,760","556,638,099",-,47.4,0,68,0
Trade and Industrialization,,,,,,,,68,0
"Programme 1:
General Adminis-
tration and Support
Services","SP 1. Human Resource De-
velopment and Management","19,208,655",,"9,614,177",,50.1,0,68,0
,"SP 3. Administrative Ser-
vices & Planning","6,428,510","23,327,308","4,780,834",,74.4,0,68,0
"Programme 2:
Trade and Enter-
prise Development",SP 2. 1. Business Loan,,"165,673,533",,"39,993,600",0,24.1,68,0
"Programme 3: Mar-
ket Infrastructure
Development and
Management",SP 3.1. Market Infrastructure,,"104,000,000",,,0,0,68,0
,SP 3.2. Ward Based Projects,,"48,336,000",,,0,0,68,0
Energy,,,,,,,,68,0
"Programme 1:
General Adminis-
tration and Support
Services","SP 1. Human Resource De-
velopment and Management","4,219,452",,,,0,0,68,0
,"SP 2. Planning and Support
Services","4,087,361",,,,0,0,68,0
,"SP 3. Administrative
Services","14,915,603",,"7,374,764",,49.4,0,68,0
"Programme 2: En-
ergy Development
and Management",SP 2. 1. Energy Access,,"6,000,000",,"4,999,170",0,83.3,68,0
,REREC,,"50,006,400",,,0,0,68,0
Industry,,,,,,,,68,0
"Programme 1:
General Adminis-
tration and Support
Services","SP 1. Human Resource De-
velopment and Management","1,885,920",,,,0,0,68,0
,"SP 2. Planning and Support
Services","2,643,200",,,,0,0,68,0
,"SP 3. Administrative
Services","2,542,657",,"1,942,981",,76.4,0,68,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",69,0
"Programme 2: In-
dustrial Investment
and Development","SP 2. 1. Industrial Devel-
opment",-,"410,000,000",,,0,0,69,0
Sub Total,,"55,931,358","807,343,241","23,712,757","44,992,770",42.4,5.6,69,0
"Lands, Urban and Physical Planning",,,,,,,,69,0
"Programme 1: Gen-
eral Administration,
Planning and
Support Services","Human Resource Manage-
ment","26,637,264",,"10,183,107",,38.2,0,69,0
,"Administrative and support
services","12,129,145","11,171,083","4,957,060",,40.9,0,69,0
,Capacity Building,-,,,,0,0,69,0
,Land Registration,"5,000,000",,,,0,0,69,0
,"Planning and Financial
Management",-,,,,0,0,69,0
,Policy and Legal Framework,"3,330,155",,,,0,0,69,0
"Programme 2: Land
Development and
Management","SP 3: Physical and Land Use
Plans",,"7,637,625",,,0,0,69,0
,Land,,"10,000,000",,,0,0,69,0
,Ward Based Projects,,"20,151,400",,"6,880,000",0,34.1,69,0
Housing,,,,,,,,69,0
"Programme 1 Gen-
eral Administration,
Planning and
Support Services","SP 1: Salaries and Emolu-
ments","9,586,560",,,,0,0,69,0
,"SP 2: Administrative
Services","17,766,990",,,,0,0,69,0
,"SP 4: Planning and Financial
Management","1,184,125",,,,0,0,69,0
,"SP 5: Policy and Legal
Framework","1,273,500",,,,0,0,69,0
"Programme 2 Hous-
ing Development
and Management","SP 2: Housing Infrastructur-
al Development",,"206,500,100",,,0,0,69,0
Bungoma Municipality,,,,,,,,69,0
"Programme I: Gen-
eral Administration,
Planning and
Support services","SP 1.1: Salaries and Person-
nel Emoluments","12,397,661",,"4,798,749",,38.7,0,69,0
,"SP 1.2: Human Resource
Capacity Development and
Management","3,857,300",,,,0,0,69,0
,"SP 1.3: General Administra-
tion and Support Services","21,021,953",,"4,176,800",,19.9,0,69,0
,"SP 1.4: Planning and Finan-
cial Management","2,820,000",,,,0,0,69,0
,"SP 1.5: Institutional Ac-
countability, Leadership,
Efficiency and Effectiveness","3,003,000",,,,0,0,69,0
"Programme III: Ur-
ban Infrastructure
Development and
Management","SP 3.2: Urban Transport and
Infrastructure Development",-,"90,500,000",,,0,0,69,0
"Programme IV:
Urban Environment
and Social Services","SP 4.2: Urban Waste
Management and Sanitation
Services",-,"11,000,000",,,0,0,69,0
,"SP 4.3: Urban greening and
environment protection",-,"4,200,000",,,0,0,69,0
,Ward Based Projects,,"68,400,000",,,0,0,69,0
45,,,,,,,,69,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",70,0
,Grant,-,"68,575,248",,,0,0,70,0
Kimilili Municipality,,,,,,,,70,0
"Programme 1: Ur-
ban Governance","SP1: General Adm Planning
and Support Services (Inclu-
sive of salary)","31,044,460",,"3,579,486",,11.5,0,70,0
,SP2: Human Resource,"13,811,045",,"5,595,565",,40.5,0,70,0
"Programme 2: Ur-
ban Infrastructure
Development and
Management","Infrastructure. Housing and
Public Works",-,"191,846,979",,"20,754,740",0,10.8,70,0
Sub Total,,"164,863,158","689,982,435","33,290,767","27,634,740",9,5.7,70,0
County Public Service Board,,,,,,,,70,0
"Programme I: Gen-
eral Administration,
Planning and
Support services","SP 1. 1 Administrative
Service","22,141,121",,"10,721,620",,48.4,0,70,0
,"SP1.2 Construction 1 Storey
Building Administrative
Block",-,"14,500,000",,,0,0,70,0
"Programme 2:
Human Resource
Management and
Development","SP 2. 1 Human Resource
Management","10,374,532",,"4,125,445",,39.8,0,70,0
"Programme 3:
Governance and
National Values",SP 3. 1Quality Assurance,"5,120,330",,,,0,0,70,0
,"SP 3. 2 Ethics Governors
and National","10,716,570",,,,0,0,70,0
Sub Total,,"48,352,553","14,500,000","14,847,065",-,30.7,0,70,0
Public Service and Administration,,,,,,,,70,0
"Programme 1: Gen-
eral Administration,
Planning and
Support Services",Sp1.1: Salaries,"428,997,892",,"185,408,367",,43.2,0,70,0
,Sp1.2: Utilities,"5,700,000",,,,0,0,70,0
,Sp1.3: Maintenance,"1,730,000",,,,0,0,70,0
,Sp1.4: Operations,"53,636,755",,"63,612,769",,118.6,0,70,0
,"Sp1.5: Contracted Security
and Cleaning Services","67,179,450",,,,0,0,70,0
,Sp1.6: Purchase of Uniforms,"4,000,000",,,,0,0,70,0
,Sp1.7: Medical Insurance,"250,000,000",,,,0,0,70,0
,Sp1.9: National Holidays,"10,000,000",,,,0,0,70,0
,Infrastructure Development,,"64,506,063",,,0,0,70,0
,Sp1.10: Devolved Units,"9,000,000",,,,0,0,70,0
"Programme 2: Pub-
lic Participation,
Civic Education
and Outreach
Services",Sp2.1: Public Participation,"4,000,000",,,,0,0,70,0
,Sp2.2: Civic Education,"4,000,000",,,,0,0,70,0
"Programme 3:
Service Delivery
and Organizational
Transformation","Sp3.1Service Delivery and
Organizational Transfor-
mation","10,000,000",,,,0,0,70,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",71,0
Office of the County Secretary and County Attorney,,,,,,,,71,0
"Programme 1: Gen-
eral Administration,
Planning and
Support Services
(County Secretary)",Payroll Cleaning,"500,000",,,,0,0,71,0
,Staff and Workplace Surveys,"2,000,000",,,,0,0,71,0
,Records Management,"2,806,720",,,,0,0,71,0
,Utilities and Maintenance,"1,300,000",,,,0,0,71,0
,Operation,"3,500,000",,"4,806,464",,137.3,0,71,0
"Programme 3: Gen-
eral Administration,
Planning and
Support Services
County Attorney",Sp3.1: Utilities,"350,000",,,,0,0,71,0
,Sp3.2: Maintenance,"300,000",,,,0,0,71,0
,Sp3.3: Operations,"6,109,000",,"3,711,880",,60.8,0,71,0
,Sp3.4: Legal Fees,"7,000,000",,,,0,0,71,0
Sub Total,,"872,109,817","64,506,063","257,539,479",,29.5,0,71,0
Gender and Culture,,,,,,,,71,0
"Programme 1: 1
General Adminis-
tration, planning
and support
services",Compensation to Employees,"34,907,953",,"14,006,477",,40.1,0,71,0
,Planning and Budgeting,"2,500,000",,,,0,0,71,0
,Utility for office operations,"500,000",,,,0,0,71,0
,"Administrative Service
Management(boards and
Committees, travel costs,
catering services, others)","19,553,513","958,513","2,660,560",,13.6,0,71,0
"Programme 2 Cul-
tural Development
and Management","Participate in KICOSCA
and EALASCA Games","18,147,000",,"20,965,723",,115.5,0,71,0
,"Participate Kenya Music
Cultural Festival","500,000",,,,0,0,71,0
,"Hold at the herbal medicine
day","500,000",,,,0,0,71,0
,"Liquor and licensing en-
forcement exercise","2,000,000",,,,0,0,71,0
,"Construction of Sang’alo
Multipurpose Hall",-,"6,440,351",,,0,0,71,0
,"Microfinance Youth Pro-
gramme",-,"1,128,440",,,0,0,71,0
"Programme 3:
Gender Equity and
Social Protection",Operations of GTWG,"1,500,000",-,,,0,0,71,0
,"Gender-Based Violence
Response Programs (16 days
of activism against women)","2,000,000",-,,,0,0,71,0
,"Mark and Celebrate Interna-
tional Women’s Day","2,000,000",-,,,0,0,71,0
,"Mark and Celebrate Interna-
tional Disability Day","1,000,000",-,,,0,0,71,0
,"Disability Empowerment
program",,"12,317,615",,,0,0,71,0
,"Women Empowerment
program",,"20,526,343",,,0,0,71,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",72,0
Youth and Sports,,,,,,,,72,0
"PROGRAMME 2:
General Adminis-
tration Planning and
Support Services",Payment of Salaries,"13,331,452",,"5,466,164",,41,0,72,0
,Planning and Budgeting,"830,126",,,,0,0,72,0
,Utility for office operations,"520,000",,,,0,0,72,0
,"Administrative Service
Management (boards and
Committees, travel costs,
catering services, other
recurrent)","10,809,497","4,000,000","2,805,559",,26,0,72,0
"PROGRAMME 3:
Sports and Talent
Development","Construction of phase 1
Masinde Muliro stadium",,"26,000,000",,"25,511,240",0,98.1,72,0
,"Completion and equipping
of Phase 1 and Phase 11 of
the High-Altitude Training
Centre",,"19,000,000",,"10,287,465",0,54.1,72,0
,"Boards and Committees
(Operations Cost)",,"300,000",,,0,0,72,0
,"Sports Facility development
and management",,"10,000,000",,,0,0,72,0
,Youth Empowerment fund,,"29,684,326",,,0,0,72,0
Sub Total,,"110,599,541","130,355,588","45,904,483","35,798,705",41.5,27.5,72,0
Governor’s and Deputy Governor’s Office,,,,,,,,72,0
"Programme 1: Gen-
eral Administration,
Planning and
Support Services","Sp1.1: County budget and
economic forum","3,000,000",,,,0,0,72,0
,"Sp1.2: Public consultative
meetings","15,000,000",,,,0,0,72,0
,"Sp1.3: Feasibility Studies/
Advisory Services","2,000,000",,,,0,0,72,0
,Sp1.4: Utilities,"9,347,663",,,,0,0,72,0
,"Sp1.5: Operations and Other
Departmental Programs","68,951,486",,"104,978,686",,152.3,0,72,0
,Sp1.6: Maintenance,"14,000,000",,,,0,0,72,0
,Sp1.7: Salaries,"228,432,549",,"110,902,890",,48.6,0,72,0
"Programme2:
County Executive
Committee Affairs","Sp2.1Leadership and
Coordination of County
Departments and Agencies","20,000,000",,,,0,0,72,0
"Programme3:
County Strategic
and Service Deliv-
ery Coordination","Sp3.1Staff Management
Services.","12,000,000",,,,0,0,72,0
,"Sp3.2Events Management
and Protocol Services.","10,000,000",,,,0,0,72,0
,Sp3.3Communication,"1,000,000",,,,0,0,72,0
,Sp3.4 Integrity,"2,000,000",,,,0,0,72,0
,"Sp3.5 Intergovernmental
relations","10,000,000",,,,0,0,72,0
,Special Programmes,"50,000,000",,,,0,0,72,0
Office of the Deputy Governor,,,,,,,,72,0
"Programme 1: Gen-
eral Administration,
Planning and
Support Services",Sp1.1: Utilities,"1,328,000",,,,0,0,72,0
,Sp1.2: Operations,"22,108,583",,"10,115,950",,45.8,0,72,0
,Sp1.3: Maintenance,"3,900,000",,,,0,0,72,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",73,0
Sub Total,,"473,068,281",,"225,997,527",,47.8,0,73,0
"Environment, Tourism and Climate Change",,,,,,,,73,0
"Programme 1:
General Adminis-
tration Planning and
Support Services","SP. Human Resources Man-
agement","31,136,359",,"10,647,702",,34.2,0,73,0
,"Sp. Planning and Support
Services","7,676,864",,"3,252,449",,42.4,0,73,0
"Programme 2:
Protection and
Conservation of the
Environment","SP. Waste Management and
Control","312,552,734",,"117,980,594",,37.8,0,73,0
"Programme3:
Climate Change
Coordination and
Management","Sp. Climate Change Resil-
ience Investment Grant","22,110,885","125,000,000",,,0,0,73,0
,Sp. Climate Change Fund,,"80,000,000",,,0,0,73,0
Water and Natural Resources,,,,,,,,73,0
"Programme 1:
General Adminis-
tration Planning and
Support Services","SP. Human Resources Man-
agement","38,151,374",,"15,144,378",,39.7,0,73,0
,"Sp. Planning and Support
Services","23,453,875","21,399,464","8,902,514",,38,0,73,0
"Programme 2: Wa-
ter and Sanitation
Development and
Management",SP. Borehole Development,,"8,810,745",,,0,0,73,0
,"SP.KOICA Counterpart
Funding",-,"20,000,000",,,0,0,73,0
,Ward Based Projects,,"166,831,400",,"40,776,578",0,24.4,73,0
Sub Total,,"435,082,091","422,041,609","155,927,638","40,776,578",37.8,9.7,73,0
County Assembly,,,,,,,,73,0
"General Adminis-
tration and Support
Services","Salaries and personnel
Emoluments","622,227,383",,"303,561,601",,48.8,0,73,0
,"Human Resource Capacity
Development and Manage-
ment","31,542,328",,"12,380,142",,39.3,0,73,0
,"General administration and
support services","278,451,735",,"102,320,859",,47,0,73,0
,"Research knowledge sharing
and development services","6,650,000",,"1,756,458",,26.4,0,73,0
Legislation,Legislation Services,"10,486,000",,,,0,0,73,0
"Representation and
Outreach Services",Representation services,"70,876,984",,"43,458,115",,61.3,0,73,0
,"Public Participation and
Outreach Services","5,000,000",,"4,073,545",,81.5,0,73,0
Oversight,Oversight services,"107,003,800",,"80,595,706",,75.3,0,73,0
"General Infrastruc-
ture",General Infrastructure,,"136,737,650",,"24,746,860",0,29.9,73,0
Sub Total,,"1,132,238,230","136,737,650","548,146,426","24,746,860",51.2,29.9,73,0
Grand Total,,"9,827,058,184","5,643,037,428","3,636,669,673","271,971,189",34,5.8,73,0
