Programme,Sub Programme,Approved Estimates,col_3,col_4,Expenditure,col_6,Absorption Rate,col_8,page_number,table_index,col_7,col_9
,SP 1.2 personal service,"575,013,298",-,"188,961,292",,-,32.9,,442,0,,-
,"SP 1.3 FINANCIAL
SERVICE",-,-,-,,-,-,,442,0,,-
,"SP 1.4 Co-ordination of
public and special com-
munity",-,-,-,,-,-,,442,0,,-
,"SP 1.5 Mainstream work-
place HIV/aids, alcohol
and drug abuse control","990,000",-,-,,-,-,,442,0,,-
,"SP 1.6 Construction of
county offices",-,"39,352,925",-,,-,-,,442,0,,-
,"SP 1.7; Co-ordination of
county compliance and
enforcement agents",-,-,-,,-,-,,442,0,,-
"Programme
2; human
resource man-
agement and
development","SP 2.1; performance
contracting","9,855,040",-,-,,-,-,,442,0,,-
,"SP 2.2 PERFORMANCE
Appraisal system","9,855,040",-,-,,-,-,,442,0,,-
,"SP 2.3 Staff development
through capacity building
and training","3,350,000",-,-,,-,-,,442,0,,-
"Programme 3;
civil education
& public
participation
Programme 4:
Disaster man-
agement and
humanitarian
assistance","SP 3.1 co-ordination of
public and special commu-
nity programme","530,000",-,-,,-,-,,442,0,,-
,"SP 4.1disaster manage-
ment and humanitarian
assistance","15,374,119",-,-,,-,-,,442,0,,-
,Subtotals,"666,503,049","39,352,925","196,992,578",,-,30,,442,0,,-
"DEPARTMENT OF EDUCATION, VOCATIONAL TRAINING, ICT AND E-GOVERNMENT",,,,,,,,,442,0,,
"Programme 1:
Administra-
tion, planning
and support
service","SP 1.1 administration and
support service","31,060,217","530,237,974","4,231,938",,-,14,,442,0,,-
,SP 1.2 Personnel service,"533,139,735",-,"201,654,944",,-,38,,442,0,,-
,SP 1.3 financial services,-,-,-,,-,-,,442,0,,-
"Programme
2: Promo-
tion of early
childhood
education and
development","SP 2.1 Promotion of Early
Childhood","92,375,165",-,"709,000",,-,0.8,,442,0,,-
,SP 2.2 Bursaries,"387,510,069",-,"239,860,644",,-,62,,442,0,,-
,"SP 2.3Education devel-
opment",-,"16,500,000",-,,-,-,,442,0,,-
"Programme
3: Vocational
training",SP 3.1 Vocational training,-,"67,899,955",-,,"21,819,753",-,,442,0,,32.1
,SP 3.2 Skill Upgrading,"74,128,501",-,"495,100",,-,0.67,,442,0,,-
"Programme 4
Information
and communi-
cation","SP 4.1 Public communica-
tion and media services","8,000,016",-,"395,750",,-,5,,442,0,,-
"Programme
5 ICT Infra-
structure De-
velopment and
E-government
services","SP 5.1 Network Infra-
structure","22,325,303","2,800,000","105,000",,-,0.47,,442,0,,-
,"5.2 Hardware and soft-
ware platforms",-,"3,000,000",-,,-,-,,442,0,,-
,5.3 E-government services,-,-,-,,-,-,,442,0,,-
,Sub-Total,"148,539,006","620,437,969","447,416,374",,"21,819,753",39,,442,0,,3.5
,,Recurrent,Development,,Recurrent,,Rec,,443,0,"Develop-
ment",Dev
COUNTY TREASURY,,,,,,,,,443,0,,
"Programme 1;
Administra-
tion, planning
and support
services","SP 1.1 Administration
services","707,967,807","419,879,178","336,908,618",,"50,601,158",48,,443,0,,12
,SP 1.2 Personnel services,"542,845,778",-,"266,236,193",,-,49,,443,0,,-
,SP 1.3 financial services,"300,000",-,-,,-,-,,443,0,,-
"Programme 2;
Public Finance
Management","SP 2.1 Budget formu-
lation coordination and
management","211,231,190",-,"75,010,067",,-,36,,443,0,,-
,"SP 2.2Resources mobili-
zation","84,299,962",-,"11,012,970",,-,13,,443,0,,-
,SP 2.3 internal audit,"40,469,007",-,"5,332,420",,-,13,,443,0,,-
,SP 2.4 procurement,"18,681,885",-,"1,244,200",,-,7,,443,0,,-
,"SP 2.5 public finance and
accounting","25,066,504",-,"5,577,428",,-,22,,443,0,,-
,SP 2.6 Debt management,"40,763,581","326,425,808","1,145,600",,"65,300,725",2.8,,443,0,,20.0
,"SP 2.7 External Resources
Mobilization","10,538,988",-,"844,655",,-,8,,443,0,,-
"Programme 3:
Economic and
financial poli-
cy formulation
and manage-
ment",SP 3.1 Fiscal planning,"37,335,796",-,"3,942,958",,-,11,,443,0,,-
,"SP 3.2 monitoring and
evaluation /statistical data
management","9,248,167",-,"900,000",,-,10,,443,0,,-
,SP 3.3 KDSP programme,-,"104,594,212",-,,"17,473,734",-,,443,0,,17
,Sub-Total,"1,728,784,665","850,899,198","708,155,108",,"133,375,617",41,,443,0,,15.7
NAKURU CITY,,,,,,,,,443,0,,
Programme 1,"SP 1.1 Administration and
Planning","16,870,000",-,"5,725,854",,,34,,443,0,-,-
,SP 1.2 personnel services,"27,630,170",-,"9,933,436",,,36,,443,0,-,-
,SP 1.3 financial services,"600,000",-,-,,,-,,443,0,-,-
Programme 2,"SP 2.1 Infrastructure
development and urban","7,371,545","398,088,810","203,162",,,3,,443,0,"354,945,951",89
,"SP 2.2 Nakuru City Envi-
ronments Management",-,"1,500,000",-,,,-,,443,0,-,-
,"SP 2.3 Trade markets and
investments","2,800,000",-,-,,,-,,443,0,-,-
,"SP 2.4 Nakuru City Social
Services","2,899,418",-,-,,,-,,443,0,-,-
,Sub-Total,"58,171,133","399,588,810","15,862,452",,,27,,443,0,"354,945,951",89
"DEPARTMENT OF YOUTH, CULTURE, GENDER, SPORTS AND SOCIAL SERVICES",,,,,,,,,443,0,,
"Programme 1:
Administra-
tion, planning
and support
services",SP 1.1 Administration,"61,494,853","39,367,161","1,876,350",,,3,,443,0,-,-
,SP 1.2 Personnel services,"116,995,934",-,"48,534,192",,,41,,443,0,-,-
,SP 1.3 financial services,"1,000,000",-,-,,,-,,443,0,-,-
"Programme 2
Development
of social-cul-
tural Diversity,
Economic
Empowerment
and Responsi-
ble Gaming","SP 2.1; gender equality
and empowerment","18,450,000","56,825,970","297,300",,,1,,443,0,-,-
,"SP 2.2 social inclusion
and empowerment","34,139,052",-,"379,147",,,1,,443,0,-,-
,,Recurrent,Development,,Recurrent,,Rec,,444,0,"Develop-
ment",Dev
"Programme 3
Management
and develop-
ment of sports,
recreation
and sports
facilities","SP 3.1 development of
sports infrastructure",-,"61,629,242,",-,,,-,,444,0,"8,247,112",13
,"SP 3.2 promotion of
sports development and
recreation","20,262,000",-,"7,155,502",,,35,,444,0,-,-
,SP 3.3 Sports funding,-,-,-,,,-,,444,0,-,-
"Programme 4:
Youth empow-
erment and
participation","SP 4.1 youth empower-
ment and participation","36,674,533","39,397,161","279,100",,,0.8,,444,0,-,-
,SP 4.2 Youth development,-,-,-,,,-,,444,0,-,-
,Sub-Total,"289,016,373","197,189,534","58,521,591",,,20,,444,0,"8,247,112",-
"DEPARTMENT OF WATER, ENVIRONMENT, ENERGY AND NATURAL RESOURCES",,,,,,,,,444,0,,
"Programme
1 Administra-
tion","SP 1.1 Administration
services","31,000,000","1,525,329",,"3,707,497",,12,,444,0,-,-
,SP 1.2 Human resources,"249,797,612",-,,"112,303,049",,45,,444,0,-,-
,SP 1.3 Finance services,"500,000",-,,-,,-,,444,0,-,-
"Programme
2 water and
sewage man-
agement",SP 2.1 Provision of water,"9,193,152","1,106,185,449",,"794,640",,9,,444,0,-,-
,SP 2.2 provision,-,-,,-,,-,,444,0,-,-
"Programme 3
environment
management",SP 3.1 Pollution control,-,"11,152,434",,-,,-,,444,0,-,-
,"SP 3.2 Solid Waste Man-
agement","15,173,790",-,,"290,350",,2,,444,0,-,-
,"SP 3.3 Environmental
Resources Mapping","1,525,000",-,,-,,-,,444,0,-,-
"Programme 4
County ener-
gy, planning,
regulation,
operation and
development","SP 4.1 County Energy
Development","32,919,664",-,,-,,-,,444,0,-,-
,"SP 4.2 Climate change
resilience/forestry",-,"213,312,923",,"67,200",,-,,444,0,-,-
,Sub-Total,"339,109,218","1,332,176,135",,"117,162,736",,35,,444,0,-,-
OFFICE OF THE GOVERNOR AND DEPUTY GOVERNOR,,,,,,,,,444,0,,
"Programme
1 Administra-
tion, planning
and support","SP;1.1 Administration and
Planning","154,231,530","70,467,176","73,340,689",,"32,871,978",47,,444,0,,46
,SP 1.2 Personnel services,"94,925,337",-,"60,601,447",,-,63,,444,0,,-
"Programme 2
management
of county
affairs","SP 2.1 county executive
services","15,618,492",-,-,,-,-,,444,0,,-
,"SP 2.2 policy direction
and coordination","84,609,245",-,"11500,000",,-,13,,444,0,,-
,"SP 2.3 county policing
services","4,685,548",-,-,,-,-,,444,0,,-
,"SP 2.4 leadership and
governance","3,123,698",-,-,,-,-,,444,0,,-
"Programme 3
coordination
and superviso-
ry services","SP 3.1 organization of
county businesses","23,427,738",-,"3,440,800",,-,15,,444,0,,-
,"SP 3.2 Special pro-
grammes","7,809,246",-,-,,-,-,,444,0,,-
,Sub-Total,"342,271,643","143,899,504","148,882,936",,"32,871,977",,,444,0,,-
OFFICE OF THE COUNTY ATTORNEY,,,,,,,,,444,0,,
"Programme
1 Administra-
tion",SP 1.1 Administration,"20,070,798","4,000,000","7,713,386",,,38,,444,0,-,-
,SP 1.2 Personnel services,"19,229,202",-,"234,428",,,1,,444,0,-,-
,SP 1.2 financial services,"500,000",-,-,,,-,,444,0,-,-
,,Recurrent,Development,,Recurrent,"Develop-
ment",Rec,Dev,445,0,,
"Programme
2Advisory
services",SP 2.1 Advisory services,"1,300,000",-,-,,-,-,-,445,0,,
,SP 2.2 legal matters,"3,560,966",-,"982,759",,-,27,-,445,0,,
,SP 3.1 Litigation,"9,950,920",-,"7,072,522",,-,71,-,445,0,,
,"SP 3.2 Formulation and
review of bills","2,000,000",-,-,,-,-,-,445,0,,
,"SP 3.3 Conveyance and
commercial transactions","1,000,000",-,-,,-,-,-,445,0,,
,Sub-Total,"57,611,886","4,000,000","16,003,096",,-,28,-,445,0,,
DEPARTMENT OF INFRASTRUCTURE,,,,,,,,,445,0,,
"Programme
1 administra-
tion, planning
and support
services","SP 1.1 Administration
services","44,502,695",-,,"7,979,763",-,17,-,445,0,,
,SP 1.2 Personnel services,"14,518,432",-,,"61,319,767",-,42,-,445,0,,
,SP 1.3 financial services,-,-,,-,-,-,-,445,0,,
"Programme 2
infrastructure,
development
and mainte-
nance","SP 2.1 Construction, reha-
bilitation and maintenance
of road drainage and
bridges","19,825,000","1,546,304,195",,"659,300","47,160,731",3,3,445,0,,
,"SP 2.2 Rehabilitation and
maintenance of transport
terminus","4,800,000",-,,-,-,-,-,445,0,,
,"SP 2.3 Construction and
maintenance of non-resi-
dential county buildings","9,725,000","2,000,000",,"132,000",-,1,-,445,0,,
,"SP 2.4 Installation, rehabil-
itation and maintenance of
lighting facilities","143,625,000","60,000,000",,"125,500,000","54,813,328",87,91.4,445,0,,
"Programme
3 firefighting
and disaster
management","SP 3.1 Firefighting and
Emergency Services",-,-,,-,-,-,-,445,0,,
,"SP 3.2 Disaster manage-
ment",-,-,,-,-,-,-,445,0,,
,Sub-Total,"367,663,127","1,608,904,195",,"195,590,830","101,974,059",53,6.3,445,0,,
DEPARTMENT OF HEALTH SERVICES,,,,,,,,,445,0,,
"Programme 1
administration
and planning","SP 1.1 Health information
systems","21,379,000",-,,-,-,,- -,445,0,,
,"SP 1.2 governance and
leadership","554,186,167",-,,"113,534,466",-,2,0 -,445,0,,
,"SP 1.3 Human resource
management","3,694,411,740",-,,"1,813,504,963",-,4,9 -,445,0,,
,"SP 1.4 Research and
development","2,500,000",-,,-,-,,- -,445,0,,
,"SP 1.5 Health infrastruc-
ture and development","12,650,000",-,,-,-,,- -,445,0,,
,,Recurrent,Development,,Recurrent,"Develop-
ment",Rec,Dev,446,0,,
"Programme
2 health
preventive
and promotive
services",SP 2.1 Primary Healthcare,"15,117,207","603,379,464",,-,-,-,,446,0,,-
,"SP 2.2 environmental
health and sanitation","2,000,000",-,,-,-,-,,446,0,,-
,SP 2.3 human resource,"19,049,940",-,,-,-,-,,446,0,,-
,"SP 2.4 Disease surveil-
lance and emergency
response","1,997,550",-,,-,-,-,,446,0,,-
,SP 2.5 Health promotive,"1,000,000",-,,-,-,-,,446,0,,-
,SP 2.6 HIV programme,"2,000,000",-,,"129,600",-,-,,446,0,,-
,SP 2.7 Nutrition,"10,629,350","14,331,759",,-,-,-,,446,0,,-
,"SP 2.8 Reproductive
health","1,250,000",-,,-,-,-,,446,0,,-
,SP 2.9 immunisation,"1,596,425",-,,-,-,-,,446,0,,-
"Programme
3 Health
curative and
rehabilitative
services","SP 3.1 Provision of essen-
tial health services in all","1,285,035,576","1,361,310,758",,"730,336,067","354,920,034",57,,446,0,,26.1
,"SP 3.2 Elimination
of communicable and
non-communicable
diseases","2,200,000",-,,-,-,-,,446,0,,-
,SP 3.3 Human resource,"316,760,037",-,,"316,760,037",-,100,,446,0,,-
,Sub-Total,"5,941,762,992","1,979,021,981",,"2,974,265,134","354,920,034",50,,446,0,,1
"DEPARTMENT OF LANDS, PHYSICAL PLANNING AND HOUSING",,,,,,,,,446,0,,
"Programme 1:
Administra-
tion, Planning,
Management
and Support
Services","SP 1.1: Administration and
Financial Services","86,118,106",-,,"6,425,090",-,7,-,446,0,,
,SP 1.2: Personnel Services,"98,207,312",-,,"42,246,657",-,43,-,446,0,,
"Programme 2
Urban Devel-
opment",SP 2.1: Development of,-,"630,382,190",,-,"200,000,000",-,31.7,446,0,,
"Programme 3:
Land Use",SP 3.1: Land use,-,"171,941,427",,-,-,-,-,446,0,,
,SP 3.2: Survey,-,"3,000,000",,-,-,-,-,446,0,,
,SP 4.1 Housing,-,"3,000,000",,-,-,-,-,446,0,,
,Sub Total,"184,325,418","808,323,617",,"48,671,747","200,000,000",0.26,"24,7",446,0,,
"DEPARTMENT OF TRADE, INDUSTRY, MARKETING AND TOURISM",,,,,,,,,446,0,,
"Programme
1 Administra-
tion planning","SP 1.1 Administration,
planning and support
services","24,484,898","2,000,000","4,895,415",,-,20,-,446,0,,
,SP 1.2 Personnel services,"74,117,995",-,"32,918,452",,-,44,-,446,0,,
,SP 1.3 financial services,-,-,-,,-,-,-,446,0,,
"Programme 2
cooperatives","SP 2.1management of
market cooperatives","5,296,556","3,500,000",-,,-,-,-,446,0,,
,"SP 2.2 Sacc0 empower-
ment","25,000,000",-,-,,-,-,-,446,0,,
,"SP 2.3 cooperatives lead-
ership and governance","5,254,475",-,"3,011,865",,-,57,-,446,0,,
,"SP 2.4 Strengthening
cooperatives","1,191,381",-,-,,-,-,-,446,0,,
,"SP 2.5 empowering youth,
women and peds participa-
tion in cooperatives","1,127,588",-,-,,-,-,-,446,0,,
,,Recurrent,Development,,Recurrent,"Develop-
ment",Rec,Dev,447,0,,
"Programme
3: Commerce
and Enterprise","SP 3.1 Business develop-
ment services for SMEs","2,550,000",-,"55,425",,-,2,-,447,0,,
,"SP 3.2 Producer business
groups","800,000",-,-,,-,-,-,447,0,,
,SP 3.3 SMES training,"1,000,000",-,"650,975",,-,-,-,447,0,,
,SP 3.4 SMES funding,"25,000,000",-,-,,-,-,-,447,0,,
,"SP 3.5 Development and
management of county bus
terminus",-,-,-,,-,-,-,447,0,,
,"SP 3.6 consumer protec-
tion","3,100,000","2,000,000","360,600",,-,-,-,447,0,,
,"SP 3.7 Establishment of
the industrial park",-,"350,000,000",-,,-,-,-,447,0,,
"Programme 4
market","SP 4.1 Market rehabili-
tation",-,"12,800,000",-,,-,-,-,447,0,,
,"SP 4.2 Development of
new market",-,"161,002,145",-,,-,-,-,447,0,,
,"SP 4.3 Market users’ deliv-
ery services","12,500,000",-,"5,673,600",,-,45,-,447,0,,
"Programme 5
Tourism","SP 5.1 Promotion of local
tourism","8,500,000",-,"5,092,150",,-,60,-,447,0,,
,"SP 5.2 Management of
county tourism informa-
tion centre",-,-,-,,-,-,-,447,0,,
"Programme
6 alcoholic
drinks and
Control
Programme7;
Development
of socio-cul-
tural diversity
and promotion","SP 6.1 inspection, approval
and liquor licencing","2,450,000",-,"1,325,300",,-,54,-,447,0,,
,"SP 6.2 Liquor enforcement
and compliance","150,000",-,"33,600",,-,22,-,447,0,,
,"SP 6.3 research and
innovation","600,000",-,-,,-,-,-,447,0,,
,"SP 6.4 Treatment and
rehabilitation of persons
dependent on alcoholic
drinks","1,050,000",-,-,,-,-,-,447,0,,
,"SP 6.5 Education and
training of sub-county and
review committee","1,200,000",-,46400,,-,4,-,447,0,,
,"SP 7.1 Cultural Develop-
ment Activities","20,883,063",-,"1,070,600",,-,17,-,447,0,,
,"SP 7.2 promotion of
responsible gaming","6,150,000",-,"1,070,600",,-,17,-,447,0,,
,Sub-Total,"222,405,956","531,302,145","56,993,533",,-,20,-,447,0,,
Grand Total,,"13,037,542,515","10,046,777,912","5,586,209,983",,"1,462,888,213",42.8,14.6,447,0,,
