Program,Sub Programme,Description,"Approved Budget
(Kshs.)","Actual Expenditures
as of 31st December
2023 (Kshs)",Absorption (%),page_number,table_index
3263000200,,"Office of the Deputy Gov-
ernor","18,065,890.00","5,011,621.00",28,538,0
,101003260,"Administration Planning and
Support Services",-,-,-,538,0
,704003260,"General Administration and
Management of County Affairs","18,065,890.00","5,011,621.00",28,538,0
,705003260,"Leadership Development
Programme",-,-,-,538,0
3263000300,,Special Programmes Unit,"10,925,000.00","275,000.00",3,538,0
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,538,0
,704003260,"General Administration and
Management of County Affairs","10,925,000.00","275,000.00",3,538,0
,705003260,"Leadership Development
Programme",-,-,-,538,0
3263000400,,Service Delivery Unit,"875,000.00","75,000.00",9,538,0
,704003260,"General Administration and
Management of County Affairs","875,000.00","75,000.00",9,538,0
3263000500,,Industrialization,-,-,-,538,0
,705003260,"Leadership Development
Programme",-,-,-,538,0
,704003260,"General Administration and
Management of County Affairs",-,-,-,538,0
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,538,0
3263000600,,ICT,"7,900,000.00",-,-,538,0
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,538,0
,705003260,"Leadership Development
Programme","2,000,000.00",-,-,538,0
,704003260,"General Administration and
Management of County Affairs","5,900,000.00",-,-,538,0
3263000700,,,"2,170,000.00",163000,8,538,0
,704003260,"General Administration and
Management of County Affairs","2,170,000.00",163000,8,538,0
3263000800,,,"1,788,400.00","179,800.00",10,539,0
,704003260,"General Administration and
Management of County Affairs","1,788,400.00","179,800.00",10,539,0
3263000900,,,"31,206,750.00","3,805,965.00",12,539,0
,704003260,"General Administration and
Management of County Affairs","31,206,750.00","3,805,965.00",12,539,0
3264000100,,Headquarters,"115,033,057.65","27,155,783.45",24,539,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services","29,845,000.00","27,155,783.45",91,539,0
,701003260,"General Administration support
services",-,-,-,539,0
,707003260,"Treasury Development Pro-
gramme","30,000,000.00",-,-,539,0
3264000200,,County Emergency Fund,"20,000,000.00",-,-,539,0
,701003260,"General Administration support
services",-,-,-,539,0
,707003260,"Treasury Development Pro-
gramme",-,-,-,539,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services","20,000,000.00",-,-,539,0
3264000300,,"Equalization of Wards Infra-
structure",-,-,-,539,0
,707003260,"Treasury Development Pro-
gramme",-,-,-,539,0
3264000400,,Planning,"18,332,403.00","21,042,875.00",115,539,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services","18,332,403.00","21,042,875.00",115,539,0
,707003260,"Treasury Development Pro-
gramme",-,-,-,539,0
3264000500,,Gratuity Fund,-,-,-,539,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,-,539,0
3264000700,,"County Executive Adminis-
tration","18,187,056.00","17,000,000.00",93,539,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services","18,187,056.00","17,000,000.00",93,539,0
,701003260,"General Administration support
services",-,-,-,539,0
3264000800,,Internal Audit Services,"4,591,411.00","2,730,589.00",59,539,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services","4,591,411.00","2,730,589.00",59,539,0
3264000900,,Revenue Management,"11,437,805.00","4,343,207.00",38,539,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services","11,437,805.00","4,343,207.00",38,540,0
,701003260,"General Administration support
services",-,-,-,540,0
3264001000,,Procurement,"1,799,500.00","2,108,000.00",117,540,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services","1,799,500.00","2,108,000.00",117,540,0
3264001100,,Accounting Services,"2,720,000.00","10,297,900.00",379,540,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services","2,720,000.00","10,297,900.00",379,540,0
,701003260,"General Administration support
services",-,-,-,540,0
3264001200,,"Kenya Devolution Support
Programme",-,-,-,540,0
,701003260,"General Administration support
services",-,-,-,540,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,-,540,0
3264001300,,,"90,539,805.20","14,735,600.00",16,540,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,14735600,-,540,0
,707003260,"Treasury Development Pro-
gramme","90,539,805.20",-,-,540,0
3265000100,,Headquarters,"485,310,131.00","907,888.00",-,540,0
,102003260,Development programme,-,-,-,540,0
,105003260,"Livestock and Fisheries Devel-
opment","383,368,021.00",-,-,540,0
,104003260,"Agricultural Development
Programme","98,200,000.00",-,-,540,0
,101003260,"Administration Planning and
Support Services","3,742,110.00","907,888.00",24,540,0
3265000200,,Livestock,"9,784,990.00","425,009.00",4,540,0
,104003260,"Agricultural Development
Programme","6,300,000.00",-,-,540,0
,101003260,"Administration Planning and
Support Services","3,484,990.00","425,009.00",12,540,0
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,540,0
,102003260,Development programme,-,-,-,540,0
3265000300,,Fisheries,"902,928.00","262,140.00",29,540,0
,102003260,Development programme,-,-,-,540,0
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,540,0
,101003260,"Administration Planning and
Support Services","902,928.00","262,140.00",29,540,0
3265000400,,Veterinary,"17,386,604.00","503,600.00",3,540,0
,102003260,Development programme,-,-,-,541,0
,101003260,"Administration Planning and
Support Services","2,386,604.00","503,600.00",21,541,0
,104003260,"Agricultural Development
Programme","15,000,000.00",-,-,541,0
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,541,0
3265000500,,"Agribusiness Project (EU
Grant)",-,-,-,541,0
,101003260,"Administration Planning and
Support Services",-,-,-,541,0
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,541,0
,104003260,"Agricultural Development
Programme",-,-,-,541,0
,102003260,Development programme,-,-,-,541,0
3265000600,,"Kenya Climate Smart Agric
Program","91,200,000.00",6200000,7,541,0
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,-,541,0
,104003260,"Agricultural Development
Programme",-,-,-,541,0
,105003260,"Livestock and Fisheries Devel-
opment","91,200,000.00",6200000,7,541,0
3265000700,,Water,"3,991,302.00",1000000,25,541,0
,105003260,"Livestock and Fisheries Devel-
opment","3,991,302.00",1000000,25,541,0
,104003260,"Agricultural Development
Programme",-,-,-,541,0
3266000100,,Headquarters,-,-,-,541,0
,101003260,"Administration Planning and
Support Services",-,-,-,541,0
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,541,0
3266000300,,Veterinary,-,-,-,541,0
,101003260,"Administration Planning and
Support Services",-,-,-,541,0
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,541,0
3266000400,,Fisheries,-,-,-,541,0
,101003260,"Administration Planning and
Support Services",-,-,-,541,0
,105003260,"Livestock and Fisheries Devel-
opment",-,-,-,541,0
3267000100,,Headquarters,"111,017,076.00","1,701,722.00",2,541,0
,1002003260,"General Administration, Sup-
port and Support Services","4,117,076.00","1,701,722.00",41,541,0
,1001003260,"Water and Irrigation Develop-
ment Programme","106,900,000.00",-,-,541,0
3267000200,,Water Services,-,-,-,541,0
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,-,541,0
,1002003260,"General Administration, Sup-
port and Support Services",-,-,-,542,0
3267000300,,Bulk Water Project,"5,000,000.00",-,-,542,0
,1001003260,"Water and Irrigation Develop-
ment Programme","5,000,000.00",-,-,542,0
3267000400,,Ambulance services,"969,176,400.00","823,600.00",-,542,0
,1001003260,"Water and Irrigation Develop-
ment Programme","969,176,400.00","823,600.00",-,542,0
3267000500,,Public Health and Sanitation,"5,000,000.00",-,-,542,0
,1001003260,"Water and Irrigation Develop-
ment Programme","5,000,000.00",-,-,542,0
3267000600,,"Promotion of primary
healthcare","19,719,480.00","23,997,530.00",122%,542,0
,1002003260,"General Administration, Sup-
port and Support Services",-,-,-,542,0
,1003003260,"Natural Resources Support
Programme","2,993,480.00","3,823,530.00",128,542,0
,1001003260,"Water and Irrigation Develop-
ment Programme","16,726,000.00","20,174,000.00",121,542,0
3268000100,,Headquarters,"68,087,124.00","537,376.00",1,542,0
,501003260,"General Administration, Plan-
ning and Support services","7,137,124.00","537,376.00",8,542,0
,1001003260,"Water and Irrigation Develop-
ment Programme",-,-,-,542,0
,502003260,"Early Childhood Education and
Youth Training Development
Programme","60,950,000.00",-,-,542,0
3268000200,,Polytechnics,"9,775,000.00","209,899.00",2,542,0
,502003260,"Early Childhood Education and
Youth Training Development
Programme","8,500,000.00",-,-,542,0
,501003260,"General Administration, Plan-
ning and Support services","1,275,000.00","209,899.00",16,542,0
3268000300,,"Early Childhood Develop-
ment","1,258,800.00","282,433.00",22,542,0
,301003260,"General Administration and
Support Services Programme",-,-,-,542,0
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,-,542,0
,501003260,"General Administration, Plan-
ning and Support services","1,258,800.00","282,433.00",22,542,0
3268000400,,Library services,"945,400.00","186,701.00",20,542,0
,501003260,"General Administration, Plan-
ning and Support services","945,400.00","186,701.00",20,542,0
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,-,542,0
3268000500,,Education Fund,"247,739,000.00","30,639,367.00",12,542,0
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,-,542,0
,501003260,"General Administration, Plan-
ning and Support services","247,739,000.00","30,639,367.00",12,543,0
3268000600,,Energy,-,-,-,543,0
,501003260,"General Administration, Plan-
ning and Support services",-,-,-,543,0
,502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,-,543,0
3269000100,,Headquarters,"293,128,584.00","58,656,522.65",20,543,0
,402003260,"Health Development Pro-
gramme","210,338,500.00",7259678.65,3,543,0
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,-,543,0
,401003260,"Administration and Support
Services","82,790,084.00","51,396,844.00",62,543,0
,704003260,"General Administration and
Management of County Affairs",-,-,-,543,0
3269000200,,Wesu Hospital,"9,308,059.00","5,412,671.00",58,543,0
,401003260,"Administration and Support
Services","9,308,059.00","5,412,671.00",58,543,0
3269000300,,Moi Referral Hospital,"75,195,434.00","36,040,241.00",48,543,0
,401003260,"Administration and Support
Services","75,195,434.00","36,040,241.00",48,543,0
3269000400,,Mwatate Hospital,-,-,-,543,0
,401003260,"Administration and Support
Services",-,-,-,543,0
3269000500,,,-,-,-,543,0
,401003260,"Administration and Support
Services",-,-,-,543,0
3269000600,,,"14,415,583.00","7,529,011.00",52,543,0
,401003260,"Administration and Support
Services","14,415,583.00","7,529,011.00",52,543,0
3269000700,,,-,-,-,543,0
,401003260,"Administration and Support
Services",-,-,-,543,0
3269000800,,,-,-,-,543,0
,401003260,"Administration and Support
Services",-,-,-,543,0
3269000900,,,"8,414,252.00","6,872,663.00",82,543,0
,401003260,"Administration and Support
Services","8,414,252.00","6,872,663.00",82,543,0
3269001000,,,"19,988,538.00","12,604,393.00",63,543,0
,401003260,"Administration and Support
Services","19,988,538.00","12,604,393.00",63,543,0
3269001100,,,"6,027,852.00","3,714,048.00",62,543,0
,401003260,"Administration and Support
Services","6,027,852.00","3,714,048.00",62,543,0
,402003260,"Health Development Pro-
gramme",-,-,-,543,0
3270000100,,Headquarters,"106,835,000.00",864131,1,543,0
,302003260,"Trade Development pro-
gramme.","105,100,000.00",-,-,543,0
,301003260,"General Administration and
Support Services Programme","1,735,000.00",864131,50,544,0
3270000200,,Trade,-,-,-,544,0
,302003260,"Trade Development pro-
gramme.",-,-,-,544,0
,301003260,"General Administration and
Support Services Programme",-,-,-,544,0
3270000300,,Sports,-,-,-,544,0
,302003260,"Trade Development pro-
gramme.",-,-,-,544,0
,301003260,"General Administration and
Support Services Programme",-,-,-,544,0
3270000400,,Gender,-,-,-,544,0
,302003260,"Trade Development pro-
gramme.",-,-,-,544,0
,301003260,"General Administration and
Support Services Programme",-,-,-,544,0
3270000500,,Cooperative,"1,014,271.00",432208,43,544,0
,302003260,"Trade Development pro-
gramme.",-,-,-,544,0
,301003260,"General Administration and
Support Services Programme","1,014,271.00",432208,43,544,0
3270000600,,Youth Development,-,-,-,544,0
,302003260,"Trade Development pro-
gramme.",-,-,-,544,0
,301003260,"General Administration and
Support Services Programme",-,-,-,544,0
3270000700,,Culture,-,-,-,544,0
,302003260,"Trade Development pro-
gramme.",-,-,-,544,0
,301003260,"General Administration and
Support Services Programme",-,-,-,544,0
3270000800,,Markets,"2,491,344.00","384,073.00",15,544,0
,302003260,"Trade Development pro-
gramme.","2,000,000.00",-,-,544,0
,301003260,"General Administration and
Support Services Programme","491,344.00","384,073.00",78,544,0
3270000900,,,"200,000.00",47960,24,544,0
,302003260,"Trade Development pro-
gramme.",-,-,-,544,0
,301003260,"General Administration and
Support Services Programme","200,000.00",47960,24,544,0
3270001100,,Weights and Measures,"200,760.00",50318,25,544,0
,301003260,"General Administration and
Support Services Programme","200,760.00",50318,25,544,0
3270001200,,,-,-,-,544,0
,301003260,"General Administration and
Support Services Programme",-,-,-,544,0
,302003260,"Trade Development pro-
gramme.",-,-,-,544,0
3270001300,,"Liquor Control and Licens-
ing Fund","2,000,000.00",487000,24,544,0
,301003260,"General Administration and
Support Services Programme","2,000,000.00",487000,24,545,0
3270001400,,,"518,850.00",555954,107,545,0
,301003260,"General Administration and
Support Services Programme","518,850.00",555954,107,545,0
,302003260,"Trade Development pro-
gramme.",-,-,-,545,0
3271000100,,Headquarters,"9,086,343.00","3,087,526.00",34,545,0
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,545,0
,701003260,"General Administration support
services","9,086,343.00","3,087,526.00",34,545,0
3272000100,,Headquarters,"3,052,600.00","910,467.70",30,545,0
,101003260,"Administration Planning and
Support Services","3,052,600.00","910,467.70",30,545,0
3272000200,,ICT,-,-,-,545,0
,101003260,"Administration Planning and
Support Services",-,-,-,545,0
,103003260,"Infrastructure Development
programme",-,-,-,545,0
3272000300,,Roads,"148,565,600.00","6,570,920.00",4,545,0
,103003260,"Infrastructure Development
programme",-,-,-,545,0
,102003260,Development programme,"144,613,000.00","6,467,520.00",4,545,0
,101003260,"Administration Planning and
Support Services","3,952,600.00","103,400.00",3,545,0
3272000400,,Housing,"96,300.00","12,700.00",13,545,0
,103003260,"Infrastructure Development
programme",-,-,-,545,0
,102003260,Development programme,-,-,-,545,0
,101003260,"Administration Planning and
Support Services","96,300.00","12,700.00",13,545,0
3272000500,,Public Works,"265,000.00","60,000.00",23,545,0
,101003260,"Administration Planning and
Support Services","265,000.00","60,000.00",23,545,0
,103003260,"Infrastructure Development
programme",-,-,-,545,0
,102003260,Development programme,-,-,-,545,0
3272000600,,Defunct Local Authorities,-,-,-,545,0
,302003260,"Trade Development pro-
gramme.",-,-,-,545,0
,103003260,"Infrastructure Development
programme",-,-,-,545,0
3273000100,,Headquarters,"61,121,587.00","16,370,963.80",27,545,0
,102003260,Development programme,"56,550,000.00",4547280,8,545,0
,1003003260,"Natural Resources Support
Programme",-,-,-,545,0
,101003260,"Administration Planning and
Support Services","4,571,587.00","1,823,683.80",40,545,0
,301003260,"General Administration and
Support Services Programme",-,-,-,546,0
3273000200,,"Mwatate Municipal Admin-
istration","1,650,000.00","1,295,750.20",79,546,0
,1003003260,"Natural Resources Support
Programme",-,-,-,546,0
,102003260,Development programme,-,-,-,546,0
,101003260,"Administration Planning and
Support Services","1,650,000.00","1,295,750.20",79,546,0
3273000300,,,"14,541,169.00",577620,4,546,0
,102003260,Development programme,"13,646,169.00",-,-,546,0
,1003003260,"Natural Resources Support
Programme",-,-,-,546,0
,101003260,"Administration Planning and
Support Services","895,000.00",577620,65,546,0
3273000400,,,-,-,-,546,0
,102003260,Development programme,-,-,-,546,0
,101003260,"Administration Planning and
Support Services",-,-,-,546,0
3273000500,,"Environment and Natural
Resources","607,500.00",-,-,546,0
,1003003260,"Natural Resources Support
Programme",-,-,-,546,0
,101003260,"Administration Planning and
Support Services","607,500.00",-,-,546,0
3273000600,,,"98,178,600.00",-,-,546,0
,301003260,"General Administration and
Support Services Programme","4,678,600.00",-,-,546,0
,102003260,Development programme,"93,500,000.00",-,-,546,0
,103003260,"Infrastructure Development
programme",-,-,-,546,0
3274000100,,Headquarters,-,-,-,546,0
,1003003260,"Natural Resources Support
Programme",-,-,-,546,0
,1002003260,"General Administration, Sup-
port and Support Services",-,-,-,546,0
,301003260,"General Administration and
Support Services Programme",-,-,-,546,0
Grand Total,,,"7,301,964,024.00","2,054,404,892.00",28,546,0
