Vote,Programme,Sub-Programme,"Approved
Estimates
FY 2023/24
(Kshs.)",Actual Expenditure (Kshs.),col_5,col_6,"Absorption Rate
(%)",col_8,page_number,table_index
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",427,0
,,"0405075310 Sp5.7
Nairobi County
Public Health Emer-
gency Response","7,200,000","73,000,000",-,,-,-,427,0
,"0406005310 p6
health facilities","0406015310 sp6.1
county referral
hospitals","5,000,000","100,000,000","1,045,995,291",,"20,919.9",-,427,0
,,,"6,800,000","70,000,000",-,,-,-,427,0
,,,"6,000,000","190,000,000",-,-,-,-,427,0
,,,"5,000,000",,"94,758,938",,"1,895.2",-,427,0
,,,"2,200,000","42,000,000",-,,-,-,427,0
,,"0406025310 Sp6.2
Health planning and
financing","31,165,000","77,000,000",-,-,-,-,427,0
,,"0406035310 Sp6.3
Health Centres &
Dispensaries","72,228,250","433,000,000","661,600",-,0.9,-,427,0
,,"0406045310 Sp6.4
Pumwani School of
Nursing","5,655,000","30,000,000",-,,-,-,427,0
,,"0406055310 Sp6.5
Health Commodities","400,000,000",,-,,-,-,427,0
,"0407005310
P7 medical
services","0407015310 Sp7.1
Primary Health Care","22,635,000",,-,,-,-,427,0
,,"0407025310 Sp7.2
Nairobi Medical
Insurance","50,000,000",,-,,-,-,427,0
,,"0407035310 Sp7.3
Reproductive Health
& Maternal Health
(RMNCAH)","7,765,000",,-,,-,-,427,0
,,"0407045310 Sp7.4
Clinical Services","5,700,000",,-,,-,-,427,0
,,,"4,900,000",,-,,-,-,427,0
,,"0407055310 Sp7.5
Research, Quality
assurance & stan-
dards unit","4,000,000",,"1,629,000",,40.7,-,427,0
,"0408005310
P8 Wellness
and Nutrition","0408015310 Sp8.1
Nutrition","12,250,000",,-,,-,-,427,0
,,"0408025310 Sp8.2
Wellness","9,000,000",,-,,-,-,427,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",428,0
,"0404005310
General
administra-
tion, planning
and support
services","0404015310 Sp4.1
Administration/
Human Resource for
Health","6,376,005,086",,"100,000",,0.0,-,428,0
,,"5332000000
HEALTH WELL-
NESS & NUTRI-
TION","7,071,303,336","1,129,000,000","1,143,144,829",-,16.2,-,428,0
"R5333 built
environment &
urban planning","0718005310
general
administrative
services","0106015310 sp
6.1 administration,
planning & support
services","367,120,278",,-,,-,-,428,0
,"0121005310
p21 urban
development &
planning","0121015310 sp21.1
urban planning com-
pliance & enforce-
ment services","26,000,000","45,000,000",-,,-,-,428,0
,"0115005310
P.9:Land man-
agement","0122015310 Sp22.1
Land Survey,
GIS and Mapping
Services","26,000,000",,-,,-,-,428,0
,"0123005310
P23 Housing
Development
and Building
Services","0102045310 SP4
Urban Renew-
al 580,000,000;
0123015310 Sp23.1
Housing and Urban
Renewal Services","20,000,000","580,000,000",-,-,-,-,428,0
,,"0123025310 Sp23.2
Building services","10,000,000",,"3,090,560",,30.9,-,428,0
,,"5333000000 BUILT
ENVIRONMENT &
URBAN PLAN-
NING","449,120,278","625,000,000","3,090,560",-,0.7,-,428,0
"R5334 mobility
and works","0216005310
p16:general
administration,
planning
And support
services","5334000101
mobility and works
headquarters","914,660,962",,-,,-,-,428,0
,"0219005310
p19 works",5334000201 roads,"15,200,000","2,269,184,460",-,-,-,-,428,0
,,"5334000301 Elec-
trical","6,000,000","400,000,000",-,-,-,-,428,0
,,"5334000401 Build-
ing Works","3,160,000","8,000,000",-,,-,-,428,0
,"0220005310
p20 mobility","0220015310
sp20.1 transporta-
tion 574,700,000;
0220025310 sp20.2
traffic management
services","154,700,000","488,735,000","13,217,537",-,8.5,-,428,0
,,"5334000601 Garage/
Transportation","7,000,000","134,350,000",-,-,-,-,428,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",429,0
,,"5334000000
MOBILITY AND
WORKS","1,100,720,962","3,300,269,460","13,217,537",-,1.2,-,429,0
"R5335 talent
skills devt &
care","0508005310
General
administra-
tion, planning
and support
services","0508025310 sp 8.2
General Adminis-
tration & Support
Services","1,752,420,205",,"517,800",,0.0,-,429,0
,"0509005310
P9 Education
services","0509025310 sp 9.2
Early Childhood De-
velopment Centres","100,000,000","130,950,000",-,-,-,-,429,0
,,"0509035310 sp 9.3
Technical and Voca-
tional Training","5,500,000","38,933,024",-,-,-,-,429,0
,,"0509015310 sp 9.1
Quality Assurance
and Co-curriculum","400,000",,-,,-,-,429,0
,"0902005310
2.1 social
services","0902015310 general
administration &
support services","122,348,766",,-,,-,-,429,0
,,"0902025310 Sp.2.2
Gender and Commu-
nity Empowerment","2,750,000",,"98,400",,3.6,-,429,0
,,"0902065310 Sp 2.6
Social welfare and
care for the Aged","6,050,000",,"118,700",,2.0,-,429,0
,,"0902085310 Sp.2 8
Rescue and Rehabil-
itation of Children
Services","5,000,000","10,000,000","98,400",,2.0,-,429,0
,,"0903015310 Sp3.1
Control of Drugs
and Pornography","3,950,000",,-,,-,-,429,0
,"0903005310 p3
youth, talent &
sports","0903025310 sp3.2
general admnis-
tration & support
services","47,185,185",,-,,-,-,429,0
,,"0903035310 Sp3.3
Youth Empower-
ment and Promotion","6,000,000",,"1,842,220",,30.7,-,429,0
,,"0903045310 Sp3.4
Recreational Ser-
vices","4,000,000","100,000,000",-,-,-,-,429,0
,,"0903055310 Sp3.5
Development and
promotion of sports","28,000,000","545,000,000",-,-,-,-,429,0
,,"0903065310 Sp3.6
Promotion of Li-
brary and Informa-
tion Services","2,000,000","4,500,000",-,,-,-,429,0
,,"5335000000
TALENT SKILLS
DEVT & CARE","2,085,604,156","829,383,024","2,675,520",-,0.1,-,429,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",430,0
"R5336 busi-
ness & hustler
opportunities","0302005310
P2:General
Administra-
tion Planning
and Support
Services","5336000100
Business & Hustler
Opportunities Head-
quarters","472,498,302",,-,,-,-,430,0
,"0310005310
P.10 Co-opera-
tive Develop-
ment and Audit
Services
Services","5336000201 Co-op-
erative Develop-
ment","18,500,000",,"742,000",,4.0,-,430,0
,,"5336000300 Co-op-
erative Audit","11,500,000",,-,,-,-,430,0
,"0312005310
P.12 Trade
Development
and Market
Services","5336000401 Mar-
kets Department
Headquarters","15,000,000","991,000,000",-,-,-,-,430,0
,,"5336000700 Trade
Development De-
partment","15,000,000","260,000,000",-,-,-,-,430,0
,"0313005310
P.13 Licensing
and Fair Trade
Practices","5336000500
Weights & Measures
Services","6,000,000","30,000,000",-,,-,-,430,0
,,"5336000601 Trade
Licensing","9,000,000","35,000,000",-,,-,-,430,0
,,"0313045310 sp 13.4
Betting & Gaming
Services 25,000,000;
0316025310 P16.2
Betting & Gaming
Services","25,000,000","29,000,000","52,946,286",,211.8,-,430,0
,"0316005310
P16 Business
& hustler
opportunities","0316015310 P16.1
Micro, Small and
Medium Enterprises
development","40,000,000","100,000,000",-,,-,-,430,0
,,"5336000000 BUSSI-
NESS & HUSTLER
OPPORTUNITIES","612,498,302","1,445,000,000","53,688,286",-,8.8,-,430,0
"R5337 inclu-
sivity public
participation,&
citizen engage-
ment","0904005310 p4
public partici-
pation, citizen
engagement
& customer
service","0904015310 sp4.1
public participation,
citizen engagement
& customer service","99,455,565","40,000,000",-,,-,-,430,0
,,,"33,000,000",,-,,-,-,430,0
,,,"34,945,000",,-,,-,-,430,0
,,,"32,555,000",,-,,-,-,430,0
