Programme,Sub-Programme,"Approved Esti-
mates FY 2023/24
(Kshs)","Actual Expendi-
ture Half Year,
FY 2023/24
(Kshs.)","Variance
(Kshs)","Absorption
Rate (%)",page_number,table_index
,"Industrial Development and Invest-
ments","4,700,000",-,"4,700,000",-,593,0
,Biashara Fund,"50,000,000",-,"151,592,500",-,593,0
,,A,B,C=A-B,D=B/A*100,594,0
General Administration,General Administration,"367,310,455","57,112,184","310,198,271",15.5,594,0
,Subtotal,"525,883,025","107,112,184","520,363,341",20.4,594,0
"Education, Sports and Social Protection",,,,,,594,0
"Social Protection Programs/
Affirmative Action","Construction of PWDs multi-purpose
resource centre","23,079,237",-,"23,079,237",-,594,0
,"Marginalized and Minority Groups
Support","31,520,000","12,340,000","19,180,000",39.1,594,0
,Child Rescue Centres,"10,000,000",-,"10,000,000",-,594,0
,Child Care & Protection,"27,226,348","6,578,000","20,648,348",24.2,594,0
Sports and arts programme,Construction of Sports Stadia,"14,450,000","8,206,000","6,244,000",56.8,594,0
General administration,General Administration,"26,337,042","12,612,982","13,724,060",47.9,594,0
,"Turkana Education and Skill Devel-
opment Fund","534,219,180","534,219,180",-,100,594,0
Vocational Training,Youth Polytechnic Infrastructure,"60,600,000",-,"60,600,000",-,594,0
,Training and Development,"4,610,000","2,000,000","2,610,000",43.4,594,0
,Co-Curricular Activities,"3,501,017","2,200,000","1,301,017",62.8,594,0
,Youth Polytechnics- Conditional,"12,714,291",-,"12,714,291",-,594,0
,Research and Sensitization,"1,708,000","750,000","958,000",43.9,594,0
Early Childhood Education,School Feeding,"72,631,364","23,890,000","48,741,364",32.9,594,0
,Quality Improvement,"6,614,000",-,"6,614,000",-,594,0
,Infrastructure Development,"283,522,678",-,"283,522,678",-,594,0
,Support to Pre-Primary Training,"7,201,615",-,"7,201,615",-,594,0
,Subtotal,"1,119,934,772","602,796,162","517,138,610",53.8,594,0
"Public Services, Decentralized Administration & Disaster Management",,,,,,594,0
"Operationalization of Decen-
tralized Units","Operationalization of Decentralized
Units","10,761,200",-,"10,761,200",-,594,0
,Decentralized County Policy,"35,621,258",-,"35,621,258",-,594,0
,Coordinated development,"11,600,000",-,"11,600,000",-,594,0
,Policy sensitization and dissemination,"16,933,500","1,500,000","15,433,500",8.9,594,0
"Governance and Public
Participation",Civic education Programme,"1,564,400","650,000","914,400",41.5,594,0
,"Public Participation and access to
information","8,747,050","5,675,899","3,071,151",64.9,594,0
,County Dialogue Forum,"1,400,000",-,"1,400,000",-,594,0
,National & County Holidays,"1,655,500","670,000","985,500",40.5,594,0
,Policies Design,"805,500",-,"805,500",-,594,0
Disaster risk management,Disaster Preparedness Programmes,"2,000,000",-,"2,000,000",-,594,0
,Disaster Mitigation Programmes,"2,000,000",-,"2,000,000",-,594,0
,"Stakeholders’ Coordination and Sup-
port Programme","563,892,100","75,098,000","488,794,100",13.3,594,0
,Disaster Risk Management,"800,000",-,"800,000",-,594,0
Inspectorate services,Inspectorate Training Institute,"20,866,848",-,"20,866,848",-,594,0
,Dispute Resolution,"2,055,390",-,"2,055,390",-,594,0
,Capacity Building,"2,230,664",-,"2,230,664",-,594,0
,Inspectorate Services,"3,700,000",-,"3,700,000",-,594,0
,Inspectorate Services,"3,700,000",-,"3,700,000",-,594,0
,,A,B,C=A-B,D=B/A*100,595,0
"Human resource manage-
ment",Payroll and record management,"1,500,000",-,"1,500,000",-,595,0
,Human Resource Development,"19,900,000","1,500,000","18,400,000",7.5,595,0
,"GHRIS Leave & Performance Mod-
ule Implementation","2,200,000",-,"2,200,000",-,595,0
,"Digitization and Automation of
Human Resource Registry","3,800,000","1,800,000","2,000,000",47.4,595,0
,"Mainstreaming Public Sector Integrity
Programme","2,435,000",-,"2,435,000",-,595,0
,County performance management,"2,098,400",-,"2,098,400",-,595,0
,Public Service Week,"1,489,000",-,"1,489,000",-,595,0
,Records Management,"1,365,600",-,"1,365,600",-,595,0
,HRM,"1,712,000",-,"1,712,000",-,595,0
"General Administration,
Planning and Support Ser-
vices-Public Service",General Administration,"5,403,694,524","2,717,070,810","2,686,623,714",50.3,595,0
,Subtotal,"6,130,527,934","2,803,964,709","3,326,563,225",45.7,595,0
"Infrastructure, Transport and Public Works",,,,,,595,0
"Develop and maintain staff
housing and public offices",Designing and Construction of Roads,"162,212,408",-,"162,212,408",-,595,0
,Staff Housing,"33,300,000",-,"33,300,000",-,595,0
,Professional Capacity Building,-,-,-,-,595,0
General Administration,General Administration,"104,205,307",-,"104,205,307",-,595,0
,General Administration- Public works,"77,416,258","5,713,599","71,702,659",7.4,595,0
,Sub Total,"377,133,973","5,713,599","371,420,374",1.5,595,0
"Agriculture, Pastoral Economy and Fisheries",,,,,,595,0
"Revival of Turkana Fisher-
men Co-op. society",Spate Irrigation Technology,"76,975,000","1,899,200","75,075,800",2.5,595,0
,Policy Formulation,"5,725,600",-,"5,725,600",-,595,0
,Soil & Water Conservation,"7,000,000",-,"7,000,000",-,595,0
"Fish market infrastructure/
fish value addition","Fish market infrastructure/ fish value
addition","18,000,000","495,238","17,504,762",2.8,595,0
,Fisheries livelihood support,"33,200,000",-,"33,200,000",-,595,0
,Fisheries Extension Services,"11,226,559",-,"11,226,559",-,595,0
,Fisheries resource management,"6,287,443",-,"6,287,443",-,595,0
,Fish Farming & Aquaculture,"50,700,000",-,"50,700,000",-,595,0
"Sustainable management of
fisheries resources",Frame survey,"51,600,000","1,494,000","50,106,000",2.9,595,0
,Fish Stock assessment,"13,900,000",-,"13,900,000",-,595,0
,"Monitoring, Control and Surveillance","16,300,000",-,"16,300,000",-,595,0
,Resource monitoring facilities,"12,850,000",-,"12,850,000",-,595,0
"Livestock breed improve-
ment","Establish livestock Multiplication and
breeding Centre.","63,500,000","5,780,345","57,719,655",9.1,595,0
,"Provision of Livestock Extension
services","36,000,000",-,"36,000,000",-,595,0
,"Livestock multiplication and breeding
centre","19,083,682",-,"19,083,682",-,595,0
,Livestock Value Chain,"23,800,000",-,"23,800,000",-,595,0
,Skills Development,"16,100,000",-,"16,100,000",-,595,0
,,A,B,C=A-B,D=B/A*100,596,0
General Administration,General Administration,"14,400,000","5,209,593","9,190,407",36.2,596,0
,"General Administration and Support
Services- Pastoral Economy","289,737,134","7,736,035","282,001,099",2.7,596,0
Agriculture Programme,"Agri-nutrition/Urban and peri-urban
agriculture","72,800,000",-,"72,800,000",-,596,0
,"Smart agriculture practices (Innova-
tions/technologies to mitigate","24,000,000",-,"24,000,000",-,596,0
,"Agricultural Sector Development
Support Programme (ASDSP)","51,106,056",-,"51,106,056",-,596,0
,Agricultural Mechanization,"17,208,874",-,"17,208,874",-,596,0
,Agric Market Access,"1,100,000",-,"1,100,000",-,596,0
,"Agriculture Extension and Develop-
ment","30,250,000",-,"30,250,000",-,596,0
,Subsidy and Support,"3,600,000",-,"3,600,000",-,596,0
,Pest Control Management,"47,000,000",-,"47,000,000",-,596,0
,NARIGP,"75,000,000",-,"75,000,000",-,596,0
,DRNKP/KfW,"612,590,978","147,590,978","465,000,000",24.1,596,0
,Sub Total,"1,701,041,326","170,205,389","1,530,835,937",10,596,0
"Tourism, Culture and Natural Resources",,,,,,596,0
General Administration,"General Administration, Planning and
Support Services","119,591,279","28,707,792","90,883,487",24,596,0
"Tourism destination market-
ing and promotion","Tourism expos, incentives, confer-
ences and exhibition programs","1,300,000",-,"1,300,000",-,596,0
,Community-Based Tourism products,"1,000,000",-,"1,000,000",-,596,0
,"Tourism Market Research (Baseline
Survey & Mapping)","1,000,000",-,"1,000,000",-,596,0
,"Media Campaigns and Promotion of
Tourism Products and Programmes","800,000",-,"800,000",-,596,0
"Culture, arts, heritage
development, promotion and
preservation",Ushanga Initiative,"52,900,000",-,"52,900,000",-,596,0
,Culture Promotion and Preservation,"3,000,000",-,"3,000,000",-,596,0
"Culture development and
preservation infrastructure","Equipment and Infrastructure Devel-
opment at Ekalees Centre","3,000,000",-,"3,000,000",-,596,0
"Forestry and wildlife man-
agement development and
management","Forestry Management and Conser-
vation","4,000,000",-,"4,000,000",-,596,0
,Community Wildlife Conservation,"1,000,000",-,"1,000,000",-,596,0
,Forest Nature-Based Development,"1,800,000",-,"1,800,000",-,596,0
,Forestry Development Infrastructure,"2,300,000",-,"2,300,000",-,596,0
,Forestry Protection,"1,000,000",-,"1,000,000",-,596,0
,Prosopis Management,"1,000,000",-,"1,000,000",-,596,0
"Heritage Development Pro-
motion & Preservation","Heritage Development Promotion &
Preservation","1,000,000",-,"1,000,000",-,596,0
,Arts & Creativity Development,"900,000",-,"900,000",-,596,0
,,A,B,C=A-B,D=B/A*100,597,0
"Environmental Governance
Compliance Conservation
Protection & Management","Environmental Governance & Com-
pliance","1,000,000",-,"1,000,000",-,597,0
,"Environmental Protection & Conser-
vation","1,300,000",-,"1,300,000",-,597,0
,FLLoCA,"279,500,000","131,000,000","148,500,000",46.9,597,0
,Climate Change & Adaptation,"1,500,000",-,"1,500,000",-,597,0
"Mineral Resource Map-
ping Capacity Building &
management",Mineral Resource Mapping,"2,000,000",-,"2,000,000",-,597,0
,"Management of Mining and Quarry-
ing Activities","3,000,000",-,"3,000,000",-,597,0
,"Capacity Building in the Exploitation
of Mineral Resources","1,600,000",-,"1,600,000",-,597,0
,"Extractives Engagement Bills &
Policies","2,000,000",-,"2,000,000",-,597,0
Petroleum,Oil and Gas,"1,400,000",-,"1,400,000",-,597,0
,"Establishment of Extractive Sector
Regulations & Strategies","2,200,000",-,"2,200,000",-,597,0
"Energy Development Pro-
gramme",Renewable Energy Development,"26,150,000",-,"26,150,000",-,597,0
,Sub Total,"517,241,279","159,707,792","357,533,487",30.9,597,0
"Lands, Energy, Housing and Urban Areas Management",,,,,,597,0
Land Survey,Land and Property Valuation,"5,900,000","950,000","4,950,000",16.1,597,0
,Spatial Infrastructure,"750,000","350,000","400,000",46.7,597,0
,Land Registration,"23,994,585","762,384","23,232,201",3.2,597,0
,Land Policy and Management,"1,050,000","277,050","772,950",26.4,597,0
General Administration,"Lands General Administration, Plan-
ning and Support Services","183,314,644","6,213,762","177,100,882",3.4,597,0
Urban Development,Urban Services,"2,600,000",-,"2,600,000",-,597,0
,Urban Governance and Infrastructure,"25,000,000",-,"25,000,000",-,597,0
,Sub Total,"242,609,229","8,553,196","234,056,033",3.5,597,0
Turkana County Assembly,,,,,,597,0
"Construction of Assembly
Building","Construction of New Assembly
Building","8,540,000","2,184,200","6,355,800",25.6,597,0
,Office of the Speaker,"12,650,000","8,038,293","4,611,707",63.5,597,0
,Partnership and Donor Engagement,"600,000","124,490","475,510",20.7,597,0
,"Sergeant at Arms and Security
Services","10,428,237","4,236,759","6,191,478",40.6,597,0
Speakers Resident,"Construction of the Speaker’s Resi-
dence","61,237,250","45,791,179","15,446,071",74.8,597,0
,Purchase of Land for Construction,"1,206,767","53,088","1,153,679",4.4,597,0
Headquarters,General Administration and Planning,"1,144,215,005","584,965,011","559,249,994",51.1,597,0
,Sub Total,"1,238,877,259","645,393,020","593,484,239",52.1,597,0
Turkana County Public Service Board,,,,,,597,0
"County Internship Pro-
gramme",County Internship Programme,"16,800,600",-,"16,800,600",-,597,0
,,A,B,C=A-B,D=B/A*100,598,0
"Mainstream Public Sector
Integrity Programme &
Accountability","Mainstream Public Sector Integrity
Programme & Accountability","1,000,000",-,"1,000,000",-,598,0
,"Public Evaluation of County Public
Service Board Performance","12,674,582",-,"12,674,582",-,598,0
,"Human Resource Conference &
Symposium","4,300,000",-,"4,300,000",-,598,0
,Exit Meetings Per Department,"2,350,000",-,"2,350,000",-,598,0
,"Assessment and stakeholder capacity
mapping","1,900,000",-,"1,900,000",-,598,0
,Performance Appraisal,"9,980,000",-,"9,980,000",-,598,0
,"Enhancing Leadership In County
Public Service","1,570,900",-,"1,570,900",-,598,0
,"Performance Management
Monitoring","985,430",-,"985,430",-,598,0
,"County Public Service Pre-Retirement
Sensitization","1,198,760",-,"1,198,760",-,598,0
,"Evaluation of Different Cadres of
Employees (Promotion, Re-Designa-
tion)","4,297,654",-,"4,297,654",-,598,0
"Quality Management
Systems","Quality Management Systems Devel-
opment & Establishment","3,500,000",-,"3,500,000",-,598,0
,QMS Audit /Routine Inspection,"974,500",-,"974,500",-,598,0
,"Documentation/Record Management
for QMS","2,014,680",-,"2,014,680",-,598,0
,"Establishment of development
committees","2,217,659",-,"2,217,659",-,598,0
,"Training of the development com-
mittees","5,242,352",-,"5,242,352",-,598,0
,"Formulation and Development of
TCPSB Boardroom ICT Infrastructure","1,190,000",-,"1,190,000",-,598,0
"General Administration and
Support Services",General Administration,"62,416,229","33,913,229","28,503,000",54.3,598,0
,Sub Total,"134,613,346","33,913,229","63,547,106",25.2,598,0
Office of the County Attorney,,,,,,598,0
"General Administration,
Planning and Support
Services","General Administration, Planning and
Support Services- County At","9,170,095","2,195,096","7,452,800",23.9,598,0
Litigation,Litigation,"15,739,125","12,881,800","54,850,000",81.8,598,0
,Govt Agreements & Contracts,"3,450,000","808,000","3,157,500",23.4,598,0
,Legal Audit & Compliance,"1,650,000","463,940","2,875,400",28.1,598,0
Legislation,Legislation,"3,050,000",-,"3,456,107",-,598,0
,Policy & Legal Briefs,"2,275,000","131,400","2,112,000",5.8,598,0
Training of Legal Counsel,Training of Legal Counsel,"2,050,000","406,800","2,135,000",19.8,598,0
,Legal Training & Awareness,"1,800,000","302,000","2,112,851",16.8,598,0
,Sub Total,"39,184,220","17,189,036","78,151,658",43.9,598,0
