Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 31st
December 2023",col_5,"Absorption
Rate (% )",col_7,page_number,table_index
"Management and De-
velopment of Sports and
Sports Facilities",Sports facilities,-,"29,000,000",-,"29,000,000",-,100.0,609,0
"Youth Empowerment and
Development",Youth Empowerment,"2,100,279","33,627,339","464,840",-,22.1,0.0,609,0
,Sub-Total,"108,325,828","159,127,339","51,648,668","43,337,709",47.7,27.2,609,0
Co-operatives and Enterprise Development,,,,,,,,609,0
"Cooperative Development
Services","Cooperative Develop-
ment and Management","40,177,998",-,"18,316,177",-,45.6,-,609,0
,"Cooperatives Develop-
ment Services",-,"6,000,000",-,,-,0.0,609,0
"Community Development
Services","Ward Development
Services",-,"20,000,000",-,-,-,0.0,609,0
"Cooperative Development
Services",Cooperative Credit,-,"53,963,589",-,"4,479,440",-,8.3,609,0
,Sub-Total,"40,177,998","79,963,589","18,316,177","4,479,440",45.6,5.6,609,0
Livestock Development and Fisheries,,,,,,,,609,0
"General Administration,
Planning and Support
Services","Administrative support
services","148,860,593",-,"21,804,327",-,14.6,-,609,0
"Community Development
Services","Ward Development
Services",-,"54,700,000",-,"10,130,774",-,18.5,609,0
Fish Production,"Fish Farming Technol-
ogies",-,"5,200,000",-,"804,100",-,15.5,609,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Re-
cur-
rent
Ex-
pen-
di-
ture","De-
velop-
ment
Expen-
diture",610,0
Governor’s Office,,,,,,,,610,0
"Fisheries Development
and Management","Value addition and
marketing",-,"4,000,000",-,-,-,0.0,610,0
Livestock Development,"Livestock Develop-
ment Services",,"26,977,213",-,-,-,0.0,610,0
,Sub-Total,"148,860,593","90,877,213","21,804,327","10,934,874",14.6,12.0,610,0
"Promotive and Preven-
tive Health",,,,,,,,610,0
"Administration and Sup-
port Services","0504014310 Admin-
istration and Support
Services","20,070,000",-,"6,652,533",-,33.1,-,610,0
"Curative and Rehabilita-
tive Services",Health Services,-,"58,592,204",-,-,-,0.0,610,0
,Sub-Total,"20,070,000","58,592,204",",652,533",-,33.1,0.0,610,0
"Energy, Environment, Climate Change and Natural Resources",,,,,,,,610,0
"Administration and Sup-
port Services","Administration and
Support Services","9,180,000",-,"2,287,185",-,24.9,-,610,0
"Community Development
Services","Ward Development
Services",-,"71,200,000",-,"5,445,050",-,7.6,610,0
Energy services,Energy Services,-,"25,440,008",-,"2,895,640",-,11.4,610,0
"Environmental Conserva-
tion and Management","Environmental Conser-
vation Services",-,"39,001,000",-,,-,0.0,610,0
,"Afforestation,
Re-Afforestation and
Agroforestry",-,"25,000,000",-,"11,332,290",-,45.3,610,0
,Sub-Total,"9,180,000","160,641,008","2,287,185","19,672,980",24.9,12.2,610,0
Eldoret Municipality,,,,,,,,610,0
"General Administration,
Planning and Support
Services","Administrative support
services","105,851,567",-,"45,606,650",-,43.1,-,610,0
"Road Infrastructure Devel-
opment","Roads Infrastructure
Services",-,"128,551,260",-,"65,761,727",-,51.2,610,0
,Sub-Total,"105,851,567","128,551,260","45,606,650","65,761,727",43.1,51.2,610,0
"Partnership, Liaison and Linkages",,,,,,,,610,0
"Partnerships, Liaisons and
Linkages","Partnership, liaisons
and Linkages","59,450,000",-,"49,963,291",-,84.0,-,610,0
,Sub-Total,"59,450,000",-,"49,963,291",-,84.0,-,610,0
"Gender, Social Protection and Culture",,,,,,,,610,0
"General Administration,
Planning and Support
Services","Administrative support
services","13,770,000",-,"9,544,586",-,69.3,-,610,0
"0Community Develop-
ment Services","Ward Development
Services",-,"13,200,000",-,"4,271,666",-,32.4,610,0
Culture and Heritage,"Culture and Heritage
Services","15,300,000","3,110,252","11,889,000",-,77.7,0.0,610,0
"Social Development
Services",Gender Mainstreaming,"2,700,000",-,"925,680",-,34.3,-,610,0
,Social Services,,"18,000,000",-,"14,839,466",-,82.4,610,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Re-
cur-
rent
Ex-
pen-
di-
ture","De-
velop-
ment
Expen-
diture",611,0
Governor’s Office,,,,,,,,611,0
,"Social Protection &
Safety Nets","4,500,000","5,000,000","2,125,530","3,720,029",47.2,74.4,611,0
,Sub-Total,"36,270,000","39,310,252","24,484,796","22,831,161",67.5,58.1,611,0
Housing and Urban Development,,,,,,,,611,0
"Administration and Sup-
port Services","Administration and
Support Services","37,329,246",-,"19,379,215",-,51.9,-,611,0
"Housing Development
Services","Housing Development
Services","55,322,222","199,698,769",,"32,244,820",0.0,16.1,611,0
"Urban Development &
Management Services","Urban Development
and Management
Services","2,938,502","16,700,324",-,"6,124,960",0.0,36.7,611,0
,Sub-Total,"95,589,970","216,399,093","19,379,215","38,369,780",20.3,17.7,611,0
Lands and Physical Planning,,,,,,,,611,0
"Land Management and
Administration","Land Management
and Administration
Services","56,473,755",-,"50,387,556",-,89.2,-,611,0
"Community Development
Services","Ward Development
Services",-,"87,900,000",-,"35,000,000",-,39.8,611,0
Physical Planning Services,"Physical Planning
Services",-,"30,000,000",-,"5,933,354",-,19.8,611,0
"Land Management and
Administration",Survey Services,-,"15,187,174",-,-,-,0.0,611,0
"Land Management and
Administration","Land Management
and Administration
Services",-,"20,000,000",-,-,-,0.0,611,0
,Sub-Total,"56,473,755","153,087,174","50,387,556","40,933,354",89.2,26.7,611,0
"Water, Irrigation and Sanitation",,,,,,,,611,0
"Environmental Conserva-
tion and Management","Climate Change
Services",-,"60,000,000",-,-,-,-,611,0
"Community Development
Services","Ward Development
Services",-,"241,400,000",-,"48,351,705",-,20.0,611,0
"Water and Sanitation
Development Services","Water Development
Services","174,025,346",-,"76,934,694",-,44.2,-,611,0
Water Services,"Water Supply Devel-
opment",-,"225,250,552",-,"4,969,285",-,2.2,611,0
,Sub-Total,"174,025,346","526,650,552","76,934,694","53,320,990",44.2,10.1,611,0
Office of the County Attorney,,,,,,,,611,0
Legal Services,Legal Services,"10,725,857",-,"4,420,495",-,41.2,-,611,0
,Sub-Total,"10,725,857",-,"4,420,495",-,41.2,-,611,0
Grand Total,,"7,057,152,476","3,190,155,012","3,221,361,741","860,708,301",45.6,27.0,611,0
