Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,col_8,page_number,table_index
"General Adminis-
tration, Planning
and Support
Services","General Adminis-
tration, Planning
and Support
Services","66,007,004",-,"18,616,023",-,28,,,555,0
"Ethics, Gover-
nance and com-
pliance","Ethics, Gov-
ernance and
compliance","1,806,960",,"934,400",,,,,555,0
"Skills and compe-
tency develop-
ment","Skills and compe-
tency develop-
ment","1,578,824",-,"659,800",-,42,,,555,0
"Human Resource
management and
development","Human Resource
management and
development","3,962,316",-,"605,800",-,15,,,555,0
,Grand Total,"73,355,104",-,"20,816,023",-,28,,,555,0
"Trade, Tourism and co-operative
development",,,,,,,,,555,0
"Trade, weights and
measures","Trade, weights
and measures","66,699,849","132,000,000","3,425,400",,5,0,,555,0
"Tourism promo-
tion","Tourism promo-
tion","8,899,849",,"2,472,297",-,28,,,555,0
"Cooperative
Development","Cooperative
Development","8,000,000",,"779,049",-,10,,,555,0
,Grand Total,"83,599,698","132,000,000","6,676,746",-,8,0,,555,0
Agriculture and Rural Development,,,,,,,,,555,0
"Agricultural Devel-
opment",Crop Husbandry,"6,969,666",,"2,399,800",,34,,,555,0
,"Plant Disease
Control","1,600,000",,"699,906",,44,,,555,0
,"Agricultural
Mechanization
Services(AMS)","24,614,500",,"4,532,900",,18,,,555,0
,UCSAP,"20,000,000",,,,0,,,555,0
,ASDSP,"5,000,000",,,,0,,,555,0
,FAO,"1,245,700",,"399,900",,32,,,555,0
,Development,-,"600,000,000",-,,,,,555,0
,Sub-Total,"59,429,866","600,000,000","8,032,506",-,14,,,555,0
"Fisheries Develop-
ment","General Adminis-
tration, Planning
and Support
Services","1,887,000",-,,-,0,,,555,0
,"Empowerment of
women and youth
on fish safety and
quality assurance","1,520,000",-,"93,500",-,6,,,555,0
,"Construction of
ice plant and cold
storage","16,202,370",-,,"4,986,536",0,,,555,0
,Development,-,"134,727,370",,,,,,555,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",,556,0
,Sub-Total,"19,609,370","134,727,370","93,500","4,986,536",0,0.037,,556,0
"Veterinary Ser-
vices","General Adminis-
tration, Planning
and Support
Services","2,612,372",-,,-,0,,,556,0
,Extension services,"38,072,388",-,"244,133",-,1,,,556,0
,"Breed improve-
ment and artificial
insemination","2,468,872",-,,-,0,,,556,0
,"Veterinary Public
Health/Abattoirs","1,118,500",-,"125,355",-,11,,,556,0
,"Leather Develop-
ment Services","26,182,846",-,"149,300",-,1,,,556,0
,"Control Tsetse fly
and Laboratory
Services","2,685,000",-,"112,000",-,4,,,556,0
,"Conduct disease
surveillance and
carry out timely
vaccination","15,382,000","43,875,087","189,292",-,1,,,556,0
,Sub-Total,"88,521,978","43,875,087","820,080",-,1,,,556,0
Livestock,"General Adminis-
tration, Planning
and Support
Services","7,766,440",,"2,452,111",,32,,,556,0
,"Livestock Exten-
sion Services","1,805,000","12,000,000","382,250",,21,,,556,0
,Animal Husbandry,"1,292,500","145,100,000","514,100",-,40,,,556,0
,Sub-Total,"10,863,940","157,100,000","3,348,461",-,31,,,556,0
,Grand Total,"178,425,154","935,702,457","12,294,547","4,986,536",7,,,556,0
"Gender, Social Service and Youth
Development",,,,,,,,,556,0
Child Protection.,"Baseline Survey
for OVC","3,700,000",-,"262,000",-,7,,,556,0
,"Community
Awareness
creation on Child
Rights and Child
Protection","2,000,000",-,,-,0,,,556,0
,"Enhanced Child
Participation","700,000",-,,-,0,,,556,0
"Social Devel-
opment and
Protection.","Women empow-
erment","1,050,000",-,"61,800",-,6,,,556,0
,"Gender and Lead-
ership","11,450,000",-,,-,0,,,556,0
,"Youth Empower-
ment",-,"50,000,000",-,"4,267,165",,,,556,0
"Sports Training
and Competitions","county Sports
leagues","7,193,447",-,"1,371,870",-,19,,,556,0
,"Sports equipment
and support","2,000,000",-,,-,0,,,556,0
,Sub-Total,"28,093,447","50,000,000","1,695,670","4,267,165",6,,,556,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",,557,0
"Culture and art
development","Culture Promotion
and Development","11,750,000",-,"1,549,460",-,13,,,557,0
,"Empowerment/
Capacity building
of cultural practi-
tioners","5,500,000",-,"242,000",-,4,,,557,0
,Sub-Total,"17,250,000",-,"1,791,460",-,10,,,557,0
"General adminis-
tration, support
and planning","General adminis-
tration, support
and planning","7,340,000",-,"472,700",-,6,,,557,0
,Sub-Total,"7,340,000",-,"472,700",-,6,,,557,0
,Grand Total,"52,683,447","50,000,000","3,959,830","4,267,165",8,,,557,0
"Education, Vocational training and
ECDE",,,,,,,,,557,0
"Early Child care
services","ECDE quality edu-
cation standards
service","500,000",-,"65,200",-,13,,,557,0
,"ECDE Access and
Retention Services","20,300,000","27,000,000",,"2,789,000",0,,,557,0
,Sub Total,"20,800,000","27,000,000","65,200","2,789,000",0,,,557,0
"Vocational Train-
ing Services","VTC quality
standards training
services","3,010,342",-,"2,465,500",-,82,,,557,0
,"Free VTC educa-
tion and training","56,156,327",,,-,0,,,557,0
,Sub Total,"59,166,669",-,"2,465,500",-,4,,,557,0
"General Adminis-
tration, Planning
and support
services","General Adminis-
tration, Planning
and support
services","160,800,000",-,"78,188,100",-,49,,,557,0
,Sub-Total,"160,800,000",-,"78,188,100",-,49,,,557,0
"VTC access and re-
tention of training",Development,,"171,535,447",,"5,895,000",,,,557,0
,Sub Total,-,"171,535,447",-,"5,895,000",,,,557,0
,Grand Total,"240,766,669","198,535,447","80,718,800","8,684,000",34,,,557,0
Health and Sanitation,,,,,,,,,557,0
"Curative and
Rehabilitative",Medical Supplies,"160,650,000",-,"64,792,130",-,40,,,557,0
,Medical Services,"33,200,000","242,200,000","12,060,235","5,115,409",36,,,557,0
,"Ambulance
services","10,700,000",-,"4,637,236",-,43,,,557,0
"Preventive and
Promotive","Preventive and
Promotive","17,050,041",-,"6,214,999",-,36,,,557,0
,Mobile clinics,"5,800,000",,"1,438,188",,,,,557,0
,"Licensing and
control of under-
taking","9,045,859",-,"4,200,593",-,46,,,557,0
,Sub Total,"236,445,900","242,200,000","93,343,381","5,115,409",39,,,557,0
"General Adminis-
tration, Planning
and support
services","General Adminis-
tration, Planning
and support
services","961,115,377",,"367,715,327",-,38,,,557,0
,Development,-,,-,-,,,,557,0
,Sub Total,"961,115,377",-,"367,715,327",-,38,,,557,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",,558,0
,Grand Total,"1,197,561,277","242,200,000","461,058,707","5,115,409",78,,,558,0
Special Programme,,,,,,,,,558,0
"Drought manage-
ment (Prepared-
ness, Response,
Mitigation and
Recovery","Drought contin-
gency","2,000,000",-,"1,000,000",-,50,,,558,0
,"Disaster Risk Man-
agement Fund","139,202,243",-,"68,801,121",-,49,,,558,0
"Social protection
and response to
other disasters","Food distribution
and rations","3,032,392",-,"729,100",-,24,,,558,0
,Sub-Total,"144,234,635",-,"70,530,221",-,49,,,558,0
"General Adminis-
tration, Planning
and Support
Services","General Adminis-
tration, Planning
and Support
Services","6,000,000",-,,-,0,,,558,0
,Sub-Total,"6,000,000",-,-,-,0,,,558,0
,Grand Total,"150,234,635",-,"70,530,221",-,47,,,558,0
Roads and public works,,,,,,,,,558,0
"County Roads
Development","Routine mainte-
nance","3,628,330","124,000,000","1,202,000","5,421,924",33,,,558,0
,"Opening of new
roads","1,877,733",,"514,800",-,27,,,558,0
,"Grading, Murrum-
ing and tarmack-
ing","1,645,000",-,"498,910",-,30,,,558,0
,"Monitoring and
Evaluation","1,849,133",,"355,800",,19,,,558,0
,Sub-Total,"9,000,196","124,000,000","2,571,510","5,421,924",29,,,558,0
"Public works and
services","Public works and
services","24,536,780","501,782,356","2,188,037",-,9,,,558,0
,Sub Total,"24,536,780","501,782,356","2,188,037",-,9,,,558,0
"General Admin-
istration and
Support Services","General Admin-
istration and
Support Services","34,451,763",,"1,322,600",,4,,,558,0
,Sub-Total,"34,451,763",-,"1,322,600",-,4,,,558,0
,Grand Total,"67,988,739","625,782,356","6,082,147","5,421,924",41,-,,558,0
"Water, Environment and Natural
Resources",,,,,,,,,558,0
"Environment
Management","Environmental
Protection","35,552,415",,,,0,,,558,0
,"Environmental
Protection","9,863,077","50,000,000","777,058",-,8,,,558,0
,"Control of Air
Pollution","2,795,484",,,,0,,,558,0
,"Solid Waste Man-
agement","11,098,615",,"6,169,300",,56,,,558,0
,Sub-Total,"59,309,591","50,000,000","6,946,358",-,12,,,558,0
"General adminis-
tration, planning
support","General adminis-
tration, planning
support","34,780,511",,"4,071,826",,12,,,558,0
,Sub-Total,"34,780,511",-,"4,071,826",-,12,,,558,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",,559,0
Water Services,"Water Manage-
ment services","12,208,476",,"2,949,623","2,505,991",24,,,559,0
,"Water Sanitation
& Hygiene","3,767,316","249,500,000","741,550",-,20,,,559,0
,"Storm Water
Management","3,010,744",,"270,100",,9,,,559,0
"Energy Develop-
ment",Energy,"1,970,640",,"175,200",,9,,,559,0
,Sub-Total,"20,957,176","249,500,000","4,136,473","2,505,991",20,0.01,,559,0
,Grand Total,"115,047,278","299,500,000","15,154,657","2,505,991",13,0.01,,559,0
Public service and administration,,,,,,,,,559,0
"General Adminis-
tration, support
and planning","General Adminis-
tration, support
and planning","1,178,788,666",-,"411,006,202",,35,,,559,0
"Human Resource
& Development","Performance man-
agement system","4,200,000",-,"2,216,947",,53,,,559,0
,"Human resource
development","138,629,351",-,"30,431,400",,22,,,559,0
"County Adminis-
tration",Administration,"62,100,000","50,000,000","2,357,199",-,4,,,559,0
,Enforcement,"12,500,000",-,"1,538,600",,12,,,559,0
"Citizen Participa-
tion","Citizen Participa-
tion","6,100,000",-,"827,283",,14,,,559,0
,Sub Total,"1,402,318,017","50,000,000","448,377,631",-,32,0,,559,0
Grand Total,,"1,402,318,017","50,000,000","448,377,631",-,32,-,,559,0
Lands and physical planning,,,,,,,-,,559,0
"General Adminis-
tration, Planning
and support
services","General Adminis-
tration, Planning
and support
services","4,503,188",-,"51,250",,1,-,,559,0
"Land Policy and
Planning",Physical Planning,"22,438,245","64,000,000","12,466,426",,56,-,,559,0
,"Survey, Mapping
and GIS","6,077,817","30,000,000","1,866,500","1,218,126",31,-,,559,0
,"Land Administra-
tion","6,574,500",-,"2,111,700",,32,-,,559,0
,Grand Total,"39,593,750","94,000,000","16,495,876","1,218,126",42,-,,559,0
County Assembly,,,,,,,,,559,0
"General Admin-
istration and
Support Services","General Admin-
istration and
Support Services","677,653,973","330,783,780","320,401,565","108,708,038",47,33,,559,0
,Sub-Total,"677,653,973","330,783,780","320,401,565","108,708,038",47,33,,559,0
Hola Municipality,,,,,,,,,559,0
"General Admin-
istration and
Support Services","General Admin-
istration and
Support Services","36,450,000","50,000,000","6,674,842",,18,0,,559,0
,Sub-Total,"36,450,000","50,000,000","6,674,842",-,18,0,,559,0
Grand Total,,"5,215,039,607","3,654,458,259","1,989,064,617","469,509,140",38,13,,559,0
