Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
County Treasury and Economic Planning and Special Programme and ICT and Cohesion,,,,,,,,152,0
"Public
financial
manage-
ment","Administrative Ser-
vices","76,532,103",,"35,573,598",,46.5,∞,152,0
,"Supply Chain Manage-
ment Services","119,601,053","286,691,868","41,824,520","25,924,246",35.0,9.0,152,0
,Accounting Services,"34,611,849",,"17,257,029",,49.9,∞,152,0
,Sub-Total,"230,745,005","286,691,868","94,655,147","25,924,246",41.0,9.0,152,0
"Disaster
Pre-
paredness
Prevention
Response &
Recovery","General Adminis-
tration Planning &
Support Services","31,000,000",,"14,000,000",,45.2,∞,152,0
,"Coordination Training
& Capacity Develop-
ment","10,889,248",,"3,026,300",,27.8,∞,152,0
,"Disaster Risk Aware-
ness Preparedness &
Management","163,400,000",,"50,004,000",,30.6,∞,152,0
,Social Protection,"30,350,000","110,000,000","10,000,000","50,000,500",32.9,45.5,152,0
,Sub-Total,"235,639,248","110,000,000","77,030,300","50,000,500",32.7,45.5,152,0
"Economic
Planning
and Coordi-
nation ion","Monitoring and Eval-
uation","15,995,240",,"4,944,185",,30.9,∞,152,0
,"Budget Formulation &
Coordination","17,321,489","4,000,000","10,471,400",0,60.5,0.0,152,0
,"Monitoring & Eval-
uation","13,821,730",,"7,826,400",,56.6,∞,152,0
,Sub-Total,"47,138,459","4,000,000","23,241,985",0,49.3,0.0,152,0
,,,,,,,128,152,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",153,0
"Cohesion
and Peace
Building","Administrative and
Civic Education
Services","6,074,000",,"74,000",,1.2,∞,153,0
,Peace and Cohesion,"6,987,503",,"2,098,100",,30.0,∞,153,0
,"Violent Extrem-
ism Prevention","8,805,266",,"3,890,600",,44.2,∞,153,0
,Sub-Total,"21,866,769",0,"6,062,700",0,27.7,∞,153,0
"Revenue
Enhance-
ment","General Adminis-
tration Planning &
Support Services","20,035,000",,"9,117,500",,45.5,∞,153,0
,"Source Revenue En-
hancement","8,755,000","1,000,000","3,150,500","500,000",36.0,50.0,153,0
,Sub-Total,"28,790,000","1,000,000","12,268,000","500,000",42.6,50.0,153,0
"ICT and
E-Gov-
ernment
services","ICT Innovation and
Enterprises","6,015,000",,"7,500",,0.1,∞,153,0
,"County Government
Public Image Improve-
ment","3,990,000",,"1,478,000",,37.0,∞,153,0
,"E- Government Ser-
vices",,"27,000,000",,0,∞,0.0,153,0
,Sub-Total,"10,005,000","27,000,000","1,485,500",0,14.8,0.0,153,0
,Total,"574,184,481","428,691,868","214,743,632","76,424,746",37.4,17.8,153,0
"Lands, Urban Planning, Roads, Housing and Public Works",,,,,,,,153,0
"Land
Survey and
land use
planning","County land planning
and spatial develop-
ment","10,587,020",,"3,744,510",,35.4,∞,153,0
,Land Use Planning,"4,912,980","54,080,782","1,035,000","3,000,000",21.1,5.5,153,0
,"Land Survey & Map-
ping","3,100,000",,"100,000",,3.2,∞,153,0
,Sub-Total,"18,600,000","54,080,782","4,879,510","3,000,000",26.2,5.5,153,0
"Roads &
Infrastruc-
ture",Road Improvement,"10,080,000",,"4,287,000",,42.5,∞,153,0
,"Routine Roads Main-
tenance","2,561,000",,"1,503,500",,58.7,∞,153,0
,Sub-Total,"12,641,000",,"5,790,500",0,45.8,∞,153,0
"Planning
and Survey
of Urban
Areas (Mo-
dogashe and
Ol ndony-
iro)","Administration and
Planning Services","110,000",,"23,743",,21.6,∞,153,0
,Housing Development,"2,550,000",,"810,000",,31.8,∞,153,0
,Urban Development,,"3,000,000",,0,∞,0.0,153,0
,Sub-Total,"2,660,000","3,000,000","833,743",0,31.3,0.0,153,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",154,0
"Public
Works &
Infrastruc-
ture","General Adminis-
tration Planning &
Support Services","10,193,160",,"3,001,018",,29.4,∞,154,0
,"Routine Roads Main-
tenance",,"100,511,280",,0,∞,0.0,154,0
,Sub-Total,"10,193,160","100,511,280","3,001,018",,29.4,0.0,154,0
,Total,"44,094,160","157,592,062","14,504,771","3,000,000",32.9,1.9,154,0
"Agriculture, Livestock, Veterinary and Fisheries",,,,,,,,154,0
"Sustainable
Crop Devel-
opment &
Agricultural
Land Use","General Adminis-
tration Planning &
Support Services","47,722,420",,"23,506,209",,49.3,∞,154,0
,Irrigation Schemes,"585,100","300,000","185,100",0,31.6,0.0,154,0
,"Crop Development &
Management","3,095,591","299,415,435","826,800","2,000,000",26.7,0.7,154,0
,"Agribusiness & Mar-
ket Development","1,070,000",0,"515,000",,48.1,∞,154,0
,Sub-Total,"52,473,111","299,715,435","25,033,109","2,000,000",47.7,0.7,154,0
"Livestock
Production","General Adminis-
tration Planning &
Support Services","92,721,352",0,"44,879,124",,48.4,∞,154,0
,"Rangeland Rehabilita-
tion & Management","2,481,083",0,"450,000",,18.1,∞,154,0
,"Marketing & Value
Addition",,"200,000,000",,0,∞,0.0,154,0
,"Breeds Improvement
& Livestock Risk Mgt",,"17,743,151",,0,∞,0.0,154,0
,"Livelihood Diversifi-
cation",,"1,044,000",,0,∞,0.0,154,0
,Sub-Total,"95,202,435","218,787,151","45,329,124",0,47.6,0.0,154,0
"Value Addi-
tion","Livestock Diseases &
Pests Control","15,000,000",,"8,769,600",,58.5,∞,154,0
,"Diagnostics & Labora-
tory Services","600,000",,0,,0.0,∞,154,0
,"Veterinary Public
Health Services","3,875,000",,"2,032,750",,52.5,∞,154,0
,Sub-Total,"19,475,000",0,"10,802,350",0,55.5,∞,154,0
"Fisheries
Develop-
ment","General Adminis-
tration & Support
Services","4,324,240",,"1,236,488",0,28.6,∞,154,0
,"Aquaculture Technol-
ogy Development &
Innovation Transfer","181,000","2,753,000","96,000",0,53.0,0.0,154,0
,"Fish Safety Assurance
Value Addition &
Marketing","1,940,000",,"775,000",0,39.9,∞,154,0
,Sub-Total,"6,445,240","2,753,000","2,107,488",,32.7,0.0,154,0
,Total,"173,595,786","521,255,586","83,272,071","2,000,000",48.0,0.4,154,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",155,0
"Education, Youth, Sports, and Gender, Culture and Social Services",,,,,,,,155,0
"Provision of
education
and training
services","General Adminis-
tration & Support
Services","153,887,827",,"25,648,335",,16.7,∞,155,0
,ECDE Retention,"7,000,000",,"6,000,000",,85.7,∞,155,0
,"Education Support
Services","76,703,184",0,"768,700","37,500,000",1.0,∞,155,0
,"Quality ECDE Ser-
vices","745,035",0,"370,000",,49.7,∞,155,0
,ECDE Access,,"23,400,000",,,#DIV/0!,0.0,155,0
,Sub-Total,"238,336,046","23,400,000","32,787,035","37,500,000",13.8,160.3,155,0
"Youth,
Sports and
Gender","Sports Performance &
Management","7,255,600",,"2,438,800",,33.6,∞,155,0
,"General Adminis-
tration Planning &
Support","7,732,080",,"5,000",,0.1,∞,155,0
,Youth Development,"8,024,199",0,"3,050,000",0,38.0,∞,155,0
,"Sports Facilities De-
velopment",,"6,000,000",,0,#DIV/0!,0.0,155,0
,Sub-Total,"23,011,879","6,000,000","5,493,800",0,23.9,0.0,155,0
"Culture
and social
services","Administration &
Support Services","16,900,280",,"7,129",,0.0,∞,155,0
,"Arts & Culture Devel-
opment","900,000","12,025,011","449,500",0,49.9,0.0,155,0
,Sub-Total,"17,800,280","12,025,011","456,629",0,2.6,0.0,155,0
"Gender
Main-
streaming","Gender-Based
Violence & Harmful
Practices","1,380,000",,"627,600",0,45.5,∞,155,0
,Women Empowerment,"220,000",0,"110,000",0,50.0,∞,155,0
,Child Protection,,"2,000,000",,"2,000,000",∞,100.0,155,0
,Sub-Total,"1,600,000","2,000,000","737,600","2,000,000",46.1,100.0,155,0
"Disability
Empower-
ment","PWDs Social-Eco-
nomic Empowerment","2,696,484",0,"1,100,000",,40.8,∞,155,0
,Sub-Total,"2,696,484",0,"1,100,000",0,40.8,#DIV/0!,155,0
"Cultural
and Arts
Empower-
ment","TVET Access &
Retention","248,157","10,875,185","99,950","2,175,000",40.3,20.0,155,0
,"VTC Quality Devel-
opment","2,531,843",,"588,000",,23.2,∞,155,0
,"Secondary & and
Tertiary Education
Support",,"1,465,185",,,∞,0.0,155,0
,Sub-Total,"2,780,000","12,340,370","687,950","2,175,000",24.7,17.6,155,0
,Total,"286,224,689","55,765,381","41,263,014","41,675,000",14.4,74.7,155,0
"Tourism, Culture and Trade including PSM",,,,,,,,155,0
"Tourism
Promotion","Tourism Promotion
and Marketing","123,926,330",,"51,418,197",,41.5,∞,155,0
131,,,,,,,,155,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",156,0
,Tourism Development,"700,000",,"1,099,600",,157.1,∞,156,0
,Wildlife Protection,,"8,000,000",,0,∞,0.0,156,0
,Sub-Total,"124,626,330","8,000,000","52,517,797",0,42.1,0.0,156,0
"Trade devel-
opment and
promotion","Entrepreneurship and
business management
training","3,407,867",,"1,216,000",,35.7,∞,156,0
,"General Adminis-
tration & Support
Services","12,693,520",,"70,796",,0.6,∞,156,0
,"Co-operative Develop-
ment & Management","2,200,000",,"393,600",,17.9,∞,156,0
,"Development of new
market stalls",,"30,000,000",,0,∞,0.0,156,0
,Sub-Total,"18,301,387","30,000,000","1,680,396",0,9.2,0.0,156,0
"Peace and
Unity Build-
ing Initia-
tives","General Adminis-
tration Planning &
Support Services","166,510,090",,"48,833,807",,29.3,∞,156,0
,County Administration,"25,934,954",,"10,397,900",,40.1,∞,156,0
,"Public Service Produc-
tivity & Reforms","181,752,720",,"62,587,238",,34.4,∞,156,0
,"Performance Manage-
ment Framework","9,437,000","6,000,000","6,133,220",0,65.0,0.0,156,0
,Devolved Units,"7,575,000",0,"2,726,800",0,36.0,∞,156,0
,Sub-Total,"391,209,764","6,000,000","130,678,965",0,33.4,0.0,156,0
"Civic Ed-
ucation &
Public Par-
ticipation","General Adminis-
tration Planning &
Support Services","5,010,000",-,"35,000",,0.7,∞,156,0
,Civic Education,"1,460,000",,"550,000",,37.7,∞,156,0
,Public Participation,"1,750,000",-,"732,900",,41.9,∞,156,0
,Customer Service,"950,000",,"150,000",,15.8,∞,156,0
,Sub-Total,"9,170,000",,"1,467,900",0,16.0,∞,156,0
,Total,"543,307,481","44,000,000","186,345,058",,34.3,0.0,156,0
"Water, Energy, Environment and Natural Resources Management",,,,,,,,156,0
"Water
Supply and
Storage
Services","Procurement of survey
equipment and acces-
sories","30,021,320",,"12,990,635",,43.3,∞,156,0
,"Rural Water Supply &
Storage Services","12,699,573","93,316,619","2,461,976","13,763,268",19.4,14.7,156,0
,"Rural Water Services
Governance","750,000","4,000,000","146,000",0,19.5,0.0,156,0
,"Adaptive Capacity to
Natural Disaster","3,000,000",,0,,0.0,∞,156,0
,Sub-Total,"46,470,893","97,316,619","15,598,611","13,763,268",33.6,14.1,156,0
"Climate
Change Mit-
igation &
Adaptation","General Adminis-
tration & Support
Services","19,565,040",,"9,723,265",,49.7,∞,156,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",157,0
,"Enabling Legal & Im-
plementation Frame-
works","1,006,732",,"502,200",,49.9,∞,157,0
,"Inclusive Climate
Resilience","800,000",,"295,400",,36.9,∞,157,0
,"Climate Smart Prac-
tices","2,270,000","177,870,282","200,000","11,000,000",8.8,6.2,157,0
,Sub-Total,"23,641,772","177,870,282","10,720,865","11,000,000",45.3,6.2,157,0
"Conserva-
tion of En-
vironment
& Natural
Resources","Administration and
Support Services","20,000",,"36,000",,180.0,∞,157,0
,"Sustainable Natural
Resources Exploita-
tion","2,020,000",0,"786,200",0,38.9,∞,157,0
,"Environmental Con-
servation","550,000",,"150,000",,27.3,∞,157,0
,Sub-Total,"2,590,000",0,"972,200",0,37.5,∞,157,0
"Energy
services","General Adminis-
tration & Support
Services","135,000",,"77,000",,57.0,∞,157,0
,"Green Energy Promo-
tion","3,790,000",,"604,500",,15.9,∞,157,0
,"Renewable Energy
Technologies",,"4,000,000",,0,∞,0.0,157,0
,Sub-Total,"3,925,000","4,000,000","681,500",,17.4,0.0,157,0
,Total,"76,627,665","279,186,901","27,973,176","24,763,268",36.5,8.9,157,0
Health Services,,,,,,,,157,0
"Health
Curative
Services","Administration Sup-
port Services",0,,"1,013,400",,∞,∞,157,0
,"Human Resource
Management","968,741,288",,"475,790,177",,49.1,∞,157,0
,"Monitoring & Eval-
uation","4,071,674",,"1,476,788",,36.3,∞,157,0
,"Quality Assurance &
Standards","4,402,000",,"1,083,200",,24.6,∞,157,0
,"Curative and Rehabili-
tative Health Services","37,248,592","42,476,986","12,803,527","4,658,954",34.4,11.0,157,0
,"Pharmaceutical &
Pharmaceutical Com-
modities","143,717,960",,"39,655,655",,27.6,∞,157,0
,Sub-Total,"1,158,181,514","42,476,986","531,822,747","4,658,954",45.9,11.0,157,0
"Health Pre-
ventive and
Promotive
Services","Preventive and Promo-
tive Health Services",0,,"898,000",,∞,∞,157,0
,"Human Resource
Management","119,068,341",,"58,652,942",,49.3,∞,157,0
,Primary Health Care,"46,311,079","57,399,145","2,149,600","4,698,375",4.6,8.2,157,0
,Nutrition,"2,502,646",,"611,620",,24.4,∞,157,0
