Program,Sub Program,Description,Approved Estimates,col_4,"Actual Expenditure as of 31st
December, 2023",col_6,Absorption Rate (%),col_8,page_number,table_index
,,Sub Total,"1,390,649,854.00","1,122,142,939.00","487,161,130.55","337,809,612.00",35.0,30.1,248,0
"5082-Kisumu - Department of Infrastructure, Energy and Public Works",,,,,,,,,248,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,"Develop-
ment",,,248,0
201005082,,,"96,000,000.00","443,400,000.00","48,000,000.00","28,000,000.00",50.0,6.3,248,0
,201025060,"Road construc-
tion and mainte-
nance services","96,000,000.00","443,400,000.00","48,000,000.00","28,000,000.00",50.0,6.3,248,0
205005082,,,"6,000,000.00","66,800,000.00","2,787,190.00",0,46.5,0.0,248,0
,205025060,,"6,000,000.00","66,800,000.00","2,787,190.00",0,46.5,0.0,248,0
207005082,,,"26,051,994.00",0,"8,858,496.00",0,34.0,,248,0
,207045060,"Mechanical Engi-
neering Services","23,551,994.00",0,"8,858,496.00",0,37.6,,248,0
,207015060,Public Works,"2,500,000.00",0,0,0,0.0,,248,0
304005082,,,"123,056,493.00",0,"54,757,633.45",0,44.5,,248,0
,304015060,"Administration
planning","123,056,493.00",0,"54,757,633.45",0,44.5,,248,0
,,Sub Total,"251,108,487.00","510,200,000.00","114,403,319.45","28,000,000.00",45.6,5.5,248,0
"5067-Kisumu - Department of Lands, Housing and Physical Planning",,,,,,,,,248,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,"Develop-
ment",,,248,0
103005067,,,"13,150,000.00",0,"2,597,850.00",0,19.8,,248,0
,103015060,"Physical planning
services","13,150,000.00",0,"2,597,850.00",0,19.8,,248,0
,103025060,"county housing
management",0,0,0,0,,,248,0
109005067,,,"6,850,000.00",0,"2,165,000.00",0,31.6,,248,0
,109015060,"Urban planning
and development","6,850,000.00",0,"2,165,000.00",0,31.6,,248,0
201005067,,,"101,272,041.00","450,000,000.00","40,732,336.65",0,40.2,0.0,248,0
,201015060,"General admin-
istration and
planning","101,272,041.00","450,000,000.00","40,732,336.65",0,40.2,0.0,248,0
,,Sub Total,"121,272,041.00","450,000,000.00","45,495,186.65",0,37.5,0.0,248,0
"5085-Kisumu - Department of Medical Services, Public Health and Sanitation",,,,,,,,,248,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,"Develop-
ment",,,248,0
401005085,,,"600,000.00",0,0,0,0.0,,248,0
,401035060,"Disease surveil-
lance","600,000.00",0,0,0,0.0,,248,0
402005085,,,"2,480,000.00",0,"345,500.00",0,13.9,,248,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",249,0
,402025060,"Elimination of
communicable
and non-commu-
nicable disease","360,000.00",0,"119,700.00",0,33.3,,249,0
,402035060,"Reproductive
Health","1,760,000.00",0,"85,800.00",0,4.9,,249,0
,402015060,Essential Service,"360,000.00",0,"140,000.00",0,38.9,,249,0
403005085,,,"3,151,800,741.00",0,"1,213,065,727.70",0,38.5,,249,0
,403035060,"Governance and
leadership","423,646,001.00",0,"173,961,241.90",0,41.1,,249,0
,403045060,"Human Resourc-
es for Health","2,728,154,740.00",0,"1,039,104,485.80",0,38.1,,249,0
404005085,,,"39,050,398.00",0,"19,170,283.00",0,49.1,,249,0
,404015060,"Primary Health-
care Services","39,050,398.00",0,"19,170,283.00",0,49.1,,249,0
405005085,,,"11,132,698.00",0,"4,594,683.00",0,41.3,,249,0
,405015060,"Health Promotive
Services","11,132,698.00",0,"4,594,683.00",0,41.3,,249,0
407005085,,,"90,000,000.00","25,000,000.00","30,000,000.00",0,33.3,0.0,249,0
,407015060,"Jaramogi Oginga
Odinga Teaching
and Referral
Hospital","90,000,000.00","25,000,000.00","30,000,000.00",0,33.3,0.0,249,0
408005085,,,"42,000,000.00",0,"14,924,278.00",0,35.5,,249,0
,408015060,"Kisumu County
Referral Hospital","42,000,000.00",0,"14,924,278.00",0,35.5,,249,0
409005085,,,"42,000,000.00","211,174,534.00","20,922,110.00",0,49.8,0.0,249,0
,409015060,"County and
Sub-County Hos-
pital Services","42,000,000.00","211,174,534.00","20,922,110.00",0,49.8,0.0,249,0
514005085,,,"2,000,000.00",0,"222,600.00",0,11.1,,249,0
,514015060,"Routine Nutri-
tional Survey","2,000,000.00",0,"222,600.00",0,11.1,,249,0
,,Sub Total,"3,381,063,837.00","236,174,534.00","1,102,562,042.70",0,32.6,0.0,249,0
"5086-Kisumu - Department of Sports, Culture, Gender and Youth Affairs",,,,,,,,,249,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,"Develop-
ment",,,249,0
101005086,,,"91,056,101.00","22,561,013.00","39,382,591.60",0,43.3,0.0,249,0
,101015060,"Planning and
Coordination
Services","91,056,101.00","22,561,013.00","39,382,591.60",0,43.3,0.0,249,0
103005086,,,"1,078,875.00",0,"229,375.00",0,21.3,,249,0
,103015060,"Physical planning
services","1,078,875.00",0,"229,375.00",0,21.3,,249,0
301005086,,,"14,053,355.00",0,"1,594,625.00",0,11.3,,249,0
,301015060,"Infrastructure
Development","14,053,355.00",0,"1,594,625.00",0,11.3,,249,0
304005086,,,"32,267,690.00",0,"14,061,065.00",0,43.6,,249,0
,304015060,"Administration
planning","32,267,690.00",0,"14,061,065.00",0,43.6,,249,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",250,0
502005086,,,"1,020,000.00","100,000,000.00","366,433.40",0,35.9,0.0,250,0
,502025060,"Youth Training
Facilities","1,020,000.00","100,000,000.00","366,433.40",0,35.9,0.0,250,0
504005086,,,"2,373,000.00",0,"451,000.00",0,19.0,,250,0
,504015060,"Gender &
Disability Main-
streaming","577,500.00",0,0,0,0.0,,250,0
,504025060,"Social Dev.
Facilities","1,795,500.00",0,"451,000.00",0,25.1,,250,0
506005086,,,"26,554,385.00","5,000,000.00","10,382,285.00",0,39.1,0.0,250,0
,506015060,"Sports Manage-
ment","4,274,375.00","5,000,000.00","901,300.00",0,21.1,0.0,250,0
,506025060,"Talent Develop-
ment","22,280,010.00",0,"9,480,985.00",0,42.6,,250,0
507005086,,,"7,943,400.00",0,"2,143,758.00",0,27.0,,250,0
,507015060,Sports Academy,"7,943,400.00",0,"2,143,758.00",0,27.0,,250,0
907005086,,,"14,726,825.00",0,"3,538,350.00",0,24.0,,250,0
,907025060,"Artistic Talent
Development","2,798,625.00",0,"789,850.00",0,28.2,,250,0
,907015060,"Culture and
Heritage Devel-
opment","11,928,200.00",0,"2,748,500.00",0,23.0,,250,0
,,Sub Total,"191,073,631.00","127,561,013.00","72,149,483.00",0,37.8,0.0,250,0
"5084-Kisumu - Department of Trade, Tourism, Industry & Marketing.",,,,,,,,,250,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,"Develop-
ment",,,250,0
301005084,,,"3,200,000.00","57,647,203.00","480,100.00",0,15.0,0.0,250,0
,301025060,"Trade Support
Services","3,200,000.00","57,647,203.00","480,100.00",0,15.0,0.0,250,0
302005084,,,"4,750,000.00","17,500,000.00","1,053,900.10",0,22.2,0.0,250,0
,302015060,"Verification and
Calibration of
Weighing Equip-
ment","4,750,000.00","17,500,000.00","1,053,900.10",0,22.2,0.0,250,0
303005084,,,"22,250,000.00",0,"4,287,945.00",0,19.3,,250,0
,303035060,"Tourism Event
Management","18,349,998.00",0,"3,516,075.00",0,19.2,,250,0
,303015060,"Tourism Devel-
opment","3,900,002.00",0,"771,870.00",0,19.8,,250,0
305005084,,,"3,900,000.00",0,"1,703,600.00",0,43.7,,250,0
,305055060,"Co-operative
Governance","3,900,000.00",0,"1,703,600.00",0,43.7,,250,0
306005084,,,"1,700,000.00","200,000,000.00","83,600.00",0,4.9,0.0,250,0
,306015060,"Business Devel-
opment Services","1,700,000.00","200,000,000.00","83,600.00",0,4.9,0.0,250,0
504005084,,,"200,000.00",0,0,0,0.0,,250,0
,504055060,"Betting Control
Services","200,000.00",0,0,0,0.0,,250,0
508005084,,,"100,000.00",0,0,0,0.0,,250,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",251,0
,508015060,Alcoholic Drinks,"100,000.00",0,0,0,0.0,,251,0
704005084,,,"81,314,464.00",0,"36,334,675.00",0,44.7,,251,0
,704015060,"General Admin-
istration and
Support services","81,314,464.00",0,"36,334,675.00",0,44.7,,251,0
,,Sub Total,"117,414,464.00","275,147,203.00","43,943,820.10",0,37.4,0.0,251,0
5087-Kisumu - Department of Water Environment Natural Resources and Climate Change,,,,,,,,,251,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,"Develop-
ment",,,251,0
101005087,,,"44,650,927.00",0,"15,003,602.40",0,33.6,,251,0
,101045060,"Planning and
Administration","44,650,927.00",0,"15,003,602.40",0,33.6,,251,0
105005087,,,"28,950,658.00",0,"5,397,985.00",0,18.6,,251,0
,105055060,"Management of
Stations","28,950,658.00",0,"5,397,985.00",0,18.6,,251,0
205005087,,,"6,200,000.00",0,"1,002,800.00",0,16.2,,251,0
,205035060,Climate Change,"6,200,000.00",0,"1,002,800.00",0,16.2,,251,0
206005087,,,"1,208,000.00",0,"185,800.00",0,15.4,,251,0
,206045060,"Mining Effi-
ciency","1,208,000.00",0,"185,800.00",0,15.4,,251,0
301005087,,,"6,963,826.00",0,"445,200.00",0,6.4,,251,0
,301015060,"Infrastructure
Development","6,963,826.00",0,"445,200.00",0,6.4,,251,0
902005087,,,"64,553,191.00","366,150,000.00","26,621,748.30",0,41.2,0.0,251,0
,902015060,"Sustainable
Access to Safe
Water","1,897,362.00",0,"61,200.00",0,3.2,,251,0
,902025060,"Water resources
& sewerage
services","62,655,829.00","366,150,000.00","26,560,548.30",0,42.4,0.0,251,0
904005087,,,"5,243,044.00",0,"1,340,375.00",0,25.6,,251,0
,904035060,"Solid Waste
Management","4,022,800.00",0,"1,117,600.00",0,27.8,,251,0
,904025060,"Environment
Conservation
Of Natural
Resources","1,220,244.00",0,"222,775.00",0,18.3,,251,0
906005087,,,"2,076,000.00",0,"367,200.00",0,17.7,,251,0
,906015060,Pollution Control,"2,076,000.00",0,"367,200.00",0,17.7,,251,0
,,Sub Total,"159,845,646.00","366,150,000.00","50,364,710.70",0,31.5,0.0,251,0
"Agriculture, Fisheries, Livestock Development & Irrigation-5068",,,,,,,,,251,0
Program,,Description,,,,,,,251,0
5068,,,,,,,,,251,0
,101005068,,"203,471,353","643,726,668","67,571,827",0,33.2,,251,0
,,"Planning and
Administration","203,471,353","643,726,668","67,571,827",0,33.2,,251,0
,104005068,,"488,550",,,,0.0,,251,0
,,,Recurrent,Development,Recurrent,"Develop-
ment","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",252,0
,,"Promotion of
Soil and Water
Management","488,550",,,,0.0,,252,0
,105005068,,"65,548,629",,"1,766,801",0,2.7,,252,0
,,"Promotion of
Crop production
Value Chains","6,641,500",,,,0.0,,252,0
,,"Management of
Agriculture Advi-
sory services","18,978,200",,"503,800",0,2.7,,252,0
,,"Development of
Product Quality
Assurance","1,145,500",,,,0.0,,252,0
,,"Management of
Stations","20,513,726",,"268,800",0,1.3,,252,0
,,"Promotion
of Livestock
Production Value
Chains","18,269,703",,"994,205",0,5.4,,252,0
,106005068,,"1,288,750",,,,0.0,,252,0
,,"Agriculture input
Access","439,000",,,,0.0,,252,0
,,"Agriculture
Credit Access","849,750",,,,0.0,,252,0
,107005068,,"912,500","5,000,000",,0,0.0,,252,0
,,"Promotion value
addition","439,000","5,000,000",,0,0.0,,252,0
,,"Promotion of
Agribusiness","473,500",,,,0.0,,252,0
,701005068,,"119,250",,,,0.0,,252,0
,,"Human Resource
development
services","119,250",,,,0.0,,252,0
,707005068,,"13,000,000",,,,0.0,,252,0
,,"Management
Information
System","13,000,000",,,,0.0,,252,0
5067-Kisumu - County Assembly,,,,,,,,,252,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,"Develop-
ment",,,252,0
103005067,,,"13,150,000.00",0,"2,597,850.00",0,19.8,,252,0
,103015060,"Physical planning
services","13,150,000.00",0,"2,597,850.00",0,19.8,,252,0
,103025060,"county housing
management",0,0,0,0,,,252,0
109005067,,,"6,850,000.00",0,"2,165,000.00",0,31.6,,252,0
,109015060,"Urban planning
and development","6,850,000.00",0,"2,165,000.00",0,31.6,,252,0
201005067,,,"101,272,041.00","450,000,000.00","40,732,336.65",0,40.2,0.0,252,0
,201015060,"General ad-
ministration &
planning","101,272,041.00","450,000,000.00","40,732,336.65",0,40.2,0.0,252,0
,,Grand Total,"9,155,399,851.00","4,457,734,638.00","2,983,535,373.00","401,625,893.00",32.6,9.0,252,0
