Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index,col_8
"Administration,
Planning and
Support Service",,"54,557,660","141,267,671","10,779,171","19,662,121",19.8,13.9,620,0,
,"Administrative
Service","54,557,600","141,267,671","10,779,171","19,662,121",19.8,13.9,620,0,
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",621,0,
"Public Finance
Management",,"7,471,012",,"99,000",,1.3,-,621,0,
,"ICT Printing
press","7,471,012",,"99,000",,1.3,-,621,0,
"Trade Develop-
ment and Invest-
ment",,"42,455,794","26,570,274","25,479,374",-,60.0,-,621,0,
,"Market Devel-
opment and
Management","42,455,794","26,570,274","25,479,374",,60.0,-,621,0,
"Tourism Develop-
ment",,"4,945,734",-,"1,114,200",-,22.5,-,621,0,
,"Tourism
Promotion and
Branding","4,945,734",-,"1,114,200",-,22.5,-,621,0,
"Administration,
Planning and
Support Service",,"1,185,988,762","204,422,245","723,373,773","6,582,189",61.0,3.2,621,0,
,"Administrative
Service","46,589,142","204,422,245","22,044,067","6,582,189",47.3,3.2,621,0,
,"Human
Resource
Management
and Develop-
ment","1,139,399,620",,"701,329,706",,61.6,-,621,0,
"Promotive and
Preventive Health-
care Services",,"71,771,528",,"28,063,201",,39.1,-,621,0,
,"Public Health
Services","550,000",,-,,-,-,621,0,
,"Community
Health Strat-
egy","52,126,000",,"24,452,621",,46.9,-,621,0,
,"Reproductive
Healthcare","18,579,528",,"3,610,580",,19.4,-,621,0,
,"Disease Sur-
veillance and
Emergency","516,000",,-,,-,-,621,0,
"Curative And Re-
habilitative Health
Services",,"136,838,127","83,886,040","40,277,043","65,266,651",29.4,77.8,621,0,
,"Medical
services","42,034,127","83,886,040","14,033,107","65,266,651",33.4,77.8,621,0,
,"Drugs and
Other Medical
Supplies","94,804,000",,"26,243,936",,27.7,-,621,0,
"Child and Mater-
nal Health Care",,"5,038,581",,"2,146,400",,42.6,-,621,0,
,"Nutrition
Services","5,038,581",,"2,146,400",,42.6,-,621,0,
"Administration,
Planning and
Support Service",,"117,464,028","176,929,672","14,893,953","5,498,000",12.7,3.1,621,0,
,"Administrative
Service","117,464,028","176,929,672","14,893,953","5,498,000",12.7,3.1,621,0,
"Vocational Educa-
tion and Training",,"245,838,400",-,"31,898,346",-,13.0,-,621,0,
,"Youth
Polytechnic
Development","245,838,400",-,"31,898,346",-,13.0,-,621,0,
"Early Childhood
Development",,"187,994,500","22,500,000","65,702,720",-,35.0,-,621,0,
,"ECD Develop-
ment","187,994,500","22,500,000","65,702,720",-,35.0,-,621,0,
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",622,0,
"Administration,
Planning and Sup-
port of Service",,"901,564,763","137,458,827","287,481,955","90,079,330",31.9,65.5,622,0,
,"Administrative
Service","846,419,863","124,458,827","282,231,615","90,079,330",33.3,72.4,622,0,
,"County Ad-
ministration","22,815,700","13,000,000","3,983,240",,17.5,-,622,0,
,"County Radio
Information
Services","17,529,200",,"1,267,100",,7.2,-,622,0,
"Public Finance
Management",,"30,512,000",,"20,302,465",,66.5,-,622,0,
,"Public Finance
Management","3,400,000",,"994,000",,29.2,-,622,0,
,"Accounting
Services",-,,-,,-,-,622,0,
,"Budget
Formulation
Coordination","1,143,000",,"196,365",,17.2,-,622,0,
,"Resource
Mobilization","23,362,000",,"17,817,600",,76.3,-,622,0,
,"Budget
Expenditure
Management","2,607,000",,"1,294,500",,49.7,-,622,0,
Audit Services,,"6,336,600",,"2,767,695",,43.7,-,622,0,
,Audit Services,"6,336,600",,"2,767,695",,43.7,-,622,0,
"County Planning
Services",,"600,000",,-,,-,-,622,0,
,"Coordination
of Policy
Formulation
and Plans","600,000",,-,,-,-,622,0,
"Management and
Administration of
County Services",,"15,327,400",-,"5,158,810",,33.7,-,622,0,
,"County Exec-
utive","7,437,100",,"3,273,860",,44.0,-,622,0,
,"County Sec-
retary","78,903,000",-,"1,884,950",,2.4,-,622,0,
"Administration,
Planning and
Support Service",,"56,660,260","6,746,200","4,141,134",,7.3,-,622,0,
,"Administrative
Service","56,660,260","6,746,200","4,141,134",,7.3,-,622,0,
903004860,,"45,104,000","37,400,000","9,405,400","2,720,538",20.9,7.3,622,0,
,"Promotion of
Sports","18,739,000","21,400,000","7,580,000",,40.5,-,622,0,
,"Promotion of
Culture and
Heritage","12,865,000","12,000,000","1,825,400","2,720,538",14.2,22.7,622,0,
,"Recreation and
Arts","13,500,000","4,000,000",-,,-,-,622,0,
904004860,,"12,903,945","2,500,000","756,300",-,5.9,-,622,0,
,"Social Protec-
tion","2,112,945","2,500,000","154,800",-,7.3,-,622,0,
,"Gender, Chil-
dren, Youth
and People
with Disability","10,791,000",,"601,500",,5.6,-,622,0,
"Administration,
Planning and
Support Service",,"105,666,626",,"21,009,670",,19.9,-,622,0,
,"Administrative
Service","105,666,626",,"21,009,670",,19.9,-,622,0,
,,,,,,,,622,0,598
