Programme,Sub-Programme,"Approved Recur-
rent Expenditure
Budget","Actual
Recurrent
Expenditure","Approved
Development
Expenditure
Budget","Actual De-
velopment
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",page_number,table_index
"Medical Services, Public Health & Sanitation",,,,,,,,514,0
General Administration Planning and Support Services,,,-,-,-,-,-,514,0
"Non-communicable
disease and prevention
control","Maternal Health
Services","32,518,515",-,"15,983,058",-,49,-,514,0
Communicable Disease Control,,"54,637,138",-,"26,245,195",-,48,-,514,0
Health Promotive Services,,"84,029,736",-,"60,910,340",-,72,-,514,0
Health curative Services,,"105,865,432",-,"65,597,026",-,62,-,514,0
County Referral Services,,"784,989,457",-,"558,167,433",-,71,-,514,0
"County Referral Ser-
vices","Free Primary Health-
care","612,859,473",-,"413,326,366",-,67,-,514,0
"Provision Of Essential Health Services In All The
Levels",,"150,675,046",-,"126,590,642",-,84,-,514,0
"General Administration Planning and Support
Services",,"21,454,938",-,"18,250,425",-,85,-,514,0
"Health Standards and Quality Assurance
Services",,"241,603,979","329,977,124","114,567,765","31,136,581",47,9,514,0
"Health Standards and
Quality Assurance
Services","Research And Devel-
opment","76,834,490",-,"41,539,221",-,54,-,515,0
Health Infrastructure development,,"9,056,172",-,"4,379,551",-,48,-,515,0
Human Resources for health,,"9,973,576",-,"4,367,164",-,44,-,515,0
"Health Policy, Planning & Financing",,"101,473,482",-,"38,102,775",-,38,-,515,0
,,"44,266,259","329,977,124","26,179,055","31,136,581",59,9,515,0
Water Catchment and Protection Services,,-,-,-,-,-,-,515,0
,Grand Total,"1,303,644,257","329,977,124","841,470,816","31,136,581",65,9,515,0
"Lands, Housing, Physical Planning & Urban
Development",,,,,,,,515,0
"General Administration Planning and Support
Services",,-,-,-,-,-,-,515,0
"Administration,
Planning and Support
Services","Land Use Policy and
Planning","122,762,015","5,000,000","25,303,566",-,21,-,515,0
"Housing management
services","GIS Data Base
creation","1,004,955",-,"185,500",-,18,-,515,0
Spatial planning,,-,-,-,-,-,-,515,0
Survey And Mapping,,"7,617,044",-,"2,204,224",-,29,-,515,0
Urban Centers Administration,,"7,950,825","53,130,000","3,055,202","19,943,203",38,38,515,0
Urban center management,,"33,592,739","36,000,000","13,045,727",-,39,-,515,0
,Grand Total,"172,927,578","94,130,000","43,794,219","19,943,203",25,21,515,0
"Roads, Transport & Public Works",,,,,,,,515,0
"General Administration Planning and Support
Services",,-,-,-,-,-,-,515,0
"Administration,
Planning and Support
Services","General Adminis-
tration Planning and
Support Services",-,-,-,-,-,-,515,0
Administrative services,"Design, implementa-
tion and supervision
of public buildings","55,113,209",-,"12,220,316",-,22,-,515,0
Firefighting services,,"14,018,860",-,"4,595,438",-,33,-,515,0
"Infrastructure, Roads & Transport Services",,"4,627,566",-,"583,017",-,13,-,515,0
Street lights management,,"42,923,197","299,500,000","10,167,389","25,014,150",24,8,515,0
"Street lights manage-
ment","Rehabilitation of
Roads, Drainage and
Bridges","16,447,732","19,500,000","6,090,463",-,37,-,515,0
Public Road Transport and Parking,,"11,550,809","280,000,000","449,200",,4,-,515,0
"Design, supervision and rehabilitation of County
Buildings",,"3,920,836",-,"927,275",-,24,-,515,0
"General Administration Planning and Support
Services",,"11,003,820",-,"2,700,450",-,25,-,515,0
Administration,"Land Use Policy and
Planning",-,-,-,-,-,-,515,0
"Pollution control and
monitoring","Conservation and
Management of Natu-
ral Ecosystems",-,-,-,-,-,-,515,0
"Stormwater manage-
ment","Water and sanitation
services",-,-,-,-,-,-,516,0
,Grand Total,"116,682,832","299,500,000","27,566,160","25,014,150",24,8,516,0
"Tourism, Trade, Enterprise Development & Cooperatives",,,,,,,,516,0
"General Administration Planning and Support
Services",,-,-,-,-,-,-,516,0
General administration,"Cooperatives
Development and
Management","58,617,224","207,000,000","8,905,960",,15,-,516,0
SACCO members’ empowerment,,"23,655,289",-,"3,384,061",-,14,-,516,0
"SACCO members’
empowerment","Enhance Marketing
Co-operatives",-,-,-,-,-,-,516,0
Promote Commerce and Enterprises,,"23,655,289",-,"3,384,061",-,14,-,516,0
Business Development Services for MSE’s,,"2,541,500",-,"156,673",-,6,-,516,0
"Business Development
Services for MSE’s","Promotion of Tourism
and Marketing","2,541,500",-,"156,673",-,6,-,516,0
Tourism and Infrastructure Development,,"120,837,098",-,"43,044,887",-,36,-,516,0
"Tourism and Infrastruc-
ture Development","Establishment &
Management of the
County Tourism
Information Centre",-,-,-,-,-,-,516,0
Tourism Traning & Capacity Building,,"111,537,098",-,"928,890",-,1,-,516,0
Trade Development and Promotion,,"9,300,000",-,"42,115,997",-,453,-,516,0
Domestic trade development,,"17,924,771",-,"50,000",-,-,-,516,0
"Domestic trade devel-
opment","Market development
and promotion of fair
trade services","16,604,771",-,"50,000",-,-,-,516,0
"General Administration Planning and Support
Services",,"1,320,000",-,-,-,-,-,516,0
"General Administration Planning and Support
Services",,"11,837,684","135,200,000","250,000",,2,-,516,0
"General Administration Planning and Support
Services",,"11,837,684","135,200,000","250,000",,2,-,516,0
,Grand Total,"235,413,566","342,200,000","65,781,580",-,28,-,516,0
"Culture, Social Services, Gender, Sports & Youth Affairs",,,,,,,-,516,0
,"Education & Training
Services",-,-,-,-,-,-,516,0
Promotion of youth empowerment,,-,-,-,-,-,-,516,0
"Promotion of youth
empowerment","Management and de-
velopment of Sports
and sports facilities",-,-,-,-,-,-,516,0
,"Sports Development,
Training & Compe-
tition","51,300,000","19,500,000","2,690,516","3,556,380",5,18,516,0
"Sports Development,
Training & Competition","Public Sector Adviso-
ry Services","51,300,000","19,500,000","2,690,516","3,556,380",5,18,516,0
,"Economic, Social &
Political Advisory
Service","5,086,036",-,"2,201,785",-,43,-,516,0
"Economic, Social & Po-
litical Advisory Service","General Adminis-
tration Planning and
Support Services","5,086,036",-,"2,201,785",-,43,-,516,0
