Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of
31st December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
"Programme 4: Cli-
mate Change, Mitiga-
tion and Adaptation","Sub-programme 1: Cli-
mate Change Manage-
ment","6,025,963","48,000,000",-,"47,609,000",-,99.2,180,0
"Education, Science and Technology",,,,,,,,180,0
Programme 1,"Polytechnic Support and
Development","109,704,715","98,000,000","51,590,929","9,829,256",47,10,180,0
,"Childcare and develop-
ment","64,959,913","381,800,000","1,529,175","24,428,749",2.4,6.4,180,0
,"Non-Tertiary Education
Support","269,510,372","2,000,000","2,283,832",-,0.8,-,180,0
Grand Total,,"444,175,000","481,800,000","55,403,936","34,258,004",12.5,7.1,180,0
"1. Agriculture, Livestock, Fisheries and Co-operatives",,,,,,,,180,0
,,"Rec Esti-
mates",Dev Estimates,Rec Exp,Dev Exp,Rec,Dev,181,0
Crop Production,Crops recurrent,"62,014,462",,"22,080,833",-,35.6,-,181,0
,"Subsidies to Non-Finan-
cial Private Enterprises",-,"10,000,000",-,"2,188,620",-,21.9,181,0
,"Purchase of Certified
Crop Seed",-,"5,000,000",-,-,-,-,181,0
,"Purch. of Certified Seeds
- Other",-,"15,000,000",-,"1,480,000",-,9.9,181,0
,"Subsidies to Non-Finan-
cial - Other (Budget)",-,"450,000,000",-,"72,009,887",-,16,181,0
,"Subsidies to Financial
Priv. - Other (Budget)",-,"25,000,000",-,"12,500,000",-,50,181,0
,"Other Capital Grants and
Trans",-,"3,254,212",-,-,-,-,181,0
,"Other Capital Grants and
Trans",-,"346,200,000",-,"72,192,729",-,20.9,181,0
,Sub Total,"62,014,462","854,454,212","22,080,833","160,371,236",35.6,18.8,181,0
Livestock,Livestock recurrent,"44,253,686",-,"16,518,078",-,37.3,-,181,0
,"Current Grants to
Semi-Autonomous Gov-
ernment Agencies",-,"73,292,776",-,"33,323,194",-,45.5,181,0
,"Other Capital Grants and
Trans",-,"30,500,000",-,"5,719,100",-,18.8,181,0
,"Other Capital Grants and
Trans",-,"35,000,000",-,"3,758,800",-,10.7,181,0
,"Other Capital Grants and
Trans",-,"40,000,000",-,"15,419,820",-,38.5,181,0
,Sub-Total,"44,253,686","178,792,776","16,518,078","58,220,914",37.3,32.6,181,0
Fisheries,Fisheries recurrent,"11,859,244",,"966,590",,8.2,,181,0
,"Other Operating Expens-
es - Other",-,"10,000,000",-,-,-,-,181,0
,"Other Capital Grants and
Trans",-,"29,791,620",-,-,-,-,181,0
,"Other Capital Grants and
Trans",-,"15,000,000",-,"7,296,080",-,48.6,181,0
,"Construction of Build-
ings - Other",-,"5,000,000",-,-,-,-,181,0
,"Other Infrastructure and
Civil Works",-,"7,000,000",-,-,-,-,181,0
,Sub-Total,"11,859,244","66,791,620","966,590","7,296,080",8.2,10.9,181,0
Veterinary,Veterinary Recurrent,"10,477,130",-,"1,334,395",-,12.7,-,181,0
,"Veterinarian Supplies and
Materials",-,"73,784,000",-,"18,217,610",-,24.7,181,0
,Sub-Total,"10,477,130","73,784,000","1,334,395","18,217,610",12.7%,24.7%,181,0
"Cooperative
Development and
Marketing",Cooperative recurrent,"12,508,479",-,"2,944,891",-,23.5,-,181,0
,Co-operative Societies,-,"20,000,000",-,-,-,-,181,0
,Sub-Total,"12,508,479","20,000,000","2,944,891",-,23.5,-,181,0
"Agricultural Train-
ing Centres (ATC)",Bukura recurrent,"5,956,382",,-,-,-,-,181,0
,"Current Grants to
Semi-Autonomous Gov-
ernment Agencies",-,"10,000,000",-,"1,834,749",-,18.3,181,0
,Sub-Total,"5,956,382","10,000,000",-,"1,834,749",-,18.3,181,0
