Programme,Sub-Programme,"Approved
Estimates","Development
Expenditure","Actual Expendi-
ture as of 31st Dec
2023","Develop-
ment Expen-
diture","Absorption
Rate (%)","Development
Expenditure_1",page_number,table_index
"Hay stores, pur-
chase of pasture
seeds and Climate
change","Hay stores, purchase of pas-
ture seeds and Climate change",-,"10,000,000",-,-,-,-,45,0
"Support to ATC
Services",Support to ATC Services,-,"7,000,000",-,-,-,-,45,0
"Agricultural
Machinery",Purchase of Tractor,-,"4,500,000",-,-,-,-,45,0
"Conditional Grants
for provision of
Fertilizer subsidy
Programme","Conditional Grants for
provision of Fertilizer subsidy
Programme",-,"75,977,677",-,-,-,-,45,0
"IDA World Bank
(KCSAP)",IDA World Bank (KCSAP),-,"90,000,000",-,-,-,-,45,0
"Matching fund to
IDA World Bank
(KCSAP)","Matching fund to IDA World
Bank (KCSAP)",-,"1,200,000",-,-,-,-,45,0
"SWEDEN:
Agricultural Sector
Development Sup-
port Programme
(ASDSP) II","SWEDEN: Agricultural
Sector Development Support
Programme (ASDSP) II",-,"1,733,647",-,-,-,-,45,0
"World Bank Emer-
gency Locusts
Project","World Bank Emergency
Locusts Project",-,"126,616,044",-,-,-,-,45,0
"Certified pasture
and maize","Provision of pastures and
maize seeds",-,"4,000,000",-,-,-,-,45,0
"Purchase of
Mangoes, Maca-
damia and Coffee
Seedlings","Purchase of Mangoes, Maca-
damia and Coffee Seedlings
for Mochongoi",-,"19,900,000",-,-,-,-,45,0
"Cattle Dips and
Animal Vaccina-
tions",Renovations of Cattle Dips,-,"41,046,396",-,-,-,-,45,0
Cooperative stores,"Construction of Cooperative
stores",-,"21,746,057",-,-,-,-,45,0
Motor Boats,Purchase of motorboats,-,,-,-,-,-,45,0
"Fisheries
development and
management","Fish breeding cages at Lake
Baringo and Kiradech Dam",-,"12,300,000",-,"4,508,015",-,37,45,0
"Culture, Youth and
Gender",General Administration,"33,592,453",,"14,231,070",-,42,-,45,0
"Social Services
and Safety nets",Affirmative Action Initiatives,-,"28,952,631",-,-,-,-,45,0
"Social Services
and Safety nets",Infrastructure Development,-,"8,097,229",-,-,-,-,45,0
"Cultural and
Creative Arts
Development",Infrastructural development,-,"4,500,000",-,-,-,-,45,0
,,"Recurrent
Expenditure",,"Recurrent Expen-
diture",,"Recurrent
Expenditure",,46,0
"Gender devel-
opment and
management",Gender Initiatives,-,"1,000,000",-,-,-,-,46,0
"Youth Devel-
opment and
Management",Infrastructure Development,-,"11,000,000",-,-,-,-,46,0
"Sports Devel-
opment and
Management",Infrastructural development,-,"26,988,728",-,"19,110,144",-,71,46,0
"Culture and
Creative Arts
Development",Cultural Promotion Initiative,-,"3,100,000",-,-,-,-,46,0
"Culture and
Creative Arts
Development","Infrastructural develop-
ment-social Halls",-,"13,950,419",-,-,-,-,46,0
"Gender devel-
opment and
management","Gender Initiatives-Women
Empowerment",-,"3,600,000",-,-,-,-,46,0
"Youth Devel-
opment and
Management","Youth Initiatives- Youth
Empowerment",-,"7,900,000",-,-,-,-,46,0
"Youth Devel-
opment and
Management","Infrastructural develop-
ment-Playing Grounds",-,"8,573,985",-,-,-,-,46,0
"Water Manage-
ment Services",General Administration,"62,655,512",-,"31,745,040",-,51,-,46,0
"Water resource
development and
supplies manage-
ment","Water resource management
and storage",-,"994,914,244",-,"120,021,050",-,12,46,0
"Irrigation
infrastructure
development",Irrigation Infrastructure,-,"26,100,000",-,-,-,-,46,0
"Environment
Administration
and Planning",Planning and Administration,"18,754,819",-,"6,419,394",-,34,12,46,0
"Environmental
Conservation and
Management","Environmental conservation
and protection",-,"11,300,000",-,-,-,-,46,0
"Natural Resources
Conservation,
Exploitation and
Management","Forestry and Wildlife Conser-
vation and Management",-,"3,500,000",-,-,-,-,46,0
"Environmental
conservation and
management",Solid Waste management,-,"9,350,400",-,-,-,-,46,0
"Environmental
Conservation and
Management","Environmental conservation
and protection",-,"14,024,900",-,-,-,-,46,0
"Natural Resources
Conservation,
Exploitation and
Management","Forestry and Wildlife Conser-
vation and Management",-,"1,300,000",-,-,-,-,46,0
"Climate Change
Fund Projects","Water resource/ pasture
development and supplies
management",-,"71,988,914",-,-,-,-,46,0
,"Protection of rivers and
streams",-,-,-,-,-,-,46,0
,,"Recurrent
Expenditure",,"Recurrent Expen-
diture",,"Recurrent
Expenditure",,47,0
"County Public
Service Board",Administration and Planning,"17,922,030",-,"6,304,852",-,35,-,47,0
Grand Total,,"5,095,542,257","4,450,052,447","2,438,482,881","376,579,524",48,8,47,0
