Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
"Programme
1: General
administration &
planning","SP1: General
Administration &
Planning","87,894,325","16,037,965","16,204,781.05","5,490,833.20",18%,34%,334,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",335,0
"Programme 2:
Water Infrastruc-
ture Develop-
ment","SP 2.1: Water har-
vesting and storage","8,422,000","218,368,534","4,417,662.46",,52%,0%,335,0
,"SP2: Piped water
supply infrastruc-
ture","3,860,000","315,680,384","1,268,231.00","18,636,561.00",33%,6%,335,0
,"SP.3: Groundwater
development","9,860,000","99,005,129","2,417,661.49","5,176,137.95",25%,5%,335,0
,Sub Total,"110,036,324.75","649,092,011.60","24,308,336.00","29,303,532.15",22%,5%,335,0
"Agriculture, Irrigation, Livestock, Fisheries and Cooperative",,,,,,,,335,0
"Programme
1: General
administration &
planning","SP1: General
Administration &
Planning","64,262,759.82","413,633,329.55","31,120,937.41","4,820,000.00",48%,1%,335,0
"Programme
2: Land, Crop
development &
productivity","SP 2: Land, Crop
development &
productivity","74,502,083.58","256,567,460.89","22,618,284.26","6,834,152.00",30%,3%,335,0
"P3; Agribusiness
and information
management","SP3; Agribusiness
and information
management","13,800,000.00","97,538,127.40","3,236,568.52",,23%,0%,335,0
"Programme
4: Livestock
Production,
Management and
Development","SP 4: Livestock
Production,
Management and
Development","120,601,520.42","76,298,450.70","39,618,284.26","250,000.00",33%,0%,335,0
"Programme 5:
Cooperative
Development","SP 5: Cooperative
Development","19,486,287.96","8,633,915.00","9,000,000.00","708,300.00",46%,8%,335,0
,Sub Total,"292,652,651.79","852,671,283.54","105,594,074.45","12,612,452.00",36%,1%,335,0
Makueni Fruit Development and Marketing Authority,,,,,,,,335,0
"SP1. 1 General
Administration
& Support
Services","P1: General admin-
istration & planning","50,356,412.51","68,536,224.00","10,420,500.02","4,763,601.00",21%,7%,335,0
,Sub Total,"50,356,412.51","68,536,224.00","10,420,500.02","4,763,601.00",21%,7%,335,0
County Assembly,,,,,,,,335,0
"Programme 1:
Legislation and
Representation","SP1: Legislation
and Representation","882,052,960.00","66,948,487.80","433,463,027.00",-,52%,0%,335,0
,Sub Total,"882,052,960.00","66,948,487.80","433,463,027.00",-,49%,0%,335,0
Grand Total,,"7,615,833,357.44","3,554,481,900.77","2,478,506,535.23","251,148,916.40",33%,7%,335,0
