Programme,"Approved Estimates
Recurrent Development
Expenditure Expenditure",col_2,"Actual Expenditure as of 31st
December, 2023",col_4,Absorption Rate (%),col_6,page_number,table_index,Approved Estimates
"712023060 Sub County
Admin Lunga Lunga",,-,"2,028,310.00",-,50.45,-,278,0,"4,020,800.00"
"712033060 Sub County
Admin Matuga",,-,"2,405,600.00",-,55.45,-,278,0,"4,338,500.00"
,,"Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",279,0,"Recurrent
Expenditure"
"712043060 Sub County
Admin Kinango",,-,-,-,-,-,279,0,"5,671,800.00"
"713013060 County
Garbage and Cleaning
Services",,-,"2,026,424.45",-,76.47,-,279,0,"2,650,000.00"
"714013060 General Ad-
ministration Livestock
Development",,-,"600,310.00",-,13.42,-,279,0,"4,472,747.00"
,,"9,794,310.00","152,577,104.0",-,97.29,-,279,0,"156,828,568.0"
Kwale Municipality-,,,,,,,279,0,
"General administration
and Support services
(0102053060)",,,"1,715,500.00",-,65.07,-,279,0,"2,636,342.00"
"Personnel Services
(0102063060)",,-,-,-,-,-,279,0,"7,901,088.00"
"Kwale Municipality
(0111013060)",,"78,524,548.00",-,"14,846,126.0",-,18.91,279,0,-
TOTAL,,"78,524,548.00","1,715,500.00","14,846,126.0",16.28,18.91,279,0,"10,537,430.00"
Diani Municipality,,,,,,,279,0,
"General administration
and Support services
(0102053060)",,-,"2,004,655.00",-,9.48,-,279,0,"21,138,906.00"
"Diani Municipality
(0112013060)",,"57,102,237.00",-,"22,706,459.0",-,39.76,279,0,-
TOTAL,,"57,102,237.00","2,004,655.00","22,706,459.0",9.48,39.76,279,0,"21,138,906.00"
County Attorney,,,,,,,279,0,
County Attorney,,-,"30,051,980.00",-,13.22,-,279,0,"227,337,957.0"
,,-,"30,051,980.00",-,13.22,-,279,0,"227,337,957.0"
Lunga Lunga Municipality,,,,,,,279,0,
"General administration
and Support services
(0102053060)",,"25,000,000.00","108,333.00",-,-,-,279,0,-
"Lunga Lunga Municipal-
ity (0704043060)",,-,-,-,-,-,279,0,"2,250,000.00"
TOTAL,,"25,000,000.00","108,333.00",-,4.81,-,279,0,"2,250,000.00"
Kinango Municipality,,,,,,,279,0,
"General administration
and Support services
(0704043060)",,,"261,000.00",-,17.40,-,279,0,"1,500,000.00"
"Personnel Services
(00704013060)",,-,-,-,-,-,279,0,"1,050,000.00"
"Kwale Municipality
(0102053060)",,"17,500,000.00",-,-,-,-,279,0,-
"Kwale Municipality
(0104013060)",,"7,500,000.00",-,-,-,-,279,0,-
