Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 31st
December 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
Sub-Total,,"22,500,000","1,500,000","8,097,274",-,36,-,289,0
County Administration,,,,,,,,289,0
"County Administra-
tion",0702074510 Fleet,"800,000",,"257,400",-,32,-,289,0
Sub-Total,,"800,000",-,"257,400",-,32,-,289,0
County Administration,,,,,,,,289,0
"Public Safety, Enforce
and Disaster Manage-
ment","0705014510 Disaster
Reduction Management","2,000,000","1,000,000","799,759",-,40,-,289,0
"Public Safety, Enforce
and Disaster Manage-
ment","0705024510 Fire
Services","1,400,000","2,000,000","682,750",-,49,-,289,0
"Public Safety, Enforce
and Disaster Manage-
ment","0705034510 Enforce-
ment and Disaster
Management","1,100,000",,"399,000",-,36,-,289,0
"Public Safety, Enforce
and Disaster Manage-
ment","0705044510 Alcohol
Control Committee","400,000",,"87,100",-,22,-,289,0
Sub-Total,,"4,900,000","3,000,000","1,968,609",-,40,-,289,0
Total - County Administration,,"3,316,955,793","19,100,000","1,148,128,484","313,200",35,2,289,0
"Department: Finance, Economic Planning and The County Treasury",,,,,,,,289,0
"707004510 Financial
Services","707064510 County
Treasury Administrative
Services","20,000,000",-,"108,471",-,1,-,289,0
,"707084510 Financial
Automation Services","500,000",-,"202,000",-,40,-,289,0
,"707074510 Laikipia
County Emergency Fund",-,"55,054,900",-,"10,970,825",-,20,289,0
,"707044510 Revenue
Management Services",-,"43,900,000",-,"21,950,000",-,50,289,0
Sub-Total,,"20,500,000","98,954,900","310,471","32,920,825",2,33,289,0
"0709004510 Admin-
istration and Support
Services","709014510 Generation
Administration and
Support Services","98,515,334","409,700,000","76,500,758","210,229,971",78,51,289,0
Sub-Total,,"98,515,334","409,700,000","76,500,758","210,229,971",78,51,289,0
265,,,,,,,,289,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",290,0
"0725004510 Public
Finance Management
Services","725014510 County
Treasury Accounting
and Reporting Services","3,900,000",-,"1,228,861",-,32,-,290,0
,"725044510 Budget
Management","8,000,000",-,"2,740,276",-,3,-,290,0
,"725034510 Internal
Audit Services","5,000,000",-,"2,169,850",-,43,-,290,0
,"725024510 Supply
Chain Management
Services","3,600,000",-,"1,450,600",-,40,-,290,0
Sub-Total,,"20,500,000",-,"7,589,587",-,37,-,290,0
"0706004510 Depart-
mental Administrative
Services/ Centralized
Services","706044510 Revenue
Collection Services","36,000,000",-,"18,000,000",-,50,-,290,0
Sub-Total,,"36,000,000",-,"18,000,000",-,50,-,290,0
"0726004510 Devel-
opment Planning
Services","726014510 Integrated
Planning Services","2,200,000",-,"612,850",-,28,-,290,0
,"726024510 Participato-
ry Budgeting Support
Services","4,550,000",-,"2,389,600",-,53,-,290,0
,"726034510 Research
Statistics and Documen-
tation Services","2,250,000",-,"1,620,400",-,72,-,290,0
,"726064510 Strategic
Partnership and Collab-
oration","8,000,000","2,990,000","4,000,000","1,495,000",50,50,290,0
Sub-Total,,"17,000,000","2,990,000","8,622,850","1,495,000",51,50,290,0
Total Finance,,"192,515,334","511,644,900","111,023,666","244,645,796",58,48,290,0
Department: Laikipia County Department of Health,,,,,,,,290,0
Curative and Rehabilitee Health,,,,,,,,290,0
"Curative and Rehabili-
tee Health","Health Products and
Technologies Sup-
port-0401014510","40,000,000","169,250,000","21,330,940","84,575,605",53,50,290,0
,"Health Infrastruc-
ture Develop-
ment-0401034510",-,"150,000,000",-,"24,149,000",-,16,290,0
,"Emergency Referral
and Rehabilitative Ser-
vice-0401064510","239,423,000","393,185,500","143,973,329","78,167,674",60,20,290,0
Sub Total,,"279,423,000","712,435,500","165,304,269","186,892,279",59,26,290,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",291,0
General Administration and Planning Services,,,,,,,,291,0
"General Adminis-
tration and Planning
Services","402014510 Administra-
tion, Project Planning
and Implementation
Services","10,000,000",-,"4,500,000",-,45,-,291,0
,"Human Resource Devel-
opment-0402024510","25,000,000",-,"14,930,906",-,60,-,291,0
,"402034510 Standards
and Quality Assurance","10,000,000",-,"4,710,100",-,47,-,291,0
,"402044510 Health Lead-
ership and Governance","5,832,080",-,"1,581,480",-,27,-,291,0
,"Health Policy, Gover-
nance, Planning and
Financing -0402054510","2,000,000",-,"988,050",-,49,-,291,0
,"Health Information
Standards and Quality
Assurance-0402064510","2,000,000",-,"458,100",-,23,-,291,0
Sub-Total,,"54,832,080",-,"27,168,636",-,50,-,291,0
Preventive Health Services,,,,,,,,291,0
"Preventive Health
Services","Community Health
Strategy, Advo-
cacy and Surveil-
lance-0405044510","12,000,000",-,"4,999,242",-,42,-,291,0
,"Family Planning, Ma-
ternal, And Child Health
Services-0405014510","2,000,000",-,"961,300",-,48,-,291,0
,"Non-Communicable
Diseases Control and
Prevention-0405024510","2,000,000",-,"434,700",-,22,-,291,0
,"Public Health Promotion
and Nutrition Ser-
vices-0405034510","9,350,000",-,"3,284,750",-,35,-,291,0
,"405064510 Social
Health Insurance
Schemes","6,000,000",-,-,-,-,-,291,0
,"Tb/HIV/Aids Pre-
vention and Con-
trol-0405054510","14,000,000",-,"5,978,775",-,43,-,291,0
Sub-Total,,"45,350,000",-,"15,658,767",-,35,-,291,0
Total - Finance,,"379,605,080","712,435,500","208,131,672","186,892,279",55,26,291,0
Department: Agriculture Livestock and Fisheries,,,,,,,,291,0
Headquarters,"SP1 0103014510 Head-
quarter Administration
Services","10,800,000","10,500,000","5,377,547","500,000",50,5,291,0
,"SP3 0103034510 Agri-
culture Sector Extension
Management","1,933,282","94,870,868","1,933,282","8,870,868",100,9,291,0
Livestock Production,"SP2 0104024510
Livestock Resource
Development and Man-
agement","121,389,340","11,000,000","892,300","999,000",1,9,291,0
Veterinary Services,"SP5 0107054510 Ani-
mal Health and Disease
Management","1,800,000","10,500,000","726,400","485,480",40,5,291,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",292,0
Fisheries Production,"SP1 0110014510 Fish-
eries Development and
Management","1,500,000","5,000,000","606,400","1,000,000",40,20,292,0
"Crop Production &
Horticulture","SP2 0117024510 Land
and Crop Productivity
Enhancement and Man-
agement","3,800,000","2,400,000","2,027,650","465,000",53,19,292,0
,"SP4 0117044510
Strategic Food Security
Service","66,899,161",-,"10,119,997","465,000",15,-,292,0
,"SP4 1006044510 Cli-
mate Change Adaptation
& Mitigation","1,800,000","20,990,000","923,395","5,300,000",51,25,292,0
Total - Agriculture,,"209,921,783","155,260,868","22,606,971","18,085,348",11,12,292,0
"Department: Lands, Infrastructure, Housing and Urban Development",,,,,,,,292,0
"P3-0103004510-Gen-
eral Administration
and Planning Services","SP1 Administration
Services-0105014510","6,619,610",-,"1,062,942",-,16,-,292,0
"P12-0112004510 -
Physical Planning and
Survey","SP1-0112014510 -
Survey and Planning
Services","5,000,000","9,000,000","946,140","3,526,700",19,39,292,0
,"SP2-0112024510 - Land
Management Services",-,"5,000,000",-,"503,450",-,10,292,0
,"SP3-0112034510- Stra-
tegic Project Monitoring
and Intervention",-,"2,000,000",-,"944,640",-,47,292,0
,"SP4-0112044510
-Policy Management,
Public Mobilisation and
Participation",-,"6,500,000",-,"717,900",-,11,292,0
"P13-0113004510-
Land and Housing
Management","SP2 Housing Policy De-
velopment-0113024510","1,000,000","20,000,000","100,000","607,600",10,3,292,0
"P14-0114004510-
Public Works Service
Delivery Improvement","SP4 County Building
Construction Stan-
dard-0114044510","1,000,000","2,500,000","474,850",-,47,-,292,0
"P15-0115004510-
Roads Network
Improvement Housing
and Urban Develop-
ment","SP1 Road Network Im-
provement-0115014510","2,000,000","265,300,000","1,246,500","25,000,000",62,9,292,0
,"SP3- Road Net-
work Maintain-
ance-0115034154",-,"10,000,000",-,-,-,-,292,0
,"SP4 Heavy Equip-
ment Mainte-
nance-0115044510",-,"10,000,000",-,"900,160",-,9,292,0
,"SP5-0115054510 -
Mechanisation Services",-,"30,000,000",-,-,-,-,292,0
,"SP Urban Develop-
ment-0115094510",-,"15,000,000",-,-,-,-,292,0
"P18-0118004510-Re-
newable /Green
Energy Services","SP1 County Renewable/
Green Energy Ser-
vices-0118014510","22,000,000","10,000,000","14,070,170","1,100,000",64,11,292,0
Total Infrastructure,,"37,619,610","385,300,000","17,900,602","33,300,450",48,9,292,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",293,0
Department: Education and Library Services,,,,,,,,293,0
Administration and Planning Services,,,,,,,,293,0
,Administration Services,-,"4,110,000",-,-,-,-,293,0
,Headquarter Services,"3,000,000",-,"1,950,000",-,65,-,293,0
,Personnel Services,"2,000,000",-,"939,400",-,47,-,293,0
Sub Total,,"5,000,000","4,110,000","2,889,400",-,58,-,293,0
"Early Childhood
Development (ECD)
And Childcare
Facilities","Education Empower-
ment","75,000,000",-,-,-,-,-,293,0
,"ECDE Infrastructure
Improvement",,"39,800,000",,-,-,-,293,0
,ECDE Teacher Services,"2,000,000",,"1,000,000",-,50,-,293,0
Sub-Total,,"77,000,000","39,800,000","1,000,000",-,1,-,293,0
"Youth, Polytechnics,
Vocational Training",,,,,,,,293,0
,"Vocational Education
and Training","20,000,000","20,000,000","6,755,500",-,34,-,293,0
Sub-Total,,"20,000,000","20,000,000","6,755,500",-,34,-,293,0
Total - Education,,"102,000,000","63,910,000","10,644,900",-,10,-,293,0
"Department: Trade, Tourism and Co-Operative Development",,,,,,,,293,0
"P1 Administration, Planning and Support
Services",,,,,,,,293,0
,"301014510-SP1 Admin-
istration Service","4,350,000",-,"968,000",-,22,-,293,0
,"301044510-SP2 Person-
nel Services","1,800,000",-,"1,575,250",-,88,-,293,0
,"304024510-SP3 Policy
Services","3,450,000",-,"1,814,800",-,53,-,293,0
Sub Total,,"9,600,000",-,"4,358,050",-,45,-,293,0
Co-Operative Development,,,,,,,,293,0
,"0302034510 SP3 Re-
search and Development","2,300,000",,"716,600",-,31,-,293,0
,"302024510-SP2 Co-Op-
erative Revolving Fund",,"6,500,000",-,-,-,-,293,0
Sub Total,,"2,300,000","6,500,000","716,600",-,31,-,293,0
Trade and Investment,,,,,,,,293,0
,"0304014510- SP1
Market Infrastructure
Development",-,"14,000,000",,-,-,-,293,0
,"0304054510-SP5 Indus-
trial Development and
Investment Promotion","6,500,000","350,000,000","2,613,200",-,40,-,293,0
,"0304064510-SP6 Infor-
mal Sector Development",-,"1,500,000",-,,-,-,293,0
Sub Total,,"6,500,000","365,500,000","2,613,200",-,40,-,293,0
Tourism Development and Promotion,,,,,,,,293,0
,"0305014510 SP1
Tourism Promotion and
Marketing","1,600,000",-,"796,000",,50,-,293,0
,"0305024510 SP2
Tourism Infrastructural
Development",-,"3,800,000",-,-,-,-,293,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",294,0
Sub Total,"0305014510 SP1 Tour-
ism Promotion and
Marketing","1,600,000","3,800,000","796,000",-,50,-,294,0
Total – Trade,,"20,000,000","375,800,000","8,483,850",-,42,-,294,0
"Department: Gender, Culture and Social Services",,,,,,,,294,0
"Use of Goods and
Services",901014510,"3,900,000","2,200,000","2,312,476","1,100,000.00",59,50,294,0
Sub Total,,"3,900,000","2,200,000","2,312,476","1,100,000",59,50,294,0
"Children Institutions
Support Program
(CEDC)","904,014,510","3,400,000","3,500,000","1,943,649.00",-,57,-,294,0
Sub-Total,,"3,400,000","3,500,000","1,943,649",-,57,-,294,0
"Cultural Events Pro-
motion Services","903,014,510","2,100,000",,"1,636,900",,78,-,294,0
"Social Services Infra-
structure","903,034,510",,"1,500,000",,-,-,-,294,0
Sub-Total,,"2,100,000","1,500,000","1,636,900",-,78,-,294,0
"Talent Identification
Programme","902,034,510","8,000,000",,"4,751,700",,59,-,294,0
"Youth Mainstreaming
Initiative","902,044,510",,"500,000",-,,-,-,294,0
"Sports Promotion
Services","902,054,510","2,500,000",,"711,700",,28,-,294,0
"Sports Facility Im-
provement","902,064,510","100,000","7,500,000",-,-,-,-,294,0
"Cultural Events Pro-
motion Services","903,014,510","3,000,000",,"1,430,700",,48,0,294,0
Sub-Total,,"13,600,000","8,000,000","6,894,100",-,51,-,294,0
Total – Trade,,"23,000,000","15,200,000","12,787,125","1,100,000",56,7,294,0
"Department: Water, Environment and Natural Resources",,,,,,,,294,0
Water Development,"1001024510 Rural
Water Supply and
Sanitation",-,"15,300,000",-,"1,019,998",-,7,294,0
"General Adminis-
tration and Support
Services","1) 0301014510 Admin-
istrative and Planning
Services","16,500,000","1,000,000","8,910,270",-,54,-,294,0
,"2)0301014510 Motor
Vehicle Maintenance
and Fuel Provision","4,500,000",-,"2,385,100",-,53,-,294,0
"Environment and
Natural Resources","1006014510 Solid Waste
Management",-,"21,300,000",-,"4,661,196",-,22,294,0
,"1006024510 Hu-
man-Wildlife Conflict
Prevention",-,"500,000",-,-,-,-,294,0
,"1006034510 Natural
Resources Management",-,-,-,-,-,-,294,0
,"1006044510 Climate
Change Adaptation &
Mitigation",-,"61,500,000",-,"32,922,099",-,54,294,0
,"1006054510 Integrated
Land Rehabilitation",-,"500,000",,,-,-,294,0
Total - Water,,"21,000,000","100,100,000","11,295,370","38,603,293",54,39,294,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",295,0
Nanyuki Municipality,,,,,,,,295,0
"P3-0103004510-Gen-
eral Administration
and Planning Services","SP1 0103014510 Ad-
ministration Services","1,000,000",-,"1,000,000",-,100,-,295,0
"P15-0115004510-
Roads Network
Improvement Housing
and Urban Develop-
ment","SP1-0115014510 Road
Network Improvement",-,"1,000,000",-,"1,000,000",-,100,295,0
Total,,"1,000,000","1,000,000","1,000,000","1,000,000",100,100,295,0
Rumuruti Municipality,,,,,,,,295,0
"P3-0103004510-Gen-
eral Administration
and Planning Services","SP1 0103014510 Ad-
ministration Services","2,500,000",-,"1,250,000",-,50,-,295,0
"P15-0115004510-
Roads Network
Improvement Housing
and Urban Develop-
ment","SP1-0115014510 Road
Network Improvement",-,"5,000,000",-,-,-,-,295,0
Total,,"2,500,000","5,000,000","1,250,000",-,50,-,295,0
"General Administra-
tion Support Services","Compensation of Em-
ployees/MCAs","226,209,653",-,"107,925,584",-,48,-,295,0
,"Other Recurrent Expen-
diture","93,275,776",-,"29,274,045",-,31,-,295,0
,"County Assembly Staff
Car & Mortgage Scheme","20,000,000",-,"20,000,000",-,100,-,295,0
,Training of Staff,-,-,-,-,-,-,295,0
,Sub Total,"339,485,429",-,"157,199,630",-,46,-,295,0
"Legislative and
Oversight","Other Recurrent Expen-
diture","219,143,620",-,"100,912,994",-,46,-,295,0
,Training,"3,000,000",-,"1,823,120",-,61,-,295,0
,Public Participation,"4,180,000",-,"2,063,640",-,49,-,295,0
,Sub Total,"226,323,620",-,"104,799,753",-,46,-,295,0
"County Assembly
Infrastructure Services","Purchase of Motor
Vehicles",-,-,-,-,-,-,295,0
,"Refurbishment of
Non-Residential
Building-",-,"28,000,000",-,"11,398,592",-,41,295,0
,"Refurbishment of Resi-
dential Buildings",-,"2,000,000",-,-,-,-,295,0
,,-,"30,000,000",-,"11,398,592",-,38,295,0
Total,Sub-Total,"565,809,049.00","30,000,000.00","261,999,383.20","11,398,592.00",0.46,0.38,295,0
Grand Total,,"4,871,926,649","2,374,751,268","1,815,252,023","535,338,958",37,23,295,0
