Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
,"Livestock Production and Manage-
ment","24,337,347","2,283,900","22,053,447",9,294,0
,"Livestock Diseases management and
control","27,496,262","681,450","26,814,812",2,294,0
,"Livestock marketing and rangeland
management","9,871,455","1,178,345","8,693,110",12,294,0
,Sub total,"78,200,880","7,303,795","70,897,085",9,294,0
"Fisheries Develop-
ment and Manage-
ment","Management and Development of
fisheries","6,497,070","1,236,342","5,260,728",19,294,0
,Sub total,"6,497,070","1,236,342","5,260,728",19,294,0
"Crop Development
and Management",Lands and Crops Development,"35,259,962","7,877,185","27,382,777",22,294,0
,Food security Initiatives,"11,845,699","1,184,450","10,661,249",10,294,0
,Sub total,"47,105,661","9,061,635","38,044,026",19,294,0
"WATER, ENVIRONMENT, NATURAL RESOURCES & ENERGY",,,,,,294,0
"General Administra-
tion Planning and
Support Services","General Administration Planning
and Support Services","28,586,550","6,205,846","22,380,704",22,294,0
,Sub total,"28,586,550","6,205,846","22,380,704",22,294,0
"Environmental
Management and
Protection",County Environment Management,"20,361,039","785,700","19,575,339",4,294,0
,"Forests Conservation and Manage-
ment","7,509,868","149,023","7,360,845",2,294,0
,Sub total,"27,870,907","934,723","26,936,184",3,294,0
"Natural Resources
Services",Soil Conservation Management,"7,141,886","416,984","6,724,902",6,294,0
,Mining Services,"7,247,500","1,823,000","5,424,500",25,294,0
,"Water catchment and protection
services","4,692,708","40,451","4,652,257",1,294,0
,Sub total,"19,082,094","2,280,435","16,801,659",12,294,0
"Water and sanita-
tion infrastructure",Storm Water management,"7,972,093","1,000,000","6,972,093",13,294,0
,Water and sanitation services,"71,729,635","5,186,329","66,543,306",7,294,0
,Sub total,"79,701,728","6,186,329","73,515,399",8,294,0
EDUCATION AND VOCATIONAL TRAINING,,,,,,294,0
"General Administra-
tion Planning and
Support Services","General Administration Planning
and Support Services","119,513,010","16,001,388","103,511,622",13,294,0
,Sub total,"119,513,010","16,001,388","103,511,622",13,294,0
"Youth Training and
Development",Revitalization of Youth Polytechnics,"9,337,996","1,523,371","7,814,625",16,294,0
,Sub total,"9,337,996","1,523,371","7,814,625",16,294,0
"Early childhood
development and
Education","Early Childhood Development and
Education","271,203,446","100,716,712","170,486,734",37,294,0
,Sub total,"271,203,446","100,716,712","170,486,734",37,294,0
"LANDS, HOUSING, PHYSICAL PLANNING & URBAN DEVELOPMENT",,,,,,294,0
"General Administra-
tion Planning and
Support Services","Administration, Planning and Sup-
port Services","26,371,612","5,599,708","20,771,904",21,294,0
,Sub total,"26,371,612","5,599,708","20,771,904",21,294,0
"Land policy Plan-
ning and Housing",Land use planning,"7,614,274","440,850","7,173,424",6,294,0
,Land Survey And Mapping,"11,543,515","1,565,938","9,977,577",14,294,0
,Housing management services,"1,072,214","121,290","950,924",11,294,0
,Sub total,"20,230,003","2,128,078","18,101,925",11,294,0
"Urban Centers
Administration",Urban center management,"45,031,216","11,315,527","33,715,689",25,294,0
,Sub total,"45,031,216","11,315,527","33,715,689",25,294,0
"ROADS, TRANSPORT & PUBLIC WORKS",,,,,,294,0
"General Administra-
tion Planning and
Support Services","General Administration Planning
and Support Services","26,800,707","3,152,330","23,648,377",12,295,0
,Firefighting services,"385,786",-,"385,786",-,295,0
,"Design, implementation and supervi-
sion of public buildings","10,296,380","2,716,200","7,580,180",26,295,0
,Sub total,"37,482,873","5,868,530","31,614,343",16,295,0
"Roads and public
Infrastructure
Development","Construction, rehabilitation and
maintenance of Roads and Bridges","17,794,504","112,000","17,682,504",1,295,0
,"Design, supervision and rehabilita-
tion of County Buildings","10,904,542","1,198,379","9,706,163",11,295,0
,Street lights management,"12,956,658",-,"12,956,658",-,295,0
,Public Road transport and Parking,"4,650,189","1,013,542","3,636,647.20",22,295,0
,Sub total,"46,305,893","2,323,921","43,981,972",5,295,0
"TOURISM, TRADE, ENTERPRISE DEVELOPMENT & COOPERATIVES",,,,,,295,0
"General Administra-
tion Planning and
Support Services","General Administration Planning
and Support Services","21,166,704.80","3,804,802","17,361,902.80",18,295,0
,Sub total,"21,166,704.80","3,804,802","17,361,902.80",18,295,0
"Cooperatives
Development and
Management",Governance and Accountability,"12,027,760","611,060","11,416,700",5,295,0
,Sub total,"12,027,760","611,060","11,416,700",5,295,0
"Tourism Develop-
ment and Promo-
tion",Tourism Promotion and Marketing,"97,910,168","16,769,977","81,140,191",17,295,0
,Sub total,"97,910,168","16,769,977","81,140,191",17,295,0
"Trade Development
and Promotion",Domestic trade development,"33,551,359","364,950","33,186,409",1,295,0
,Sub total,"33,551,359","364,950","33,186,409",1,295,0
"General Administra-
tion Planning and
Support Services","General Administration Planning
and Support Services","14,575,656","427,500","14,148,156",3,295,0
,Sub total,"14,575,656","427,500","14,148,156",3,295,0
"CULTURE, SOCIAL SERVICES, GENDER, SPORTS & YOUTH AFFAIRS",,,,,,295,0
"General Administra-
tion Planning and
Support Services","General Administration Planning
and Support Services","39,815,472","8,701,550","31,113,922",22,295,0
,Sub total,"39,815,472","8,701,550","31,113,922",22,295,0
"Culture and social
Services develop-
ment",Conservation of Heritage,"2,403,600","107,600","2,296,000",4,295,0
,"Development and Promotion of
Culture","11,759,858","666,079","11,093,779",6,295,0
,Social Welfare and Gender,"30,127,500","(451,000)","30,578,500",-1,295,0
,"Community Mobilization and
development","10,007,810","(220,000)","10,227,810",-2,295,0
,Sub total,"54,298,768","102,679","54,196,089",-,295,0
"Promotion of other
sports activities","Development and Management of
Sports Facilities","5,622,000","108,450","5,513,550",2,295,0
,Sub total,"5,622,000","108,450","5,513,550",2,295,0
Sports Development,"Sports Development, Training and
Competition","21,478,844","464,600","21,014,244",2,295,0
,Sub total,"21,478,844","464,600","21,014,244",2,295,0
"General Administra-
tion Planning and
Support Services","0904004210 SP1 General Admin-
istration Planning and Support
Services","15,786,002","3,210,010","12,575,992",20,295,0
,Sub total,"15,786,002","3,210,010","12,575,992",20,295,0
COUNTY ASSEMBLY,,,,,,295,0
"0707004210 P1
County Assembly
Administration","0707014210 SP1 Legislative and
Oversight","50,026,696","11,645,794","38,380,902",23,295,0
,"0707024210 SP2 County Assembly
Administration","178,510,303","34,868,430","143,641,873",20,295,0
,0707034210 SP3 Representation,"221,358,346","23,986,485","197,371,861",11,295,0
,Sub total,"449,895,345","70,500,709","379,394,636",16,295,0
