Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Variance,Absorption (%),page_number,table_index
"Intergovernmental Relations, Special
Programs","18,812,430","4,500,000","14,312,430",23.9,80,0
Information Research and statistics,"46,782,733",-,"46,782,733",-,80,0
Administration and construction works,"1,112,505,152","232,886,090","879,619,062",20.9,80,0
Administration and Planning Services,"840,755,152","172,727,134","668,028,018",20.5,80,0
Sub County Operations,"90,810,000","37,250,000","53,560,000",41.0,80,0
Special Program Services,"180,940,000","22,908,956","158,031,044",12.7,80,0
Departmental programs,"263,000,120","94,732,436","168,267,684",36.0,80,0
"Budget formulation and management
program","6,780,000","1,136,000","5,644,000",16.8,80,0
Resource mobilization program,"208,927,781","90,975,036","117,952,745",43.5,80,0
Finance and Accounting Program,"3,713,739","929,000","2,784,739",25.0,80,0
Supply Chain Management Program,"5,630,000","613,200","5,016,800",10.9,80,0
Economic Planning,"34,086,000","760,000","33,326,000",2.2,80,0
Internal Audit Services,"3,862,600","319,200","3,543,400",8.3,80,0
Town Management Services,"886,566,905","47,782,046","838,784,859",5.4,80,0
Urban Sanitation and Development,"900,000",-,"900,000",-,80,0
Urban Planning and Disaster Management,"1,614,626",-,"1,614,626",-,80,0
Administration and Services,"884,052,279","47,782,046","836,270,233",5.4,80,0
"Administration Support Services and
construction works","236,411,832",-,"236,411,832",-,80,0
Logistics and Maintenance Services,"236,411,832",-,"236,411,832",-,80,0
"Social Protection Cultural Promotion and
Preservation","1,025,000",-,"1,025,000",-,80,0
"Environment and Natural Resource
Management","1,600,000",-,"1,600,000",-,80,0
Natural Resource Management,"1,600,000",-,"1,600,000",-,80,0
"Forest, Wildlife and Tourism","151,100,000",-,"151,100,000",-,80,0
Wildlife and Forest Conservation,"1,100,000",-,"1,100,000",-,80,0
Tourist Development,"150,000,000",-,"150,000,000",-,80,0
Energy and Mining,"1,205,000",-,"1,205,000",-,81,0
Electrification of Rural and Other,"1,205,000",-,"1,205,000",-,81,0
Administration and Support Services,"119,243,025",-,"119,243,025",-,81,0
Administration and Operations,"119,243,025",-,"119,243,025",-,81,0
Water Services,"2,196,556,361",-,"2,196,556,361",-,81,0
Administration and Support Services,"646,556,361",-,"646,556,361",-,81,0
Water Infrastructure Development,"1,550,000,000",-,"1,550,000,000",-,81,0
Total,"10,616,156,277","1,304,369,335","9,311,786,942",12.3,81,0
