Department,Sub- Programme,"Approved Budget
(Kshs)","Actual
Payments
(Kshs)",Variance,Absorption (%),page_number,table_index,Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)"
,Support Services,,,"2,826,088,326",0.1,184,0,"General Administration And
Support Services","2,830,321,656","4,233,330"
,"Preventive and Promotive
Services",,,"991,772,738",-,184,0,"Preventive and Promotive
Services","991,772,738",-
,Emergency Services,,,"24,112,500",-,184,0,Emergency Services,"24,112,500",
,"public health and community
outreach",,,"108,557,389",-,184,0,"public health and community
outreach","108,557,389",
,Sub total,,,"3,950,530,953",0.1,184,0,,"3,954,764,283","4,233,330"
,,,,,,184,0,"Agriculture, Food Security and Co-operative Development",,
,Support Services,,,"261,158,807",0.3,185,0,"General Administration and
Support Services","261,899,172","740,365"
,"Crop Development and
Management",,,"179,144,991",-,185,0,"Crop Development and
Management","179,174,991","30,000"
,"Livestock Resources
Management",,,"92,906,412",0.2,185,0,"Livestock Resources
Management and
Development","93,126,412","220,000"
,Fisheries Development,,,"14,752,645",-,185,0,Fisheries Development,"14,752,645",
,Veterinary Services,,,"82,328,402",-,185,0,Veterinary Services,"82,328,402",
,Agriculture Training Centre,,,"15,628,231",-,185,0,Agriculture Training Centre,"15,628,231",
,"Cooperative Development
and Marketing",,,"91,065,157",-,185,0,"Cooperative Development and
Marketing","91,065,157",-
,Sub total,,,"736,984,645",0.1,185,0,,"737,975,010","990,365"
,,,,,,185,0,"Tourism, Youth, Sports and Culture",,
,Support Services,,,"65,215,063",0.8,185,0,"General Administration and
Support Services","65,715,063","500,000"
,"Heritage & Culture
Preservation",,,"4,399,882",14.6,185,0,Heritage & Culture,"5,149,882","750,000"
,Liquor Management,,,"1,330,790",-,185,0,Liquor Management,"1,330,790",-
,Tourism Development,,,"10,161,278",-,185,0,"Tourism Development and
Marketing","10,161,278",-
,County Beautification,,,"10,800,000",-,185,0,County Image Directorate,"10,800,000",-
,Management of Sports,,,"140,740,112",-,185,0,"Management and
Development of Sports and
Sports Facilities","140,740,112",-
,Sub total,,,"232,647,125",0.5,185,0,,"233,897,125","1,250,000"
,,,,,,185,0,County Administration and Decentralized Units,,
,Support Services,,,"297,530,713",0.9,185,0,"General Administration and
Support Services","300,280,713","2,750,000"
,Civic Engagement,,,"99,436,310",-,185,0,Civic Engagement,"99,436,310",-
,"Administration and
Coordination Services",,,"24,492,254",-,185,0,"Administration and
Coordination Services","24,492,254",-
,Solid Waste Management,,,"12,800,000",-,185,0,Solid Waste Management,"12,800,000",-
,Sanitation,,,"2,000,000",-,185,0,Sanitation Management,"2,000,000",-
,Inspectorate Services,,,"44,695,872",-,185,0,"Inspectorate services and
Management","44,695,872",-
,Sub total,,,"480,955,149",0.6,185,0,,"483,705,149","2,750,000"
,,,,,,185,0,"Trade, Industrialization and Innovation",,
,Support Services,,,"75,362,700",3.2,185,0,"General Administration and
Support Services","77,841,600","2,478,900"
,Trade Development,,,"33,850,000",-,185,0,Trade Development,"33,850,000",-
,"Business and Enterprise
Development",,,"8,600,000",-,185,0,"Business and Enterprise
Development","8,600,000",-
,"Industrialization and
innovation",,,"106,050,000",-,185,0,"Industrialization and
innovation","106,050,000",-
,"Investment Facilitation and
Support",,,"11,759,324",-,185,0,"Machakos Investment
Promotion Board","11,759,324",-
,Legal Office,,,,0.1,185,0,County Law Office,"150,903,950","127,480"
,Sub total,,,"386,398,494",0.7,185,0,,"389,004,874","2,606,380"
,,,,,,185,0,County Assembly,,
