Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Variance,Absorption (%),page_number,table_index
,"Field Extension Services and
support programme","1,230,000",-,"1,230,000",-,215,0
,Sub total,"8,104,000",-,"8,104,000",-,215,0
Veterinary services,"Livestock disease control &
management","1,950,000",-,"1,950,000",-,215,0
,"Veterinary public health
management","16,136,000",-,"16,136,000",-,215,0
,Livestock breeding services,"1,330,000",-,"1,330,000",-,215,0
,Sub total,"19,416,000",-,"19,416,000",-,215,0
COUNTY EXECUTIVE,,,,,,215,0
"Governance
and Executive
Management",Citizen Delivery services,"170,000,000",-,"170,000,000",-,215,0
,"Coordination of Devolved
Ministries and Departments","22,888,582","171,900","22,716,682",0.8,215,0
,Sub total,"192,888,582","171,900","192,716,682",0.1,215,0
"Strategy and service
delivery",Legal Services,"57,700,000","5,098,325","52,601,675",8.8,215,0
,Efficiency monitoring services,"14,936,000",-,"14,936,000",-,215,0
,Sub total,"72,636,000","5,098,325","67,537,675",7,215,0
"Strategy and service
delivery","Conflict Management And
Resolution","4,401,000","380,170","4,020,830",8.6,215,0
,Sub total,"4,401,000","380,170","4,020,830",8.6,215,0
"Governor's
Office (General
Administration and
Support Services)",General Administration Services,"124,144,000","26,070,586","98,073,414",21,216,0
,Sub total,"124,144,000","26,070,586","98,073,414",21,216,0
"Cohesion And Peace
Building","Peace Building, Education,
Advocacy And Research","4,345,000",-,"4,345,000",-,216,0
,Sub total,"4,345,000",-,"4,345,000",-,216,0
"Deputy Governor's
Office(General
Administration and
Support Services)",General Administration Services,"23,763,200","7,032","23,756,168",0.03,216,0
,Sub total,"23,763,200","7,032","23,756,168",0.03,216,0
"Governance
and Executive
Management",Citizen Delivery services,"3,374,000",-,"3,374,000",-,216,0
,Sub total,"3,374,000",-,"3,374,000",-,216,0
"County Secretary
(General
Administration and
Support Services)",General Administration Services,"21,632,000","2,316,000","19,316,000",10.7,216,0
,Sub total,"21,632,000","2,316,000","19,316,000",10.7,216,0
"Kenya Devolution
Support Programme","Key Result Area1: Public
Finance Management","6,010,099",-,"6,010,099",-,216,0
,"Key Result Area2: Planning ,
Monitoring And Evaluation","11,576,928",-,"11,576,928",-,216,0
,"Key Result Area3: Performance
Contracting And Human
Resources Management","17,841,439",-,"17,841,439",-,216,0
,"Key Result Area4: Civic
Education And Public
Participation","8,250,000",-,"8,250,000",-,216,0
,"Key Result Area5: Environment
And Social Safeguard","5,940,363",-,5940363,-,216,0
,Sub total,"49,618,829",-,"49,618,829",-,216,0
"Information
Communication
Technology (General
Administration and
Support Services)",General Administration Services,"38,000,000","30,600","37,969,400",0.1,216,0
,"Information communication and
technology","40,000,000",-,"40,000,000",-,216,0
,Sub total,"78,000,000","30,600","77,969,400",0.04,216,0
PUBLIC SERVICE MANAGEMENT,,,,,,216,0
"General
Administration and
Support Services","General Administration and
Support Services","653,722,600","108,325,626","545,396,974",16.6,216,0
,Sub total,"653,722,600","108,325,626","545,396,974",16.6,216,0
"Human Capital
Management And
Development",Human Capital Strategy,"5,000,000",-,"5,000,000",-,216,0
,"Information And Records
Management","2,020,000","132,760","1,887,240",6.6,216,0
,Sub total,"7,020,000","132,760","6,887,240",1.9,216,0
"Sub County
Administration
Services","Devolved units Development
services","89,851,383","1,199,933","88,651,450",1.3,216,0
,Sub total,"89,851,383","1,199,933","88,651,450",1.3,216,0
"Civic Education And
Public Participation",Civic Education,"4,000,000",-,"4,000,000",-,216,0
,Sub total,"4,000,000",,"4,000,000",-,216,0
"County Security
and Compliance
Enforcement Services","Support and Administration
Services","3,240,000","973,000",2267000,30,216,0
,Sub total,"3,240,000",973000,2267000,30,216,0
"General
Administration
and Support
Services(PSB)","General Administration and
Support Services","41,490,000","8,268,022.50",33221977.5,19.9,216,0
,Sub total,"41,490,000","8,268,022.50",33221977.5,19.9,216,0
"Human Capital
Management And
Development",Human Capital Strategy,"8,330,000","3,761,535",4568465,45.2,217,0
,Public service board services,"6,900,000","2,934,462","3,965,538",42.5,217,0
,"Information And Records
Management","2,400,000",-,"2,400,000",-,217,0
,Sub total,"17,630,000","6,695,997","10,934,003",38,217,0
"EDUCATION ,YOUTH,SPORTS,CULTURE,GENDER AND SOCIAL SERVICES",,,,,,217,0
"General
Administration
and Support
Services(Education)","General Administration and
Support Services","160,649,983","48,548,273","112,101,710",30.2,217,0
,Sub total,"160,649,983","48,548,273","112,101,710",30.2,217,0
"Education Support
Services",Bursary And Scholarship,"177,065,912",-,"177,065,912",-,217,0
,Sub total,"177,065,912",-,"177,065,912",-,217,0
"Child Care Support
Services","Infrastructure development and
sanitation improvement","91,428,177",-,"91,428,177",-,217,0
,ECDE Staffing,"9,990,000","451,800","9,538,200",4.5,217,0
,Sub total,"101,418,177","451,800","100,966,377",0.5,217,0
"Quality Management
Services","Quality Assurance and standard
services","8,000,000",-,"8,000,000",-,217,0
,"Sub county education office
services","500,000",-,"500,000",-,217,0
,Sub total,"8,500,000",-,"8,500,000",-,217,0
"Youth Development
Empowerment",Vocational Education Training,"58,500,000",-,"58,500,000",-,217,0
,Sub total,"58,500,000",-,"58,500,000",-,217,0
"Sports and culture
development","Culture and heritage
conservation","5,000,000",,"5,000,000",-,217,0
,Sub total,"5,000,000",,"5,000,000",-,217,0
"Sports and culture
development(Sports)",Sport and talent development,"100,600,000","12,540,200","88,059,800",12.5,217,0
,Talent development services,"1,000,000","90,000","910,000",9,217,0
,Sub total,"101,600,000","12,630,200","88,969,800",12.4,217,0
"Youth Development
Empowerment
(youth)","Youth home craft centers and
enterprises services","2,000,000",-,"2,000,000",-,217,0
,Sub total,"2,000,000",-,"2,000,000",-,217,0
External Funding,Conditional Grants,"30,033,298",-,"30,033,298",-,217,0
,Sub total,"30,033,298",-,"30,033,298",-,217,0
"Sports and culture
development(culture
&social)","Culture and heritage
conservation","1,000,000",-,"1,000,000",-,217,0
,Sub total,"1,000,000",-,"1,000,000",-,217,0
Gender And Equality,"Women empowerment
enterprises and support services","2,500,000",-,"2,500,000",-,217,0
,"PWDS enterprises and support
services","1,000,000",-,"1,000,000",-,217,0
,Sub total,"3,500,000",-,"3,500,000",-,217,0
"MANAGEMENT ENVIRONMENT, NATURAL,RESOURCES AND DISASTER MANAGEMENT",,,,,,217,0
"General
Administration and
Support Services
(Environment)","General Administration and
Support Services","69,571,238","13,630,126.10","55,941,111",19.6,217,0
,Sub total,"69,571,238","13,630,126.10","55,941,111",19.6,217,0
"Environment
management and
protection","Solid waste management
services","35,700,000","13,500","35,686,500",0.04,217,0
,Sub total,"35,700,000","13,500","35,686,500",0.04,217,0
"Environmental and
natural resource
conservation and
management",County greening programmer,"5,000,000",-,"5,000,000",-,218,0
,"Water resource conservation and
management","4,200,000","618,000","3,582,000",14.7,218,0
,"Climate change adoption and
mitigation","900,000",-,"900,000",-,218,0
,"Forestry conservation and
development","1,000,000",-,"1,000,000",-,218,0
,Sub total,"11,100,000","618,000","10,482,000",5.6,218,0
"Natural resources
conservation and
management","Forestry conservation and
development","4,000,000",,"4,000,000",-,218,0
,Mining services,"5,118,954",-,"5,118,954",-,218,0
,Sub total,"9,118,954",-,"9,118,954",-,218,0
Disaster Management,Disaster management services,"40,800,000","429,000","40,371,000",1.1,218,0
,Sub total,"40,800,000","429,000","40,371,000",1.1,218,0
FINANCE ECONOMIC PLANNING,,,,,,218,0
"General
Administration
and Support
Services(Accounting)","General Administration and
Support Services","142,859,009","4,336,575","138,522,434",3,218,0
,Sub total,"142,859,009","4,336,575","138,522,434",3,218,0
"Public finance
management",Accounting services,"352,687,835","68,060,835","284,626,999",19.3,218,0
,Sub total,"352,687,835","68,060,835","284,626,999",19.3,218,0
"General
Administration
and Support
Services(Audit)","General Administration and
Support Services","21,021,000","1,600,000","19,421,000",7.6,218,0
,Sub total,"21,021,000","1,600,000","19,421,000",7.6,218,0
"Public Financial
management
(procurement)",Procurement services,"18,600,000",-,"18,600,000",-,218,0
,Sub total,"18,600,000",-,"18,600,000",-,218,0
"General
Administration and
Support Services
(Revenue)","General Administration and
Support Services","2,160,000",-,"2,160,000",-,218,0
,Sub total,"2,160,000",-,"2,160,000",-,218,0
"Public Financial
management
(Revenue)",Resource mobilization,"52,775,000",-,"52,775,000",-,218,0
,Sub total,"52,775,000",-,"52,775,000",-,218,0
"General
Administration and
Support Services
(Planning)","General Administration and
Support Services","30,772,000","1,640,645","29,131,355",5.3,218,0
,Sub total,"30,772,000","1,640,645","29,131,355",5.3,218,0
"Economic policy and
county planning","Budget coordination and
management","62,583,116","7,659,843","54,923,273",12.2,218,0
,Policy and plans development,"5,000,000",-,"5,000,000",-,218,0
,"County statistical information
services","10,000,000",-,"10,000,000",-,218,0
,Community development,"4,000,000",,"4,000,000",-,218,0
,Sub total,"81,583,116","7,659,843","73,923,273",9.4,218,0
"LANDS ,HOUSINGAND PHYSICAL PLANNING",,,,,,218,0
"General
Administration
and Support
Services(Lands)","General Administration and
Support Services","69,157,616","13,916,129","55,241,486",20.1,218,0
,Sub total,"69,157,616","13,916,129","55,241,486",20.1,218,0
"Physical planning
service","Physical and urban planning
services","124,260,982",-,"124,260,982",-,218,0
,External funding,"528,366,492",-,"528,366,492",-,218,0
,Sub total,"652,627,474",-,"652,627,474",-,218,0
"Housing Development
services",Housing services,"500,000",-,"500,000",-,219,0
,Sub total,"500,000",-,"500,000",-,219,0
"ROADS,TRANSPORTAND PUBLIC WORKS",,,,,,219,0
"Policy, General
administration,
planning & support
Service","General Administration and
Support Services","59,293,644","10,719,815","48,573,828",18.1,219,0
,Sub total,"59,293,644","10,719,815","48,573,828",18.1,219,0
"Roads development,
maintenance and
management",Road network improvement,"622,566,695","1,615,130","620,951,565",0.3,219,0
,"Construction of bridges and
maintenance","115,804,422",-,"115,804,422",-,219,0
,Mechanization services,"65,000,000",-,"65,000,000",-,219,0
,Sub total,"803,371,117","1,615,130","801,755,987",0.2,219,0
TRADE TOURISM AND COOPERATIVE,,,,,,219,0
"Policy, Planning
and Administrative
Support Services","General Administration and
Support Services","45,820,872","17,592,750","28,228,121",38.4,219,0
,Sub total,"45,820,872","17,592,750","28,228,121",38.4,219,0
"Trade And Markets
Promotion And
Development","Trade Development And
Promotion Of SMEs Services","14,837,758","3,866,158","10,971,600",26.1,219,0
,"Trade infrastructure
development services","78,250,000",-,"78,250,000",-,219,0
,Regional economic integration,"1,020,000","102,000","918,000",10,219,0
,Sub total,"94,107,758","3,968,158","90,139,600",4.2,219,0
"Industrial
development and
investment services","Promotion Of Industrial
Development And Investments","1,380,000","260,000","1,120,000",18.8,219,0
,"Industrial Parks And
Infrastructure Development","1,020,000",-,"1,020,000",-,219,0
,Sub total,"2,400,000","260,000","2,140,000",10.8,219,0
"Cooperative
development services","Cooperative Development
Services And Promotion","1,320,000",-,"1,320,000",-,219,0
,"Cooperative Oversight And
Compliance","1,416,000",-,"1,416,000",-,219,0
,"Cooperative Policy, Research
And Advisory","1,080,000",-,"1,080,000",-,219,0
,Sub total,"3,816,000",-,"3,816,000",-,219,0
Tourism Development,"Tourism Promotion, Investment
And Marketing","750,000",-,"750,000",-,219,0
,Cradle Of Mankind Circuit,"1,720,000",-,"1,720,000",-,219,0
,Tourism products and services,"12,000,000",-,"12,000,000",-,219,0
,Sub total,"14,470,000",-,"14,470,000",-,219,0
"Trade And Markets
Promotion And
Development",Metrological laboratory services,"1,170,000",-,"1,170,000",-,219,0
,Sub total,"1,170,000",-,"1,170,000",-,219,0
"Liquor Licensing and
Control Services",Infrastructure Development,"6,100,000",-,"6,100,000",-,219,0
,Sub total,"6,100,000",-,"6,100,000",-,219,0
COUNTY ASSEMBLY,,,,,,219,0
"General
Administration
and Support
Services(SPEAKER
DEPARTMENT)",Administrative services,"15,000,000",-,"15,000,000",-,219,0
,Sub total,"15,000,000",-,"15,000,000",-,219,0
