Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual
Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"Development and Maintenance of
Roads","Routine Maintenance Of
Roads","44,000,000",-,-,-,61,0
,Development Of Roads,"269,250,469",-,-,-,61,0
,"Building Infrastructure
Development","3,000,000",-,-,-,61,0
Energy Development,Solar Energy Exploration,"17,293,632",-,-,-,61,0
Other Development Projects,Other Projects,"287,490,000",-,-,-,61,0
Sub-totals,,"708,463,432","867,397.00","86,561,934",0.12,61,0
7. Public Service Management,,,,,,61,0
"General Administration and Support
services","Administrative Support
Service","281,720,005.00","65,034.00","281,654,971",0.02,61,0
Sub-totals,,"281,720,005.00","65,034.00","281,654,971",0.02,61,0
"8. Lands, Housing and Urban Development",,,,,,61,0
"General Administration and Support
services","Administrative Support
Service","71,311,785.00","857,219.00","70,454,566.00",1.20,61,0
Land Use and management,Land Use Planning,"5,000,000.00",-,-,-,61,0
"Housing development and
management",Housing Development,"2,000,000.00",-,-,-,61,0
"County Urban Management and
Development",Urban Management,"137,800,000",-,-,-,61,0
Other Development Projects,,"60,900,000",-,-,-,61,0
Sub-totals,,"277,011,785","857,219","70,454,566",0.31,61,0
"9. Water, Environment and Natural Resources",,,,,,61,0
"General Administration and support
services","Administrative Support
Service","107,322,782","958,788","106,363,994",0.89,61,0
Water Supply Services,Water Supply,"17,033,717",-,"17,033,717",-,61,0
"Programme: Small Holder Irrigation
and Drainage",Irrigation Services,"4,000,000",-,"4,000,000",-,61,0
"Rehabilitation and restoration of
degraded landscape.","Rehabilitation Of Degraded
Areas","19,000,000",-,"19,000,000",-,61,0
Other Development Projects,Other Projects,"192,450,000",-,"192,450,000",-,61,0
Sub-totals,,"339,806,499","958,788","338,847,711",0.28,61,0
10. Health and Sanitation,,,,,,61,0
"General Administration and support
services","Administrative Support
Service","1,639,372,564","230,687,094","1,408,685,470",14.07,61,0
Health Curative Services,Infrastructure Development,"6,000,000",-,"6,000,000",-,61,0
,Hospital Equipment,"36,858,318",-,"36,858,318",-,61,0
Preventive and Health Services,Infrastructure Development,"28,272,414",-,"28,272,414",-,61,0
,"Lower Level Hospital
Equipment","12,167,022",-,"12,167,022",-,61,0
,"HIV/Aids Prevention And
Control","4,000,000",-,"4,000,000",-,61,0
,"Malaria Control And
Reproductive Health","9,740,733",-,"9,740,733",-,61,0
,Health Promotion Unit,"110,463,548",-,"110,463,548",-,61,0
Other Development Projects,Ward,"42,800,000",-,"42,800,000",-,61,0
Sub-totals,,"1,889,674,599","230,687,094","1,658,987,505",12.21,61,0
County Public Service Board,,,,,,61,0
Administrative support service,"Administrative Support
Service","50,983,973","1,600","50,982,373",-,61,0
Sub-totals,,"50,983,973","1,600","50,982,373",-,61,0
11. The Governorship,,,,,,61,0
Administrative support service,"Administrative Support
Service","404,411,192","10,247,112","394,164,080",2.53,61,0
Disaster Risk Management,Disaster Preparedness,"70,034,502",-,"70,034,502",-,61,0
Information dissemination,,"10,000,000",-,"10,000,000",-,62,0
Other Development Projects,,"1,150,000",-,"1,150,000",-,62,0
Sub-totals,,"485,595,694","10,247,112","475,348,582",2.11,62,0
12. The County Assembly,,,,,,62,0
Administrative support service,"Administrative Support
Service","736,559,447","69,140,490","667,418,957",9,62,0
"County Assembly Infrastructural
Development",Infrastructural Development,"66,000,000",-,"66,000,000",-,62,0
Sub-totals,,"802,559,447","69,140,490","733,418,957",9,62,0
,,,,,,62,0
Grand Total,,"7,014,506,252","610,396,794","6,404,109,458",9,62,0
