Program,Sub Program,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,LCRH Infrastructure Development,"9,000,000",-,"9,000,000",-,338,0
Medical Supplies,,"411,282,467",-,"411,282,467",-,338,0
,Medical Supplies,"409,282,467",-,"409,282,467",-,338,0
,Health Commodities management,"2,000,000",-,"2,000,000",-,339,0
"Policy, Planning, Mon-
itoring and Evaluation",,"45,504,109",-,"45,504,109",-,339,0
,Health Information & Management,"6,328,287",-,"6,328,287",-,339,0
,Quality Assurance,"2,000,000",-,"2,000,000",-,339,0
,Universal Health Care,"37,175,822",-,"37,175,822",-,339,0
"Alcoholic Drinks
and Substance Abuse
Control",,"5,000,000",-,"5,000,000",-,339,0
,Rehabilitation & Treatment,"950,000",-,"950,000",-,339,0
,Public Education & Awareness,"950,000",-,"950,000",-,339,0
,Liquor Licensing,"2,150,000",-,"2,150,000",-,339,0
,Training & Capacity Building,"950,000",-,"950,000",-,339,0
,"Education, Sports and Social
Protection.",,,,-,339,0
Social Protection,,"51,442,410",-,"51,442,410",-,339,0
,"Turkana County Persons with
Disability Development","24,500,000",-,"24,500,000",-,339,0
,"Marginalized and Minority groups
support","1,365,493",-,"1,365,493",-,339,0
,Child Rescue Centers,"20,000,000",-,"20,000,000",-,339,0
,Child Care & Protection,"5,576,917",-,"5,576,917",-,339,0
"Sports and Talent
Development",,"35,277,665","970,200","34,307,465",2.8,339,0
,Sports and Talent Development,"9,279,109","970,200","8,308,909",10.5,339,0
,Stadia,"25,998,556",-,"25,998,556",-,339,0
"General Administra-
tion and Support
Services",,"690,594,540","145,000,000","545,594,540",21.0,339,0
,General Administration - Education,"346,594,540",-,"346,594,540",-,339,0
,"Turkana Education and Skill De-
velopment Fund","294,000,000","145,000,000","149,000,000",49.3,339,0
,Turkana Higher Education Loans,"50,000,000",-,"50,000,000",-,339,0
Vocational Training,,"29,180,545","1,000,000","28,180,545",3.4,339,0
,Youth Polytechnic Infrastructure,"10,000,000",-,"10,000,000",-,339,0
,Training and Development,"3,226,370",-,"3,226,370",-,339,0
,Co-Curricular Activities,"2,060,877",-,"2,060,877",-,339,0
,Youth Polytechnics- Conditional,"13,893,298","1,000,000","12,893,298",7.2,339,0
Public Relations,,"2,811,425",-,"2,811,425",-,339,0
,Publicity,"1,249,120",-,"1,249,120",-,339,0
,Research and Sensitization,"1,562,305",-,"1,562,305",-,339,0
"Early Childhood
Education",,"329,907,861",-,"329,907,861",-,339,0
,School Feeding,"158,000,000",-,"158,000,000",-,339,0
,Quality Improvement,"7,392,201",-,"7,392,201",-,339,0
,Infrastructure Development,"156,515,660",-,"156,515,660",-,339,0
,Support to Pre-Primary Training,"8,000,000",-,"8,000,000",-,340,0
,Finance and Economic Planning,,,,-,340,0
"ICT and E-Govern-
ment",,"17,125,742",-,"17,125,742",-,340,0
,Enhancing ICT Capacity,"1,842,670",-,"1,842,670",-,340,0
,"ICT Infrastructure Development
and Improvement","8,000,000",-,"8,000,000",-,340,0
,"Enhancing Communication and
Access to Information","1,017,801",-,"1,017,801",-,340,0
,"Development and Implementation
of ICT Policy and Regulations","2,220,657",-,"2,220,657",-,340,0
,"Acquisition of Information Systems
and Equipment","4,044,614",-,"4,044,614",-,340,0
"County Revenue Pro-
gramme",,"40,941,137","612,660","40,328,477",1.5,340,0
,Automated Revenue Collection,"4,540,650",-,"4,540,650",-,340,0
,Revenue Bills and Policies,"950,548",-,"950,548",-,340,0
,"Awareness and Campaigns on
Revenue at Ward Level","3,834,913",-,"3,834,913",-,340,0
,"Automated Revenue Solution
System","1,126,370",-,"1,126,370",-,340,0
