Programme Description,Approved Budget,Actual Payments,Variance,page_number,table_index
Intergovernmental Relations,"17,620,000",-,"17,620,000",106,0
County Government Advisory Service,"15,040,000",-,"15,040,000",106,0
"Public Service, Administration and Citizen Participation","84,744,127","2,026,800","82,717,327",106,0
County administration,"57,744,127",-,"57,744,127",106,0
Citizen participation,"27,000,000","2,026,800","24,973,200",106,0
"ICT, Special Programmes and Service Delivery","45,077,769","479,000","44,598,769",106,0
"Information, Communication and Technology","33,376,151","479,000","32,897,151",106,0
Special Programmes,"11,701,618",-,"11,701,618",106,0
"General Administration, Policy and coordination","390,803,100","63,961,721","326,841,379",106,0
Office of the Clerk,"41,680,000","822,380","40,857,620",106,0
Directorate of Finance & Compliance,"10,088,000","766,470","9,321,530",106,0
Assembly Service Board,"52,270,000","1,222,951","51,047,049",106,0
Assembly Service Board,"286,765,100","61,149,920","225,615,180",107,0
,"35,168,128","511,000","34,657,128",107,0
Museum,"3,027,000","511,000","2,516,000",107,0
Cultural Activities,"31,981,128",-,"31,981,128",107,0
County Parks,"160,000",-,"160,000",107,0
,"95,442,937","11,114,057","84,328,880",107,0
Gender,"95,442,937","11,114,057","84,328,880",107,0
,"57,365,780","671,300","56,694,480",107,0
Youth Development,"20,000,000",-,"20,000,000",107,0
Sports Training and Competitions,"17,000,080",-,"17,000,080",107,0
Gender Mainstreaming,"6,492,700","318,500","6,174,200",107,0
Disability Mainstreaming,"13,873,000","352,800","13,520,200",107,0
"General Administration, Planning and Support Services","121,264,405","27,052,846","94,211,559",107,0
Storm Water Management Services,"7,750,000","900,000","6,850,000",107,0
"General Administration, Policy and Coordination","113,514,405","26,152,846","87,361,559",107,0
,"345,376,067","1,146,592","344,229,475",107,0
Water,"333,010,000","1,102,992","331,907,008",107,0
Irrigation,"12,366,067","43,600","12,322,467",107,0
Total,"10,286,441,043","875,391,425","9,411,049,618",107,0
