Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual
Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
,"Cultural Development and
Promotion Services","14,000,000",-,"14,000,000",-,87,0
,Sub total,"26,615,425",-,"26,615,425",-,87,0
"Social Development and Empowerment
Services","Gender and Women
Empowerment","1,895,000",-,"1,895,000",-,87,0
,"Social Development and Support
Services","16,095,316",-,"16,095,316",-,87,0
,Youth Empowerment,"2,000,000",-,"2,000,000",-,87,0
,Disability Mainstreaming,"4,000,000",-,"4,000,000",-,87,0
,Sub total,"23,990,316",-,"23,990,316",-,87,0
"Management and Development of Sports
and Sports Facilities","Sports Infrastructure
Development Services","160,329,509",-,"160,329,509",-,88,0
,"Sports Management and Talent
Development","12,200,000",-,"12,200,000",-,88,0
,Sub total,"172,529,509",-,"172,529,509",-,88,0
"Department of Roads, Transport and Public Works",,,,,,88,0
"General Administration, Planning and
Support Services","Human Resource and Support
Services","65,399,937.50","11,324,325","54,075,613",17.3,88,0
,"Roads and Transport Services
Operations","11,374,761.50",-,"11,374,762",-,88,0
,Sub total,"76,774,699","11,324,325","65,450,374",14.8,88,0
Public works and maintenance services,Quality control,"974,100",-,"974,100",-,88,0
,"Plant and Machinery
maintenance","5,600,000",-,"5,600,000",-,88,0
,Enforcement Services,"1,570,000",-,"1,570,000",-,88,0
,Sub total,"8,144,100",-,"8,144,100",-,88,0
"Road Development and Maintenance
Services","Road Development and
Rehabilitation services","48,499,922.00",-,"48,499,922",-,88,0
,Road maintenance,"346,004,452.00",-,"346,004,452",-,88,0
,Sub total,"394,504,374",-,"394,504,374",-,88,0
Transport Services,Bus Park Improvement Services,"25,920,000",-,"25,920,000",-,88,0
,Sub total,"25,920,000",-,"25,920,000",-,88,0
Department of Energy and Mining,,,,,,88,0
Energy Services,Electrical Power Services,"14,800,000",-,"14,800,000",-,88,0
,Solar Power Services,"43,658,987",-,"43,658,987",-,88,0
,"Low Cost energy Technologies
promotion Services","17,772,949",-,"17,772,949",-,88,0
,Sub total,"76,231,936",-,"76,231,936",-,88,0
"Mineral Resource Development and
Marketing Services","Construction mineral
development and marketing
services","3,000,000",-,"3,000,000",-,88,0
,Sub total,"3,000,000",,"3,000,000",-,88,0
"General Administration, Planning and
Support Services",Administrative Support Services,"35,088,406","4,691,451","30,396,955",13.4,88,0
,"Development of Policies, Plans,
Regulations and Legislations","649,149",,"649,149",-,88,0
,Sub total,"35,737,555","4,691,451","31,046,104",13.1,88,0
Department of Education and ICT,,,,,,88,0
"General Administration and Quality
Assurance Service",General administration Services,"14,948,426",-,"14,948,426",-,88,0
,Quality Assurance Services,"522,729,773","45,954,112","476,775,661",8.8,88,0
,Sub total,"537,678,199","45,954,112","491,724,087",8.5,88,0
ECDE and Vocational Training Services,ECDE Services,"55,275,957",-,"55,275,957",-,89,0
,Vocational Training Services,"56,458,942",-,"56,458,942",-,89,0
,Sub total,"111,734,899",-,"111,734,899",-,89,0
ICT Services,Information Services,"1,030,700",-,"1,030,700",-,89,0
,ICT Infrastructure Development,"11,521,409",-,"11,521,409",-,89,0
,Sub total,"12,552,109",-,"12,552,109",-,89,0
Department of Health Services,,,,,,89,0
"Policy planning and administrative
support service","Policy, Planning and
Monitoring Services","13,473,807",-,"13,473,807",-,89,0
,Administrative Support Services,"1,864,490,967","253,257,506","1,611,233,461",13.6,89,0
,Sub total,"1,877,964,774","253,257,506","1,624,707,268",13.5,89,0
Preventive and promotive health services,Community health services,"77,400,000",-,"77,400,000",-,89,0
,Disease control services,"47,500,000",-,"47,500,000",-,89,0
,Sub total,"124,900,000",-,"124,900,000",-,89,0
"Curative and rehabilitative health
services",Routine medical health services,"268,017,729",-,"268,017,729",-,89,0
,"Medical emergency response
services","12,000,000",-,"12,000,000",-,89,0
,"Facility infrastructure
improvement services","323,247,690",-,"323,247,690",-,89,0
,Sub total,"603,265,419",-,"603,265,419",-,89,0
Research and development service,"Research and surveillance
services","2,703,000",-,"2,703,000",-,89,0
,Capacity development services,"3,500,000",-,"3,500,000",-,89,0
,Sub total,"6,203,000",-,"6,203,000",-,89,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,89,0
General Administration Services,"General administrative support
services","33,768,440","7,094,555","26,673,885",21.0,89,0
,Policy development,"1,390,000",-,"1,390,000",-,89,0
,Monitoring and Evaluation,"694,409",-,"694,409",-,89,0
,General office operations,"24,310,550",-,"24,310,550",-,89,0
,Sub total,"60,163,399","7,094,555","53,068,844",11.8,89,0
Lands and Physical planning,County Spatial planning,"35,477,062",-,"35,477,062",-,89,0
,"Survey, Demarcation and
upgrading of markets","6,232,308",-,"6,232,308",-,89,0
,Sub total,"41,709,370",-,"41,709,370",-,89,0
Housing and Urban Development,Housing improvement services,"8,000,760",-,"8,000,760",-,89,0
,"Smart settlement services
(Equiping of Ndhiwa ABTC)","3,100,000",-,"3,100,000",-,89,0
,"Kenya Urban Support
Programme (KUSP)","119,892,100",-,"119,892,100",-,89,0
,Sub total,"130,992,860",-,"130,992,860",-,89,0
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,89,0
Planning and Administrative services,"Administrative and Support
Services","171,826,059",41782165,"130,043,894",24.3,89,0
,"Policy Development and
Implementation Services","46,123,140",-,"46,123,140",-,90,0
,Sub total,"217,949,199","41,782,165","176,167,034",19.2,90,0
"Trade, Cooperative and Entrepreneurship
Development Service","Cooperative Development
Services","10,000,000",-,"10,000,000",-,90,0
,"Enterprise Development and
Promotion Services","5,889,893",-,"5,889,893",-,90,0
,"Trade Infrastructure
Development Services","90,245,511",-,"90,245,511",-,90,0
,Sub total,"106,135,404",-,"106,135,404",-,90,0
"Industrial Development and Investment
Services","Value Chain Development
Services","49,800,000",-,"49,800,000",-,90,0
,"Financial and Investment
Services","2,000,000",-,"2,000,000",-,90,0
,Sub total,"51,800,000",-,"51,800,000",-,90,0
"Department of Water, Environment and Natural Resources",,,,,,90,0
General Administrative services,Administrative Support Services,"156,158,105","25,729,550","130,428,555",16.5,90,0
,Policy and Planning Services,"1,200,000",-,"1,200,000",-,90,0
,Sub total,"157,358,105","25,729,550","131,628,555",16.4,90,0
Water Supply and Management Services,Urban Water Supply Services,"51,845,920",-,"51,845,920",-,90,0
,Rural Water Supply Services,"228,500,000",-,"228,500,000",-,90,0
,Sub total,"280,345,920",-,"280,345,920",-,90,0
"Environmental Protection and
Management Services","Pollution and Waste
Management services","34,100,000",-,"34,100,000",-,90,0
,Forestry Development Services,"11,200,000",-,"11,200,000",-,90,0
,Land Reclamation Services,"5,000,000",-,"5,000,000",-,90,0
,Sub total,"50,300,000",-,"50,300,000",-,90,0
"Department of Finance, Economic Planning and Service Delivery",,,,,,90,0
"General administration and support
services","Staff Remuneration and Welfare
Support Services","109,871,580","51,255,260","58,616,320",46.7,90,0
,"General Logistics, Coordination
and Asset Management Services","8,735,098",-,"8,735,098",-,90,0
,"Devolution and Service Delivery
Support Services","41,216,648",-,"41,216,648",-,90,0
,Sub total,"159,823,326","51,255,260","108,568,066",32.1,90,0
"Planning, budgeting and development
coordination services","Economic planning and
development services","108,600,200",-,"108,600,200",-,90,0
,Resource Allocation Services,"12,129,714",-,"12,129,714",-,90,0
,"Community Development
Participation Services","30,146,160",-,"30,146,160",-,90,0
,Sub total,"150,876,074",-,"150,876,074",-,90,0
"Strategy and service delivery
management services","Monitoring and evaluation
services","7,989,200",-,"7,989,200",-,91,0
,"Strategy and service delivery
improvement services","3,970,000",-,"3,970,000",-,91,0
,Sub total,"11,959,200",-,"11,959,200",-,91,0
Resource mobilization services,"External Resources
Mobilization Services","8,448,248",-,"8,448,248",-,91,0
,"Internal Revenue Generation
Services","53,721,280",-,"53,721,280",-,91,0
,Sub total,"62,169,528",-,"62,169,528",-,91,0
,"Accounting and Financial
Reporting Services","12,554,530",-,"12,554,530",-,91,0
,Audit and Advisory Services,"8,318,740",-,"8,318,740",-,91,0
Financial management services,"Emergency Management
Services","70,000,000",-,"70,000,000",-,91,0
,Sub total,"90,873,270",-,"90,873,270",-,91,0
Office of the Governor,,,,,,91,0
"Public service administration support
services","Human resource management
and development services","260,167,019","155,596,359","104,570,660",59.8,91,0
,"supply chain management
services","5,559,541",-,"5,559,541",-,91,0
,Legal Services,"16,000,000",-,"16,000,000",-,91,0
,"Logistics, security and asset
management services","33,824,360",-,"33,824,360",-,91,0
,"Performance contracting and
appraisal services","7,500,000",-,"7,500,000",-,91,0
,Sub total,"323,050,920","155,596,359","167,454,561",48.2,91,0
Governance and coordination services,"Executive management and
liaison services","94,565,410.00",-,"94,565,410",-,91,0
,"Field coordination and
administration services","154,266,000.00",-,"154,266,000",-,91,0
,Sub total,"248,831,410",-,"248,831,410",-,91,0
"Strategy and service delivery
improvement services",Strategy and advisory services,"19,739,640",-,"19,739,640",-,91,0
,Efficiency monitoring services,"32,003,000",-,"32,003,000",-,91,0
,"Information and communication
services","5,950,000",-,"5,950,000",-,91,0
,Disaster management services,"8,360,600",-,"8,360,600",-,91,0
,Sub total,"66,053,240",-,"66,053,240",-,91,0
County Public Service Board,,,,,,91,0
"Policy, Planning and Administration
Services",Policy and Planning Services,"2,124,900",-,"2,124,900",-,92,0
,Administrative Support Services,"51,444,305","3,344,200","48,100,105",6.5,92,0
,"Facility Improvement &
Capacity Strengthening Services","6,000,000",-,"6,000,000",-,92,0
,Sub total,"59,569,205","3,344,200","56,225,005",5.6,92,0
"Personnel Sourcing and Management
Services","Recruitment, Selection and
Deployment Services","4,817,000",-,"4,817,000",-,92,0
,"Human Resource Advisory
Services","8,230,000",-,"8,230,000",-,92,0
,Capacity Development Services,"3,295,500",-,"3,295,500",-,92,0
,Sub total,"16,342,500",-,"16,342,500",-,92,0
Performance Management Services,"Performance Contracting and
Appraisal Services","783,000",-,"783,000",-,92,0
,Sub total,"783,000",-,"783,000",-,92,0
County Assembly Service Board,,,,,,92,0
Legislative Services,"Members welfare Support
services","323,630,788","54,085,199","269,545,589",16.7,92,0
,"Legislative development and
approval services","53,176,569","11,433,900","41,742,669",21.5,92,0
,Sub total,"376,807,357","65,519,099","311,288,258",17.4,92,0
Oversight and Control Services,Capacity building services,"8,000,000",-,"8,000,000",-,92,0
,Report writing services,"19,500,000",-,"19,500,000",-,92,0
,"Public participation and
education services","12,081,120",-,"12,081,120",-,92,0
,Sub total,"39,581,120",-,"39,581,120",-,92,0
Ward Representation Services,Staff welfare support services,"51,619,464","2,527,580","49,091,884",4.9,92,0
,"Ward operations and
maintenance","84,000,000","14,712,000","69,288,000",17.5,92,0
,Sub total,"135,619,464","17,239,580","118,379,884",12.7,92,0
"Policy, Planning and Administrative",Administrative support services,"234,525,916","63,829,045","170,696,871",27.2,92,0
Support Services,Financial management Services,"145,698,720",4928200,"140,770,520",3.4,92,0
,"Assembly infrastructure
development Services","122,283,799",-,"122,283,799",-,92,0
,Sub total,"502,508,435","68,757,245","433,751,190",13.7,92,0
Homa Bay Municipal Board,,,,,,92,0
