Programme,Sub- Programme,"Approved Budge
(Kshs)","t Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index,"Approved Budget
(Kshs)","Actual Payments
(Kshs)"
,Sub total,,,"936,241,299",21.7,362,0,"1,195,128,404","258,887,105"
"Promotive and Preventive
Healthcare Services",Public Health Services,,,"25,588,944",0.4,362,0,"25,700,000","111,056"
,"Community Health
Strategy",,,"5,902,800",5.4,362,0,"6,240,000","337,200"
,Health Promotion,,,"3,795,284",-,362,0,"3,795,284",-
,Reproductive Healthcare,,,"340,000",-,362,0,"340,000",-
,"Disease Surveillance and
Emergency",,,"465,200",5.1,362,0,"490,000","24,800"
,Sub total,,,"36,092,228",1.3,362,0,"36,565,284","473,056"
"Curative And
Rehabilitative Health
Services",Medical services,,,"210,979,000",0.3,363,0,"211,600,000","621,000"
,County referral services,,,"240,000",-,363,0,"240,000",-
,"Drugs and Other Medical
Supplies",,,"140,000",-,363,0,"140,000",-
,Sub total,,,"211,359,000",0.3,363,0,"211,980,000","621,000"
"Child and Maternal Health
Care","Antenatal and Post Natal
healthcare",,,"1,800,000",-,363,0,"1,800,000",-
,"Antenatal and Post Natal
Healthcare",,,"1,440,000",-,363,0,"1,440,000",-
,Maternity Services,,,"41,368,276",-,363,0,"41,368,276",-
,"New-born, Child and
Adolescent Health",,,"1,140,000",-,363,0,"1,140,000",-
,Nutrition Services,,,"440,000",-,363,0,"440,000",-
,Sub total,,,"46,188,276",-,363,0,"46,188,276",-
"Administration, Planning
and Support Service",Administrative Service,,,"282,087,451",5.1,363,0,"297,352,824","15,265,373"
,Sub total,,,"282,087,451",5.1,363,0,"297,352,824","15,265,373"
"Vocational Education and
Training","Youth Polytechnic
Development",,,"69,935,500",0.7,363,0,"70,416,000","480,500"
,Sub total,,,"69,935,500",0.7,363,0,"70,416,000","480,500"
"Early Childhood
Development",ECD Development,,,"130,781,824",15.1,363,0,"153,956,700","23,174,876"
,Sub total,,,"130,781,824",15.1,363,0,"153,956,700","23,174,876"
"Administration, Planning
and Support Service",Administrative Service,,,"797,817,111",22.8,363,0,"1,033,661,744","235,844,633"
,County Administration,,,"25,197,640",12.8,363,0,"28,912,000","3,714,360"
,"County Radio Information
Services",,,"14,308,140",25.9,363,0,"19,307,140","4,999,000"
,Sub total,,,"837,322,891",22.6,363,0,"1,081,880,884","244,557,993"
"Public Finance
Management","Public Finance
Management",,,"10,795,000",10.8,363,0,"12,100,000","1,305,000"
,Accounting Services,,,"12,906,000",6.1,363,0,"13,750,000","844,000"
,Audit Services,,,"15,218,450",9.1,363,0,"16,750,000","1,531,550"
,"Budget Formulation
Coordination",,,"10,420,200",4.4,363,0,"10,900,000","479,800"
,Resource Mobilization,,,"20,866,555",4.7,363,0,"21,900,000","1,033,445"
,"Budget Expenditure
Management",,,"17,975,300",13.0,363,0,"20,650,000","2,674,700"
,Sub total,,,"88,181,505",8.2,363,0,"96,050,000","7,868,495"
County Planning Services,"Monitoring and
Evaluation",,,"6,729,900",12.9,363,0,"7,725,000","995,100"
,"Coordination of Policy
Formulation and Plans",,,"10,629,970",-3.8,363,0,"10,239,970","(390,000)"
,Sub total,,,"17,359,870",3.4,363,0,"17,964,970","605,100"
"Coordination and
Supervisory Services",Performance Management,,,"200,000",-,363,0,"200,000",-
,"Disaster Management and
Mitigation",,,"200,000",-,363,0,"200,000",-
,Sub total,,,"400,000",-,363,0,"400,000",-
