Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 31st March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"P: Land Policy and
Planning","SP: Physical Planning
Services","50,571,000","20,000,000","30,919,770","8,542,140",61.1,42.7,560,0
,"SP: Land administration
& management","6,150,700",,"2,104,235",,34.2,-,560,0
Sub Total,,"56,721,700","123,160,000","33,024,005","8,542,140",58.2,6.9,560,0
3632 Fisheries and Ecosystem Development,,,,,,,,560,0
"P: Livestock and
Fisheries Resource
Management and
Development","SP: Fisheries Develop-
ment and Promotion","17,005,304","19,810,384","6,751,225",-,39.7,-,560,0
Sub Total,,"17,005,304","19,810,384","6,751,225",-,39.7,-,560,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",561,0
"3633 Gender, Children and Social Services",,,,,,,,561,0
"P: Gender and Youth
Empowerment","SP: Gender, Youth and
Women Empowerment","26,150,000",-,"10,906,550",-,41.7,-,561,0
Sub Total,,"26,150,000",-,"10,906,550",-,41.7,-,561,0
"3634 Trade, Investment Promotion, Energy and Industry",,,,,,,,561,0
"P: Energy Resource
Development & Man-
agement","SP: Energy Resource
Development & Man-
agement","2,900,400","8,000,000","185,500",-,6.4,-,561,0
"P: General Adminis-
tration, Planning and
Support Services","SP: General Admin-
istration and Support
Services","49,101,480","5,000,000","34,763,937",-,70.8,-,561,0
"P: Industrial Develop-
ment and Investment","SP: Industrial Devel-
opment","4,450,000","240,000,000","432,840",-,9.7,-,561,0
,"SP: Consumer Pro-
tection & Fair Trade
Practices","6,930,000","5,000,000",-,-,-,-,561,0
Sub Total,,"63,381,880","258,000,000","35,382,277",-,55.8,-,561,0
3621 County Assembly,,,,,,,,561,0
"General Administra-
tion, Planning and
Support Services",Office of the Clerk,"283,794,105","60,000,000","170,828,328",-,60.2,-,561,0
"County Legislation
Services","County Assembly
Services","198,521,075",-,"132,930,526",,67.,-,561,0
,"Coordination Services
(Office of the Speaker)","6,300,000",-,"4,860,000",-,77.1,-,561,0
,"Procedure and
Oversight Services
(Committees)","55,901,416",-,"48,113,314",-,86.1,-,561,0
Sub Total,,"544,516,596","60,000,000","356,732,168",-,65.5,-,561,0
Grand Total,,"4,040,317,108","2,460,179,019","2,547,017,918","687,274,801",63.,27.9,561,0
