Programme,Sub-Programme,"Approved Estimates FY 2023/24
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate %,col_7,page_number,table_index
Mobility,"Transportation, Traffic Man-
agement Services","154,700,000","488,735,000","105,071,620","33,000,000",68,7,423,0
,Garage/Transportation,"7,000,000","134,350,000",-,"4,988,000",-,4,423,0
Total - Mobility and Works,,"1,100,720,962","3,300,269,460","740,041,773","529,437,189",67,16,423,0
Talent Skills Development and Care,,,,,,,,423,0
"General administration,
planning and support
services","General Administration &
Support Services","1,752,420,205",-,"994,304,538",-,57,-,423,0
Education services,"Early Childhood Develop-
ment Centres","100,000,000","130,950,000","100,000,000",-,10,-,423,0
,"Technical and Vocational
Training","5,500,000","38,933,024","1,037,800",-,19,-,423,0
,"Quality Assurance and
Co-curriculum","400,000",-,-,-,-,-,423,0
Social Services,"General Administration &
Support Services","122,348,766",-,"110,201,354",-,9-,-,423,0
,"Gender and Community
Empowerment","2,750,000",-,-,-,-,-,423,0
,"Social welfare and care for
the Aged","6,050,000",-,"357,600",-,6,-,423,0
,"Rescue and Rehabilitation of
Children Services","5,000,000","10,000,000",-,-,-,-,423,0
,"Control of Drugs and Por-
nography","3,950,000",-,-,-,-,-,423,0
"Youth, Talent & Sports","General Administration &
support Services","47,185,185",--,"27,551,705",-,58,-,423,0
,"Youth Empowerment and
Promotion","6,000,000",-,"392,000",-,7,-,423,0
,Recreational Services,"4,000,000","100,000,000",-,-,-,-,423,0
,"Development and promotion
of sports","28,000,000","545,000,000","5,150,895","122,666,846",18,23,423,0
,"Promotion of Library and
Information Services","2,000,000","4,500,000",-,-,-,-,423,0
"Total - Talent, Skills Development & Care",,"2,085,604,156","829,383,024","1,238,995,891","122,666,846",59,15,423,0
Business & Hustler Opportunities,,,,,,,,423,0
"General Administration
Planning and Support
Services","Business & Hustler Opportu-
nities Headquarters","472,498,302",--,"438,997,687",-,93,-,423,0
,,Rec,Dev,Rec,Dev,Rec,Dev,424,0
"Co-operative Develop-
ment and Audit Services",Co-operative Development,"18,500,000",-,"1,533,900",-,8,-,424,0
,Co-operative Audit,"11,500,000",-,"617,400",-,5,-,424,0
"Trade development and
Market Services","Markets Department Head-
quarters",-,-,"972,900",-,-,-,424,0
,"Markets Department
headquarters","15,000,000","991,000,000","342,300","2,095,900",2,-,424,0
,"Trade Development
Department","15,000,000","260,000,000",-,-,-,-,424,0
"Licensing and Fair-Trade
Practices",Weights & Measures Services,"6,000,000","30,000,000","951,800",-,16,-,424,0
,Trade Licensing,"9,000,000","35,000,000","1,842,220",-,2-,-,424,0
,"Gaming Services, Betting &
Gaming Services","25,000,000","29,000,000","2,696,400",-,11,-,424,0
"Business & hustler
opportunities","Micro, Small and Medium
Enterprises development","40,000,000","100,000,000",-,-,-,-,424,0
Total - Business & Hustler Opportunities,,"612,498,302","1,445,000,000","447,954,607","2,095,900",73,-,424,0
"Inclusivity Public Participation, & Citizen Engagement",,,,,,,,424,0
"Public Participation,
Citizen Engagement &
Customer Service","Public Participation, Citizen
Engagement & Customer
Service",--,-,-,-,-,-,424,0
,"Inclusivity Public partici-
pation & Citizen Engagement
Headquarters","99,455,565","40,000,000","81,022,392",-,81,-,424,0
,Public Communications,"33,000,000",-,"361,200",-,1,-,424,0
,"Public participation &
Citizen Engagement","34,945,000",-,"1,983,900",-,6,-,424,0
,Customer Care Services,"32,555,000",-,"793,500",-,2,-,424,0
"City Culture Arts &
Tourism",City Culture Arts & Tourism,"130,000,000",-,"4,807,100",-,4,-,424,0
School Feeding,School Feeding,"1,223,750,000","500,000,000","240,703,868","198,995,725",-,4-,424,0
Gender and Inclusivity,Gender and Inclusivity,"100,000,000","20,000,000","3,419,300",,3,-,424,0
"Total - Inclusivity Public Participation, & Citizen
Engagement",,"1,653,705,565","560,000,000","333,091,260","198,995,725",2,36,424,0
Nairobi Revenue Authority,,,,,,,,424,0
"Nairobi Revenue Au-
thority","Nairobi Revenue Authority
Services","450,000,000","100,000,000","91,937,763",-,2,-,424,0
Total - Nairobi Revenue Authority,,"450,000,000","100,000,000","91,937,763",-,2,-,424,0
Liquor Licensing Board,,,,,,,,424,0
"Licensing and Fair-Trade
Practices","Liquor Licensing & Regu-
lation","220,571,299","70,000,000","138,584,763","13,277,885",63,19,424,0
Total – Liquor Licensing Board,,"220,571,299","70,000,000","138,584,763","13,277,885",63,19,424,0
County Assembly,,,,,,,,424,0
"Legislation, Oversight
and Representation","Legislation and Represen-
tation; Oversight; General
Administration and Support
Services","2,024,000,000","1,215,000,000","1,353,972,426",-,67,-,424,0
Total - County Assembly,,"2,024,000,000","1,215,000,000","1,353,972,426",-,67,-,424,0
GRAND TOTAL,,"28,315,598,651","14,014,652,484","18,431,845,300","1,255,073,524",65,9,424,0
