Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31 March
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"General Adminis-
tration, Planning
and Support
Services","General Administration
Services","3,975,587.21","60,382,341.59","351,677.70","19,306,676.65",8.85,-,112,0
"Road Develop-
ment",Road Development,"25,841,316.78","392,485,219.42","2,285,905.05","125,493,397.92",8.85,-,112,0
Public Works,Public Works,"1,987,793.60","30,191,170.80","175,838.85","9,653,338.32",8.85,-,112,0
"Renewable Ener-
gy Development",Energy,"3,975,587.21","60,382,341.59","351,677.70","19,306,676.65",8.85,-,112,0
"Transport and
logistics",Transport and Logistics,"3,975,587.21","60,382,341.59","351,677.70","19,306,676.65",8.85,-,112,0
Sub Total,,"39,755,872.00","603,823,415.00","3,516,777.00","193,066,766.20",8.85,31.97,112,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,,,112,0
"Education admin-
istration and
Support Services","Human Resource Devel-
opment","25,388,802.75","12,124,373.51","12,968,030.09","2,272,577.10",51.08,-,112,0
"Education admin-
istration and
Support Services","General Operation and
Maintenance","25,388,802.75","12,124,373.51","12,968,030.09","2,272,577.10",51.08,-,112,0
,,,,,,,88,112,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",113,0
"Education admin-
istration and
Support Services","Continuous assessment,
monitoring and Evaluation","25,388,802.75","12,124,373.51","12,968,030.09","2,272,577.10",51.08,-,113,0
"Access and Re-
tention in ECDE
Centres","Construction of ECD
Classes.","22,849,922.55","10,911,936.20","11,671,227.13","2,045,319.39",51.08,-,113,0
"Access and Re-
tention in ECDE
Centres","Community mobilization
and sensitization","22,849,922.55","10,911,936.20","11,671,227.13","2,045,319.39",51.08,-,113,0
"Access and Re-
tention in ECDE
Centres","Development and review
of nurturing care ACTS &
policies","22,849,922.55","10,911,936.20","11,671,227.13","2,045,319.39",51.08,-,113,0
"Access and Re-
tention in ECDE
Centres","Facilitate school feeding
Programme/ Reintroduce
school milk programmes","22,849,922.55","10,911,936.20","11,671,227.13","2,045,319.39",51.08,-,113,0
"Access and Re-
tention in ECDE
Centres","Provide and improve on
outdoor and indoor play
equipment.","22,849,922.55","10,911,936.20","11,671,227.13","2,045,319.39",51.08,-,113,0
"Improve Quality
and Relevance of
ECDE Services","Enhance use of digital
learning programmes","7,616,640.91","3,637,312.09","3,890,409.07","681,773.14",51.08,-,113,0
"Improve Quality
and Relevance of
ECDE Services","Retooling of ECDE
Teachers","7,616,640.91","3,637,312.09","3,890,409.07","681,773.14",51.08,-,113,0
"Improve Quality
and Relevance of
ECDE Services","Provision of adequate and
relevant learning materials","7,616,640.91","3,637,312.09","3,890,409.07","681,773.14",51.08,-,113,0
"Improve Quality
and Relevance of
ECDE Services","Renovation of ECDE
facilities","7,616,640.91","3,637,312.09","3,890,409.07","681,773.14",51.08,-,113,0
"Improve Quality
and Relevance of
ECDE Services",Improve quality assurance,"7,616,640.91","3,637,312.09","3,890,409.07","681,773.14",51.08,-,113,0
"Improve on
Transition from
Pre-Primary to
Primary School","Develop a county educa-
tion management system
to track transition of
children.","47,604,005.05","22,733,200.28","24,315,056.37","4,261,082.04",51.08,-,113,0
"Improve on
Transition from
Pre-Primary to
Primary School","Sensitization of parents
and BOMs on ECDE
issues","47,604,005.05","22,733,200.28","24,315,056.37","4,261,082.04",51.08,-,113,0
"Increase access
and retention
in Vocational
training.",Refurbish existing VTCs,"11,424,961.28","5,455,968.10","5,835,613.56","1,022,659.70",51.08,-,113,0
"Increase access
and retention
in Vocational
training.","Construction of dormito-
ries, in existing VTCs","11,424,961.28","5,455,968.10","5,835,613.56","1,022,659.70",51.08,-,113,0
"Increase access
and retention
in Vocational
training.","Construction of dining
halls and kitchens in
existing VTCs","11,424,961.28","5,455,968.10","5,835,613.56","1,022,659.70",51.08,-,113,0
"Increase access
and retention
in Vocational
training.","Provision of bursary,
grants, and scholarships","11,424,961.28","5,455,968.10","5,835,613.56","1,022,659.70",51.08,-,113,0
"Increase access
and retention
in Vocational
training.","Provision of modern tools
and equipment","11,424,961.28","5,455,968.10","5,835,613.56","1,022,659.70",51.08,-,113,0
Sub Total,,"380,832,042.00","181,865,603.00","194,520,451.82","34,088,656.50",51.08,18.74,113,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",114,0
"YOUTH EMPOWERMENT AND SPORTS, GENDER, CULTURE, CHILDREN AND SOCIAL SERVICES",,,,,,,,114,0
"General Adminis-
tration, Planning
and Support
Services","General Administrative
Unit","21,598,954.13","2,548,484.00","892,725.29",-,4.13,-,114,0
"Gender and So-
cial Development","Gender mainstreaming and
Development","26,998,693.15","3,185,605.06","1,115,906.63",-,4.13,-,114,0
Children Services,"Child Rehabilitation and
Custody","17,999,129.09","2,123,736.75","743,937.76",-,4.13,-,114,0
"Culture and Cul-
tural Preservation",Cultural preservation,"23,398,867.14","2,760,857.69","967,119.07",-,4.13,-,114,0
"Youth Devel-
opment and
Empowerment
Services","Youth Development and
Empowerment Services","48,597,647.28","5,734,089.06","2,008,631.91",-,4.13,-,114,0
"Management and
development of
Sport and Sport
facilities","Community Sports pro-
gramme","20,698,998.11","2,442,297.22","855,528.42",-,4.13,-,114,0
"Management and
development of
Sport and Sport
facilities","Sports administration and
development","20,698,998.11","2,442,297.22","855,528.42",-,4.13,-,114,0
Sub Total,,"179,991,287.00","21,237,367.00","7,439,377.49",-,4.13,-,114,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,,,114,0
"General Adminis-
tration, Planning
and Support
Services","General Administration
Services","6,783,386.89","5,348,214.11","2,446,576.77",-,36.07,-,114,0
"Physical Plan-
ning",Physical Planning Services,"16,958,467.41","13,370,535.43","6,116,441.99",-,36.07,-,114,0
"Physical Plan-
ning","Establishment and Promo-
tion of Land Policy","6,783,386.89","5,348,214.11","2,446,576.77",-,36.07,-,114,0
"Urban Develop-
ment",Urban Development,"27,133,547.93","21,392,856.74","9,786,307.21",-,36.07,-,114,0
"Municipality of
Embu",Municipality of Embu,"3,391,693.63","2,674,107.20","1,223,288.45",-,36.07,-,114,0
"Automation of
land records and
operations","Establishment of GIS
(Geo- referencing) Infor-
mation Station","3,391,693.63","2,674,107.20","1,223,288.45",-,36.07,-,114,0
"Valuation and
Rating",Valuation Roll,"3,391,693.63","2,674,107.20","1,223,288.45",-,36.07,-,114,0
Sub Total,,"67,833,870.00","53,482,142.00","24,465,768.10",-,36.07,-,114,0
EMBU COUNTY REVENUE AUTHORITY (ECRA),,,,,,,,114,0
"General Adminis-
tration Planning
and Support
Services","General Administration
Planning and Support
Services","8,578,680.30","5,536,171.74","2,949,278.77",-,34.38,-,114,0
"General Adminis-
tration Planning
and Support
Services","Revenue Management
Services","4,282,742.70","2,763,828.26","1,472,371.23",-,34.38,-,114,0
Sub Total,,"12,861,423.00","8,300,000.00","4,421,650.00",-,34.38,-,114,0
EMBU MUNICIPAL BOARD,,,,,,,,114,0
"General Adminis-
tration, Planning
and Support
Services","1) General Administration
Services","3,054,192.78","2,651,580.34","493,829.32","141,543.43",16.17,-,114,0
Road Transport,"1) Rural Roads Improve-
ment and Maintenance
Services","45,495,807.22","39,498,419.66","7,356,170.68","2,108,456.57",16.17,-,114,0
