Program,"Sub Pro-
gramme",Description,Approved Budget,"Actual Expenditure
as of 31st March 2024",Absorption (%),page_number,table_index,col_6
,1003003260,Natural Resources Support Programme,"2,993,480.00","3,823,530.00",128,533,0,
,1001003260,Water and Irrigation Development Programme,"16,726,000.00","20,174,000.00",121,533,0,
3268000100,,Headquarters,"68,087,124.00","537,376.00",1,533,0,
,501003260,"General Administration, Planning and Support services","7,137,124.00","537,376.00",8,533,0,
,1001003260,Water and Irrigation Development Programme,-,-,-,533,0,
,502003260,"Early Childhood Education and Youth Training Devel-
opment Programme","60,950,000.00",-,-,533,0,
3268000200,,Polytechnics,"9,775,000.00","209,899.00",2,533,0,
,502003260,"Early Childhood Education and Youth Training Devel-
opment Programme","8,500,000.00",-,-,533,0,
,501003260,"General Administration, Planning and Support services","1,275,000.00","209,899.00",16,533,0,
3268000300,,Early Childhood Development,"1,258,800.00","282,433.00",22,533,0,
,301003260,"General Administration and Support Services Pro-
gramme",-,-,-,534,0,
,502003260,"Early Childhood Education and Youth Training Devel-
opment Programme",-,-,-,534,0,
,501003260,"General Administration, Planning and Support services","1,258,800.00","282,433.00",22,534,0,
3268000400,,Library services,"945,400.00","186,701.00",20,534,0,
,501003260,"General Administration, Planning and Support services","945,400.00","186,701.00",20,534,0,
,502003260,"Early Childhood Education and Youth Training Devel-
opment Programme",-,-,-,534,0,
3268000500,,Education Fund,"247,739,000.00","92,288,923.00",37,534,0,
,502003260,"Early Childhood Education and Youth Training Devel-
opment Programme",-,-,-,534,0,
,501003260,"General Administration, Planning and Support services","247,739,000.00","92,288,923.00",37,534,0,
3268000600,,Energy,-,-,-,534,0,
,501003260,"General Administration, Planning and Support services",-,-,-,534,0,
,502003260,"Early Childhood Education and Youth Training Devel-
opment Programme",-,-,-,534,0,
3269000100,,Headquarters,"293,128,584.00","101,327,724.00",35,534,0,
,402003260,Health Development Programme,"210,338,500.00","49,930,880.00",24,534,0,
,706003260,"General Administration, Planning, Internal Audit &
Support Services",-,-,-,534,0,
,401003260,Administration and Support Services,"82,790,084.00","51,396,844.00",62,534,0,
,704003260,"General Administration and Management of County
Affairs",-,-,-,534,0,
3269000200,,West Hospital,"9,308,059.00","5,412,671.00",58,534,0,
,401003260,Administration and Support Services,"9,308,059.00","5,412,671.00",58,534,0,
3269000300,,Moi Referral Hospital,"75,195,434.00","36,040,241.00",48,534,0,
,401003260,Administration and Support Services,"75,195,434.00","36,040,241.00",48,534,0,
3269000400,,Mwatate Hospital,-,-,-,534,0,
,401003260,Administration and Support Services,-,-,-,534,0,
3269000500,,,-,-,-,534,0,
,401003260,Administration and Support Services,-,-,-,534,0,
3269000600,,,"14,415,583.00","7,529,011.00",52,534,0,
,401003260,Administration and Support Services,"14,415,583.00","7,529,011.00",52,534,0,
3269000700,,,-,-,-,534,0,
,401003260,Administration and Support Services,-,-,-,534,0,
3269000800,,,-,-,-,534,0,
,401003260,Administration and Support Services,-,-,-,534,0,
3269000900,,,"8,414,252.00","6,872,663.00",82,534,0,
,401003260,Administration and Support Services,"8,414,252.00","6,872,663.00",82,534,0,
3269001000,,,"19,988,538.00","12,604,393.00",63,534,0,
,401003260,Administration and Support Services,"19,988,538.00","12,604,393.00",63,534,0,
3269001100,,,"6,027,852.00","3,714,048.00",62,534,0,
,401003260,Administration and Support Services,"6,027,852.00","3,714,048.00",62,534,0,
,402003260,Health Development Programme,-,-,-,534,0,
3270000100,,Headquarters,"106,835,000.00","2,061,181.00",2,534,0,
,302003260,Trade Development programme.,"105,100,000.00",-,-,535,0,
,301003260,"General Administration and Support Services Pro-
gramme","1,735,000.00","2,061,181.00",119,535,0,
3270000200,,Trade,-,-,-,535,0,
,302003260,Trade Development programme.,-,-,-,535,0,
,301003260,"General Administration and Support Services Pro-
gramme",-,-,-,535,0,
3270000300,,Sports,-,-,-,535,0,
,302003260,Trade Development programme.,-,-,-,535,0,
,301003260,"General Administration and Support Services Pro-
gramme",-,-,-,535,0,
3270000400,,Gender,-,-,-,535,0,
,302003260,Trade Development programme.,-,-,-,535,0,
,301003260,"General Administration and Support Services Pro-
gramme",-,-,-,535,0,
3270000500,,Cooperative,"1,014,271.00","974,515.00",96,535,0,
,302003260,Trade Development programme.,-,-,-,535,0,
,301003260,"General Administration and Support Services Pro-
gramme","1,014,271.00","974,515.00",96,535,0,
3270000600,,Youth Development,-,-,-,535,0,
,302003260,Trade Development programme.,-,-,-,535,0,
,301003260,"General Administration and Support Services Pro-
gramme",-,-,-,535,0,
3270000700,,Culture,-,-,-,535,0,
,302003260,Trade Development programme.,-,-,-,535,0,
,301003260,"General Administration and Support Services Pro-
gramme",-,-,-,535,0,
3270000800,,Markets,"2,491,344.00","767,687.00",31,535,0,
,302003260,Trade Development programme.,"2,000,000.00",-,-,535,0,
,301003260,"General Administration and Support Services Pro-
gramme","491,344.00","767,687.00",156,535,0,
3270000900,,,"200,000.00","117,800.00",59,535,0,
