Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Expenditure as of 31st March 2024
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"Programme 4: Environ-
mental protection.",,"17, 650, 000","192, 000, 000","4, 763, 800","56, 000, 000",26.8,29.2,469,0
,"S.P. 1. Pollution & waste
management","4, 000, 000",-,"2, 757, 200",-,68.9,-,469,0
,S.P. 2. Agroforestry promotion,"13, 650, 000","192, 000, 000","1, 979, 600","56, 000, 000",14.5,29.9,469,0
,Sub-total,"100, 312, 430","254, 100, 000","67, 025, 063","64, 594, 801",66.8,25.4,469,0
Department of Education and Vocational Training.,,,,,,,,469,0
"Programme 1: General
administration & support
services",,"378, 075, 141",-,"256, 033, 460",-,67.7,-,469,0
,S.P. 1. General administration.,"378, 075, 141",-,"256, 033, 460",-,67.7,-,469,0
"Programme 2: ECDE &
CCC services",,"3, 500, 500","46, 800, 000","1, 140, 000","3, 199, 040",32.6,6.8,469,0
,"S.P. 1. ECDE & CCC manage-
ment service","3, 500, 500","46, 800, 000","1, 140, 000","3, 199, 040",32.6,6.8,469,0
"Programme 3: Vocational
services",,"142, 264, 245","3, 500, 000","103, 191, 217",-,72.5,-,469,0
,"S.P. 1. Vocational management
services","142, 264, 245","3, 500, 000","103, 191, 217",-,72.5,-,469,0
,Subtotal,"523, 839, 886","50, 300, 000","360, 364, 677","3, 199, 040",68.8,6.4,469,0
Department of Health Services,,,,,,,,469,0
"Programme 1: Policy
planning & support
services.",,"509,900,468",-,"311, 736, 419",-,61.1,-,469,0
,"S.P. 1. Administration support
services","509,900,468",,"311, 736, 419",,61.1,-,469,0
"Programme 2: Curative
Health Services",,"263,455,000","91,223,901","41, 432, 073","14, 839, 141",15.7,16.3,469,0
,S.P. 1. Medical services,"261,000,000","91,223,901","40, 199, 973","14, 839, 141",15.4,16.3,469,0
,"S.P. 2. Facility infrastructural
services","2,455,000",-,"1, 232, 100",-,50.2,-,469,0
,Subtotal,"773,355,468","91,223,901","353, 168, 492","14, 839, 141",45.7,16.3,469,0
"Department of Lands, housing, physical planning and urban development.",,,,,,,,469,0
"Programme 1: General
administration & support
services",,"118,426,075",-,"87, 004, 704",-,73.5,-,469,0
,S.P. 1. General administration,"111,164,634",-,"82, 954, 504",-,74.6,-,469,0
,S.P. 1. Policy Planning,"7,261,441",-,"4, 050, 200",-,55.8,-,469,0
"Programme 5: Physical
planning and surveying
services",,"11,600,000","31,240,065","4, 742, 238","27, 843, 000",40.9,89.1,469,0
,S.P. 1. Physical planning,"11,600,000","31,240,065","4, 742, 238","27, 843, 000",40.9,89.1,469,0
,,Rec,Dev,Rec,Dev,Rec,Dev,470,0
"Programme 7: Manage-
ment & development of
towns",,"2,500,000","139,371,549","1, 724, 762","1, 494, 500",69.0,1.1,470,0
,"S.P. 1. Town management &
coordination","2,500, 000","139,371,549","1, 724, 762","1, 494, 500",69.0,1.1,470,0
,Subtotal,"132,526,075","170,611,614","93, 471, 704","29, 337, 500",70.5,17.2,470,0
"Department of Roads, transport and public works.",,,,,,,,470,0
"Programme 1. General
administration & support
services",,"84,021,297",-,"74, 978, 943",-,89.2,-,470,0
,"S.P. 5. Administration &
support services","83,438,047",-,"74, 398, 123",-,89.2,-,470,0
,S.P. 6. Policy and Planning,"583,250",-,"580, 820",-,99.6,-,470,0
"Programme 2: Roads
development & man-
agement",,"22,100,000","194,600,163","16, 006, 476","50, 442, 214",72.4,25.9,470,0
,"S.P. 2. Construction of roads
and bridges","19,600,000","194,600,163","14, 314, 576","50, 442, 214",73.0,25.9,470,0
,"S.P. 4. Infrastructural devel-
opment","2,500,000",-,"1, 691, 900",-,67.7,-,470,0
,Subtotal,"106,121,297","194,600,163","90, 985, 419","50, 442, 214",85.7,25.9,470,0
"Department of Trade, tourism, industrialization and Co-operative development",,,,,,,,470,0
"Programme 1: General
administration & support
services",,"26,004,015",-,"23, 687, 244",-,91.1,-,470,0
,S.P. 1. General administration,"25,215,015",-,"23, 083, 044",-,91.5,-,470,0
,"S.P. 2. Policy and planning
services","788, 950",-,"604, 200",-,76.6,-,470,0
"Programme 4: Trade,
co-operative & invest-
ment",,"22,422,344","517,500,000","5, 081, 300","16, 437, 481",22.7,3.2,470,0
,"S.P. 1. Co – operative pro-
motion","9,410,000","503,000,000","3, 484, 600","12, 499, 566",37.0,2.5,470,0
,S.P. 2. Trade promotion,"13,012,344","14,500,000","1, 596, 700","3, 937, 915",12.3,27.2,470,0
,Subtotal,"48,426,359","517,500,000","28, 768, 544","16, 437, 481",59.4,3.2,470,0
"Department of Youths, sports, gender, culture and social services",,,,,,,,470,0
"Programme 1: General
administration & support
services.",,"53,341,929",-,"39, 552, 737",-,74.1,-,470,0
,S.P. 1. General administration,"53,341,929",-,"39, 552, 737",-,74.1,-,470,0
"Programme 2: Policy
planning & support
services.",,"6,310,000",-,"3, 609, 100",-,57.2,-,470,0
,S.P. 2. Mainstreaming services,"6,310,000",-,"3, 609, 100",-,57.2,-,470,0
"Programme 3: Promotion
& management of sports.",,"10,970,000","25,900,000","2, 715, 300",-,24.8,-,470,0
,"S.P. 1. Community develop-
ment","9,470,000","17,900,000","2, 153, 900",-,22.7,-,470,0
,"S.P. 2. Cultural promotion of
heritage","1,500,000","8,000,000","561, 400",-,37.4,-,470,0
,Subtotal,"70,621,929","25,900,000","45, 877, 137",-,65.0,-,470,0
Department of County Public Service Board,,,,,,,,470,0
"Programme 1: General
administration & policy
planning",,"56,356,260",-,"43, 682, 685",-,77.5,-,470,0
,S.P. 1. General administration,"49,580,760",-,"37, 306, 136",-,75.2,-,470,0
,S.P. 2. Policy Planning,"6,775,500",-,"6, 376, 549",-,94.1,-,470,0
"Programme 2. Support
services",,"1,816,000",-,"884, 800",-,48.7,-,470,0
,S.P. Legal services,"1,816,000",-,"884, 800",-,48.7,-,470,0
,Subtotal,"58,172,860",-,"44, 567, 485",-,76.6,-,470,0
Department of Public Service Management.,,,,,,,,470,0
"Programme 1: General
administration, policy &
support services.",,"226,203,088",-,"194, 267, 750",-,85.9,-,470,0
,S.P. 1. General administration,"217,608,088",-,"191, 467, 930",-,88.0,-,470,0
,S.P. 2. Policy Planning,"6,520,000",-,"2, 579, 820",-,39.6,-,470,0
,"S.P. 7. Communication
services","2,075,000",-,"220, 000",-,10.6,-,470,0
,,Rec,Dev,Rec,Dev,Rec,Dev,471,0
"Programme 2: Economic
planning & budgeting.",,"500,000",-,"339, 800",-,68.0,-,471,0
,"S.P. 3. Community develop-
ment","500,000",-,"339, 800",-,68.0,-,471,0
"Programme 10: Coordi-
nation, strategy & HR
Services",,"80,398,000","8,000,000","10, 816, 672","7, 697, 834",13.5,96.2,471,0
,"S.P. 1. Field coordination &
administration","4,200,000","8,000,000","940, 212","7, 697, 834",22.4,96.2,471,0
,"S.P. 2. Strategy & advisory
services","3,000,000",-,"1, 205, 000",-,40.2,-,471,0
,"S.P. 3. Human resource man-
agement","168,000",-,0,-,0,-,471,0
,"S.P. 4. Human resource
development","73,030,000",-,"8, 671, 460",,11.9,,471,0
,Subtotal,"307,101,088","8,000,000","205, 424, 222","7, 697, 834",66.9,96.2,471,0
Department of Nyamira Municipality,,,,,,,,471,0
"Programme 1: General
administration & support
services.",,"65, 225,362",-,"27, 663, 139",-,42.4,-,471,0
,S.P. 1. General administration,"20,936,132",-,"12, 092, 339",-,57.8,-,471,0
,S.P. 2. Policy and Planning,"44,289,230",,"15, 570, 800",,35.2,,471,0
"Programme 2: Roads
development & man-
agement",,-,"120,305,915",-,"26, 014, 282",-,21.6,471,0
,"S.P. 4. Infrastructure devel-
opment",-,"120,305,915",-,"26, 014, 282",-,21.6,471,0
,Subtotal,"65,225,362","120,305,915","27, 663, 139","26, 014, 282",42.4,21.6,471,0
Department of County Attorney,,,,,,,,471,0
"Programme 1: General
administration & support
services",,"5,149,000","3,000,000","1, 737, 904",-,33.8,0,471,0
,S.P. 1. General administration,"1,149,000",-,"369, 904",-,32.2,-,471,0
,S.P. 2. Legal services,"4,000,000","3,000,000","1, 368, 000",-,34.2,0,471,0
,Subtotal,"5,149,000","3,000,000","1, 737, 904",-,33.8,0,471,0
"Department of Economic planning, resource mobilization & ICT",,,,,,,,471,0
"Programme 1: General
administration & support
services",,"171,604,393",-,"132, 557, 698",-,77.2,-,471,0
,S.P. 1. General administration,"171,604,393",-,"132, 557, 698",-,77.2,-,471,0
"Programme 2: Economic
planning & budgeting",,"42,739,106","2,000,000","29, 706, 208",-,69.5,0,471,0
,S.P. 1. Economic planning,"42,739,106","2,000,000","29, 706, 208",-,69.5,0,471,0
"Programme 4: ICT
services",,"6,660,000","13,000,000","2, 541, 070",-,38.2,0,471,0
,S.P. 1. ICT Services,"6,660,000","13,000,000","2, 541, 070",-,38.2,0,471,0
"Programme 5: Resource
mobilization",,"39,600,000","5,000,000","25, 814, 388",-,65.2,0,471,0
,"S.P. 2. Internal resource
mobilization","39,600,000","5,000,000","25, 814, 388",-,65.2,0,471,0
"Programme 30: Control
& management of public
finances",,"1,800,000","15,000,000","999, 900","5, 789, 000",55.6,38.6,471,0
,"S.P. 2. Budget implementation
& monitor","1,800,000","15,000,000","999, 900","5, 789, 000",55.6,38.6,471,0
,Subtotal,"262,403,499","35,000,000","191, 619, 264","5, 789, 000",73.0,16.5,471,0
Department of Livestock and Fisheries,,,,,,,,471,0
"Programme 1: General
administration & support
services",,"100,936,037",-,"69, 260, 844",-,68.6,-,471,0
,S.P. 1. General administration,"100,418,347",-,"68, 858, 294",-,68.6,-,471,0
,S.P. 2. Policy and Planning,"517,690",-,"402, 550",-,77.8,-,471,0
"Programme 3: Fisheries
development & pro-
motion.",,"3,500,000","3,000,000","981, 200","1, 242, 000",28.0,41.4,471,0
,"S.P. 1. Aquaculture promotion
services","3,500, 000","3,000,000","981, 200","1, 242, 000",28.0,41.4,471,0
"Programme 4: Livestock
development & pro-
motion",,"6,492,000","40,147,360","3, 747, 400","6, 767, 200",58.0,16.9,471,0
,"S.P. 1. Value addition and
marketing","2,962,000","29,147,360","1, 202, 300","117, 200",40.6,0.4,471,0
,"S.P. 2. Animal health disease
& mgt.","3,500,000","11,000,000","2, 545, 100","6, 650, 000",72.7,60.5,471,0
