Programme,Approved Estimates,col_2,"Actual Expenditure as of 31 March
2024",col_4,Absorption Rate (%),col_6,page_number,table_index
,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",275,0
Community Development (0903003067),"18,525,000.00",-,"5,729,674.50",-,30.93,-,275,0
Community Development (0903003067),"10,245,739.00",-,"5,893,134.00",-,57.52,-,275,0
Community Development (0903003067),"4,500,000.00",-,"2,995,890.00",-,66.58,-,275,0
Culture and Heritage (0904003067),"11,200,000.00","54,129,200.00","6,681,651.00",-,59.66,-,275,0
Sports and Youth Development (0905003067),"26,500,000.00",-,"6,612,990.00",-,24.95,-,275,0
Sports and Youth Development (0905003067),-,"131,643,525.00",-,-,-,-,275,0
Administration (0906003067),"34,419,957.00",-,"32,634,371.05",-,94.81,-,275,0
Administration (0906003067),"15,820,000.00","58,267,392.00","4,404,691.90","23,154,311.40",27.84,40,275,0
TOTAL,"121,210,696.00","244,040,117.00","64,952,402.45","23,154,311.40",53.59,9,275,0
Executive Services,,,,,,,275,0
County Coordination Services702013060,"7,044,000.00",-,"1,001,845.50",-,14.22,-,275,0
Audit Services704013060,"74,390,873.00",-,"28,850,847.30",-,38.78,-,275,0
General Administration704043060,"72,776,490.00","11,840,486.00","62,066,734.85",-,85.28,-,275,0
Media and Communication Services 707033060,"8,772,521.00",,"4,189,885.00",-,47.76,-,275,0
TOTAL,"162,983,884.00","11,840,486.00","96,109,312.65",-,58.97,-,275,0
Education,-,-,,,,,275,0
Personnel Services-0502023060,"617,259,221.00",-,"444,648,585.70",-,72.04,-,275,0
"Administration Planning and Support Ser-
vices-0502013060","42,586,680.00","222,425,556.00","21,697,996.40","113,379,196.30",50.95,51,275,0
"Administration Planning support service ECDE-
0501013060","67,836,497.00",-,"24,664,609.80",-,36.36,-,275,0
"administration Planning support service VTC-
0503013060","15,750,000.00",-,"3,768,243.40",-,23.93,-,275,0
Scholarship and Bursary-0504013060,"506,210,000.00",-,"440,000,000.00",-,86.92,-,275,0
Infrastructure development Ecde-0501043060,-,"224,795,200.00",-,"42,190,482.30",-,19,275,0
Infrastructure development VTC-0503023060,-,"127,915,000.00",-,-,-,-,275,0
TOTAL,"1,249,642,398.00","575,135,756.00","934,779,435.30","155,569,678.60",74.80,0.27,275,0
Water Services,,,,,,,275,0
"Construction & Maintenance of water pipeline
supply systems-1001023060",-,"168,887,276.00",-,"47,316,785.00",-,28,275,0
"1001033060-Development of Borehole water
supply system",-,"185,167,824.00",-,"28,353,555.00",-,15,275,0
"1001043060-Development/Construction of
surface water supply systems",-,"200,620,900.00",-,"31,392,582.00",-,16,275,0
1001063060-Community Water Project,-,"25,800,000.00",-,"15,482,390.00",-,60,275,0
1002013060-Personnel Services,"48,730,993.00",-,"37,329,454.00",-,76.60,-,275,0
1002023060-Administration Services,"72,300,154.00","1,226,441,763.00","50,923,508.00","482,016,984.00",70.43,39,275,0
,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",276,0
TOTALS,"121,031,147.00","1,806,917,763.00","88,252,962.00","604,562,296.00",72.92,33,276,0
Roads and Public Works,,,,,,,276,0
Personnel Services 305013060,"69,242,682.00",,"50,602,652.00",,73.08,-,276,0
"administration Planning support service
305023060","70,412,127.00","324,740,999.00","45,648,089.50","169,069,028.00",64.83,52,276,0
"Rehabilitation of Roads Drainage & Bridges
202013060",-,"513,870,675.00",,"37,386,646.75",-,7,276,0
"Installation of street Lighting Facilities
203013060",-,"63,775,000.00",-,-,-,-,276,0
TOTALS,"139,654,809.00","902,386,674.00","96,250,741.50","206,455,674.75",68.92,23,276,0
Tourism and ICT,,,,,,,276,0
Tourism Promotion {0304013060},"5,182,749.00","19,000,000.00","2,052,787.90","9,838,354.00",39.61,52,276,0
Personnel services {0305013060},"27,500,616.00",-,"21,139,505.85",-,76.87,-,276,0
Administration services {0305023060},"18,943,791.00","60,514,869.00","4,038,290.00","21,165,119.00",21.32,35,276,0
"Local area network installation and ICT support
{0308013060}","7,260,934.00","8,000,000.00","2,769,677.60","4,966,006.00",38.14,62,276,0
TOTALS,"58,888,090.00","87,514,869.00","30,000,261.35","35,969,479.00",50.94,41,276,0
County Public Service Board,,,,,-,-,276,0
Human Resource Planning (706013060),"73,352,111.00",-,"47,772,409.00",,65.13,-,276,0
TOTAL,"73,352,111.00",-,"47,772,409.00",-,65.13,-,276,0
Public Service and Administration,,,,,,,276,0
704043060 General Administration,"33,691,600.00","27,294,310.00","17,896,813.00","7,800,000.00",53.12,29,276,0
704013060 Audit Services,"219,831,642.00",-,"175,143,651.85",-,79.67,-,276,0
708033060 County compliance and enforcement,"8,036,200.00",-,"763,222.00",-,9.50,-,276,0
712013060 Sub County Admin Msambweni,"7,466,000.00",-,"1,842,500.00",-,24.68,-,276,0
712023060 Sub County Admin Lunga Lunga,"8,041,600.00",-,"2,028,310.00",-,25.22,-,276,0
712033060 Sub County Admin Matuga,"8,677,000.00",-,"2,405,600.00",-,27.72,-,276,0
712043060 Sub County Admin Kinango,"10,727,600.00",-,-,-,-,-,276,0
"713013060 County Garbage and Cleaning
Services","5,300,000.00",-,"2,026,424.45",-,38.23,-,276,0
"714013060 General Administration Livestock
Development","8,847,747.00",,"600,310.00",-,6.78,-,276,0
TOTAL,"310,619,389.00","27,294,310.00","202,706,831.30","7,800,000.00",65.26,29,276,0
Kwale Municipality,,,,,,,276,0
"General administration and Support services
(0102053060)","22,108,475.00",-,"5,868,207.00",-,26.54,-,276,0
Kwale municipality (0111013060),-,"101,774,548.00",-,"14,819,333.00",-,15,276,0
TOTAL,"22,108,475.00","101,774,548.00","5,868,207.00","14,819,333.00",26.54,15,276,0
,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",277,0
Diani municipality,,,,,,,277,0
"General administration and Support services
(0102053060)","31,823,811.00",-,"5,305,121.00",-,16.67,-,277,0
Diani municipality (0112013060),-,"79,102,237.00",-,"22,706,459.00",-,29,277,0
TOTAL,"31,823,811.00","79,102,237.00","5,305,121.00","22,706,459.00",16.67,29,277,0
Office of the County Attorney,,,,,,,277,0
County Attorney,"260,854,007.00",-,"171,506,044.00",-,65.75,-,277,0
TOTAL,"260,854,007.00",-,"171,506,044.00",-,65.75,-,277,0
Lunga Lunga Municipality,,,,,,,277,0
"General administration and Support services
(0102053060)",-,"50,000,000.00","661,665.00",-,-,-,277,0
Lunga Lunga Municipality (0704043060),"4,500,000.00",-,-,-,-,-,277,0
TOTAL,"4,500,000.00","50,000,000.00","661,665.00",-,14.70,-,277,0
Kinango municipality,,,,,-,-,277,0
Kinango municapilty (0102053060),"4,800,000.00","50,000,000.00","1,445,980.00",,30.12,-,277,0
,,,,,-,-,277,0
TOTAL,"4,800,000.00","50,000,000.00","1,445,980.00",-,30.12,-,277,0
Promotive and Preventive Health Services,,,,,,,277,0
401033060 TB/HIV/ Malaria,"6,405,000.00",-,-,-,-,-,277,0
401043060 Neglected tropical diseases,"1,000,000.00",-,-,-,-,-,277,0
401063060 Healthcare Waste Management,"4,803,000.00",-,-,-,-,-,277,0
401013060 Community health strategy,"1,600,000.00",-,-,-,-,-,277,0
401053060 Public health Hygiene,"5,839,657.00",-,"1,199,700.00",-,20.54,-,277,0
401073060 Epidemics Control,"1,000,000.00",-,-,-,-,-,277,0
403013060 General Administration,-,"72,897,725.00",-,-,-,-,277,0
408013060 Tiwi Rural Health Facility,"8,074,000.00","10,000,000.00","2,279,627.00",,28.23,-,277,0
412013060 Rural Health Facilities,"132,094,800.00","158,956,300.00","16,166,600.00","16,204,476.00",12.24,10,277,0
413013060 Diani Health Centre,"2,876,500.00",,"227,120.00",-,7.90,-,277,0
Total,"163,692,957.00","241,854,025.00","19,873,047.00","16,204,476.00",12.14,7,277,0
GRAND TOTAL,"7,733,647,916.00","7,251,094,701.00","5,170,483,188.20","1,589,656,388.95",66.86,22,277,0
