"m
Progra",col_1,Revised Estimates,col_3,Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,"Crop Pest and Disease
Control Services",-,"5,000,000",-,"4,225,300",-,84.5,596,0
,"Climate-smart Agri-
culture",-,"10,212,611",-,"10,028,386",-,98.2,596,0
,"Capacity Building for
Farmers",-,"2,157,000",-,-,-,-,596,0
,"Agricultural Mechani-
zation Services",-,"1,545,300",-,-,-,-,596,0
,"SP Post-harvest Man-
agement Services","565,444,607","23,994,190","237,319,721","7,994,191",42.,33.3,596,0
,"Ward Development
Services",-,"13,800,000",-,"1,521,450",-,11.-,596,0
"Trade, Cooperatives, Tourism, Wildlife",,,,,,,,596,0
,"Administrative support
services","61,951,385",-,"43,228,432",-,69.8,-,596,0
,"Ultra-modern Whole-
sale market with cold
storage go-down",-,"15,448,253",-,"5,352,468",-,34.6,596,0
,"Development of way-
side Trading Centers",-,"360,000,000",-,"206,335,555",-,57.3,596,0
,"Tourism Development
Services","5,000,000",-,"4,994,700",-,99.9,-,596,0
,"Tourism Promotion and
Marketing",-,"6,280,032",-,"2,815,852",-,44.8,596,0
,"Ward Development
Services",-,"76,450,000",-,-,-,-,596,0
"Education, Social, Cultural, Youths and Sports",,,,,,,,596,0
,"Administrative and
Support Services","706,130,581",-,"582,499,793",-,82.5,-,596,0
,ECDE Infrastructure,-,"1,000,000",-,-,-,-,596,0
,"Cultural Preservation
and Development
Services",-,"13,453,425",-,"6,498,290",-,48.3,596,0
,"Vocational Training
Services",-,"20,541,222",-,-,-,-,596,0
,Sub Program,Recurrent,Development,Recurrent,Development,Recurrent,Development,597,0
,"Ward Development
Services",-,"92,900,000",-,"70,330,281",-,75.7,597,0
County Public Service Board,,,,,,,,597,0
,"Administrative support
services","69,789,376",-,"59,670,711",-,85.5,-,597,0
County Assembly,,,,,,,,597,0
,"Administrative support
services","796,524,510","276,532,127","632,160,345","72,252,328",79.4,26,597,0
Economic Planning,,,,,,,,597,0
,"Budget and Economic
Affairs services","104,456,187",-,"52,632,101",-,50.4,-,597,0
,"Central planning and
M&E services","32,960,330",-,"32,767,870",-,99.4,-,597,0
,"Kenya Devolution
Support","10,000,000",-,"6,682,925",-,66.8,-,597,0
Administration and Devolution,,,,,,,,597,0
,Office Accommodation,-,"74,160,291",-,"67,586,870",-,91,597,0
,"Administrative support
services","135,402,734",-,"82,707,622",-,61.1,-,597,0
Youth and Sports Development,,,,,,,,597,0
,Sports facilities,-,"29,000,000",-,"29,000,000",-,100,597,0
,Youth Empowerment,-,"7,127,339",-,"699,170",-,9.8,597,0
,SP Youth Development,"100,174,155",-,"51,422,088",-,51.3,-,597,0
,Sports Activities,"24,151,673",-,"17,181,320",-,71.1,-,597,0
,"Ward Development
Services",-,"84,350,000",-,"32,831,709",-,38.9,597,0
"Co-operatives and Enterprise Develop-
ment",,,,,,,,597,0
,Standard weighbridge,"46,577,998",-,"23,869,857",-,51.2,-,597,0
,Cooperative Credit,"14,484,149","34,479,440","5,689,600","34,479,440",39.3,100,597,0
,"Ward Development
Services",-,"10,000,000",-,"10,000,000",0,100,597,0
Livestock Development and Fisheries,,,,,,,,597,0
,"Value Addition and
Marketing",-,"4,000,000",-,"804,100",-,20.1,597,0
,"Administrative support
services","149,860,593",-,"30,881,707",-,20.6,-,597,0
,"Livestock Development
Services",-,"12,580,000",-,-,-,-,597,0
,"Livestock Disease
Control",-,"13,000,000",-,"8,499,770",-,65.4,597,0
,"Value Addition and
Marketing Services",-,"1,150,000",-,-,-,-,597,0
,"Livestock Diversifi-
cation",-,"2,477,133",-,-,-,-,597,0
,"Fisheries Production
Services",-,"862,867",-,-,-,-,597,0
,"Ward Development
Services",-,"66,226,425",-,"17,753,673",-,26.8,597,0
Eldoret Municipality,,,,,,,,597,0
,"Administrative support
services","117,261,567",-,"65,342,998",-,55.7,-,597,0
,"Capital roads invest-
ments",-,"106,556,260",-,"69,761,727",-,65,597,0
Promotive and Preventive Health,,,,,,,,597,0
,Health Services,-,"40,592,204",-,-,-,-,597,0
,"Administration And
Support Services","58,570,000",-,"17,695,255",-,30.2,-,597,0
Energy Environment Climate Change and Natural Resources,,,,,,,,597,0
,Energy Services,-,"55,441,008",-,"27,574,238",-,49.7,597,0
,"Environmental Conser-
vation Services",-,-,-,-,-,-,597,0
573,,,,,,,,597,0
,Sub Program,Recurrent,Development,Recurrent,Development,Recurrent,Development,598,0
,"Afforestation,
Re-Afforestation and
Agroforestry",-,"30,000,000",-,"29,884,980",-,99.6,598,0
,"Climate Change
Services","17,348,659","60,000,000","8,627,090","60,000,000",49.7,100.,598,0
,"Administration And
Support Services","12,831,341",-,"4,675,805",-,36.4,-,598,0
,"Ward Development
Services",-,"9,000,000",-,-,-,-,598,0
Partnership Liason and Linkages,,,,,,,,598,0
,"Partnership, liaisons and
Linkages","68,550,000",-,"60,300,819",-,88,-,598,0
Gender Social Protection and Culture,,,,,,,,598,0
,"Administrative support
services","25,270,000",-,"21,683,446",-,85.8,-,598,0
,"Social Welfare and
Community Develop-
ment",-,"23,480,000",-,"23,479,995",-,100,598,0
,"Culture and Heritage
Services","33,800,000","3,110,252","30,268,300","1,134,500",89.6,36.5,598,0
,Gender Mainstreaming,"4,800,000",-,"4,776,960",-,99.5,-,598,0
,"Social Protection &
Safety Nets","4,000,000","20,000","3,138,030",-,78.5,-,598,0
,"Ward Development
Services",-,"11,549,891",-,"5,457,116",-,47.2,598,0
Housing and Urban Development,,,,,,,,598,0
,"Housing Development
Services","55,322,222","43,000,000","1,806,040","33,094,520",3.3,77,598,0
,"Urban Development
and Management
Services","2,938,502","341,244,393","1,889,170","10,274,260",64.3,3,598,0
,"Administration And
Support Services","38,329,247",-,"19,680,789",-,51.3,-,598,0
,"Ward Development
Services","5,000,000","2,500,000","5,000,000",-,100,-,598,0
Lands and Physical Planning,,,,,,,,598,0
,"Physical Planning
Services",-,"10,870,506",-,"5,933,354",-,54.6,598,0
,Survey Services,-,"15,187,174",-,-,-,-,598,0
,"Land Management and
Administration Services","74,473,755","229,000,000","69,550,209","97,000,000",93.4,42.4,598,0
,"Ward Development
Services",-,"70,350,000",-,-,-,-,598,0
"Water, Irrigation and Sanitation",,,,,,,,598,0
,"Ward Development
Services",-,"341,325,964",-,"133,357,599",-,39.1,598,0
,Drilling of boreholes,"177,477,746",-,"142,040,550",-,80,-,598,0
,"Water Supply Devel-
opment",-,"159,167,553",-,"10,218,504",-,6.4,598,0
County Attorney,,,,,,,,598,0
,Legal Services,"31,725,857",-,"25,618,260",-,80.7,-,598,0
