Programme,Sub-Programme,"Approved Supplementary Bud-
get Estimates FY 2023/24",col_3,"Actual Expenditure as of 31st
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Resource Mobilization
Service",Resource Mobilization Service,"5,000,000",-,"918,815",-,18.4,-,378,0
"External partnerships
& affairs","External partners’ relations man-
agement","35,800,000",-,"22,021,170",-,61.5,-,378,0
Pending Bills,Pending Bills (Gov),"6,365,257",-,"1,043,500",-,16.4,-,378,0
,Pending Bills (ICT),"13,227,800",-,"1,499,500",-,11.3,-,378,0
,Sub- Total,"602,443,057","147,970,000","237,278,960","43,426",39.4,0.03,378,0
Office of the County Attorney,,,,,,,,378,0
"General administration
& support services",Finance & Administration,"35,270,000",-,"10,552,900",-,29.9,-,378,0
Legal Services,Advisory & Research services,"2,900,000",-,"570,000",-,19.7,-,378,0
,Staff Development,"2,600,000",-,"978,640",-,37.6,-,378,0
,Legal compliance services,"127,499,400",-,"79,378,013",-,62.3,-,378,0
,Sub- Total,"168,269,400",-,"91,479,553",-,54.4,-,378,0
"Department of Public Service Management, Monitoring and Evaluation and Performance Contracting",,,,,,,,378,0
"General Administration
& Support Services","Administrative Support Services
(PSM)","592,885,934",-,"398,429,880",-,67.2,-,378,0
,"General Administration Services
(PSB)","70,296,400",-,"25,622,522",-,36.4,-,378,0
,Field Services,"6,000,000",-,"4,002,245",-,66.7,-,378,0
,"General Administration services
(Monitoring)","6,500,000",-,"1,718,220",-,26.4,-,378,0
,Efficient monitoring & evaluation,"9,687,000",-,"1,902,950",-,19.6,-,378,0
"Human Capital
Management & Devel-
opment Services","Human Resource Management
Services (PSM)","7,500,000",-,"5,278,552",-,70.4,-,378,0
,"Human Resource Management
Services (PSB)","3,500,000",-,-,-,-,-,378,0
"Devolved Units Ad-
ministration Services","Devolved Units Administration
Services","28,600,000","20,000,000","17,647,537",-,61.7,-,378,0
,Devolution and Regional Bodies,"20,000,000",-,"8,452,500",-,42.3,-,378,0
"Civic Education &
Public Participation",Civic Education services,"4,500,000",-,"3,000,000",-,66.7,-,378,0
"Public Communication
& Records Manage-
ment Services",Record management programme,"2,800,000",-,"200,000",-,7.1,-,378,0
,Security Enforcement Services,"7,450,000",-,"1,105,122",-,14.8,-,378,0
,Public Communications,"2,600,000",-,-,-,-,-,378,0
"Public Service Board
services",Public Service Board services,"4,909,442",-,"205,000",-,4.2,-,378,0
"National values &
principles of gover-
nance","National values & principles of
governance","600,000",-,"100,000",-,16.7,-,378,0
"Information & records
management",Records management services,"2,500,000",-,-,-,-,-,378,0
Pending Bills,Pending Bills,"16,616,123","31,133,306","1,161,028","9,498,706",7.0,30.5,378,0
,Sub- Total,"786,944,899","51,133,306","468,825,556","9,498,706",59.6,18.6,378,0
"Agriculture, Livestock, Veterinary Services, Fisheries and Blue Economy",,,,,,,,378,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",379,0
"General Administration
& Support Services",Administrative Services (Agric),"170,191,018",-,"143,326,810",-,84.2,-,379,0
,Administrative Services (Livestock),"11,537,562",-,"7,604,820",-,65.9,-,379,0
,Administrative services(vet),"8,008,562",-,"2,426,421",-,30.3,-,379,0
,Administrative services(fisheries),"15,427,400",-,"8,422,190",-,54.6,-,379,0
"Agricultural Policy &
Planning",Policies & Legal Framework,"1,967,000",-,"1,386,000",-,70.5,-,379,0
"Agricultural Extension
services",Field extension services & support,"6,236,209",-,"3,549,520",-,56.9,-,379,0
"Agribusiness Devel-
opment",Agribusiness Development,"1,043,000",-,"890,000",-,85.3,-,379,0
Donor Funds,Donor Funds,-,"620,400,239",-,-,-,-,379,0
"Crop Development &
Management",Crop Development & Management,-,"25,262,750",-,-,-,-,379,0
,Emerging crop enterprises,-,-,-,-,-,-,379,0
"Climate-smart agri-
culture",Sorghum & Millet promotion,-,-,-,-,-,-,379,0
"Livestock extension &
support services",Extension services,"4,366,000",-,"880,000",-,20.2,-,379,0
"Livestock breeding
& livestock products
improvement","Breeds selection & artificial
insemination","2,224,800","9,375,000","150,000","1,575,000",6.7,16.8,379,0
"Livestock market
development",Market support infrastructure,-,"700,000",-,-,-,-,379,0
"Livestock climate
change adaptation &
mitigation","Livestock-focused climate risk
management",-,"3,600,000",-,-,-,-,379,0
"Livestock disease &
pest control manage-
ment",Disease & pest control,-,"12,500,199",-,-,-,-,379,0
Donor Funds,Donor Funds (Livestock),-,"14,323,680",-,-,-,-,379,0
"Market support infra-
structure",Market support infrastructure,-,"975,000",-,-,-,-,379,0
"Veterinary public
health",Meat hygiene services,"915,000",-,"587,605",-,64.2,-,379,0
"Veterinary extension &
clinical services",Extension services,"400,000",-,"100,000",-,25.0,-,379,0
"Fisheries policy &
planning",Policy & planning services,"1,500,000",-,"1,210,800",-,80.7,-,379,0
,Licensing services,"300,000",-,"300,000",-,100.0,-,379,0
"Lakefront (capture)
fisheries development
& management",Fisheries co-management services.,"1,884,695",-,"1,084,900",-,57.6,-,379,0
"Extension supports
services",Extension supports services,"1,602,800",-,"819,600",-,51.1,-,379,0
"Fisheries & Blue
Economy",Fisheries & Blue Economy,-,"42,767,785",-,-,-,-,379,0
"Fish safety & quality
assurance",Fish inspection services,"208,000",-,"208,000",-,100.0,-,379,0
,"Residue monitoring & control
services","328,000",-,"260,800",-,79.5,-,379,0
Pending Bills,Pending Bills (Agriculture),"498,750","3,818,051","498,750","2,187,551",100.0,57.3,379,0
Pending Bills,Pending Bills (Livestock),-,"4,547,500",-,-,-,-,379,0
,Sub- Total,"228,638,796","738,270,204","173,706,216","3,762,551",76.0,0.5,379,0
"Department of Education, Gender Inclusivity, Social Services, Youth and Sports",,,,,,,,379,0
"General Administration
& Support Services",General administration,"306,049,054",-,"214,364,754",-,70.0,-,379,0
,"Quality assurance & standard
services","4,406,215",-,"3,425,000",-,77.7,-,379,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",380,0
"Early Childhood De-
velopment Education
Services","Quality assurance & standard
services","16,000,000",-,-,-,-,-,380,0
,ECDE co-curriculum development,"4,000,000",-,"3,464,600",-,86.6,-,380,0
,School feeding programme.,"2,250,000",-,-,-,-,-,380,0
,Community ECD services,-,"32,550,000",-,-,-,-,380,0
"Education support
services",Bursary/scholarship,"146,000,000",-,"18,985,000",-,13.0,-,380,0
Child Care Services,"Child protection responsive services
& caregiving support service","2,500,000",-,"2,500,000",-,100.0,-,380,0
"Youth development &
empowerment","Technical, vocational, education &
training","20,000,000","42,596,350","20,000,000",-,100.0,-,380,0
,Youth empowerment program,"9,000,000",-,"5,869,850",-,65.2,-,380,0
,Youth enterprise development,"3,000,000",-,"3,000,000",-,100.0,-,380,0
Sports Development,Sports Development Services,"3,000,000","10,000,000","2,127,700",-,70.9,-,380,0
,Talent development Services,"1,000,000",-,-,-,-,-,380,0
,Local Sports,"17,000,000",-,"9,074,804",-,53.4,-,380,0
Pending Bills,Pending Bills,"1,921,946","40,400,786","1,791,946","22,772,698",93.2,56.4,380,0
"Gender Development
& Equality Services",Women Empowerment,"4,570,000",-,"1,800,225",-,39.4,-,380,0
,"Gender-responsive education
support","2,400,000",-,"1,329,650",-,55.4,-,380,0
,"Adolescent Girls & women water,
sanitation, & hygiene support
services","1,800,000",-,"1,593,000",-,88.5,-,380,0
,"People with Disability (PWDs)
Empowerment","5,000,000",-,"2,254,500",-,45.1,-,380,0
"Culture Development
Promotion & Arts",Culture & heritage conservation,"1,000,000",-,"622,652",-,62.3,-,380,0
,Sub- Total,"550,897,215","125,547,136","292,203,681","22,772,698",53.0,18.1,380,0
Department of Medical Services,,,,,,,,380,0
"Planning & Admin-
istrative Support
Services","Policy formulation, planning,
Monitoring & evaluation, Research,
& learning.","22,840,000",-,"2,562,800",-,11.2,-,380,0
,Administration & support services,"62,183,902",-,"41,350,179",-,66.5,-,380,0
,"Human Resource Management &
Development","1,281,219,949",-,"1,054,652,893",-,82.3,-,380,0
,"Infrastructure & Health Facility
Management",-,"222,544,237",-,-,-,-,380,0
,"Health Financing & Universal
Health Coverage (UHC) coordi-
nation","5,340,000",-,"2,803,400",-,52.5,-,380,0
