Programme/ Sub Programme,"2023/24 Supplementary 1 Approved
Estimates",col_2,"Actual Expenditure as of 31st
March 2024",col_4,Absorption Rate (%),col_6,page_number,table_index
P1: General administration & planning,"455,827,360",-,"327,718,939",-,71.9,-,330,0
Sub Total,"455,827,360",-,"327,718,939",-,71.9,-,331,0
County Secretary,,,,,,,331,0
"Programme 1. Leadership & coordina-
tion of departments",,,,,,,331,0
"SP1. 1 Leadership & coordination of
departments","422,725,533",-,"337,082,012",-,79.7,-,331,0
Sub Total,"422,725,533",-,"337,082,012",-,79.7,-,331,0
CPSB,,,,,,,331,0
"Programme 1: Public Service Human
Resource Management and Develop-
ment.",,,,,,,331,0
"SP2 : Public Service Human Resource
Management and Development.","72,963,647",-,"43,971,954",-,60.3,-,331,0
Sub Total,"72,963,647",-,"43,971,954",-,60.3,-,331,0
Finance & Socio-Economic Planning,,,,,,,331,0
"SP1. 1 General Administration &
Support Services",,,,,,,331,0
SP1: General administration & planning,"362,477,457","53,425,662","201,660,856","17,591,851",55.6,32.9,331,0
"Programme 2: Public financial man-
agement",,,,,,,331,0
SP2: Public financial management,"132,745,622",-,"72,745,413",-,54.8,-,331,0
Sub Total,"495,223,080","53,425,662","274,406,269","17,591,851",55.4,32.9,331,0
"Devolution, Public participation, County Administration and Special Programmes",,,,,,,331,0
"Programme 1: General Administration
& Planning",,,,,,,331,0
SP1: General Administration & Planning,"253,538,486","23,054,646","126,986,621","3,991,061",50.1,17.3,331,0
"Programme 2: Participatory Develop-
ment. & civic education",,,,,,,331,0
"SP2: Participatory Development. & civic
education","13,417,797",-,"10,000,000",-,74.5,-,331,0
"Programme 3: Research, Documenta-
tion and Knowledge Management",,,,,,,331,0
"SP3: Research, Documentation and
Knowledge Management","4,500,000",-,"2,550,007",-,56.7,-,331,0
"Programme 4: Coordination of Service
Delivery and Enforcement",,,,,,,331,0
"SP4: Coordination of Service Delivery
and Enforcement","26,670,000",-,"20,100,014",-,75.4,-,331,0
"Programme 5: Disaster Risk Pre-
paredness and Mitigation",,,,,,,331,0
"SP5: Disaster Risk Preparedness and
Mitigation","9,861,200",-,"6,100,014",-,61.9,-,331,0
"Programme 6: Alcoholic Drinks Con-
trol and Licencing",,,,,,,331,0
"SP6: Alcoholic Drinks Control and
Licencing","6,400,000",-,"3,100,014",-,48.4,-,331,0
Sub Total,"314,387,483","23,054,646","168,836,669","3,991,061",53.7,17.3,331,0
Water and Sanitation,,,,,,,331,0
"Programme 1: General administration
& planning",,,,,,,331,0
SP1: General Administration & Planning,"87,894,325","16,037,965","44,431,095","7,753,690",50.6,48.3,331,0
"Programme 2: Water infrastructure
Development",,,,,,,331,0
SP 2.1: Water harvesting and storage,"8,422,000","218,368,534","5,702,550","49,263,353",67.7,22.6,331,0
SP2: Piped water supply infrastructure,"3,860,000","315,680,384","1,609,990","56,316,760",41.7,17.8,332,0
SP.3: Ground water development,"9,860,000","99,005,129","1,388,648","20,098,929",14.1,20.3,332,0
Sub Total,"110,036,325","649,092,012","53,132,283","133,432,731",48.3,20.6,332,0
"Agriculture, Irrigation, Livestock, Fisheries and Cooperative",,,,,,,332,0
"Programme 1: General administration
& planning",,,,,,,332,0
SP1: General Administration & Planning,"64,262,760","413,633,330","40,272,956","5,355,350",62.7,1.3,332,0
"Programme 2: Land, Crop develop-
ment & productivity",,,,,,,332,0
"SP 2: Land, Crop development &
productivity","74,502,084","256,567,461","55,173,763","22,097,865",74.1,8.6,332,0
"P3; Agribusiness and information
management",,,,,,,332,0
"SP3; Agribusiness and information
management","13,800,000","97,538,127","9,881,532","17,422,511",71.6,17.9,332,0
"Programme 4: Livestock Production,
Management and Development",,,,,,,332,0
"SP 4: Livestock Production, Manage-
ment and Development","120,601,520","76,298,451","51,858,430","14,513,431",43.0,19.0,332,0
"Programme 5: Cooperative Develop-
ment",,,,,,,332,0
SP 5: Cooperative Development,"19,486,288","8,633,915","14,523,696","1,169,310",74.5,13.5,332,0
Sub Total,"292,652,652","852,671,284","171,710,377","60,558,467",58.7,7.1,332,0
Makueni Fruit Development and Marketing Authority,,,,,,,332,0
"SP1. 1 General Administration &
Support Services",,,,,,,332,0
P1: General administration & planning,"50,356,413","68,536,224","19,320,665","29,332,872",38.4,42.8,332,0
Sub Total,"50,356,413","68,536,224","19,320,665","29,332,872",38.4,42.8,332,0
County Assembly,,,,,,,332,0
"Programme 1: Legislation and Repre-
sentation",,,,,,,332,0
SP1: Legislation and Representation,"882,052,960","66,948,488","611,063,547",-,69.3,-,332,0
Sub Total,"882,052,960","66,948,488","611,063,547",-,69.3,-,332,0
Grand Totals,"7,615,833,357","3,554,481,901","4,376,218,564","618,932,683",61.9,17.4,332,0
