Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
Economic Planning,Economic Planning,"74,574,832.00",-,"50,099,982.20",-,67.2,-,520,0
,Sub -Total,"980,667,116.00","40,768,230.00","553,584,681.05","2,004,688.80",56.4,4.9,520,0
"Agriculture, Food, Livestock and Fisheries",,,,,,,,520,0
"Administration
Services","Administration
Services","99,981,644.00","401,682,545.00","53,108,443.00","69,848,156.90",53.1,17.4,520,0
Veterinary Services,Veterinary Services,"27,535,163.00","22,835,589.00","5,719,826.30","1,136,000.00",20.8,5.0,520,0
Crop Management,Crop Management,"168,628,017.00","320,985,936.00","80,625,186.55","96,499,059.40",47.8,30.1,520,0
"Fisheries Develop-
ment",Fisheries Development,"27,260,088.00","62,964,820.00","7,324,734.00","6,741,475.20",26.9,10.7,520,0
,Sub -Total,"323,404,912.00","808,468,890.00","146,778,189.85","174,224,691.50",45.4,21.5,520,0
"Water, Irrigation, Environment and Natural Resources",,,,,,,,520,0
"Administration
Services","Administration
Services","39,811,497.00",-,"21,889,329.00",-,55.0,-,520,0
Water Services,Water Services,"35,436,480.00","305,558,448.00","18,971,366.00","87,586,578.45",53.5,28.7,520,0
Forestry,Forestry,"34,179,152.00","91,160,000.00","8,942,740.00",,26.2,0.0,520,0
,Sub -Total,"109,427,129.00","396,718,448.00","49,803,435.00","87,586,578.45",45.5,22.1,520,0
"Education, Youth Affairs, Gender and Social Services",,,,,,,,520,0
"Administration
Services","Administration
Services","326,760,941.00",-,"225,460,616.60",-,69.0,-,520,0
ECD Programmes,ECD Programmes,"12,049,382.00","285,661,800.00","6,725,829.00","113,452,126.25",55.8,39.7,520,0
"Youth Polytechnics
and Youth Training","Youth Polytechnics
and Youth Training","4,693,584.00","120,077,241.00","1,832,306.00","51,724,975.75",39.0,43.1,520,0
Sports,Sports,-,"235,106,461.00",,"57,314,328.00",-,24.4,520,0
Social Resources,Social Resources,"24,829,585.00","38,063,031.00","15,840,766.00","8,853,607.00",63.8,23.3,520,0
,Sub -Total,"368,333,492.00","678,908,533.00","249,859,517.60","231,345,037.00",67.8,34.1,520,0
County Health Services,,,,,,,,520,0
"General Adminis-
tration and Planning
Services","General Adminis-
tration and Planning
Services","1,608,698,362.00",-,"547,360,214.00",-,34.0,-,520,0
"Curative Healthcare
Services","Curative Healthcare
Services","188,193,825.00","396,252,780.00","151,674,732.30","96,715,699.00",80.6,24.4,520,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expen-
diture",521,0
"Preventive, Promo-
tive and Rehabilita-
tive Health Services","Preventive, Promotive
Health Services","101,076,175.00","204,425,562.00","79,549,515.00","51,556,341.20",78.7,25.2,521,0
"Facility Improve-
ment Fund","Facility Improvement
Fund","151,814,034.00",-,"8,511,899.00",-,5.6,-,521,0
HIV Services,HIV Services,"30,160,688.00",-,"21,577,253.00",-,71.5,-,521,0
TB Services,TB Services,"4,400,000.00",-,"3,615,470.70",-,82.2,-,521,0
Nutrition Services,Nutrition Services,"60,578,536.00",-,-,-,0.0,-,521,0
"Environmental
Health Services","Environmental Health
Services","50,158,116.00",-,-,-,0.0,-,521,0
,Sub -Total,"2,195,079,736.00","600,678,342.00","812,289,084.00","148,272,040.20",37.0,24.7,521,0
"Lands, Physical Planning, Urban Development and Housing",,,,,,,,521,0
Physical Planning,Physical Planning,"67,394,533.00",-,"29,734,587.80",-,44.1,-,521,0
"Land Survey and
Mapping","Land Survey and
Mapping","11,470,000.00","20,243,766.00","4,462,470.00",-,38.9,0.0,521,0
Housing,Housing,"6,615,000.00","22,113,446.00","4,111,198.00",-,62.1,0.0,521,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion, Planning and
Support Services","43,763,565.00","63,854,295.00","19,814,923.00","32,252,323.35",45.3,50.5,521,0
,Sub Total,"129,243,098.00","106,211,507.00","58,123,178.80","32,252,323.35",45.0,30.4,521,0
"Roads, Public Works, Energy and Transport",,,,,,,,521,0
"General Administra-
tion Services","General Administra-
tion Services","4,536,199.00",-,"1,722,474.00",-,38.0,-,521,0
"Road Development,
Maintenance and
Management","Road Development,
Maintenance and
Management","89,677,074.00","789,579,895.00","34,533,978.30","409,916,600.60",38.5,51.9,521,0
"County Government
Buildings","County Government
Buildings","1,410,000.00",-,"1,260,200.00",-,89.4,-,521,0
,Sub- Total,"95,623,273.00","789,579,895.00","37,516,652.30","409,916,600.60",39.2,51.9,521,0
Enterprise and Industrial Development,,,,,,,,521,0
"General Adminis-
tration and Planning
Services","General Adminis-
tration and Planning
Services","137,363,552.00",-,"53,632,975.00",-,39.0,-,521,0
"Trade Development
and Investment","Trade Development
and Investment","3,845,000.00",-,"2,506,710.00",-,65.2,-,521,0
"Promotion of Fair-
Trade Practices","Promotion of Fair-
Trade Practices","17,860,000.00",-,"11,785,974.00",-,66.0,-,521,0
"Cooperative Exten-
sion Services","Cooperative Extension
Services","34,563,532.00",-,"9,706,176.00",-,28.1,-,521,0
Market Services,Market Services,"1,806,000.00","637,038,958.00","1,411,900.00","173,702,396.30",78.2,27.3,521,0
,Sub-Total,"195,438,084.00","637,038,958.00","79,043,735.00","173,702,396.30",40.4,27.3,521,0
"Tourism, Culture, Sports and Arts",,,,,,,,521,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion, Planning and
Support Services","66,883,161.00",-,"27,739,608.00",-,41.5,-,521,0
"Communication
Services","Communication
Services","9,550,000.00",-,"5,962,995.00",-,62.4,-,521,0
Wildlife Services,Wildlife Services,"6,715,000.00",-,"3,695,594.00",-,55.0,-,521,0
ICT,ICT,-,"3,901,829.00",-,-,-,0.0,521,0
Tourism,Tourism,-,"79,192,168.00",-,"7,386,765.20",-,9.3,521,0
,Sub-Total,"83,148,161.00","83,093,997.00","37,398,197.00","7,386,765.20",45.0,8.9,521,0
Grand Total,,"5,828,859,529.00","4,713,270,754.00","2,925,678,002.75","1,368,666,254.55",50.2,29.0,521,0
