Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Public Finance Manage-
ment",,"30,512,000",-,"28,799,565",-,94,-,608,0
,"Public Finance Man-
agement","3,400,000",-,"3,386,800",-,100,-,608,0
,Accounting Services,-,-,0,-,-,-,608,0
,"Budget Formulation
Coordination","1,143,000",-,"288,865",-,25,-,608,0
,"Resource Mobili-
zation","23,362,000",-,"22,928,000",-,98,-,608,0
,"Budget Expenditure
Management","2,607,000",-,"2,195,900",-,84,-,608,0
Audit Services,,"6,336,600",-,"5,881,700",-,93,-,608,0
,Audit Services,"6,336,600",-,"5,881,700",-,93,-,608,0
County Planning Services,,"600,000",-,-,-,-,-,608,0
,"Coordination of
Policy Formulation
and Plans","600,000",-,-,-,-,-,608,0
"Management and Ad-
ministration of County
Services",,"15,327,400",-,"8,205,281",-,54,-,608,0
,County Executive,"7,437,100",-,"5,156,220",-,69,-,608,0
,County Secretary,"7,890,300",-,"3,049,061",-,39,-,608,0
"Administration, Planning
and Support Service",,"56,660,260","6,746,200","9,405,916","1,946,200",17,29,608,0
,"Administrative
Service","56,660,260","6,746,200","9,405,916","1,946,200",17,29,608,0
903004860,,"45,104,000","37,400,000","34,311,662","2,720,538",76,7,608,0
,Promotion of Sports,"18,739,000","21,400,000","18,274,450",-,98,-,608,0
,"Promotion of Cul-
ture and Heritage","12,865,000","12,000,000","2,784,012","2,720,538",22,23,608,0
,Recreation and Arts,"13,500,000","4,000,000","13,253,200",-,98,-,608,0
904004860,,"12,903,945","5,000,000","6,628,100",-,51,-,608,0
,Social Protection,"2,112,945","5,000,000","154,800",-,7,-,608,0
,"Gender, Children,
Youth and People
with Disability","10,791,000",-,"6,473,300",-,60,-,608,0
"Administration, Planning
and Support Service",,"105,666,626",-,"53,634,138",-,51,-,608,0
,"Administrative
Service","105,666,626",-,"53,634,138",-,51,-,608,0
1003004860,,"13,165,000","51,500,000","3,456,300","13,319,019",26,26,608,0
,"Water Supply Man-
agement","9,830,000","50,500,000","2,253,900","13,319,019",23,26,608,0
