Programme,Sub-Programme,"Approved Estimates
FY 2023/24 (Kshs.)","Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index,col_6
"Revival of Turkana
Fishermen Co-op.
society",Spate Irrigation Technology,"58,950,000","5,509,000","53,441,000",9.3,585,0,
,"Water Saving Irrigation Technol-
ogies","56,900,000","1,512,600","55,387,400",2.7,585,0,
,"Climate Proofing of Irrigation
Infrastructure","6,500,000","6,456,000","44,000",99.3,585,0,
,Extension Research,"7,300,000","6,771,375","528,625",92.8,585,0,
,Policy Formulation,"7,650,000","6,560,100","1,089,900",85.8,585,0,
,Soil & Water Conservation,"21,000,000","1,948,694","19,051,306",9.3,585,0,
"Fish market infra-
structure/ fish value
addition","Fish market infrastructure/ fish
value addition","1,348,686","615,002","733,684",45.6,585,0,
,Fisheries livelihood support,"20,168,843","1,537,110","18,631,733",7.6,585,0,
,Fisheries Extension Services,"22,349,999","983,627","21,366,372",4.4,585,0,
,Fisheries resource management,"2,702,225","1,163,097","1,539,128",43.0,585,0,
,Blue Economy Integration,"508,123",-,"508,123",-,585,0,
,Aquaculture Production,"24,501,418","1,097,097","23,404,321",4.5,585,0,
,Fisheries Quality Assurances,"750,000","91,640","658,360",12.2,585,0,
"Sustainable man-
agement of fisheries
resources",Frame survey,"56,900,000","31,239,599","25,660,401",54.9,585,0,
,Fish Stock assessment,"23,450,000","15,697,180","7,752,820",66.9,585,0,
,"Monitoring, Control and Surveil-
lance","8,022,836","763,200","7,259,636",9.5,585,0,
,Resource monitoring facilities,"1,700,000","585,500","1,114,500",34.4,585,0,
"Livestock breed
improvement","Establish livestock Multiplication
and breeding Centre.","22,300,000","20,050,000","2,250,000",89.9,585,0,
,"Provision of Livestock Extension
services","1,600,000",-,"1,600,000",-,585,0,
,Livestock Risk Management,"15,200,000","927,340","14,272,660",6.1,585,0,
,Rangeland Management,"4,100,000","2,930,150","1,169,850",71.5,585,0,
,Research and Development,"900,000","280,550","619,450",31.2,585,0,
,"Livestock multiplication and
breeding centre","1,800,000","862,000","938,000",47.9,585,0,
,Livestock Value Chain,"23,800,000","2,957,940","20,842,060",12.4,585,0,
,Skills Development,"16,300,000","78,500","16,221,500",0.5,585,0,
,"General Administration and Sup-
port Services- Pastoral Economy","17,024,320","8,184,054","8,840,266",48.1,585,0,
"Agriculture Pro-
gramme","Agricultural Sector Development
Support Programme (ASDSP)","30,579,931","19,731,177","10,848,754",64.5,585,0,
,Agricultural Mechanization,"15,700,000","6,683,889","9,016,111",42.6,585,0,
,"Emergency Locust Response
Project","220,986,952",-,"220,986,952",-,585,0,
,,A,B,C=A-B,D=B/A*100,586,0,
,"De-Risking and Value Enhance-
ment","215,141,980",-,"215,141,980",-,586,0,
,Agric Market Access,"24,315,035","1,250,000","23,065,035",5.1,586,0,
,Crop Production,"3,000,000","2,599,550","400,450",86.7,586,0,
,Nutrition Sensitive Agriculture,"5,000,000",-,"5,000,000",-,586,0,
,NARIGP,"150,000,000","4,261,825","145,738,175",2.8,586,0,
,DRNKP/KfW,"612,590,978","147,590,978","465,000,000",24.1,586,0,
,Subtotal,"1,701,041,326","300,918,774","1,290,721,527",17.7,586,0,
"Tourism, Culture and Natural Resources",,,,,,586,0,
"Culture, Arts,
Heritage Develop-
ment, Promotion and
Preservation","General Administration, Planning
and Support Services","455,741,279","13,508,741","442,232,538",3.0,586,0,
,"Tourism Development and
Promotion","3,600,000","934,300","2,665,700",26.0,586,0,
,Ushanga Initiative,"3,000,000","603,550","2,396,450",20.1,586,0,
,Turkana Cultural Festival,"49,000,000","34,646,001","14,353,999",70.7,586,0,
"Culture development
and preservation
infrastructure","Culture Promotion and Preser-
vation","900,000",-,"900,000",-,586,0,
,"Equipment and Infrastructure
Development at Ekalees Centre","3,000,000",-,"3,000,000",-,586,0,
"Heritage Develop-
ment Promotion &
Preservation","Heritage Development Promotion
& Preservation","2,000,000","1,239,420","760,580",62.0,586,0,
,Sub Total,"517,241,279","50,932,012","466,309,267",9.8,586,0,
"Lands, Energy, Housing and Urban Areas Management",,,,,,586,0,
Land Survey,Land and Property Valuation,"13,300,000","2,561,007","10,738,993",19.3,586,0,
,Land Governance,"75,382,066","6,256,641","69,125,425",8.3,586,0,
,Spatial Infrastructure,"1,900,000","798,800","1,101,200",42.0,586,0,
,Land Registration,"48,189,170","14,049,717","34,139,453",29.2,586,0,
,Land Policy and Management,"2,300,000","855,550","1,444,450",37.2,586,0,
"General Adminis-
tration","Lands General Administration,
Planning and Support Services","41,232,164","19,195,305","22,036,859",46.6,586,0,
Urban Development,Urban Services,"5,700,000","5,400,000","300,000",94.7,586,0,
,"Urban Governance and Infra-
structure","54,605,829","3,387,265","51,218,564",6.2,586,0,
,Sub Total,"242,609,229","52,504,285","190,104,944",21.6,586,0,
Turkana County Assembly,,,,,,586,0,
"Construction of
Assembly Building","Construction of New Assembly
Building","8,540,000","2,184,200","6,355,800",25.6,586,0,
,Office of the Speaker,"12,650,000","8,038,293","4,611,707",63.5,586,0,
,"Partnership and Donor Engage-
ment","600,000","124,490","475,510",20.7,586,0,
,"Sergeant at Arms and Security
Services","10,428,237","4,236,759","6,191,478",40.6,586,0,
Speakers Resident,"Construction of Speakers Resi-
dence","61,237,250","45,791,179","15,446,071",74.8,586,0,
,Purchase of Land for Construction,"1,206,767","53,088","1,153,679",4.4,586,0,
Headquarters,"General Administration and
Planning","1,144,215,005","921,787,771","222,427,234",80.6,586,0,
,Sub Total,"1,238,877,259","982,215,780","256,661,479",79.3,586,0,
Turkana County Public Service Board,,,,,,586,0,
"General Administra-
tion, Planning Services",County Internship Programme,"52,200,000","32,203,800","19,996,200",61.7,586,0,
,Human Resource Management,"18,548,107","11,645,923","6,902,184",62.8,586,0,
,,A,B,C=A-B,D=B/A*100,587,0,
,County Public Service Governance,"12,405,545","7,586,228","4,819,317",61.2,587,0,
"Performance and
Efficiency","Performance Contracting and
Monitoring","16,700,000","8,931,130","7,768,870",53.5,587,0,
,Intergovernmental Relation,"12,600,000","6,484,800","6,115,200",51.5,587,0,
,"Public Communication Media
Relations","8,623,345","5,024,460","3,598,885",58.3,587,0,
"General Adminis-
tration and Support
Services",General Administration,"13,536,349","4,600,951","8,935,398",34.0,587,0,
,Sub Total,"134,613,346","76,477,292","49,200,656",56.8,587,0,
Office of the County Attorney,,,,,,587,0,
"General Adminis-
tration, Planning and
Support Services","General Administration, Planning
and Support Services- County At","11,760,000","6,728,640","7,452,800",57.2,587,0,
Litigation,Litigation,"35,888,345","35,888,345","54,850,000",100.0,587,0,
,"Government Agreements and
Contracts","3,450,000","1,429,000","3,157,500",41.4,587,0,
,Legal Audit & Compliance,"4,650,000","1,469,540","2,875,400",31.6,587,0,
Legislation,Legislation,"3,050,000","2,082,455","3,456,107",68.3,587,0,
,Policy & Legal Briefs,"2,275,000","131,400","2,112,000",5.8,587,0,
"Training of Legal
Counsel",Training of Legal Counsel,"2,050,000","406,800","2,135,000",19.8,587,0,
,Legal Training & Awareness,"1,800,000","834,400","2,112,851",46.4,587,0,
,Sub Total,"64,923,345","48,970,580","78,151,658",75.4,587,0,
Lodwar Municipality Board,,,,,,587,0,
