Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,Stormwater management,"8,232,205.00",-,"2,310,200.00",-,28.1,-,507,0
,Grand Total,"191,573,517.00","338,716,050.00","73,140,549.35","109,211,427.65",38.2,32.2,507,0
"Education and Vocational
Training",,-,-,-,-,--,-,507,0
"General Administration
Planning and Support
Services","General Administration Plan-
ning and Support Services",-,-,-,-,-,-,507,0
,"Administration, Planning and
Support Services",-,-,-,-,-,-,507,0
"General Administration
Planning and Support
Services","General Administration Plan-
ning and Support Services","240,766,617.00",-,"171,022,773.80",-,71.0,-,507,0
,Bursary Management Services,-,-,-,-,,,507,0
,"General Administration Plan-
ning and Support Services","240,766,617.00",-,"171,022,773.80",-,71.0,-,507,0
"Education & Training
Services",Education & Training Services,"357,053,381.00","134,595,000.00","291,207,974.00","63,494,940.00",81.6,47.2,507,0
,"Promotion of Early Childhood
Education","357,053,381.00","134,595,000.00","291,207,974.00","63,494,940.00",81.6,47.2,507,0
,"Promotion of youth empow-
erment",-,-,-,-,-,-,507,0
"Management and develop-
ment of Sports & Sports
facilities","Management and development
of Sports & Sports facilities",-,-,-,-,-,-,507,0
,"Sports Development, Training
& Competition",-,-,-,-,-,-,507,0
"Youth Training and Devel-
opment","Youth Training and Devel-
opment","10,445,312.00","6,404,900.00","3,335,034.40","7,904,840.00",31.9,123.4,507,0
,"SP1 Revitalization of Youth
Polytechnics","10,445,312.00","6,404,900.00","3,335,034.40","7,904,840.00",31.9,123.4,507,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",508,0
,Grand Total,"608,265,310.00","140,999,900.00","465,565,782.20","71,399,780.00",76.5,50.6,508,0
"Medical Services, Public
Health & Sanitation",,-,-,-,-,-,-,508,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,-,-,508,0
"Administration, Planning
and Support Services","Administration, Planning and
Support Services",-,-,-,-,-,-,508,0
,"Preventive and Promotive
Health Services",-,-,-,-,-,-,508,0
"Non-communicable Disease
& Prevention Control","Non-communicable Disease &
Prevention Control","301,050,821.00",-,"289,014,423.70",-,96.0,-,508,0
,Maternal Health Services,"32,518,515.00",-,"30,703,776.25",-,94.4,-,508,0
,"Communicable Disease
Control","54,637,138.00",-,"61,899,908.00",-,113.3,-,508,0
,Health Promotive Services,"84,029,736.00",-,"77,714,430.20",-,92.5,-,508,0
,Health curative Services,"129,865,432.00",-,"118,696,309.25",-,91.4,-,508,0
County Referral Services,County Referral Services,"819,789,457.00","24,380,389.00","544,966,023.25","3,129,910.00",66.5,12.8,508,0
,Free Primary Healthcare,"647,659,473.00","24,380,389.00","397,577,181.70","3,129,910.00",61.4,12.8,508,0
,"Provision Of Essential Health
Services in all the Levels","150,675,046.00",-,"130,919,364.70",-,86.9,-,508,0
,"General Administration Plan-
ning and Support Services","21,454,938.00",-,"16,469,476.85",-,76.8,-,508,0
"Health Standards and Qual-
ity Assurance Services","Health Standards and Quality
Assurance Services","241,603,979.00","268,596,424.00","152,265,439.20","125,438,429.00",63.0,46.7,508,0
,Research And Development,"76,834,490.00",-,"48,972,409.70",-,63.7,-,508,0
,"Health Infrastructure devel-
opment","9,056,172.00",-,"6,119,731.65",-,67.6,-,508,0
,Human Resources for health,"9,973,576.00",-,"8,099,001.25",-,81.2,-,508,0
,"Health Policy, Planning &
Financing","101,473,482.00",-,"44,733,661.90",-,44.1,-,508,0
,,"44,266,259.00","268,596,424.00","44,340,634.70","125,438,429.00",100.2,46.7,508,0
"Water Catchment and
Protection Services","Water Catchment and Protec-
tion Services",-,-,-,-,-,-,508,0
,Grand Total,"1,362,444,257.00","292,976,813.00","986,245,886.15","128,568,339.00",72.4,43.9,508,0
"Lands, Housing, Physical
Planning & Urban Devel-
opment",,-,-,-,-,-,-,508,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,-,-,508,0
"Administration, Planning
and Support Services","Administration, Planning and
Support Services","122,762,015.00","5,000,000.00","45,001,978.75",-,36.7,-,508,0
,Land Use Policy and Planning,"122,762,015.00","5,000,000.00","45,001,978.75",-,36.7,-,508,0
"Housing management
services",Housing management services,"16,572,824.00","50,130,000.00","6,185,147.05","19,943,203.00",37.3,39.8,508,0
,GIS Data Base creation,"1,004,955.00",-,"363,125.00",-,36.1,-,508,0
,Spatial planning,-,-,-,-,-,-,508,0
,Survey And Mapping,"7,617,044.00",-,"2,328,397.00",-,30.6,-,508,0
,Urban Centres Administration,"7,950,825.00","50,130,000.00","3,493,625.05","19,943,203.00",43.9,39.8,508,0
Urban centre management,Urban centre management,"34,909,894.00","36,195,293.00","15,331,700.90","1,194,559.00",43.9,3.3,508,0
,Urban centre management,"34,909,894.00","36,195,293.00","15,331,700.90","1,194,559.00",43.9,3.3,508,0
,Grand Total,"174,244,733.00","91,325,293.00","66,518,826.7","21,137,762.0",38.2,23.1,508,0
,,Revised Estimates,,Expenditure,,"Absorp-
tion
%","Absorp-
tion
%",508,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",509,0
Program,Description,Recurrent,Development,Recurrent,Development,Rec,Dev,509,0
"Roads, Transport & Public
Works",,-,-,-,-,-,-,509,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,-,-,509,0
"Administration, Planning
and Support Services","Administration, Planning and
Support Services",-,-,-,-,-,-,509,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,-,-,509,0
Administrative services,Administrative services,"73,759,635.00",-,"38,308,333.95",-,51.9,-,509,0
,"Design, implementation and
supervision of public buildings","55,113,209.00",-,"30,961,876.00",-,56.2,-,509,0
,Firefighting services,"14,018,860.00",-,"5,539,937.80",-,39.5,-,509,0
,"Infrastructure, Roads & Trans-
port Services","4,627,566.00",-,"1,806,520.15",-,39.0,-,509,0
Street lights management,Street lights management,"42,923,197.00","286,165,308.00","11,426,041.90","151,079,339.80",26.6,52.8,509,0
,"Rehabilitation of Roads,
Drainage and Bridges","16,447,732.00","16,000,000.00","6,232,206.25",-,37.9,-,509,0
,"Public Road transport and
parking","11,550,809.00","270,165,308.00","804,500.00","151,079,339.80",7.0,55.9,509,0
,"Design, supervision and reha-
bilitation of County Buildings","3,920,836.00",-,"1,271,385.65",-,32.4,-,509,0
,"General Administration Plan-
ning and Support Services","11,003,820.00",-,"3,117,950.00",-,28.3,-,509,0
Administration,Administration,-,-,-,-,-,-,509,0
,Land Use Policy and Planning,-,-,-,-,-,-,509,0
"Pollution control& moni-
toring",Pollution control& monitoring,-,-,-,-,,,509,0
,"Conservation and Management
of Natural Ecosystems",-,-,-,-,-,-,509,0
Stormwater management,Stormwater management,-,-,-,-,-,-,509,0
,Water and sanitation services,-,-,-,-,-,-,509,0
,Grand Total,-,-,-,-,-,-,509,0
,Grand Total,"116,682,832.00","286,165,308.00","49,734,375.85","151,079,339.80",42.6,52.8,509,0
,,"Revised Esti-
mates",,Expenditure,,"Absorp-
tion %","Absorp-
tion %",509,0
Program,Description,Recurrent,Development,Recurrent,Development,Rec,Dev,509,0
"Tourism, Trade, Enterprise
Development & Cooper-
atives",,-,-,-,-,-,-,509,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,-,-,509,0
General administration,General administration,"66,617,224.00","152,902,650.00","14,738,910.70","78,042,560.95",22.1,51.0,509,0
,"Cooperatives Development
and Management","66,617,224.00","152,902,650.00","14,738,910.70","78,042,560.95",22.1,51.0,509,0
"SACCO members’ empow-
erment","SACCO members’ empow-
erment","25,655,289.00",-,"4,523,697.70",-,17.6,-,509,0
,"Enhance Marketing Co-op-
eratives",-,-,-,-,-,-,509,0
,"Promote Commerce and
Enterprises","25,655,289.00",-,"4,523,697.70",-,17.6,-,509,0
"Business Development
Services for MSE’s","Business Development Ser-
vices for MSE’s","2,541,500.00",-,"867,965.00",-,34.2,-,509,0
,"Promotion of Tourism and
Marketing","2,541,500.00",-,"867,965.00",-,34.2,-,509,0
"Tourism and Infrastructure
Development","Tourism and Infrastructure
Development","122,837,098.00",-,"75,498,311.90",-,61.5,-,509,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",510,0
,"Establish & Management of
County Tourism Information
Centre",-,-,-,-,-,-,510,0
,"Tourism Training & capacity
Building","111,537,098.00",-,"74,569,421.90",-,66.9,-,510,0
,"Trade Development and
Promotion","11,300,000.00",-,"928,890.00",-,8.2,-,510,0
Domestic trade development,Domestic trade development,"19,924,771.00",-,"10,123,876.70",-,50.8,--,510,0
,"Market development and pro-
motion of fair-trade services","18,604,771.00",-,"9,396,176.70",-,50.5,-,510,0
,"General Administration Plan-
ning and Support Services","1,320,000.00",-,"727,700.00",-,55.1,-,510,0
"General Administration
Planning and Support
Services","General Administration Plan-
ning and Support Services","11,837,684.00","25,161,600.00","1,470,612.50","26,393,200.00",12.4,104.9,510,0
,Grand Total,"11,837,684.00","25,161,600.00","1,470,612.50","26,393,200.00",12.4,104.9,510,0
,Grand Total,"249,413,566.00","178,064,250.00","107,223,374.50","104,435,760.95",43.0,58.7,510,0
,,"Revised Esti-
mates",,Expenditure,,"Absorp-
tion %","Absorp-
tion %",510,0
Program,Description,Recurrent,Development,Recurrent,Development,Rec,Dev,510,0
"Culture, Social Services,
Gender, Sports & Youth
Affairs",,-,-,-,-,-,-,510,0
,Education & Training Services,-,-,-,-,-,-,510,0
"Promotion of youth empow-
erment","Promotion of youth empow-
erment",-,-,-,-,-,-,510,0
,"Management and development
of Sports & Sports facilities",-,-,-,-,-,-,510,0
"Sports Development, Train-
ing & Competition","Sports Development, Training
& Competition","58,300,000.00","29,037,030.00","5,023,966.00","15,537,030.00",8.6,53.5,510,0
,"Public Sector Advisory
Services","58,300,000.00","29,037,030.00","5,023,966.00","15,537,030.00",8.6,53.5,510,0
"Economic, Social & Political
Advisory Service","Economic, Social & Political
Advisory Service","5,086,036.00",-,"2,466,584.65",-,48.5,-,510,0
,"General Administration Plan-
ning and Support Services","5,086,036.00",-,"2,466,584.65",-,48.5,-,510,0
"General Administration
Planning and Support
Services","General Administration Plan-
ning and Support Services","60,730,185.00","25,700,000.00","24,507,546.70","7,478,900.65",40.4,29.1,510,0
,"Community Mobilization and
Development","60,730,185.00","25,700,000.00","24,507,546.70","7,478,900.65",40.4,29.1,510,0
"Community Mobilization
and Development","Community Mobilization and
Development","27,446,884.00",-,"10,495,437.40",-,38.2,-,510,0
,"Development and Promotion
of Culture","5,608,872.00",-,"2,577,132.90",-,45.9,-,510,0
,Social Welfare and Gender,"4,618,012.00",-,"2,878,404.50",-,62.3,-,510,0
,Conservation of Heritage,"16,400,000.00",-,"4,494,400.00",-,27.4,-,510,0
,"Development and management
of sports facilities","820,000.00",-,"545,500.00",-,66.5,-,510,0
"Development and manage-
ment of sports facilities","Development and management
of sports facilities","7,460,000.00",-,"6,848,406.00",-,91.8,-,510,0
,"General Administration Plan-
ning and Support Services","7,460,000.00",-,"6,848,406.00",-,91.8,-,510,0
"General Administration
Planning and Support
Services (Sports)","General Administration
Planning and Support Services
(Sports)","17,294,147.00",-,"10,074,934.80",-,58.3,-,510,0
,Grand Total,"17,294,147.00",-,"10,074,934.80",-,58.3,-,510,0
,Grand Total,"176,317,252.00","54,737,030.00","59,416,875.55","23,015,930.65",33.7,42.0,510,0
County Assembly,,,,,,,,510,0
