Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Expen-
,Total,"286,224,689","55,765,381","144,272,902","6,350,000",50.4,11.4,155,0
"Tourism, Culture and Trade including PSM",,,,,,,,155,0
Tourism Promotion,"Tourism Promotion and
Marketing","123,926,330",,"76,419,250",,61.7,-,155,0
,Tourism Development,"700,000",,"1,406,400",,200.9,-,155,0
,Wildlife Protection,,"8,000,000",,-,-,-,155,0
,Sub-Total,"124,626,330","8,000,000","77,825,650",-,62.4,-,155,0
"Trade development and
promotion","Entrepreneurship and busi-
ness management training","3,407,867",,"2,123,200",,62.3,-,155,0
,"General Administration &
Support Services","12,693,520",,"4,453,608",,35.1,-,155,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",156,0
,"Co-operative Development
& Management","2,200,000",,"925,800",,42.1,-,156,0
,"Development of new market
stalls",,"30,000,000",,-,-,-,156,0
,Sub-Total,"18,301,387","30,000,000","7,502,608",-,50.4,-,156,0
"Peace and Unity Build-
ing Initiatives","General Administration
Planning & Support Services","166,510,090",,"97,813,120",,58.7,-,156,0
,County Administration,"25,934,954",,"17,289,550",,66.7,-,156,0
,"Public Service Productivity
& Reforms","181,752,720",,"116,726,375",,64.2,-,156,0
,"Performance Management
Framework","9,437,000","6,000,000","9,011,330",-,95.5,-,156,0
,Devolved Units,"7,575,000",-,"6,005,200",-,79.3,-,156,0
,Sub-Total,"391,209,764","6,000,000","246,845,574",-,63.1,-,156,0
"Civic Education &
Public Participation","General Administration
Planning & Support Services","5,010,000",-,"2,390,000",,47.7,-,156,0
,Civic Education,"1,460,000",,"709,400",,48.6,-,156,0
,Public Participation,"1,750,000",-,"977,300",,55.8,-,156,0
,Customer Service,"950,000",,"249,300",,26.2,-,156,0
,Sub-Total,"9,170,000",,"4,326,000",-,47.2,-,156,0
,Total,"539,899,614","44,000,000","336,499,832",-,62.3,-,156,0
"Water, Energy, Environment and Natural Resources Management",,,,,,,,156,0
"Water Supply and
Storage Services","Procurement of survey
equipment & accessories","30,021,320",,"13,403,859",,44.6,-,156,0
,"Rural Water Supply &
Storage Services","12,699,573","93,316,619","9,062,176","35,546,813",71.4,38.1,156,0
,"Rural Water Services
Governance","750,000","4,000,000","146,000",-,19.5,0.0,156,0
,"Adaptive Capacity to Natu-
ral Disaster","3,000,000",,"2,200,000",,73.3,-,156,0
,Sub-Total,"46,470,893","97,316,619","24,812,035","35,546,813",53.4,36.5,156,0
"Climate Change Miti-
gation & Adaptation","General Administration &
Support Services","19,565,040",,"9,729,265",,49.7,-,156,0
,"Enabling Legal & Imple-
mentation Frameworks","1,006,732",,"589,400",,58.5,-,156,0
,Inclusive Climate Resilience,"800,000",,"466,200",,58.3,-,156,0
,Climate Smart Practices,"2,270,000","177,870,282","1,190,000","4,968,500",52.4,2.8,156,0
,Sub-Total,"23,641,772","177,870,282","11,974,865","4,968,500",50.7,2.8,156,0
"Conservation of En-
vironment & Natural
Resources","Administration and Support
Services","20,000",,"36,000",,180.0,-,156,0
,"Sustainable Natural Re-
sources Exploitation","2,020,000",-,"1,046,200",-,51.8,-,156,0
,Environmental Conservation,"550,000",,"150,000",,27.3,-,156,0
,Sub-Total,"2,590,000",-,"1,232,200",-,47.6,-,156,0
Energy services,"General Administration &
Support Services","135,000",,"82,000",,60.7,-,156,0
,Green Energy Promotion,"3,790,000",,"1,285,600",,33.9,-,156,0
,"Renewable Energy Tech-
nologies",,"4,000,000",,"2,000,000",-,50.0,156,0
,Sub-Total,"3,925,000","4,000,000","1,367,600","2,000,000",34.8,50.0,156,0
,Total,"76,627,665","279,186,901","39,386,700","42,515,313",51.4,15.2,156,0
Health Services,,,,,,,,156,0
"Health Curative
Services","Administration Support
Services",-,,"1,013,400",,-,-,156,0
,"Human Resource Manage-
ment","968,741,288",,"486,250,472",,50.2,-,156,0
,Monitoring & Evaluation,"4,071,674",,"3,389,326",,83.2,-,156,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",157,0
,"Quality Assurance &
Standards","4,402,000",,"1,333,200",,30.3,-,157,0
,"Curative and Rehabilitative
Health Services","37,248,592","42,476,986","16,480,175","6,758,954",44.2,15.9,157,0
,"Pharmaceutical & Pharma-
ceutical Commodities","143,717,960",,"78,408,299",,54.6,-,157,0
,Sub-Total,"1,158,181,514","42,476,986","586,874,872","6,758,954",50.7,15.9,157,0
"Health Preventive and
Promotive Services","Preventive and Promotive
Health Services",-,,"898,000",,-,-,157,0
,"Human Resource Manage-
ment","119,068,341",,"59,350,852",,49.8,-,157,0
,Primary Health Care,"46,311,079","57,399,145","23,148,263","4,698,375",50.0,8.2,157,0
,Nutrition,"2,502,646",,"1,118,320",,44.7,-,157,0
,Community Health Services,"31,000,000",,"16,807,000",,54.2,-,157,0
,"Communicable Diseases
Control","5,177,900",,"5,067,500",,97.9,-,157,0
,"Public Health Emergency
Coordination","13,796,400","13,231,500","2,991,282",-,21.7,0.0,157,0
,Sub-Total,"217,856,366","70,630,645","109,381,217","4,698,375",50.2,6.7,157,0
,Total,"1,376,037,880","113,107,631","696,256,089","11,457,329",50.6,10.1,157,0
Municipal Administration,,,,,,,,157,0
"Municipal Adminis-
tration","General Administration and
Planning","29,920,749",,"16,167,661",,54.0,-,157,0
,Infrastructural Development,"7,500,000","8,394,689","3,500,000","255,155",46.7,3.0,157,0
,Municipality Amenities,"5,125,000","80,000,000","3,424,400","71,161,910",66.8,89.0,157,0
,"Municipal Disaster Man-
agement","2,300,000","8,327,500","1,290,500","3,327,500",56.1,40.0,157,0
,"Municipal Transport Ser-
vices & Management","5,418,161",,"1,250,000",,23.1,-,157,0
,Sub-Total,"50,263,910","96,722,189","25,632,561","74,744,565",51.0,77.3,157,0
Grand Total,,"4,012,458,761","1,736,321,618","2,186,057,364","555,268,643",54.5,32.0,157,0
