Programme S,ub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index,Programme,Sub-Programme
,,,,,,,,98,0,"Water, Environment and Climate Change",
,,"56,072,511",-,"31,359,354",-,55.9,-,98,0,"General adminis-
tration and support
services","General administration and
support services"
,,-,"21,719",-,-,-,-,98,0,,Energy
,,-,"283,220,580",-,"33,887,946",-,12,98,0,,Water Services
,,-,"1,750,000",-,-,-,-,98,0,,Environmental Management
,,-,"249,181,388",-,"105,685,603",-,42,98,0,,Climate Change Management
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",99,0,,
,,,,,,,,99,0,Education and Technical Training,
,,"375,148,122",-,"188,745,340",-,50,-,99,0,"General adminis-
tration and support
services",Pre-Primary Education
,,"100,000",-,-,-,-,-,99,0,,"Pre-primary Infrastructure
Development"
,,-,"145,969,909",-,"29,214,990",-,20,99,0,,"Pre-primary Quality Control
and Support"
,,-,"1,685,000",-,-,-,-,99,0,,"Vocational Education and
Training"
,,-,"24,204,494",-,-,-,-,99,0,,"VTC Infrastructure Devel-
opment"
,,-,"1,300,000",-,-,-,-,99,0,,"VTC Quality Control and
Support"
,,,,,,,,99,0,Health and Sanitation,
,,"1,766,070,761",-,"1,063,091,103",-,60,-,99,0,"General adminis-
tration and support
services","General administration and
support services"
,,"5,585,000","1,900,000","1,775,100",-,32,-,99,0,,"Community and Environmen-
tal Health"
,,-,"406,198,433",-,"345,729,410",-,85,99,0,,Health Services
,,,,,,,,99,0,"Lands, Physical Planning, Housing and Urban Development",
,,"68,637,885",-,"39,432,207",-,57.4,-,99,0,"General adminis-
tration and support
services","General administration and
support services"
,,-,"16,035,922",-,-,-,-,99,0,,Energy
,,-,"1,200,000",-,-,-,-,99,0,,Solid waste management
,,-,"44,074,944",-,-,-,-,99,0,,"County Public Land Man-
agement"
,,-,"2,699,950",-,-,-,-,99,0,,Physical Planning
,,-,"64,425,350",-,"6,095,900",-,9.5,99,0,,Urban Infrastructure
,,,,,,,,99,0,"Roads, Public Works, and Transport",
,,"170,805,025",-,"69,130,857",-,40.5,-,99,0,"General adminis-
tration and support
services","General administration and
support services"
,,-,"256,495,740",-,"37,808,038",-,14.7,99,0,Roads Improvement,Rural road Works
,,"2,810,000","1,000,000","902,550.00",-,32.1,-,99,0,Public Works,Public works
,,-,"86,038",-,"86,038.00",-,100,99,0,Energy,Energy
,,"12,800,645",-,"679,300",-,5.3,-,99,0,Transport Services,Transport Services
,,,,,,,,99,0,"Cooperatives, Trade, Industrialization, Tourism and Wildlife",
,,"72,957,946",-,"38,855,042",-,53.3,-,99,0,"General adminis-
tration and support
services",Cooperatives development
,,"2,200,000",-,"796,650",-,36.2,-,99,0,,Rimoi National Reserve
,,-,"6,708,000",-,-,-,-,99,0,,"General administration and
support services"
,,-,"554,680",-,-,-,-,99,0,,Tourism Development
,,-,"361,820,800",-,"1,759,860",-,0.5,99,0,,"Trade and enterprise devel-
opment"
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",100,0,,
,,,,,,,,100,0,"Sports, Youth Affairs, ICT and Social Services",
,,"94,837,553",-,"25,061,959",,26.4,-,100,0,"General adminis-
tration and support
services","General administration and
support services"
,,-,"28,261,071",-,"2,314,300",-,8.2,100,0,,Sports Development
,,-,"264,200",-,-,-,-,100,0,,Sports Talent Development
,,-,"4,821,000",-,"2,329,000",-,48.3,100,0,,Social Empowerment
,,-,"950,000",-,-,-,-,100,0,,Social Protection
,,-,"25,539,332",-,-,-,-,100,0,,Social Empowerment
,,-,-,-,-,-,-,100,0,,Culture Preservation
,,,,,,,,100,0,Public Service Management and County Administration,
,,"3,908,000.00",-,"884,600.00",-,22.6,-,100,0,"General adminis-
tration and support
services","General administration and
support services"
,,"500,000",-,,-,-,-,100,0,,ICT services
,,307463588,"600,000","200,610,104",-,65.2,-,100,0,,"County Administration and
Devolution"
,,"600,000",-,"145,000.00",-,24.2,-,100,0,,Enforcement and Compliance
,,"500,000",-,"494,200.00",-,98.8,-,100,0,,"Citizen Participation and Civic
Education"
,,"650,000",-,"423,500.00",-,65.2,-,100,0,,Human Resource Management
,,"750,000",-,"564,160.00",-,75.2,-,100,0,,Payroll Management
,,"500,000",-,"178,400.00",-,35.7,-,100,0,,"County Communication
Corporate Affairs"
,,-,-,-,-,-,-,100,0,,"Citizen Participation and Civic
Education"
,,-,"17,146,981",-,-,-,-,100,0,,"County Administration and
Devolution"
,,"850,000.00","11,350,000","117,500.00",-,-,-,100,0,,ICT services
,,-,-,-,-,-,-,100,0,,Human Resource Management
,,,,,,,,100,0,County Public Service Board,
,,"52,046,441",-,"37,076,616",-,-,-,100,0,"General adminis-
tration and support
services","General administration and
support services"
,,"4,241,226,805","2,552,875,550","2,587,977,314","609,340,636",61.0,23.9,100,0,Total,
