Program,Sub-Programme,"Approved Estimated FY 2023/2023
(Kshs.)",col_3,"Actual Expenditure for the
period ended 31st March 2024
(Kshs.)",col_5,"Absorption Rate
(10)",col_7,page_number,table_index
,Youth and Sports,"8,000,000","2,000,000","5,250,000","1,945,000",65.6,97.3,303,0
504003216,,-,"13,565,462",-,"4,927,564",-,36.3,303,0
,Social Development,-,"13,565,462",-,"4,927,564",-,36.3,303,0
SUBTOTAL,,"301,711,372","97,813,675","237,248,206","26,553,476",78.6,27.1,303,0
MEDICAL SERVICE,,,,,,,,303,0
101003217,,0,"500,000",0,0,-,0.0,303,0
,Administration Services,0,"500,000",0,0,-,0.0,303,0
402003217,,"1,077,191,014","204,736,771","760,007,468","37,343,246",70.6,18.2,303,0
,"Human Resource & Devel-
opment","905,194,795",-,"667,690,257",-,73.8,-,303,0
,"Primary Health Care
Services","111,996,219","5,000,000","90,548,446","3,402,240",80.8,-,303,0
,SP4 curative Services,"60,000,000","91,530,148","1,768,765","10,042,104",2.9,11.0,303,0
,Hospital Services,,"108,206,623",-,"23,898,902",-,22.1,303,0
403003217,,"23,694,531","95,000,000","16,148,844","40,000,000",68.2,42.1,303,0
,"SP4 Preventive and Pro-
motive Services","23,694,531","95,000,000","16,148,844","40,000,000",68.2,42.1,303,0
SUBTOTAL,,"1,100,885,545","300,236,771","776,156,312","77,343,246",70.5,25.8,303,0
"TRADE, INVESTMENT, CULTURE AND TOURISM",,,,,,,,303,0
301003218,,"21,856,837",-,"12,964,577",-,59.3,-,303,0
,Administration Services,"21,856,837",-,"12,964,577",-,59.3,-,303,0
302003218,,"1,464,556",-,"784,150",-,53.5,-,303,0
,Promotion & Marketing,"1,464,556",-,"784,150",-,53.5,-,303,0
304003218,,"20,726,000",-,"23,183,089",-,111.9,-,303,0
,Cultural Festival,"20,726,000",-,"23,183,089",-,111.9,-,303,0
303003218,,"714,000","41,959,899","203,520","9,057,808",28.5,21.6,303,0
,Trade Promotion,"714,000","5,000,000","203,520",-,28.5,0.0,303,0
,Market development,-,"36,959,899",-,"9,057,808",-,24.5,303,0
305003218,,-,"101,194,267",-,"586,432",-,0.6,303,0
,SME Development,,"101,194,267",-,"586,432",-,0.6,303,0
SUBTOTAL,,"44,761,393","143,154,166","37,135,336","9,644,240",83.0,6.7,303,0
ICT & E-GOVERNANCE,,,,,,,,303,0
101003219,,"18,159,900","181,604,300","6,417,599","1,579,920",35.3,0.9,303,0
,Administration Services,"18,159,900","181,604,300","6,417,599","1,579,920",35.3,0.9,303,0
201003219,,,,,,,,303,0
,"Administration, Personnel
& Policy Formulation",,,,,,,303,0
202003219,,"2,000,000",-,-,-,,,303,0
,"Communication & Citizen
Participation","2,000,000",,-,,,,303,0
203003219,,"6,297,000","4,402,387",-,"902,387",-,20.5,303,0
,Networking Infrastructure,"6,297,000","4,402,387",-,"902,387",-,20.5,303,0
SUBTOTAL,,"26,456,900","186,006,687","6,417,599","2,482,307",24.3,1.3,303,0
"FISHERIES, LIVESTOCK, VERTINERY AND COOPERATIVE",,,,,,,,303,0
106003220,,"54,856,278",-,"31,763,157",-,57.9,-,303,0
,"Administration, Planning
and Monitoring & Eval-
uation","54,856,278",-,"31,763,157",-,57.9,-,303,0
108003220,,"575,000",-,"140,000",-,24.3,-,303,0
,Co-management,"575,000",-,"140,000",-,24.3,-,303,0
109003220,,"2,350,500","24,000,000","1,070,272","2,998,000",45.5,12.5,303,0
,Fish farming,"2,350,500","24,000,000","1,070,272","2,998,000",4.5,12.5,303,0
111003220,,"963,350","14,000,000","253,490","10,427,384",26.3,74.5,303,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",304,0
,"Livestock Extension
Services","963,350","14,000,000","253,490","10,427,384",1.8,74.5,304,0
112003220,,"2,505,000","8,464,746","932,170","5,952,381",37.2,70.3,304,0
,"Veterinary Service Man-
agement","2,505,000","8,464,746","932,170","5,952,381",11.0,70.3,304,0
SUBTOTAL,,"61,250,128","46,464,746","34,159,089","19,377,765",55.8,41.7,304,0
"COUNTY PUBLIC SER-
VICE BOARD",,"61,250,128",,,,,,304,0
709003221,,"44,313,887",-,"35,062,777",-,79.1,-,304,0
,Administration Services,"44,313,887",-,"35,062,777",-,79.1,-,304,0
710003221,,"10,028,721",-,"4,959,201",-,49.4,-,304,0
,"Human Resource Manage-
ment and Development","10,028,721",-,"4,959,201",-,49.4,-,304,0
SUBTOTAL,,"54,342,608",-,"40,021,978",-,73.6,-,304,0
"WATER MANAGEMENT
& CONSERVATION",,,,,,,,304,0
105003223,,"75,680,623","137,399,688","44,167,357","38,962,275",0.6,28.4,304,0
,"Water management, Con-
servation & Provision","75,680,623","137,399,688","44,167,357","38,962,275",0.6,28.4,304,0
SUBTOTAL,,"75,680,623","137,399,688","44,167,357","38,962,275",58.4,28.4,304,0
"PUBLIC HEALTH, ENVIRONMENT AND SANITATION",,,,,,,,304,0
501003225,,"89,097,215",-,"54,505,007",-,61.2,-,304,0
,Administration Services,"89,097,215",-,"54,505,007",-,61.2,-,304,0
403003225,,-,"5,668,576",-,"4,938,422",-,87.1,304,0
,Community Health,-,"5,668,576",-,"4,938,422",-,87.1,304,0
404003225,,-,"7,581,390",-,-,-,-,304,0
,Waste management,-,"4,581,390",-,-,-,-,304,0
,Public Health & licensing,-,"3,000,000",-,-,-,-,304,0
SUBTOTAL,,"89,097,215","13,249,966","54,505,007","4,938,422",61.2,37.3,304,0
"BUDGET, ECONOMIC AND PLANNING",,,,,,,,304,0
711003227,,"11,725,295",-,"9,095,613",-,77.6,-,304,0
,Administration Services,"11,725,295",-,"9,095,613",-,77.6,-,304,0
713003227,,"9,010,000",-,"2,760,835",-,30.6,-,304,0
,"Budget and Economic
Planning","9,010,000",-,"2,760,835",-,30.6,-,304,0
SUBTOTAL,,"20,735,295",-,"11,856,448",-,57.2,-,304,0
"INFRASTRUCTURE ENERGY, ROADS AND URBAN DEVELOPMENT",,,,,,,,304,0
104003228,,"34,569,898","113,349,952","11,902,058","51,908,534",34.4,45.8,304,0
,Administration Services,"34,569,898",-,"11,902,058",-,34.4,-,304,0
,"Infrastructure Develop-
ment",-,"113,349,952",-,"51,908,534",-,45.8,304,0
SUBTOTAL,,"34,569,898","113,349,952","11,902,058","51,908,534",34.4,45.8,304,0
MUNICIPALITY OF LAMU,,,,,,,,304,0
104003229,,"56,709,905","35,747,400","29,452,559","996,840",51.9,2.8,304,0
,Administration Services,"56,709,905",-,"29,452,559",-,51.9,,304,0
,"Infrastructure Develop-
ment",-,"35,747,400",,"996,840",-,2.8,304,0
404003229,,-,"2,987,159",-,-,-,-,304,0
,Waste management,-,"2,987,159",,-,-,-,304,0
SUBTOTAL,,"56,709,905","38,734,559","29,452,559","996,840",51.9,2.6,304,0
"DEVOLUTION, DISASTER MANAGEMENT AND RESOURCE MOBILIZATION",,,,,,,,304,0
101003230,,"60,766,310","56,644,051","43,854,402","48,365,895",72.2,85.4,304,0
