Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expenditure
as of 31st March, 2024
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
,Land Use Management,-,-,-,-,143,0
,Sub total,"10,000,000",-,"10,000,000.0",-,143,0
,Grand total,"20,060,000",-,"20,060,000",-,143,0
Ndhiwa Municipal Board,,,,,,143,0
"Policy, Planning, General
Administration and Support
Services",Policy and Planning Services,"3,175,250",-,"3,175,250",-,143,0
,"Personnel remuneration and development
services","3,803,640",-,"3,803,640",-,143,0
,Administration and Support Services,"3,081,110",-,"3,081,110",-,143,0
"Public Works and Infrastructure
Improvements Services",Sub total,"10,060,000",-,"10,060,000",-,143,0
,Transport Infrastructure Improvements,"5,891,972",-,"5,891,972",-,143,0
,Public facilities improvement services,-,-,-,-,143,0
"Housing and Urban Develop-
ment Services",Environmental Management Services,"5,000,000",-,"5,000,000",-,143,0
,Land Use Management,-,-,-,-,143,0
,Sub total,"10,891,972",-,"10,891,972",-,143,0
,Grand total,"20,060,000",-,"20,060,000",-,143,0
Oyugis Municipal Board,,,,,,143,0
"Policy, Planning, General
Administration and Support
Services",Policy and Planning Services,"3,175,250",-,"3,175,250",-,143,0
,"Personnel remuneration and development
services","3,803,640",-,"3,803,640",-,143,0
,Administration and Support Services,"3,081,110",-,"3,081,110",-,143,0
"Public Works and Infrastructure
Improvements Services",Sub total,"10,060,000",-,"10,060,000",-,143,0
,Transport Infrastructure Improvements,"5,000,000",-,"5,000,000",-,143,0
,Public facilities improvement services,-,-,-,-,143,0
"Housing and Urban Develop-
ment Services",Environmental Management Services,"5,000,000",-,"5,000,000",-,143,0
,Land Use Management,-,-,-,-,143,0
,Sub total,"10,000,000",-,"10,000,000",-,143,0
,Grand total,"20,060,000",-,"20,060,000",-,143,0
GRAND TOTAL,,"11,698,088,814","5,286,785,102","6,411,303,712",45.2,143,0
