Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,col_8,page_number,table_index
,"Agriculture Training
Centre","3,439,704","25,500,000","1,705,805",-,49.6,-,,316,0
"Co-operative
Development","Co-operative
Development and
Marketing","32,648,487","10,000,000","1,938,000",-,5.9,-,,316,0
,"Capacity Building
to Co-operative
Societies","1,000,000",-,"528,500",-,52.9,-,,316,0
,"Promotion of Co-op-
erative Marketing
and Value Chain","1,000,000","20,000,000","100,000",-,10.0,-,,316,0
,"Co-operative Finan-
cial Services","1,500,000",-,"750,000",-,50.0,-,,316,0
,"Promotion and
Growth of Co-oper-
ative Societies","1,250,000","2,425,498","840,000",-,67.2,-,,316,0
,"Co-operative Audit
Support Services","1,550,000",-,"1,114,600",-,71.9,-,,316,0
Sub-Total,,"390,072,812","874,530,142","156,495,142","509,980,965",40.1,58.3,,316,0
"Finance, Economic Planning and Reve-
nue Management",,,,,,,,,316,0
"Resource mobili-
zation","Revenue Manage-
ment","509,983,592","87,750,745","375,582,224",-,73.7,-,,316,0
County Treasury,"Budget formulation,
Coordination and
Implementation","65,363,780","72,059,500","28,053,639",-,42.9,-,,316,0
,"Supply Chain Man-
agement Section","15,926,490",-,"9,609,919",-,60.3,-,,316,0
