Program,Sub Program,Approved Estimates,col_3,Actual Expenditure as of 31 March 2024,col_5,Absorption Rate (%),col_7,page_number,table_index
"Sustainable Access to Safe
Water",,"1,897,362.00",-,"1,561,200.00",-,82.3,-,250,0
"Water resources & Sewerage
services",,"62,655,829.00","366,150,000.00","38,881,328.55","3,315,600.00",62.1,0.9,250,0
Solid Waste Management,,"4,022,800.00",-,"2,287,400.00",-,56.9,-,250,0
"Environment Conservation of
Natural Resources",,"1,220,244.00",-,"320,375.00",-,26.3,-,250,0
Pollution Control,,"2,076,000.00",-,"555,200.00",-,26.7,-,250,0
5067-Kisumu - County Assembly,,,,,,,,250,0
103005067,,"13,150,000.00",-,"2,597,850.00",-,19.8,,250,0
Physical planning services,,"13,150,000.00",-,"2,597,850.00",-,19.8,,250,0
county housing management,,-,-,-,-,,,250,0
109005067,,"6,850,000.00",-,"2,165,000.00",-,31.6,,250,0
"Urban planning and devel-
opment",,"6,850,000.00",-,"2,165,000.00",-,31.6,,250,0
201005067,,"101,272,041.00","450,000,000.00","40,732,336.65",-,40.2,-,250,0
"General administration &
planning",,"101,272,041.00","450,000,000.00","40,732,336.65",-,40.2,-,250,0
Sub Total,,"165,000,000.00","969,533,370.00","302,735,809.35",-,183.5,-,250,0
Governance and Administration-5088,,,,,,,,250,0
Resource Mobilization,,"27,420,000.00",-,"22,245,440.00",-,81.1,,250,0
"Primary Policy and Legis-
lation",,"20,220,000.00",-,"9,492,612.00",-,46.9,,250,0
"Development and Manage-
ment of County Administra-
tive systems",,"52,270,000.00","28,500,000.00","18,586,180.00",-,35.6,-,250,0
"Inter-Government Coordina-
tion and protocol",,"10,800,800.00",-,"4,163,853.00",-,38.6,,250,0
"Emergency, Relief, Disaster
Management and Control",,"15,200,000.00",-,"12,704,116.00",-,83.6,,250,0
"Governor’s Press Service and
Communication",,"22,500,000.00",-,"8,269,340.00",-,36.8,,250,0
"Human Resource Recruit-
ment and Development",,"251,326,788.00",-,"117,445,069.65",-,46.7,,250,0
"General Administration and
Support services",,"577,586,526.00","30,000,000.00","492,264,262.30","7,941,840.00",85.2,26.5,250,0
Monitoring & Evaluation,,"9,854,000.00",-,"2,610,442.10",-,26.5,,250,0
