Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,Sub-Total,"1,076,065,440","731,176,980","524,262,478","525,100,000",48.7,71.8,125,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expen-
diture",126,0
Department of Health and Sanitation,,,,,,,,126,0
"Programme 1: CP1:
Governance, quality
assurance and sup-
port services","CSP 1.1 Administration
and Support Services","2,148,131,079","165,000,000","1,266,532,880","4,600,000",59.0,2.8,126,0
,"CSP 1.2 Health Informa-
tion Systems","5,000,000",,,,,,126,0
,"CSPS 1.3 policy Re-
search and planning","5,000,000",,,,,,126,0
"Programme 2: CP1:
Curative Services","Health products and
technologies","217,500,000","164,723,404","136,320,500",,62.7,,126,0
,Rehabilitative services,"11,500,000",,,,,,126,0
,"Referral and Emergency
services","46,935,485",,,,,,126,0
"CP3: Preventive
Services","Maternal, newborn,
child health and nutri-
tion services","11,075,645",,,,,,126,0
,"Preventive and Promo-
tive health services","11,618,450",,,,,,126,0
,Sub-Total,"2,456,760,659","329,723,404","1,402,853,380","4,600,000",57.1,1.4,126,0
"Department Trade, Investments Development
and Tourism",,,,,,,,126,0
"Programme 1: CP1:
Administration and
Support Services","CSP1.1 Administration
and Support Services","64,047,996",,"54,304,936",,84.8,,126,0
"Programme 2: CP2
Trade and Enter-
prise Development","CSP 2.1 micro and small
enterprises development","2,400,000","40,000,000",,"20,000,000",,50,126,0
,"CSP 2.2 Trade infra-
structure and services","750,000",,,,,,126,0
"Programme 3: CP3.
Industrialization
and Investment
Programme","CSP 3.1 Industrializa-
tion and Investment
Programme","1,400,000","350,000,000","667,454",,47.7,,126,0
"Programme 4: CP
4: Tourism","CSP 4.1 Tourism Devel-
opment","1,402,259",,"400,000",,28.5,,126,0
,Sub-Total,"70,000,255","390,000,000","55,372,390","20,000,000",79.1,5.1,126,0
"Department of Water, Environment and
Natural Resources",,,,,,,,126,0
"Programme 1: CP1:
Water Services","CSP1.1 Administration
and Support Services","160,056,361","20,000,000","139,740,655","16,339,505",87.3,81.7,126,0
,"CSP 1.2 Water Infra-
structure Development","55,748,025","1,190,278,252",,"222,022,276",0.0,,126,0
"Programme 2: CP2:
Irrigation Services","CSP 2.1 Irrigation
Development","5,000,000","30,000,000","1,000,000",,20.0,,126,0
,Sub-Total,"220,804,386","1,240,278,252","140,740,655","238,361,781",63.7,19.2,126,0
"Department of County Affairs, Public Service and Intergovernmental Relation",,,,,,,,126,0
"Programme 1: CP 1
Executive Services","CSP 1.1 Governor
Operations","118,900,000",,"26,500,000",,22.3,,126,0
,"CSP 1.2 Deputy Gover-
nor Operations","42,120,000",,"23,000,000",,54.6,,126,0
"Programme 2:
CSP2 County Sec-
retary","CSP 2.1County Sec-
retary","63,656,215",,"40,000,000",,62.8,,126,0
,,,,,,,102,126,0
