Programme,Sub-Programme,Sub-Program,Approved Estimates FY 2023/24,col_4,"Actual Expenditure Jul 2023 -
March 2024",col_6,Absorption Rate (%),col_8,page_number,table_index
"Co-operative Devel-
opment",,-,-,-,-,-,-,-,291,0
,"SP3 Research and
Development",302034510,"2,300,000",-,"1,548,100",-,1,-,291,0
,"SP2 Co-operative
Revolving fund",302024510,,"6,500,000",-,-,-,-,291,0
Sub Total,-,-,"2,300,000","6,500,000","1,548,100",-,-,-,291,0
"Trade and Invest-
ment",-,-,-,-,-,-,-,-,291,0
,"SP1 Market
Infrastructure
Development",304014510,-,"17,000,000",,-,-,-,291,0
,"SP5 Industrial
Development and
Investment Pro-
motion",304054510,"6,500,000","347,000,000","4,095,069","16,000,000",1,-,291,0
,"SP6 Informal Sector
Development",304064510,-,"1,500,000",-,-,-,-,291,0
Sub Total,-,-,"6,500,000","365,500,000","4,095,069",-,-,-,291,0
"Tourism Develop-
ment and Promotion",-,-,-,-,-,-,,-,291,0
,"SP1 Tourism
Promotion and
Marketing",305014510,"1,600,000",-,"877,224",-,1,-,291,0
,"SP2 Tourism
Infrastructural
Development",305024510,-,"3,800,000",-,-,-,-,291,0
Sub Total,-,-,"1,600,000","3,800,000","877,224",-,-,-,291,0
Total Trade,-,-,"20,000,000","375,800,000","14,262,143","16,000,000",-,-,291,0
"Administration and
planning services","Use of goods and
services",901014510,"7,200,000","3,300,000","5,554,883","2,913,082",77,88,291,0
,"Purchase of Soft-
ware",902014510,-,"3,000,000",-,-,-,-,291,0
,Sub Total,,"7,200,000","6,300,000","5,554,883","2,913,082",-,-,291,0
CEDC,"Children’s Insti-
tutions Support
Program (CEDC)",904014510,"3,400,000","3,400,000","2,667,769",-,78,78,291,0
,Sub-Total,,"3,400,000","3,400,000","2,667,769",-,-,-,291,0
"Culture and Social
Services","Cultural events pro-
motion services",903014510,"4,100,000",-,"3,066,600",,75,-,291,0
,"Social services
infrastructure",903034510,-,-,-,-,-,-,291,0
,Sub-Total,-,"4,100,000",-,"3,066,600",-,-,-,291,0
Sports,"Talent identification
programme",902034510,-,-,"4,852,500",-,-,-,291,0
,"Youth mainstream-
ing initiative",902044510,-,"1,000,000",-,-,-,-,291,0
,"Sports promotion
services",902054510,"6,700,000",-,"2,111,150","820,000",32,39,291,0
,"Sports Facility
Improvement",902064510,"100,000","11,000,000",-,-,-,-,291,0
,"Cultural events pro-
motion services",903014510,"3,000,000",-,"2,496,500",-,83,-,291,0
,,Code,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",292,0
Sub-Total,-,-,"9,800,000","12,000,000","9,460,150","820,000",-,-,292,0
Total Gender,-,-,"24,500,000","21,700,000","20,749,401","3,733,082",-,-,292,0
"Department: Water, Environment Natural Resources and Natural Resources",,,,,,,,,292,0
Water Development,"Rural water supply
and sanitation",1001024510,-,"14,280,000.00",-,"1,019,998.00",-,7,292,0
"General adminis-
tration and support
services","1) Administrative
and Planning
Services",301014510,"17,000,000.00","1,000,000.00","13,730,871.00",-,81,-,292,0
,"2)Motor vehicle
maintenance and
fuel provision",301014510,"9,000,000.00",,"7,285,290.00",-,81,-,292,0
"Environment and
Natural Resources","Solid Waste Man-
agement",1006014510,-,"23,320,000.00",,"4,811,196.00",-,21,292,0
,"Human-Wildlife
Conflict Prevention",1006024510,-,-,-,-,-,-,292,0
,"Natural Resources
Management",1006034510,-,-,-,-,-,-,292,0
,"Climate Change
Adaptation &
Mitigation",1006044510,-,"210,000,000.00",-,"36,364,889.00",-,17,292,0
,"Integrated land
rehabilitation",1006054510,-,-,-,-,-,-,292,0
Total Water,-,-,"26,000,000","248,600,000","21,016,161","42,196,083",,,292,0
Department: Nanyuki Municipality,,,,,,,,,292,0
"P3-0103004510-Gen-
eral Administration
and Planning Services","SP1 Administration
Services",103014510,"6,000,000",-,"1,000,000",-,17,-,292,0
"P15-0115004510-
Roads Network
Improvement
Housing and Urban
Development","SP1-Road Network
improvement",115014510,-,"1,000,000",-,"1,000,000",-,100,292,0
Total,-,-,"6,000,000","1,000,000","1,000,000","1,000,000",,,292,0
Department: Rumuruti Municipality,,,,,,,,,292,0
"P3-0103004510-Gen-
eral Administration
and Planning
Services","SP1 Administration
Services",103014510,"2,500,000",-,"1,250,000",-,50,-,292,0
"P15-0115004510-
Roads Network
Improvement
Housing and Urban
Development","SP1- Road Network
improvement",115014510,-,"5,000,000",,-,-,-,292,0
Total,-,-,"2,500,000","5,000,000","1,250,000",-,-,-,292,0
County Assembly,,,,,,,,,292,0
"General admin-
istration support
services","Compensation of
employees/MCAs",-,"226,209,653",-,"151,156,141.00",-,67,-,292,0
,"Other recurrent
expenditure",-,"93,275,776",-,"61,379,519.40",-,66,-,292,0
,"County Assembly
Staff Car & Mort-
gage Scheme",-,"20,000,000",-,"20,000,000",-,100,-,292,0
,Training of staff,-,-,-,-,-,-,-,292,0
,Sub total,-,"339,485,429",-,"232,535,660.40",-,68,-,292,0
"Legislative and
oversight","Other recurrent
expenditure",-,"214,834,780",-,"149,614,013.60",-,70,-,292,0
,Training,-,"7,119,160",-,"2,354,320",-,33,-,292,0
,Public participation,-,"4,369,680",-,"3,055,440",-,70,-,292,0
,Sub total,-,"226,323,620",-,"155,023,773.60",-,68,-,292,0
