Programme,Sub-Programme,"Approved
Estimates",col_3,"Actual Expen-
diture as of
31th March
2024",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
"Certified pasture
and maize","Provision of
pastures and maize
seeds",-,"4,000,000.00",-,-,-,-,47,0
"Purchase of
Mangoes, Maca-
damia and Coffee
Seedlings","Purchase of Man-
goes, Macadamia
and Coffee Seed-
lings for Mochongoi",-,"19,900,000.00",-,-,-,-,47,0
"Cattle dips and Ani-
mal Vaccinations","Renovations of
Cattle Dips",-,"41,046,396.00",-,-,-,-,47,0
Cooperative stores,"Construction of
Cooperative stores",-,"21,746,057.00",-,-,-,-,47,0
Motor Boats,"Purchase of Motor
Boats",-,-,-,-,-,-,47,0
"Fisheries de-
velopment and
management","Fish breeding cages
at lake Baringo and
Kirandich dam",-,"12,300,000.00",,"10,455,345.00",,85,47,0
"Culture, Youth and
Gender","General Adminis-
tration","33,592,453",-,"25,039,250",,75,-,47,0
"Social Services and
Safety nets","Affirmative Action
Initiatives",-,"28,952,631.00",-,-,-,-,47,0
"Social Services and
Safety nets","Infrastructure
Development",-,"8,097,229.00",-,-,-,-,47,0
"Cultural and
Creative Arts
Development","Infrastructural
development",-,"4,500,000.00",-,-,-,-,47,0
"Gender develop-
ment and manage-
ment",Gender Initiatives,-,"1,000,000.00",-,-,-,-,47,0
"Youth Development
and Management","Infrastructure
Development",-,"11,000,000.00",,"10,000,000.00",,91,48,0
"Sports development
And Management","Infrastructural
development",-,"26,988,728.00",,"24,126,027.00",,89,48,0
"Culture and
Creative Arts
Development","Cultural Promotion
Initiative",-,"3,100,000.00",-,-,-,-,48,0
"Culture and
Creative Arts
Development","Infrastructural
development-social
Halls",-,"13,950,419.00",,"11,458,023.45",,82,48,0
"Gender develop-
ment and manage-
ment","Gender Initia-
tives-Women
Empowerment",-,"3,600,000.00",-,-,-,-,48,0
"Youth Development
and Management","Yourh initiatives-
Youth Empower-
ment",-,"7,900,000.00",-,-,-,-,48,0
"Youth Development
and Management","Infrastructural de-
velopment-Playing
Grounds",-,"8,573,985.00",-,-,-,-,48,0
,,,,,,,,48,0
"Water Management
Services","General Adminis-
tration","62,655,512.00",,"41,077,257",,66,,48,0
"Water resource
development and
supplies manage-
ment","Water resource
management and
storage",-,"994,914,244.00",-,"287,707,311.70",,29,48,0
"Irrigation infra-
structure develop-
ment","Irrigation Infra-
structure",,"26,100,000.00",-,-,-,-,48,0
"Environment
Administration and
planning","Planning and
Administration","18,754,819",,"10,682,164",,57,29,48,0
"Environmental
conservation and
Management","Environmental
conservation and
protection",-,"11,300,000.00",-,-,-,-,48,0
"Natural Resources
Conservation,
Exploitation and
Management","Forestry and wild-
life conservation
and Management",-,"3,500,000.00",-,-,-,-,48,0
"Environmental
conservation and
management","Solid Waste man-
agement",-,"9,350,400.00",-,-,-,-,48,0
"Environmental
conservation and
Management","Environmental
conservation and
protection",-,"14,024,900.00",-,-,-,-,48,0
"Natural Resources
Conservation,
Exploitation and
Management","Forestry and wild-
life conservation
and Management",-,"1,300,000.00",-,-,-,-,48,0
"Climate Change
Fund Projects","Water resource/
pasture develop-
ment and supplies
management",-,"71,988,914.00",-,-,-,-,48,0
,"Protection of rivers
and streams",,,,,,,48,0
"County public
Service Board","Administration and
Planning","17,922,030.00",-,"10,554,575",,59,-,48,0
,Grand Total,"5,095,542,257","4,450,052,447","3,548,629,973","794,329,952",70,18,48,0
