Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
Sub Total,,"785,748,214","23,000,000","593,449,404","5,681,274",75.5,24.7,408,0
Health and Sanitation,,,,,,,,408,0
"Infrastructure
Development
Program","101104010 Infrastruc-
ture Development",-,"271,000,000",-,"84,895,709",-,31.3,408,0
,"109024010 Infrastruc-
ture Improvement
Services","1,815,000",-,"475,175",-,26.2,-,408,0
"Alcohol
Program","401014010 Alcoholic
Control and Reviewing
of Licences","3,510,000",-,"1,732,853",-,49.4,-,408,0
,"402034010 Preventive
and Promotive Care",-,"69,542,924",,-,-,-,408,0
"Curative
Program","402054010 Free Prima-
ry HealthCare","832,470,000","213,726,404","390,046,583","41,396,041",46.9,19.4,408,0
"Adminis-
tration and
Support","706014010 General
Administration
Planning and Support
Services","2,279,384,061",-,"1,469,975,809",-,64.5,-,408,0
Sub Total,,"3,117,179,061","554,269,328","1,862,230,420","126,291,750",59.7,22.8,408,0
"Lands, Housing & Physical Planning",,,,,,,,408,0
"Urban Devel-
opment","102074010 Urban
Development","4,700,000","1,000,000",-,-,-,-,408,0
,"103074010 Land
Administration",-,"22,000,000",-,-,-,-,408,0
"Land Policy
Succession
and Surveying","103014010 Land Policy
and Planning",-,-,-,-,-,-,408,0
,"103044010 Land
Survey",-,-,-,-,-,-,408,0
"Estate Man-
agement","701034010 Public
Trusts and Estates
Management",-,-,-,-,-,-,408,0
"Adminis-
tration and
Support","706014010 General
Administration
Planning and Support
Services","18,979,031",-,"3,837,586",-,20.2,-,408,0
Sub Total,,"23,679,031","23,000,000","3,837,586",-,16.2,-,408,0
County Public Service Board,,,,,,,,408,0
"National
Values and
Governance
Program","706014010 General
Administration
Planning and Support
Services","40,515,881",-,"16,485,467",-,40.7,-,408,0
Sub Total,,"40,515,881",-,"16,485,467",-,40.7,-,408,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",409,0
"Youth, Culture, Gender, Social Services and Special Programs",,,,,,,,409,0
"Social
Development
Program","102054010 Cooper-
atives",-,-,-,-,-,-,409,0
,"901014010 Social
Welfare and Vocational
Rehabilitation","9,450,000",-,"781,950",-,8.3,-,409,0
,"902024010 Persons
Living with Disabilities",-,"5,000,000",-,-,-,-,409,0
,"711024010 Gender
& Social-Economic
Empowerment",-,"5,000,000",-,-,-,-,409,0
"General Ad-
ministration
and Support","706014010 General
Administration
Planning and Support
Services","50,063,668",-,"26,174,355",-,52.3,-,409,0
"Library
Services",Library Services,"18,019,070",-,-,-,-,-,409,0
"Youth
Development
Program","711014010 Youth De-
velopment Services","660,000","165,000,000","207,800","60,000,000",31.5,36.4,409,0
,"903034010 Develop-
ment and Management
of Sports Facilities","22,623,500","5,000,000","12,840,680",-,56.8,-,409,0
"Cultural
Development
Program","904014010 Develop-
ment and Promotion of
Culture","1,570,000",-,"530,000",-,33.8,-,409,0
Sub Total,,"102,386,238","180,000,000","40,534,785","60,000,000",39.6,33.3,409,0
"Environment, Natural Resources, Water and Irrigation",,,,,,,,409,0
"Waste
Management
Program","101094010 Solid Waste
Management","10,074,872","19,000,000","3,286,900","8,000,000",32.6,42.1,409,0
,"102064010 Environ-
mental Management &
Protection","9,950,000","234,529,742","369,340",-,3.7,-,409,0
"Adminis-
tration and
Support","706014010 General
Administration
Planning and Support
Services","3,319,500",-,-,-,-,-,409,0
"Environmental
Governance","1001054010 Environ-
mental Leadership and
Governance","7,885,129",-,"1,047,360",-,13.3,-,409,0
"Adminis-
tration and
Support","706014010 General
Administration
Planning and Support
Services","91,193,128",-,"336,000",-,0.4,-,409,0
"Water
Development
Program","1004014010 Water
Supply Infrastructure",-,"35,000,000",-,-,-,-,409,0
"Irrigation
Development","1003024010 Irrigation
Development","1,500,000",-,"801,200",-,53.4,-,409,0
Sub Total,,"123,922,629","288,529,742","5,840,800","8,000,000",4.7,2.8,409,0
Public Service Administration,,,,,,,,409,0
"Human
Resource
Development
Program","101064010 Human
Resource Management
and Development",-,-,-,-,-,-,409,0
"Adminis-
tration and
Support","706001410 General
Administration
Planning and Support
Services","1,077,365,242",-,"596,321,365",-,55.3,-,409,0
ICT Program,Automation,-,"90,000,000",-,"78,333,724",-,87.0,409,0
Sub Total,,"1,077,365,242","90,000,000","596,321,365","78,333,724",55.3,87.0,409,0
Murang’a Municipality,,,,,,,,409,0
