Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,Sub-Total,"1,357,000,000","225,000,000","1,607,604,576",-,118.5,-,395,0
"TOURISM, CULTURE & TRADE",,,,,,,,395,0
Programme 10,"General Administration
Planning & support services","314,945,978",-,"197,163,695",-,62.6,-,395,0
,"Trade Development
and Markets/ Consumer
Protection","14,900,000","125,000,000","2,709,386","1,193,000",18.2,1.0,395,0
,E-Licensing & Services,"9,801,997","2,500,000","727,241",-,7.4,-,395,0
,"Tourism Marketing and
Product Development","33,559,215","89,392,810","1,385,011","7,092,530",4.1,7.9,395,0
,Cultural Affairs,"7,600,000",-,"749,869",-,9.9,-,395,0
,Co-operative Development,"9,300,000","5,000,000",-,-,-,-,395,0
,Sub-Total,"390,107,190","221,892,810","202,735,202","8,285,530",52.0,3.7,395,0
"LANDS, PLANNING, HOUSING AND URBAN RENEWAL",,,,,,,,395,0
Programme 11,"Administration planning and
support services","172,157,269","55,576,556","81,030,369","8,056,400",47.1,14.5,395,0
,"Housing Development &
Management","11,350,000","281,000,000","232,350","835,485",2.0,0.3,395,0
,Urban Renewal,"64,050,000","190,000,000","11,236,731",-,17.5,-,395,0
,"Land Administration and
Valuation","15,566,175","2,000,000","372,000",-,2.4,-,395,0
,Physical Planning,"3,300,000","31,000,000",-,-,-,-,395,0
,Sub-Total,"266,423,444","559,576,556","92,871,450","8,891,885",34.9,1.6,395,0
"TRANSPORT, INFRASTRUCTURE & PUBLIC WORKS",,,,,,,,395,0
Programme 12,"General Administration and
Support Services","718,675,000",-,"356,333,351","1,742,674",49.6,-,395,0
