Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,Sp: School Feeding Programme,,"30,000,000",,,-,-,70,0
,Ward Based Projects,,"94,620,000",,"22,213,383",-,23.5,70,0
Programme 4: VTC General Administration Planning and Policy Formulation,,,,,,,,70,0
,SP 2: Policy Formulation,"765,902",,,,-,-,70,0
,"SP3: Administration and support
services","7,655,828",,"7,064,265",-,92.3,-,70,0
Programme 5: Training and Skill Development,,,,,,,,70,0
,Sp1: Tuition Support Grant,,"20,000,000",,,-,-,70,0
,Sp2: Tools and Equipment for VTC,,"14,000,000",,,-,-,70,0
,"Sp4: Quality Assurance and
Standards",,"2,000,000",,,-,-,70,0
,"SP6: Capacity Building for VTC
Instructors",,"3,000,000",,,-,-,70,0
,SP7: Monitoring and Evaluation,,"3,000,000",,,-,-,70,0
Sub Total,,"1,235,580,113","459,102,000","821,193,579","69,720,101",66.5,15.2,70,0
Finance & Economic Planning,,,,,,,,70,0
"Programme 1: General Administration, Planning and Support Services",,,,,,,,70,0
,SP 1.1: Personnel costs,"490,517,391",,"330,565,924",,67.4,-,70,0
,SP 1.2: Administration Services,"200,896,303","27,550,000","189,484,692",,94.3,-,70,0
,"SP 1.3: Employer Contribution for
Staff Pension","202,275,646",,"181,433,671",,89.7,-,70,0
,Donor Fund,,"137,839,232",,,-,-,70,0
Programme 2: County Planning Management,,,,,,,,70,0
,"SP 2.1: Economic Policy and
County Planning Services","26,095,966",,"19,913,541",,76.3,-,70,0
,SP 2.2: Budgeting,"67,257,695",,"53,318,770",,79.3,-,70,0
,SP 2.3: Monitoring and Evaluation,"17,121,610",,"6,298,004",,36.8,-,70,0
,"SP 2.4: Resource Mobilization
Strategies","5,000,000",,,,-,-,70,0
,"SP 2.5: Enforcement of Revenue
Collection","5,000,000",,,,-,-,70,0
Programme 3: County Financial Service Management,,,,,,,-,70,0
,SP 3.1: Revenue Mobilization,"39,279,040",,"24,991,400",,63.6,-,70,0
,SP3.2: Accounting Services,"20,319,230",,"18,250,556",,89.8,-,70,0
,SP 3.3: Audit Services,"17,547,721",,"12,755,451",,72.7,-,70,0
,SP 3.4: Supply Chain Services,"18,118,235",,"14,671,979",,81.0,-,70,0
,SP 3.5: Asset Management,"5,000,000",,,,-,-,70,0
Programme 4: Service Delivery and Organizational Transformation,,,,,,,,70,0
,SP 4.1: Service Delivery Unit,"5,000,000",,,,-,-,70,0
,SP 4.3: Investment Initiative,"5,000,000",,,,-,-,70,0
,SP 4.4: Special Coordination Unit,"17,827,013",,"12,973,095",,72.8,-,70,0
,"SP 4.5: Maintenance of Computer,
Software and Networks - Revenue
System","12,000,000",,,,-,-,70,0
,SP 4.8: System Enhancement,"20,000,000",-,"5,484,395",,27.4,-,70,0
,SP 4.9: Emergency Fund,,"100,000,000",,,-,-,70,0
ICT,,,"33,250,000",,,-,-,70,0
,,Rec,Dev,Rec,Dev,Rec,Dev,71,0
"Health Management
System",Health Management System,,"37,955,528",,,-,-,71,0
Sub Total,,"1,174,255,850","336,594,760","870,141,478",-,74.1,-,71,0
Trade and Industrialization,,,,,,,,71,0
"Programme 1:
General Admin-
istration and
Support Services",,,,,,,,71,0
,"SP 1. Human Resource Develop-
ment and Management","19,208,655",,"12,043,363",,62.7,-,71,0
,"SP 3. Administrative Services &
Planning","6,428,510","23,327,308","5,088,076",,79.1,-,71,0
Programme 2: Trade and Enterprise Development,,,,,,,-,71,0
,SP 2. 1. Business Loan,,"165,673,533",,"1,438,810",-,-,71,0
Programme 3: Market Infrastructure Development and Management0.0,,,,,,,,71,0
,SP 3.1. Market Infrastructure,,"104,000,000",,"52,038,813",-,50.0,71,0
,SP 3.2. Ward Based Projects,,"48,336,000",,,-,-,71,0
Sub Total,,"25,637,165","341,336,841","17,131,439","53,477,623",66.8,15.7,71,0
Energy,,,,,,,,71,0
Programme 1: General Administration and Support Services,,,,,,,,71,0
,"SP 1. Human Resource Develop-
ment and Management","4,219,452",,"2,719,352",,64.4,-,71,0
,"SP 2. Planning and Support
Services","587,361",,,,-,-,71,0
,SP 3. Administrative Services,"18,415,603",,"17,904,444",,97.2,-,71,0
Programme 2: Energy Development and Management,,,,,,,,71,0
,SP 2. 1. Energy Access,,"6,000,000",,"4,999,170",-,83.3,71,0
REREC,REREC,,"50,006,400",,"39,993,600",-,80.0,71,0
Sub Total,,"23,222,416","56,006,400","20,623,795","44,992,770",,,71,0
Industry,,,,,,,,71,0
Programme 1: General Administration and Support Services,,,,,,,,71,0
"SP 1. Human Re-
source Development
and Management","SP 1. Human Resource Develop-
ment and Management","1,885,920",,,,-,-,71,0
"SP 2. Planning and
Support Services","SP 2. Planning and Support
Services","2,643,200",,,,-,-,71,0
"SP 3. Administrative
Services",SP 3. Administrative Services,"2,542,657",,"2,349,981",,92.4,-,71,0
Programme 2: Industrial Investment and Development,,,,,,,,71,0
"SP 2. 1. Industrial
Development",SP 2. 1. Industrial Development,-,"410,000,000",,,-,-,71,0
Sub Total,,"7,071,777","410,000,000","2,349,981",-,71.7,12.2,71,0
"Lands, Urban and Physical Planning",,,,,,,,71,0
"Programme 1: General Administration, Planning and Support services",,,,,,,,71,0
,Human Resource Management,"26,637,264",,"14,657,060",,55.0,-,71,0
,"Administrative and Support
Services","12,129,145","11,171,083","7,584,780",-,62.5,-,71,0
,Land Registration,"5,000,000",,,,-,-,71,0
,Policy and Legal Framework,"3,330,155",,,,-,-,71,0
Programme 2: Land Development and Management,,,,,,,,71,0
,SP 3: Physical and Land Use Plans,,"7,637,625",,,-,-,71,0
,Land,,"10,000,000",,"943,235",-,9.4,71,0
,Ward Based Projects,,"20,151,400",,"8,860,000",-,44.0,71,0
,,Rec,Dev,Rec,Dev,Rec,Dev,72,0
Sub Total,,"47,096,564","48,960,108","22,241,840","9,803,235",47.2,20.0,72,0
Housing,,,,,,,,72,0
"Programme 1 General Administration, Planning and Support Services",,,,,,,,72,0
,SP 1: Salaries and Emoluments,"9,586,560",,"6,271,002",,65.4,-,72,0
,SP 2: Administrative Services,"17,766,990",,"3,922,810",,22.1,-,72,0
,"SP 4: Planning and Financial
Management","1,184,125",,,,-,-,72,0
,SP 5: Policy and Legal Framework,"1,273,500",,,,-,-,72,0
Programme 2 Housing Development and Management,,,,,,,,72,0
,"SP 2: Housing Infrastructural
Development",,"206,500,100",,,-,-,72,0
Sub Total,,"29,811,175","206,500,100","10,193,812",-,34.2,-,72,0
Bungoma Municipality,,,,,,,,72,0
"Programme 1: General Administration, Planning and
Support Services",,,,,,,,72,0
,"SP 1.1: Salaries and Personnel
Emoluments","12,397,661",,"8,090,765",,65.3,-,72,0
,"SP 1.2: Human Resource Capacity
Development and Management","3,857,300",,,,-,-,72,0
,"SP 1.3: General Administration and
Support Services","21,021,953",,"4,176,800",,19.9,-,72,0
,"SP 1.4: Planning and Financial
Management","2,820,000",,,,-,-,72,0
,"SP 1.5: Institutional Accountabil-
ity, Leadership, Efficiency and
Effectiveness","3,003,000",,,,-,-,72,0
Programme 3: Urban Infrastructure Development and Management,,,,,,,,72,0
,"SP 3.2: Urban Transport and Infra-
structure Development",-,"90,500,000",,,-,-,72,0
Programme 4: Urban Environment and Social Services0,,,,,,,,72,0
,"SP 4.2: Urban Waste Management
and Sanitation Services",-,"11,000,000",,,-,-,72,0
,"SP 4.3: Urban greening and envi-
ronment protection",-,"4,200,000",,,-,-,72,0
,Ward Based Projects,-,"68,400,000",,,-,-,72,0
,Grant,-,"68,575,248",,,-,-,72,0
Sub Total,,"43,099,914","242,675,248","12,267,565",-,28.5,-,72,0
Kimilili Municipality,,,,,,,,72,0
Programme 1: Urban Governance,,,,,,,,72,0
,"SP1: General Administrative,
Planning and Support Services
(Inclusive of salary)","31,044,460",,"3,734,786",,12.0,-,72,0
,SP2: Human Resource,"13,811,045",,"8,253,598",,59.8,-,72,0
"Programme 2: Urban Infrastructure Development and
Management",,,,,,,,72,0
,"Infrastructure. Housing and Public
Works",-,"191,846,979",,"20,754,740",-,10.8,72,0
Sub Total,,"44,855,505","191,846,979","11,988,384","20,754,740",26.7,10.8,72,0
County Public Service Board,,,,,,,,72,0
"Programme 1: General Administration, Planning and Support Services",,,,,,,,72,0
,SP 1. 1 Administrative Services,"22,141,121",,"16,443,765",,74.3,-,72,0
,"SP1.2 Construction 1 Storey Build-
ing Administrative Block",-,"14,500,000",,,-,-,72,0
,,Rec,Dev,Rec,Dev,Rec,Dev,73,0
Programme 2: Human Resource Management and Development0.0,,,,,,,,73,0
,"SP 2. 1 Human Resource Man-
agement","10,374,532",,"6,074,953",,58.6,-,73,0
Programme 3: Governance and National Values,,,,,,,,73,0
,SP 3. 1Quality Assurance,"5,120,330",,,,-,-,73,0
,"SP 3. 2 Ethics Governors and
National","10,716,570",,,,-,-,73,0
Sub Total,,"48,352,553","14,500,000","22,518,717",,46.6,-,73,0
Public Service,,,,,,,,73,0
"Programme 1: General Administration, Planning and Support Services",,,,,,,,73,0
,Sp1.1: Salaries,"428,997,892",,"225,632,907",,0.5,-,73,0
,Sp1.2: Utilities,"5,700,000",,,,-,-,73,0
,Sp1.3:Maintenance,"1,730,000",,,,-,-,73,0
,Sp1.4: Operations,"53,636,755",,"27,559,846",,51.4,-,73,0
,"Sp1.5: Contracted Security and
Cleaning Services","67,179,450",,"36,070,494",,53.7,-,73,0
,Sp1.6: Purchase of Uniforms,"4,000,000",,,,-,-,73,0
,Sp1.7: Medical Insurance,"250,000,000",,"27,860,664",,11.1,-,73,0
,Sp1.9: National Holidays,"10,000,000",,,,-,-,73,0
,Infrastructure Development,,"64,506,063",,"1,834,683",-,2.8,73,0
,Sp1.10: Devolved Units,"9,000,000",,,,-,-,73,0
"Programme 2: Public Participation, Civic Education and Outreach Services",,,,,,,,73,0
,Sp2.1: Public Participation,"4,000,000",,"4,000,000",,100.0,-,73,0
,Sp2.2: Civic Education,"4,000,000",,,,-,-,73,0
Programme 3: Service Delivery and Organizational Transformation,,,,,,,,73,0
,"Sp3.1Service Delivery and Organi-
zational Transformation","10,000,000",,,,-,-,73,0
Sub Total,,"848,244,097","64,506,063","321,123,912","1,834,683",37.9,-,73,0
Office of the County Secretary and County Attorney,,,,,,,,73,0
"Programme 1:
General Adminis-
tration, Planning
and Support
Services (County
Secretary)",,,,,,,,73,0
,Payroll Cleaning,"500,000",,,,-,-,73,0
,Records Management,"2,806,720",,,,-,-,73,0
,Utilities and Maintenance,"750,000",,"101,724",,13.6,-,73,0
,Operation,"6,050,000",-,"6,042,806",,99.9,-,73,0
"Programme 3:
General Adminis-
tration, Planning
and Support
Services County
Attorney",,,,,,,,73,0
,Sp3.1: Utilities,"350,000",,,,-,-,73,0
,Sp3.2: Maintenance,"300,000",,,,-,-,73,0
,Sp3.3: Operations,"6,109,000",-,"4,656,414",,76.2,-,73,0
,Sp3.4: Legal Fees,"7,000,000",,,,-,-,73,0
Sub Total,,"23,865,720",-,"10,800,944",-,38.1,-,73,0
Gender and Culture,,,,,,,,73,0
,,Rec,Dev,Rec,Dev,Rec,Dev,74,0
"Programme 1: 1
General Adminis-
tration, Planning
and Support
Services",,,,,,,,74,0
,Compensation to Employees,"34,907,953",,"21,265,262",,60.9,-,74,0
,Planning and Budgeting,"2,500,000",,,,-,-,74,0
,Utility for Office Operations,"500,000",,,,-,-,74,0
,"Administrative Service Manage-
ment (boards and Committees,
travel costs, catering services,
others)","10,825,513","958,513","2,660,560",,24.6,-,74,0
"Programme 2 Cul-
tural Development
and Management",,,,,,,-,74,0
,"Participate in KICOSCA and
EALASCA Games","29,875,000",,"24,596,123",,82.3,-,74,0
,"Construction of Sanga’lo Multipur-
pose Hall",-,"6,440,351",,,-,-,74,0
,Microfinance Youth Programme,-,"1,128,440",,,-,-,74,0
Programme 3: Gender Equity and Social Protection,,,,,,,,74,0
,Operations of GTWG,"1,500,000",-,,,-,-,74,0
,"Gender-Based Violence Response
Programs (16 days of activism
against women)","2,000,000",-,,,-,-,74,0
,"Mark and Celebrate International
Women’s Day","2,000,000",-,,,-,-,74,0
,"Mark and Celebrate International
Disability Day","1,000,000",-,,,-,-,74,0
,Disability Empowerment Program,,"12,317,615",,,-,-,74,0
,Women Empowerment Program,,"20,526,343",,,-,-,74,0
Sub Total,,"85,108,466","41,371,262","48,521,945",-,57.0,-,74,0
Youth and Sports,,,,,,,,74,0
Programme 2: General Administration Planning and Support Services,,,,,,,,74,0
,Payment of Salaries,"13,331,452",,"7,640,620",,57.3,-,74,0
,Planning and Budgeting,"830,126",,,,-,-,74,0
,Utility for Office Operations,"520,000",,,,-,-,74,0
,"Administrative Service Manage-
ment (boards and Committees,
travel costs, catering services, other
recurrent)","10,809,497","4,000,000","4,808,631",,44.5,-,74,0
Programme 3: Sports and Talent Development,,,,,,,,74,0
,"Construction of Phase 1 Masinde
Muliro Stadium",,"26,000,000",,"25,511,240",-,-,74,0
,"Completion and Equipping
of Phase 1 and Phase 2 of the
High-Altitude Training Centre",,"19,000,000",,"10,287,465",-,-,74,0
,"Boards and Committees (Opera-
tions Cost)",,"300,000",,,-,-,74,0
Programme 4: Sports and Talent Development,,,,,,,,74,0
"Sports Facility
development and
management","Sports Facility Development and
Management",,"10,000,000",,,-,-,74,0
Project supervision,Project Supervision,,-,,,-,-,74,0
"Youth Empower-
ment fund",Youth Empowerment Fund,,"29,684,326",,,-,-,74,0
Sub Total,,"25,491,075","88,984,326","12,449,252","35,798,705",48.8,0.4,74,0
,,Rec,Dev,Rec,Dev,Rec,Dev,75,0
Governor’s and Deputy Governor’s Office,,,,,,,,75,0
"Programme 1:
General Adminis-
tration, Planning
and Support
Services",,,,,,,,75,0
,"Sp1.1: County Budget and Eco-
nomic Forum","3,000,000",,,,-,-,75,0
,"Sp1.2: Public Consultative
Meetings","15,000,000",,"15,000,000",,100.0,-,75,0
,Sp1.4: Utilities,"2,347,663",,-,,-,-,75,0
,"Sp1.5: Operations and Other
Departmental Programs","82,951,486",,"78,902,228",,95.1,-,75,0
,Sp1.6: Maintenance,"14,000,000",,"271,000",,1.9,-,75,0
,Sp1.7: Salaries,"228,432,549",,"145,879,989",,63.9,-,75,0
Programme 2: County Executive Committee Affairs,,,,,,,,75,0
,"Sp2.1Leadership and Coordina-
tion of County Departments and
Agencies","25,000,000",,"20,970,589",,83.9,-,75,0
"Programme 3:
County Strategic
and Service Deliv-
ery Coordination",,,,,,,-,75,0
,Sp3.1Staff Management Services.,"7,000,000",,,,-,-,75,0
,"Sp3.2Events Management and
Protocol Services.","10,000,000",,,,-,-,75,0
,Sp3.3Communication,"1,000,000",,,,-,-,75,0
,Sp3.4 Integrity,"2,000,000",,,,-,-,75,0
,Sp3.5 Intergovernmental relations,"5,000,000",,,,-,-,75,0
,Special Programmes,"50,000,000",,,,-,-,75,0
Office of the Deputy Governor,,,,,,,-,75,0
"Programme 1:
General adminis-
tration, planning
and support
services",,,,,,,-,75,0
,Sp1.1: Utilities,"1,328,000",,,,-,-,75,0
,Sp1.2: Operations,"22,108,583",,"12,534,950",,56.7,-,75,0
,Sp1.3: Maintenance,"3,900,000",,,,-,-,75,0
Sub Total,,"473,068,281",,"273,558,756",,57.8,-,75,0
"Environment, Tourism and Climate Change",,,,,,,,75,0
"Programme 1: General Administration Planning and
Support Services",,,,,,,,75,0
,SP. Human Resources Management,"31,136,359",,"15,488,686",,49.7,-,75,0
,Sp. Planning and Support Services,"7,676,864",,"4,469,774",,58.2,-,75,0
Programme 2: Protection and Conservation of the Environment,,,,,,,,75,0
,SP. Waste Management and Control,"312,552,734",,"175,759,839",,56.2,-,75,0
Programme3: Climate Change Co-ordination and Management,,,,,,,,75,0
,"Sp. Climate Change Resilience
Investment Grant",,"125,000,000",,"11,756,279",-,9.4,75,0
,Sp. Climate Change Fund,,"80,000,000",,,-,-,75,0
,"SP. Climate Change Institutional
Support Grant","22,110,885",,,,-,-,75,0
Sub Total,,"373,476,842","205,000,000","195,718,299","11,756,279",52.4,5.7,75,0
Water and Natural Resources,,,,,,,,75,0
Programme 1: General Administration Planning and Support Services,,,,,,,,75,0
,SP. Human Resources Management,"38,151,374",,"21,161,224",,55.5,-,75,0
,Sp. Planning and Support Services,"23,453,875","21,399,464","11,230,733",,47.9,-,75,0
"Programme 2: Wa-
ter and Sanitation
development and
management",,,,,,,,75,0
,SP. Borehole Development,,"8,810,745",,,-,-,75,0
,SP.KOICA Counterpart Funding,-,"20,000,000",,,-,-,75,0
