Programme,Sub Programme,Approved Estimates,col_3,Expenditure,col_5,"Absorption
Rate",col_7,page_number,table_index
"Programme 2;
Public Finance
Management","SP 2.1 Budget formulation coordination and
management","211,231,190",--,"93,467,976",-,44.3,--,435,0
,SP 2.2Resources mobilization,"84,299,962",-,"26,295,460",-,31.2,-,435,0
,SP 2.3 internal audit,"40,469,007",-,"16,449,760",-,40.7,-,435,0
,SP 2.4 procurement,"18,681,885",-,"3,705,652",-,19.8,-,435,0
,SP 2.5 public finance and accounting,"25,066,504",-,"9,087,487",-,36.3,-,435,0
,SP 2.6 Debt management,"40,763,581","326,425,808","3,871,450","129,201,779",9.5,--,435,0
,SP 2.7 External Resources Mobilization,"10,538,988",-,"1,225,455",-,11.6,-,435,0
"Programme 3: Eco-
nomic and financial
policy formulation
and management",SP 3.1 Fiscal planning,"37,335,796",-,"16,462,825",-,44.1,-,435,0
,"SP 3.2 monitoring and evaluation /statistical
data management","9,248,167",-,"2,189,100",-,23.6,-,435,0
,SP 3.3 KDSP programme,-,"104,594,212",,"82,902,576",,-,435,0
,Sub-Total,"1,728,784,665","850,899,198","708,155,108","133,375,617",41.0,15.7,435,0
NAKURU CITY,,,,,,,,435,0
Programme 1,SP 1.1 Administration and Planning,"16,870,000",-,"7,938,217.80",-,47,-,435,0
,SP 1.2 personnel services,"27,630,170",-,"16,025,964.40",-,58,-,435,0
,SP 1.3 financial services,"600,000",-,"396,480.00",-,66,-,435,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,436,0
Programme 2,SP 2.1 Infrastructure development and urban,"7,371,545","398,088,810","206,200.00","361,154,495.48",3,91,436,0
,"SP 2.2 Nakuru City Environments Manage-
ment",-,"1,500,000",-,"984,950.00",-,66,436,0
,SP 2.3 Trade markets and investments,"2,800,000",-,"577,793.10",-,21,-,436,0
,SP 2.4 Nakuru City Social Services,"2,899,418",-,"1,245,677.80",-,43,-,436,0
,Sub-Total,"58,171,133","399,588,810","26,390,333.10","362,139,445.48",45,91,436,0
"DEPARTMENT OF YOUTH, CULTURE, GENDER, SPORTS AND SOCIAL SERVICES",,,,,,,,436,0
"Programme 1:
Administration,
planning and support
services",SP 1.1 Administration,"61,494,853","39,367,161","6,709,708",-,50.4,-,436,0
,SP 1.2 Personnel services,"116,995,934",-,"69,367,377",-,59.3,-,436,0
,SP 1.3 financial services,"1,000,000",-,-,-,0.0,-,436,0
"Programme 2
Development of
social-cultural
Diversity, Economic
Empowerment and
Responsible Gaming",SP 2.1; gender equality and empowerment,"18,450,000","56,825,970","1,169,700",-,18.9,-,436,0
,SP 2.2 social inclusion and empowerment,"34,139,052",-,"1,705,168","7,857,507",4.6,56,436,0
"Programme 3
Management and de-
velopment of sports,
recreation and sports
facilities",SP 3.1 development of sports infrastructure,-,"61,629,242",-,"12,161,962",-,68,436,0
,"SP 3.2 Promotion of sports development and
recreation","20,262,000",-,"10,714,805",-,20.9,-,436,0
,SP 3.3 Sports funding,-,-,-,-,-,-,436,0
"Programme 4: Youth
empowerment and
participation",SP 4.1 youth empowerment and participation,"36,674,533","39,397,161","810,755",-,1.43,-,436,0
,SP 4.2 Youth development,-,-,-,-,-,-,436,0
,Sub-Total,"289,016,373","197,189,534","90,477,513","20,019,470",31.3,10.2,436,0
"DEPARTMENT OF WATER, ENVIRONMENT, ENERGY AND NATURAL RESOURCES",,,,,,,,436,0
"Programme 1
Administration",SP 1.1 Administration services,"31,000,000","1,525,329","6,559,197",-,21.2,-,436,0
,SP 1.2 Human resources,"249,797,612",,"159,339,069",-,64.6,-,436,0
,SP 1.3 Finance services,"500,000",-,-,-,-,-,436,0
"Programme 2
water and sewage
management",SP 2.1 Provision of water,"9,193,152","1,106,185,449","1,828,549","147,912,077",19.9,13.4,436,0
,SP 2.2 provision,-,-,-,-,-,-,436,0
"Programme 3
environment man-
agement",SP 3.1 Pollution control,,"11,152,434","- -
2,600,055 -",,"-
17.1","-
-",436,0
,SP 3.2 Solid Waste Management,"15,173,790",,,,,,436,0
,SP 3.3 Environmental Resources Mapping,"1,525,000",-,-,-,-,-,436,0
"Programme 4 Coun-
ty energy, planning,
regulation, operation
and development",SP 4.1 County Energy Development,"32,919,664",-,-,-,-,-,436,0
,SP 4.2 Climate change resilience/forestry,,"213,312,923","932,054 -",,-,,436,0
,Sub-Total,"339,109,218","1,332,176,135","171,258,924 147,912,077 50.5 13.4",,,,436,0
OFFICE OF THE GOVERNOR AND DEPUTY GOVERNOR,,,,,,,,436,0
"Programme 1
Administration,
planning and support",SP;1.1 Administration and Planning,"154,231,530","70,467,176","83,802,197
66,142,994","52,358,345
-","77.5
69.7",36.4,436,0
,SP 1.2 Personnel services,"94,925,337",-,,,,-,436,0
"Programme 2 man-
agement of county
affairs",SP 2.1 county executive services,"15,618,492",-,"81,500,000.00",,"96.3
0.0",-,436,0
,SP 2.2 policy direction and coordination,"84,609,245",-,,,,-,436,0
,SP 2.3 county policing services,"4,685,548",-,,,,-,436,0
,SP 2.4 leadership and governance,"3,123,698",-,-,-,-,-,436,0
"Programme 3
coordination and
supervisory services",SP 3.1 organization of county businesses,"23,427,738",-,"5,440,800.50",,"23.2
-",-,436,0
,SP 3.2 Special programmes,"7,809,246",-,,,,-,436,0
,Sub-Total,"342,271,643","143,899,504","236,885,992","52,358,345",69.2,36.4,436,0
OFFICE OF THE COUNTY ATTORNEY,,,,,,,,436,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,437,0
"Programme 1
Administration,
Planning and Sup-
port services",SP 1.1 Administration,"20,070,798","4,000,000","9,383,037",-,46.7,-,437,0
,SP 1.2 Personnel services,"19,229,202",-,"234,428",-,1.2,-,437,0
,SP 1.3 financial services,"500,000",-,-,-,-,-,437,0
"Programme 2Advi-
sory services",SP 2.1 Advisory services,"1,300,000",-,-,-,-,-,437,0
,SP 2.2 legal matters,"3,560,966",-,"1,544,848.6",-,43.4,-,437,0
,SP 3.1 Litigation,"9,950,920",-,"7,515,626",-,75.5,-,437,0
,SP 3.2 Formulation and review of bills,"2,000,000",-,-,-,-,-,437,0
,"SP 3.3 Conveyance and commercial trans-
actions","1,000,000",-,-,-,-,-,437,0
,Sub-Total,"57,611,886","4,000,000","18,677,940",-,32.4,-,437,0
DEPARTMENT OF INFRASTRUCTURE,,,,,,,,437,0
"Programme 1
administration,
planning and support
services",SP 1.1 Administration services,"44,502,695",-,"11,362,771","-
-","25.5
61.5","-
-",437,0
,SP 1.2 Personnel services,"14,518,432",-,"89,268,223",,,,437,0
,SP 1.3 financial services,-,-,-,-,-,-,437,0
"Programme 2
infrastructure,
development and
maintenance","SP 2.1 Construction, rehabilitation and main-
tenance of road drainage and bridges","19,825,000","1,546,304,195","1,703,550","316,514,346",8.6,20.5,437,0
,"SP 2.2 Rehabilitation and maintenance of
transport terminus","4,800,000",-,-,-,-,-,437,0
,"SP 2.3 Construction and maintenance of
non-residential county buildings","9,725,000","2,000,000","232,000",-,2.4,-,437,0
,"SP 2.4 Installation, rehabilitation and mainte-
nance of lighting facilities","143,625,000","60,000,000","142,000,000",-,98.9,-,437,0
,Sub-Total,"367,663,127","1,608,904,195","244,566,545","316,514,346",66.5,19.7,437,0
DEPARTMENT OF HEALTH SERVICES,,,,,,,,437,0
"Programme 1
administration and
planning",SP 1.1 Health information systems,"21,379,000",-,-,-,-,-,437,0
,SP 1.2 governance and leadership,"554,186,167",-,"113,534,466",-,20,-,437,0
,SP 1.3 Human resource management,"3,694,411,740",-,"1,813,504,963",-,49,-,437,0
,SP 1.4 Research and development,"2,500,000",-,-,-,-,-,437,0
,SP 1.5 Health infrastructure and development,"12,650,000",-,-,-,-,-,437,0
"Programme 2 health
preventive and pro-
motive services",SP 2.1 Primary Healthcare,"15,117,207","603,379,464",,"63,324,682","0.0
0.0",10.5,437,0
,SP 2.2 environmental health and sanitation,"2,000,000",-,,,,-,437,0
,SP 2.3 Human resource,"19,049,940",-,"1,079,253",,6.3,-,437,0
,"SP 2.4 Disease surveillance and emergency
response","1,997,550",-,,,0.0,-,437,0
,SP 2.5 Health promotive,"1,000,000",--,,,0.0,--,437,0
,SP 2.6 HIV programme,"2,000,000",-,"189,600",,9.5,-,437,0
,SP 2.7 Nutrition,"10,629,350","14,331,759",,"963,776",0.0,6.7,437,0
,SP 2.8 Reproductive health,"1,250,000",-,,,0.0,,437,0
,SP 2.9 immunisation,"1,596,425",-,"1,224,962",,76.7,,437,0
"Programme 3
Health curative
and rehabilitative
services","SP 3.1 Provision of essential health services
in all","1,285,035,576","1,361,310,758","1,249,978,189","149,359,875",97.3,11.0,437,0
,"SP 3.2 Elimination of communicable and
non-communicable diseases","2,200,000",,,,-,-,437,0
,SP 3.3 Human resource,"316,760,037",-,"316,760,037",,100.0,-,437,0
,Sub-Total,"5,941,762,992","1,979,021,981","4,487,964,654","213,648,333",75.5,9.3,437,0
"DEPARTMENT OF LANDS, PHYSICAL PLANNING AND HOUSING",,,,,,,,437,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,438,0
"Programme 1:
Administration,
Planning, Manage-
ment and Support
Services",SP 1.1: Administration and Financial Services,"86,118,106",-,"23,582,712",,27.4,,438,0
,SP 1.2: Personnel Services,"98,207,312",-,"60,748,496",,61.9,,438,0
"Programme 2 Urban
Development",SP 2.1: Development of,-,"630,382,190",-,"200,000,000",-,31.7,438,0
"Programme 3: Land
Use",SP 3.1: Land use,-,"171,941,427",-,"12,911,645",,,438,0
,SP 3.2: Survey,-,"3,000,000",-,-,,,438,0
,SP 4.1 Housing,-,"3,000,000",-,-,-,-,438,0
,Sub Total,"184,325,418","808,323,617","84,331,209","212,911,645",45.8,26.3,438,0
"DEPARTMENT OF TRADE, INDUSTRY, MARKETING AND TOURISM",,,,,,,,438,0
"Programme 1
Administration
planning","SP 1.1 Administration, planning and support
services","24,484,898","2,000,000","8,967,103",-,36.6,-,438,0
,SP 1.2 Personnel services,"74,117,995",-,"49,792,346",-,67.2,-,438,0
,SP 1.3 financial services,-,-,-,-,-,-,438,0
"Programme 2 coop-
eratives",SP 2.1management of market cooperatives,"5,296,556","3,500,000",,-,-,,438,0
,SP 2.2 Sacc0 empowerment,"25,000,000",-,,-,-,,438,0
,"SP 2.3 cooperatives leadership and gover-
nance","5,254,475",-,"3,291,677",-,62.6,-,438,0
,SP 2.4 Strengthening cooperatives,"1,191,381",-,"1,152,179",-,96.7,-,438,0
,"SP 2.5 empowering youth, women and peds
participation in cooperatives","1,127,588",-,"1,104,900",-,98.0,-,438,0
"Programme 3:
Commerce and
Enterprise","SP 3.1 Business development services for
SMEs","2,550,000",-,"639,425",-,25.1,-,438,0
,SP 3.2 Producer business groups,"800,000",-,,-,-,-,438,0
,SP 3.3 SMES training,"1,000,000",-,"826,975",-,82.7,-,438,0
,SP 3.4 SMES funding,"25,000,000",-,,,-,-,438,0
,"SP 3.5 Development and management of
county bus terminus",-,-,"863,667","303,800",27.9,15.2,438,0
,SP 3.6 consumer protection,"3,100,000","2,000,000",-,-,-,-,438,0
,SP 3.7 Establishment of the industrial park,-,"350,000,000",-,-,-,-,438,0
"Programme 4
market",SP 4.1 Market rehabilitation,-,"12,800,000",-,"8,405,003",,65.7,438,0
,SP 4.2 Development of new market,-,"161,002,145",,"26,379,136",,16.4,438,0
,SP 4.3 Market users’ delivery services,"12,500,000",-,"7,442,900",-,59.5,-,438,0
"Programme 5
Tourism",SP 5.1 Promotion of local tourism,"8,500,000",-,"5,671,279",,66.7,-,438,0
,"SP 5.2 Management of county tourism infor-
mation centre",-,-,-,-,-,-,438,0
"Programme 6 alco-
holic drinks and
Control
Programme7;
Development of so-
cio-cultural diversity
and promotion","SP 6.1 inspection, approval and liquor
licencing","2,450,000",-,"1,436,300",,58.6,-,438,0
,SP 6.2 Liquor enforcement and compliance,"150,000",-,"33,600",,22.4,-,438,0
,SP 6.3 research and innovation,"600,000",-,-,-,-,,438,0
,"SP 6.4 Treatment and rehabilitation of per-
sons dependent on alcoholic drinks","1,050,000",-,-,-,-,,438,0
,"SP 6.5 Education and training of sub-county
and review committee","1,200,000",-,"737,600",-,61.5,-,438,0
,SP 7.1 Cultural Development Activities,"20,883,063",-,"2,212,830",-,10.6,-,438,0
,SP 7.2 promotion of responsible gaming,"6,150,000",-,"1,962,100",,31.9,-,438,0
,Sub-Total,"222,405,956","531,302,145","86,134,882","35,087,939",38.7,6.6,438,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,438,0
