col_0,col_1,col_2,Revised Estimates (Kshs.),col_4,Expenditure (Kshs.),col_6,Absorption %,col_8,page_number,table_index
,"Integrated Devel-
opment Planning","Integrated
Development
Planning","15,933,688.00",-,"10,556,870.00",-,66,-,620,0
,"County Statistical
Information
Services","County Statisti-
cal Information
Services","7,163,290.00",-,"3,897,370.00",-,54,-,620,0
,"Monitoring
& Evaluation
Services","Monitoring
& Evaluation
Services","2,790,000.00",-,"2,548,100.00",-,91,-,620,0
717003363,,,"304,926,575.00",-,"278,832,353.30",-,91,-,620,0
,"General admin-
istration and
support services","General admin-
istration and
support services","304,926,575.00",-,"278,832,353.30",-,91,-,620,0
,Total,Total,"687,054,176.00",-,"599,060,411.90",-,87,-,620,0
"3367-Wajir - Public Health, Medical Services and Sanitation",,,,,,,,,620,0
401003367,,,"840,441,765.00","381,661,625.00","678,577,074.95","174,400,311.90",81,46,620,0
,,,,,,,,596,620,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",621,0
,"Curative & Reha-
bilitative Services","Curative &
Rehabilitative
Services","840,441,765.00","381,661,625.00","678,577,074.95","165,987,678.00",81,43,621,0
,"Improvement of
existing facilities","Improvement
of existing
facilities",-,-,-,-,,-,621,0
,"Health Infrastruc-
ture Development","Health
Infrastructure
Development",-,-,-,"8,412,633.90",-,-,621,0
402003367,,,"47,338,920.00",-,"21,716,372.00",-,46,-,621,0
,"Sanitation
services","Sanitation
services","28,625,000.00",-,"9,356,762.00",-,33,-,621,0
,Health promotion,"Health promo-
tion","4,000,000.00",-,"3,998,974.00",-,100,-,621,0
,Outreach services,"Outreach
services","7,895,320.00",-,"2,963,836.00",-,38,-,621,0
,"Child Health and
Immunisation
services","Child Health
and Immunisa-
tion services","6,818,600.00",-,"5,396,800.00",-,79,-,621,0
403003367,,,"1,824,975,217.00","34,000,000.00","1,096,907,342.35","31,651,058.50",60,93,621,0
,"General Admin-
istration and
Support Services","General
Administration
and Support
Services","1,824,975,217.00","34,000,000.00","1,096,907,342.35","31,651,058.50",60,93,621,0
,"Use of goods and
services","Use of goods
and services",-,-,-,-,-,,621,0
404003367,,,"2,029,600.00",-,"1,996,600.00",-,98,-,621,0
,"Maternal Health
Services","Maternal
Health Services","2,029,600.00",-,"1,996,600.00",-,98,-,621,0
405003367,,,-,-,-,-,,-,621,0
,"Kenya Medical
Training College","Kenya Medical
Training Col-
lege",-,-,-,-,,-,621,0
406003367,,,"53,979,650.00","79,720,143.00","53,460,796.00","24,287,360.80",99,30,621,0
,SP1 RMNCH,SP1 RMNCH,"53,979,650.00","79,720,143.00","53,460,796.00","24,287,360.80",99,30,621,0
407003367,,,"7,000,000.00",-,"6,772,416.00",-,97,-,621,0
,"TB & HIV -
AIDS","TB & HIV -
AIDS","7,000,000.00",-,"6,772,416.00",-,97,-,621,0
408003367,,,"2,600,000.00",-,"2,532,000.00",-,97,-,621,0
,"SP1 TB HIV-
AIDS","SP1 TB HIV-
AIDS","2,600,000.00",-,"2,532,000.00",-,97,-,621,0
,Total,,"2,778,365,152.00","495,381,768.00","1,740,962,601.30","228,265,650.55",63,46,621,0
"3371-Wajir - Lands, Housing and Physical Planning",,,,,,,,,621,0
101003371,,,,,,,,,621,0
,"General admin-
istration and
support services","General admin-
istration and
support services",-,-,-,-,-,-,621,0
,"Use of goods and
services","Use of goods
and services",-,-,-,-,-,-,621,0
109003371,,,-,-,-,-,-,-,621,0
,"Construction of
Lands Registry","Construction of
Lands Registry",-,-,-,-,-,-,621,0
,"Infrastructure
Improvement
Services","Infrastructure
Improvement
Services",-,-,-,-,-,-,621,0
,"Construction of
office Block","Construction of
office Block",-,-,-,-,-,-,621,0
110003371,,,-,-,-,-,-,-,621,0
,"Construction of
ABT Center","Construction of
ABT Center",-,-,-,-,-,-,621,0
,ABT Services,ABT Services,-,-,-,-,-,-,621,0
Program,Sub Program,Description,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",622,0
,"Fencing of Gov-
ernment estates","Fencing of
Government
estates",-,-,-,-,-,-,622,0
,"Housing Devel-
opment Capacity
building","Housing Devel-
opment Capaci-
ty building",-,-,-,-,-,-,622,0
111003371,,,"56,458,725.00","244,500,000.00","23,272,297.05","198,000,000.00",41,81,622,0
,"County Survey
and Policy
Services","County Survey
and Policy
Services",-,-,-,-,-,-,622,0
,"Urban Physical
Planning Services","Urban Physical
Planning Ser-
vices","56,458,725.00","244,500,000.00","23,272,297.05","198,000,000.00",41,81,622,0
,Physical Plans,Physical Plans,-,-,-,-,-,-,622,0
202003371,,,-,-,-,-,-,-,622,0
,"Public Works
Infrastructure
Services","Public Works
Infrastructure
Services",-,-,-,-,-,-,622,0
206003371,,,-,-,-,-,-,-,622,0
,"Infrastructure
Improvement
Services","Infrastructure
Improvement
Services",-,-,-,-,-,-,622,0
719003371,,,"7,965,000.00",-,"7,115,154.00",-,89,-,622,0
,"Urban Develop-
ment Services","Urban Develop-
ment Services","7,965,000.00",-,"7,115,154.00",-,89,-,622,0
,Total,,"64,423,725.00","244,500,000.00","30,387,451.05",-,47,-,622,0
"3377-Wajir -
Municipality","Urban Develop-
ment Services","Urban Develop-
ment Services","220,211,079.00","167,554,472.00","73,004,925.50","37,872,274.00",33,23,622,0
,Total,,"220,211,079.00","167,554,472.00","84,004,925.50","88,872,274.00",38,53,622,0
"3372-Wajir - Public Service, Labor and Decentralized Unit",,,,,,,,,622,0
101003372,,,"5,140,000.00",-,"4,901,640.00",-,95,-,622,0
,"General admin-
istration and
support services","General admin-
istration and
support services","5,140,000.00",-,"4,901,640.00",-,95,-,622,0
210003372,,,"3,860,000.00",-,"2,545,000.00",-,66,-,622,0
,"Capacity Build-
ing Services","Capacity Build-
ing Services",-,-,-,-,,-,622,0
,"Civic Education
Services","Civic Education
Services","3,860,000.00",-,"2,545,000.00",-,66,-,622,0
701003372,,,"7,084,000.00",-,"5,128,581.00",-,72,-,622,0
,"Inter-governmen-
tal relations","Inter-govern-
mental relations","7,084,000.00",-,"5,128,581.00",-,72,-,622,0
