Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
Finance,207023710,"18,585,320","6,947,363","11,637,957",37.4,178,0
General Administration and Planning,201013710,"39,261,973","14,239,770","25,022,203",36.3,178,0
"Planning, Development Control, Transport and
Infrastructure",207013710,"13,470,278","5,262,841","8,207,437",39.1,178,0
,209013710,"275,845,214","95,519,897","180,325,317",,178,0
"Trade, Commerce and Industrialisation",207033710,"26,370,160","3,117,028","23,253,132",11.8,178,0
Sub Total,,"393,743,598","132,072,995","261,670,603",33.5,178,0
Mwingi Town Administration,,,,,,178,0
"Environment, Culture, Recreation and Commu-
nity Development",1001013710,"10,636,043","4,412,097","6,223,946",41.5,178,0
General Administration and Planning,109013710,"17,226,282","3,782,863","13,443,419",22.0,178,0
,201013710,"43,316,523","15,914,253","27,402,270",36.7,178,0
,706013710,"6,299,069","1,928,762","4,370,307",30.6,178,0
"Planning, Development Control, Transport and
Infrastructure",207013710,"9,926,419","2,510,876","7,415,543",25.3,178,0
,207023710,"1,414,659","297,500","1,117,159",21.0,178,0
,207033710,"6,350,374","3,114,000","3,236,374",49.0,178,0
Sub Total,,"95,169,369","31,960,351","63,209,018",33.6,178,0
Grand Total,,"11,839,810,619","4,208,050,710","7,631,759,910",35.5,178,0
