Programme,Sub- Programme,Approved Budget (Kshs.),Actual Payments (Kshs.),"Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Agricultural Machinery
Service","Agricultural Mechanization
Services","42,422,968","5,436,140","36,986,828",12.8,372,0
,,"42,422,968","5,436,140","36,986,828",12.8,372,0
Administration,"Administration and Support
Services","13,006,144","1,182,750","11,823,394",9.1,372,0
,,"13,006,144","1,182,750","11,823,394",9.1,372,0
Trade Department,"Trade Development And In-
vestment","126,587,187","20,404,191","106,182,996",16.1,372,0
,Market Services,"92,400,000","19,162,332","73,237,668",20.7,372,0
,,"218,987,187","39,566,523","179,420,664",18.1,372,0
Administration,"Administration and Support
Services","384,976,008","136,643,838","248,332,170",35.5,372,0
,,"384,976,008","136,643,838","248,332,170",35.5,372,0
Education Department,"Administration and Support
Services","1,548,772","301,000","1,247,772",19.4,373,0
,Basic Education,"110,026,679",-,"110,026,679",-,373,0
,,"111,575,451","301,000","111,274,451",0.3,373,0
Department of Culture,"Administration and Support
Services","15,300,000","7,644,480","7,655,520",50.0,373,0
,,"15,300,000","7,644,480","7,655,520",50.0,373,0
"Social Service Depart-
ment",Social Development Services,"1,000,000",-,"1,000,000",-,373,0
,"Youth Training and Develop-
ment","6,600,839","2,240,836","4,360,003",33.9,373,0
,"Community Development
Services","30,000,000",-,"30,000,000",-,373,0
,"Administration and Support
Services","4,670,702","2,220,940","2,449,762",47.6,373,0
,,"42,271,541","4,461,776","37,809,765",10.6,373,0
"Headquarters -County
Public Service Board","Administration and Support
Services","45,614,234","18,937,931","26,676,303",41.5,373,0
,,"45,614,234","18,937,931","26,676,303",41.5,373,0
"Headquarters -County
Assembly","County Planning and Eco-
nomic Policy Management","806,014,946","294,430,140","511,584,806",36.5,373,0
,,"806,014,946","294,430,140","511,584,806",36.5,373,0
"Headquarters -Budget
and Economic Planning
Services","County Planning and Eco-
nomic Policy Management","58,605,271","23,217,350","35,387,921",39.6,373,0
,,"58,605,271","23,217,350","35,387,921",39.6,373,0
,"County Planning and Eco-
nomic Policy Management","10,000,000","1,730,000","8,270,000",17.3,373,0
,,"10,000,000","1,730,000","8,270,000",17.3,373,0
"Administration of Devo-
lution and Public Admin-
istration Services",Public Works Services,"28,358,355","6,344,990","22,013,365",22.4,373,0
,"Administration Support Ser-
vices","70,000,000","41,329,737","28,670,263",59.0,373,0
,"Administration and Support
Services","38,052,103","7,412,840","30,639,263",19.5,373,0
,,"136,410,458","55,087,567","81,322,891",40.4,373,0
,"Administration and Support
Services","7,176,915","2,984,608","4,192,307",41.6,373,0
,"Administration and Support
Services","14,973,807","9,140,500","5,833,307",61.0,373,0
,,"22,150,722","12,125,108","10,025,614",54.7,373,0
"Administration of youth,
Culture and Gender Af-
fairs","Administration and Support
Services","8,240,000","2,019,900","6,220,100",24.5,373,0
,"Youth Training and Develop-
ment","62,439,724","7,172,960","55,266,764",11.5,373,0
,,"70,679,724","9,192,860","61,486,864",13.0,373,0
,"Management and Develop-
ment of Sports And Sports
Facilities","73,100,000",-,"73,100,000",-,373,0
,"Administration and Support
Services","600,000","195,050","404,950",32.5,373,0
,"Tourism Development And
Marketing","46,655,799","15,759,424","30,896,375",33.8,373,0
,,"120,355,799","15,954,474","104,401,325",13.3,373,0
"Administration of coop-
eratives and Enterprise
Development","Cooperatives Development
and Marketing","18,539,098","1,936,205","16,602,893",10.4,373,0
,,"18,539,098","1,936,205","16,602,893",10.4,373,0
,Weights And Measurements,"18,000,000",-,"18,000,000",-,373,0
,,"18,000,000",-,"18,000,000",-,373,0
"Administration of Live-
stock Development and
Fisheries","Crop Development And
Management","4,374,227","1,168,751","3,205,476",26.7,373,0
,"Livestock Resource Manage-
ment and Development","68,542,258",-,"68,542,258",-,373,0
,,"72,916,485","1,168,751","71,747,734",1.6,373,0
,Fisheries Development,"11,028,960","1,555,760","9,473,200",14.1,373,0
,,"11,028,960","1,555,760","9,473,200",14.1,373,0
,"Livestock Resource Manage-
ment and Development","76,145,950","18,364,039","57,781,911",24.1,373,0
