Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs),"Absorption
(%)",page_number,table_index
Pending Bills,Pending Bills Medical Services,"152,420,410.52","19,503,042","132,917,368",12.8,245,0
,Pending Bills Public Health,"17,862,301",-,"17,862,301",-,245,0
,Sub-total,"170,282,711.52","19,503,042","150,779,669",11.4,245,0
"Planning and administrative
support services","Administrative And Support
Services","133,650,886.70","30,851,193.84","102,799,693",23,245,0
,Sub-total,"133,650,886.70","30,851,193.84","102,799,693",23,245,0
Infrastructure Development,Infrastructure Development,"82,500,000","15,527,160","66,972,840",18.8,245,0
,"Dispensaries and Health Cen-
tres","5,340,681","1,523,760","3,816,921",28.5,245,0
,"Face lifting of Health Canters
and Dispensaries (Communi-
ty Projects)","110,538,690","698,088","109,840,602",0.6,245,0
,Sub-total,"198,379,371","17,749,008","180,630,363",8.9,245,0
External Funding,Donor Funds,"40,295,580",-,"40,295,580",-,245,0
,"IDA (World Bank) credit:
Transforming Health Systems
for Universal Care Project","40,295,580",-,"40,295,580",-,245,0
,Conditional Grants,"132,021,277",-,"132,021,277",-,245,0
,"Allocation for leasing of medi-
cal equipment (MES GRANT)","132,021,277",-,"132,021,277",-,245,0
,Sub-total,"172,316,857",-,"172,316,857",-,245,0
,TOTAL,"2,561,222,718","782,670,554","1,778,552,165",30.5,245,0
"Lands, Housing and Survey",,,,,,245,0
"General Administration plan-
ning and support services(Lands)","Administration support ser-
vices","36,735,331","21,544,172","15,191,159",58.6,245,0
,Sub-total,"36,735,331","21,544,172","15,191,159",58.6,245,0
"General Administration plan-
ning and support services (Phy-
ical Planning )","Administration support ser-
vices","31,950,344.50","4,207,652.80","27,742,691",13.1,245,0
,Sub-total,"31,950,344.50","4,207,652.80","27,742,691",13.1,245,0
Pending Bills,Pending Bills,"17,685,841","500,000","17,185,841",2.8,245,0
,Sub-total,"17,685,841","500,000","17,185,841",2.8,245,0
Administration support services),(Migori Municipality,"21,215,920","1,016,160","20,199,760",4.7,245,0
,Sub-total,"21,215,920","1,016,160","20,199,760",4.7,245,0
Administration support services,Rongo Municipality,"21,315,920","8,404,551","21,315,920",-,245,0
,Sub-total,"21,315,920","8,404,551","21,315,920",-,245,0
Administration support services,Awendo Municipality,"18,530,920",-,"18,530,920",-,245,0
,Sub-total,"18,530,920",-,"18,530,920",-,245,0
"General Administration plan-
ning and support services","Physical And Urban Planning
Services","160,000,000",-,"160,000,000",-,245,0
,Sub-total,"160,000,000",-,"160,000,000",-,245,0
Pending Bills,Pending Bills,"52,050,452",-,"52,050,452",-,245,0
,Sub-total,"52,050,452",-,"52,050,453",-,245,0
,TOTAL,"212,050,452",-,"212,050,453",-,245,0
"Management Environment, Natural Resources and Disaster Management",,,,,,246,0
"General administration and sup-
portive services","General administration sup-
portive services","49,175,985","23,980,804","25,195,181",48.7,246,0
,Sub-total,"49,175,985","23,980,804","25,195,181",48.7,246,0
"Environment Management And
Protection","Solid Waste Management Ser-
vices","11,500,000",-,"11,500,000",-,246,0
,Sub-total,"11,500,000",-,"11,500,000",-,246,0
"Environmental And Natural Re-
source Conservation And Man-
agement","Climate Change Adoption
And Mitigation","100,000",-,"100,000",-,246,0
,Sub-total,"100,000",-,"100,000",-,246,0
Disaster Management,Disaster Management Services,"1,620,000",-,"1,620,000",-,246,0
,"Fire Fighting and rescue ser-
vices","700,000","368,827","331,173",52.6,246,0
,Sub-total,"2,320,000","368,827","1,951,173",15.9,246,0
Pending bills,Pending bills,"12,246,463","2,744,200","9,502,263",22.4,246,0
,Sub-total,"12,246,463","2,744,200","9,502,263",22.4,246,0
"Environment Management and
Protection",Solid waste Management,-,,-,-,246,0
,Sub-total,-,,-,-,246,0
"Environment and Natural Re-
source Conservation and Manage-
ment",Climate Change,"1,500,000",,"1,500,000",-,246,0
,"Forestry Conservation and de-
velopment","126,681",,"126,681",-,246,0
,Sub-total,"1,626,681",-,"1,626,681",-,246,0
Disaster Management,Disaster Management,"5,917,400",-,"5,917,400",-,246,0
,Fire and Rescue services,-,,-,,246,0
,Sub-total,"5,917,400",-,"5,917,400",-,246,0
Pending bill,Pending bill,"16,304,510",-,"16,304,510",-,246,0
,Sub-total,"16,304,510",-,"16,304,510",-,246,0
,TOTAL,"99,191,039.48","27,093,831.65","72,097,208",27.3,246,0
Public Service Management,,,,,,246,0
"General Administration and
Support Services(Public Service
Management)","General Administration and
Support Services","490,512,637","214,380,898.66","276,131,738",43.7,246,0
,Pending Bills,"22,988,981","11,466,000","11,522,981",49.8,246,0
,Human Capital Strategy,"2,020,000","1,417,465","602,535",70.1,246,0
,"Devolved units Development
services","8,300,000","3,009,220","5,290,780",36.2,246,0
,Sub-total,"524,541,618","230,273,583.66","294,268,034",43.9,246,0
"Civic Education And Public Par-
ticipation",Civic Education,"200,000",-,"200,000",-,246,0
,Sub-total,"200,000",-,"200,000",-,246,0
"County Security and Compliance
Enforcement Services","Support and Administration
Services","3,566,037","2,573,500","992,537",72.2,246,0
,Sub-total,"3,566,037","2,573,500","992,537",72.2,246,0
"General Administration and
Support Services(Public Service
Board)","General Administration and
Support Services","62,900,000","19,923,908","42,976,092",31.6,246,0
,Sub-total,"62,900,000","19,923,908","42,976,092",31.6,246,0
"Human Capital Management
And Development",Human Capital Strategy,"3,900,000","425,820","3,474,180",10.9,246,0
,Public Service Board Services,"5,400,000","643,800","4,756,200",11.9,246,0
,"Information And Records
Management","1,350,000","25,336","1,324,664",1.8,246,0
,Sub-total,"10,650,000","1,094,956","9,555,044",10.3,246,0
"General Administration and
Support Services(Information
Communication Technology)","General Administration Ser-
vices","21,000,000","11,021,970","9,978,030",52.5,246,0
,Sub-total,"21,000,000","11,021,970","9,978,030",52.5,246,0
"General Administration and
Support Services","General Administration and
Support Services",,,-,-,247,0
,"Construction/Renovation of
Sub-County/Ward Admin.
Offices","23,650,326",-,"23,650,326",-,247,0
,Sub-total,"23,650,326",-,"23,650,326",-,247,0
"Sub County Administration Ser-
vices","Devolved units Development
services","79,449,674",-,"79,449,674",-,247,0
,ICT,"40,000,000",-,"40,000,000",-,247,0
,Sub-total,"119,449,674",-,"119,449,674",-,247,0
,TOTAL,"765,957,655","253,983,562.66","511,974,092",33.1,247,0
"Roads, Transport and Public Works",,,,,,247,0
"Policy, General administration,
planning & support Service","General administration, plan-
ning & support service","56,662,345","24,177,070","32,485,275",42.6,247,0
,Sub-total,"56,662,345","24,177,070","32,485,275",42.6,247,0
"Road Development, Mainte-
nance And Management",Road Network Improvement,"24,007,300","5,631,807","18,375,492",23.4,247,0
,Sub-total,"24,007,300","5,631,807","18,375,492",23.4,247,0
Pending bills,Pending bills,"21,502,960","1,859,000","19,643,960",8.6,247,0
,Sub-total,"21,502,960","1,859,000","19,643,960",8.6,247,0
"Road Development, Mainte-
nance And Management",Road Network Improvement,"446,286,507","88,721,585","357,564,922",19.8,247,0
,"County Access Roads (Com-
munity Projects)","347,578,763",,"347,578,763",-,247,0
,Sub-total,"793,865,270","88,721,585","705,143,685",11.1,247,0
"Construction Of Bridges And
Maintenance",construction of bridges,"66,000,000",,"66,000,000",-,247,0
,"purchase of road construction
equipment and Trucks","32,000,000",,"32,000,000",-,247,0
,Sub-total,"98,000,000",-,"98,000,000",-,247,0
Rural Access Roads,Rural Access Roads,"32,801,088",,"32,801,088",-,247,0
,Sub-total,"32,801,088",,"32,801,088",-,247,0
Pending Bills - Roads,Pending Bills,"424,961,180.04","189,074,777.80","235,886,402",44.5,247,0
,Sub-total,"424,961,180.04","189,074,777.80","235,886,402",44.5,247,0
Pending bills KRB roads,Pending bills KRB roads,"83,007,247.94",-,"83,007,248",-,247,0
,Sub-total,"83,007,247.94",-,"83,007,248",--,247,0
,TOTAL,"1,534,807,391","307,605,241","1,227,202,150",20,247,0
"Trade, Tourism and Cooperative Development",,,,,,247,0
"Policy, Planning and Adminis-
trative Support Services","Administrative Support Ser-
vices","57,439,019.32","30,378,302","27,060,716.97",52.8,247,0
,Sub-total,"57,439,019.32","30,378,302","27,060,716.97",52.8,247,0
"Investment promotion, trade and
enterprise development services","Investment promotion, trade
and enterprise development
services","450,000",-,"450,000",-,247,0
,Sub-total,"450,000",-,"450,000",-,247,0
"Cooperative development ser-
vices","Cooperative development ser-
vices","376,000",-,"376,000",-,247,0
,Sub-total,"376,000",-,"376,000",-,247,0
Tourism Development,"Tourism Promotion and Mar-
keting","1,900,000","947,160","952,840",49.8,247,0
,Sub-total,"1,900,000","947,160","952,840",49.8,247,0
