"Pro-
gramme",Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption Rate (%),page_number,table_index
,"SP 1(General Administration, planning and Sup-
port Services","303,268,553","168,402,560","134,865,993",55.5,392,0
,SP 2 - (ECD Services),"15,247,253","20,973","15,226,280",0.1,392,0
,SP 3- (Youth Vocational training),"36,805,196","413,400","36,391,796",1.1,392,0
,SP 4- (Bursary Fund),"299,000,000","80,000,000","219,000,000",26.8,392,0
,SP 5 - (Ward specific),"209,100,791",-,"209,100,791",-,392,0
,Sub total,"863,421,793","248,836,933","614,584,860",28.8,392,0
Agriculture and Irrigation,,,,,,392,0
,"SP 1- (General Administration, Planning and
Support Services)","104,857,776","99,471,301","5,386,475",94.9,392,0
,SP 2- (Crop Development and Management),"406,727,420",-,"406,727,420",-,392,0
,SP 3- (Cash Crop Production (Special Programs),"4,546,000","1,631,790","2,914,210",35.9,392,0
,SP 4 - (Ward specific),"13,435,900",-,"13,435,900",-,392,0
,Sub total,"529,567,096","101,103,091","428,464,005",19.1,392,0
Pastoral Economy,,,,,,392,0
,"SP 1- (General Administration, Planning and
Support Services)","142,512,425","41,728,387","100,784,038",29.3,392,0
,"SP 2 - (Livestock production and Range Man-
agement)","39,709,009","232,900","39,476,109",0.6,392,0
,SP 3- (Livestock Disease management),"5,718,400","669,100","5,049,300",11.7,393,0
,SP 4- (Fisheries Development),"434,400","192,000","242,400",44.2,393,0
,SP 5- (Nasukuta Livestock Improvement Centre),"2,128,000","215,500","1,912,500",10.1,393,0
,SP 6 - (Ward specific),"58,069,111","300,000","57,769,111",0.5,393,0
,SP 7 - Dairy Development (Special Programmes),-,-,-,-,393,0
,Sub total,"248,571,345","43,337,887","205,233,458",17.4,393,0
"Trade, Industrialization, Investment and Cooperative Development",,,,,,393,0
,"SP 1- (General Administration, Planning and
Support Services)","72,223,346","29,029,241","43,194,105",40.2,393,0
,SP 2- (Cooperative Development),"173,015,691","23,404,626","149,611,065",13.5,393,0
,"SP 3 - (Trade, License and Market Development)","3,877,073","804,725","3,072,348",20.8,393,0
,SP 4- (Ward specific),"16,928,554",-,"16,928,554",-,393,0
,Sub total,"266,044,664","53,238,592","212,806,072",20.0,393,0
"Land, Housing, Physical Planning and Urban Development",,,,,,393,0
,"SP 1- (General Administration, Planning and
Support Services)","78,077,589","34,496,233","43,581,356",44.2,393,0
,SP 2 - (Land Policy and Physical Planning),"58,448,854","6,222,645","52,226,209",10.6,393,0
,SP 3- (Housing Development),"912,000","222,500","689,500",24.4,393,0
,SP 4- (Urban Development),"151,749,537","2,063,043","149,686,494",1.4,393,0
,SP 5- (Kapenguria Municipality),"2,348,800","647,486","1,701,314",27.6,393,0
,SP 6- (Ward specific),"2,900,000",-,"2,900,000",-,393,0
,Sub total,"294,436,780","43,651,907","250,784,873",14.8,393,0
"Water development, Environment and Natural Resources",,,,,,393,0
,"SP 1- (General Administration, Planning and
Support Services)","65,010,892","22,476,273","42,534,619",34.6,393,0
,SP 2 - (Water Supply Services),"136,526,968","2,667,900","133,859,068",2.0,393,0
,"SP 3 - (Environment & Natural Resource De-
velopment)","12,581,280","63,700","12,517,580",0.5,393,0
,SP 4 - (Ward Specific),"160,571,261",-,"160,571,261",-,393,0
,Sub total,"374,690,401","25,207,873","349,482,528",6.7,393,0
"Youths, Sports, tourism, Gender and Social services",,,,,,393,0
,"SP 1- (General Administration, Planning and
Support Services)","36,388,416","13,436,926","22,951,490",36.9,393,0
,SP 2- (Tourism Development),"3,521,214","1,114,400","2,406,814",31.6,393,0
,"SP 3- (Gender, Youths and sports Development)","85,574,300","1,361,400","84,212,900",1.6,393,0
,SP 4- (Culture and Social Development),"2,089,719","212,300","1,877,419",10.2,393,0
,SP 5- (Ward Specific),"3,125,000",-,"3,125,000",-,393,0
,Sub total,"130,698,649","16,125,026","114,573,623",12.3,393,0
"Public Service, ICT and Decentralized Units",,,,,,393,0
,"SP 1- (General Administration, Planning and
Support Services)","291,136,416","51,593,572","239,542,844",17.7,393,0
,SP 2- (Human Resource),"1,404,000","363,974","1,040,026",25.9,393,0
,SP 3- (Legal Services),"1,836,000","624,276","1,211,724",34.0,393,0
,SP 4 - (Records Management),"384,000","179,982","204,018",46.9,393,0
,SP 5- (Communication Services),"720,000","287,985","432,015",40.0,393,0
,SP 6 - (ICT Infrastructure Connectivity),"2,116,423","347,300","1,769,123",16.4,393,0
,SP 7 - (Field Administration),"11,715,680","5,511,300","6,204,380",47.0,393,0
,Sub total,"309,312,519","58,908,389","250,404,130",19.0,393,0
Special programmes and Directorates,,,,,,393,0
,"SP 1- (General Administration, Planning and
Support Services)","18,821,548","5,938,431","12,883,117",31.6,393,0
,SP 2 - (Dairy Development),-,-,-,-,393,0
,SP 3- (Cash crop production),-,-,-,-,393,0
,SP 4- (Investment and Cooperative development),"575,900","249,000","326,900",43.2,393,0
,SP 5 - (Emergency and disaster response),"7,705,000","330,000","7,375,000",4.3,393,0
,SP 6 - (Peace building and reconciliation),"5,818,000","2,297,450","3,520,550",39.5,393,0
,SP 7- (Resource mobilization and Coordination),"1,350,000","572,700","777,300",42.4,393,0
,SP 8(Gender and special needs),"9,190,000","2,420,325","6,769,675",26.3,393,0
,Sub total,"43,460,448","11,807,906","31,652,542",27.2,393,0
County Assembly,,,,,,393,0
