Programme,"Approved Estimates
FY 2020/21
(Kshs.)","Actual Expenditure FY
2020/21
(Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
Curative Health Services,"325,874,301","44,003,968","281,870,334",13.5,288,0
Referral Services,"325,874,301","44,003,968","281,870,334",13.5,288,0
"General Administration, Planning & Support Services","2,201,127,501","694,132,601","1,506,994,900",31.5,288,0
"Health Policy, Planning and Financing","2,201,127,501","694,132,601","1,506,994,900",31.5,288,0
"General Administration, Planning & Support Services",-,-,-,-,288,0
"Health Policy, Planning & Financing",-,-,-,-,288,0
Primary Education,-,-,-,-,288,0
Early Child Development and Education,-,-,-,-,288,0
"Manpower Development, Employment and Productivity
Management","1,275,802,307","478,348,737","797,453,571",37.4,288,0
Early Child Development and Education,"1,015,802,307","353,348,737","662,453,571",34.7,288,0
Infrastructure Development and Expansion,"260,000,000","125,000,000","135,000,000",48.0,288,0
"General Administration, Planning and Support Services","1,455,268,548","428,445,019","1,026,823,529",29.4,288,0
Administrative Services,"550,596,129","168,688,480","381,907,649",30.6,288,0
Information Communication Services,-,-,-,,288,0
Coordination and Administrative Services,"317,438,631","58,761,207","258,677,424",18.5,289,0
Public service and Field Administrative Services,"430,601,788","151,769,305","278,832,483",35.2,289,0
Board Management Services,"156,632,000","49,226,027","107,405,974",31.4,289,0
Legal and Public Affairs,-,-,-,,289,0
Public Finance Management,"369,377,906","86,173,832","283,204,075",23.3,289,0
Accounting services,"36,697,725","2,340,600","34,357,125",6.3,289,0
Resource Mobilization,"164,004,654","71,963,016","92,041,638",43.8,289,0
"Budget Formulation, Coordination and Management","43,685,860","2,025,666","41,660,195",4.64,289,0
Supply Chain Management Services,"71,061,565","9,124,550","61,937,015",12.8,289,0
Internal Audit Services,"53,928,102","720,000","53,208,102",1.3,289,0
Economic Policy and County Planning,"792,041,032","281,237,605","510,803,427",35.5,289,0
Economic Planning Coordination,"760,515,691","277,813,605","482,702,086",36.5,289,0
Monitoring and Evaluation Services,"31,525,341","3,424,000","28,101,341",10.8,289,0
Legislation and Representation,"600,891,577","139,968,644","460,922,933",23.2,289,0
Legislative Oversight,"463,101,034","83,837,624","379,263,410",18.1,289,0
County Co-ordination Services,"131,190,000","53,531,220","77,658,781",40.8,289,0
Research and Policy,"6,600,543","2,599,800","4,000,743",39.3,289,0
Economic Policy and National Planning,-,-,-,-,289,0
Economic Planning Coordination services,-,-,-,-,289,0
Legislative Oversight,-,-,-,-,289,0
Legislation and Representation,-,-,-,-,289,0
Inter-Governmental Revenue and Financial Matters,-,-,-,-,289,0
Research and Policy,-,-,-,-,289,0
"General Administration, Planning and Support Services",-,-,-,-,289,0
Administration,-,-,-,-,289,0
Board Management Service,-,-,-,-,289,0
Audit Services,-,-,-,-,289,0
County Governments Audit,-,-,-,-,289,0
Sports,-,-,-,-,289,0
Sports Training and competitions,-,-,-,-,289,0
Social Development and Children Services,"299,157,353","77,739,400","221,417,953",25.9,289,0
Gender and Youth Development,"18,927,420",-,"18,927,420",-,289,0
Social Assistance to Vulnerable Groups,"21,136,920","1,139,400","19,997,520",5.3,289,0
Development and Promotion of culture,"8,770,391",-,"8,770,391",0.0,289,0
Development and Management of sports facilities,"150,000,000","71,600,000","78,400,000",47.7,289,0
Sports Services,-,-,-,-,289,0
Voluntary Training Services,"100,322,622","5,000,000","95,322,622",4.9,289,0
"Manpower Development, Employment and Productivity
Management",-,-,-,-,289,0
Human Resource Planning & Development,-,-,-,-,289,0
"General Administration, Planning and Support Services",-,-,-,-,289,0
Environmental Policy Management,-,-,-,-,289,0
Environment Management and Protection,"334,218,198","105,413,756","228,804,442",31.5,289,0
Forests Conservation and Management,"334,218,198","105,413,756","228,804,442",31.5,289,0
Natural Resources Conservation and Management,-,-,-,-,289,0
Wildlife Conservation and Security,-,-,-,-,289,0
Grand Total,"11,256,020,000","3,413,807,611","7,842,212,389",30.3,289,0
