Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)",Absorption (%),page_number,table_index,Actual Payments (Kshs),"Variance
(Kshs.)"
,"030104 promotion, Develop-
ment & Growth of Trade","354,000",,,36.8,155,0,"130,400.00","223,600"
,"030105 Fair Trade Practices
and Consumer Protection","205,000",,,41.1,155,0,"84,200.00","120,800"
"Tourism Development and
Marketing","030302 Tourism promotion
and Marketing","195,500",,,37.5,155,0,"73,400.00","122,100"
,"030304 International Tour-
ism Promotion and Market-
ing","310,000",,,17.1,155,0,"53,000.00","257,000"
,"030305 Promotion of Indus-
trial Development","1,268,500",,,3.6,155,0,"46,200.00","1,222,300"
,"030306 Provision of Indus-
trial Training","140,000",,,26.7,155,0,"37,400.00","102,600"
"Cooperative Development and
Marketing","030101 General Administra-
tion & Planning","40,336,868",,,27.6,155,0,"11,141,796.00","29,195,072"
,"030405 Cooperative Adviso-
ry and Extension Services","295,000",,,38.6,155,0,"114,000.00","181,000"
,"030406 Cooperative Educa-
tion and Training","542,000",,,26.5,155,0,"143,700.00","398,300"
,"030407 Cooperative Gover-
nance and Accountability","159,000",,,31.4,155,0,"50,000.00","109,000"
Cooperative Audit Services,"030603 Inspections and In-
vestigations for Cooperatives","70,000",,,0.0,155,0,-,"70,000"
Sub Total,,"83,176,309",,,28.3,155,0,"23,546,699","59,629,610"
Water Supply Services,090101 Water and Irrigation,"92,050,000",,,15.5,155,0,"14,303,470.00","77,746,530"
Energy Programme,090301 Energy Services,"405,000",,,0.0,155,0,-,"405,000"
"Cleaning and Waste Manage-
ment","090502 Environment Man-
agement and Protection","101,508,439",,,30.1,155,0,"30,603,902.00","70,904,537"
Nema,"090502 Environment Man-
agement and Protection","675,800",,,0.0,155,0,-,"675,800"
Sub Total,,"194,639,239",,,23.1,155,0,"44,907,372","149,731,867"
Land and Physical Planning,"010601 General Administra-
tion and Planning","35,333,028",,,24.1,155,0,"8,516,387.00","26,816,641"
,"010604 County Spatial Plan-
ning","1,510,000",,,37.5,155,0,"566,200.00","943,800"
,"010605 Town Zoning and
Mapping","164,999,831",,,15.7,155,0,"25,933,019.50","139,066,812"
,010607 Survey and Mapping,"505,000",,,22.8,155,0,"115,000.00","390,000"
Housing Development,"010701 Improvement and
Development of Human Set-
tlements","420,000",,,33.3,155,0,"140,000.00","280,000"
Sub Total,,"202,767,859",,,17.4,155,0,"35,270,607","167,497,253"
Transport Management,"020301 General Administra-
tion and Planning","61,571,285",,,27.0,155,0,"16,633,576.00","44,937,709"
Disaster Management,"020401 Fire Fighting and
Emergency Services","4,507,000",,,12.2,155,0,"548,867.00","3,958,133"
"Roads Development Mainte-
nance and Management","020601 Construction and
Maintenance of Roads and
Bridges","326,060,698",,,6.5,155,0,"21,062,221.00","304,998,477"
Government Building Services,"020701 Government Build-
ing Services",-,,,,155,0,-,-
"Infrastructure Development,
Maintenance and Management","020801 Infrastructure De-
velopment Services","9,700,000",,,83.3,155,0,"8,084,790.00","1,615,210"
Sub Total,,"401,838,983",,,11.5,155,0,"46,329,454","355,509,529"
Grand Total,,"6,768,270,022",,,31.8,155,0,"2,149,431,404","4,618,838,618"
