Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"1001003360 P1 Water Ser-
vices",1001003360 P1 Water Services,"988,868,965","128,465,110","860,403,855",13.0,385,0
,,,,,,385,0
,Sub total,"988,868,965","128,465,110","860,403,855",13.0,385,0
"ENERGY , ENVIRON-
MENT & NATURAL RE-
SOURCES",,,,,,385,0
"0206003360 P6 Energy Ser-
vices",0206003360 P6 Energy Services,"16,938,100",-,"16,938,100",-,385,0
"0207003360 P7 Environ-
ment & Natural Resource
Services","0207003360 P7 Environment & Natural
Resource Services","128,753,050",-,"128,753,050",-,386,0
"1002003360 P2 General Ad-
ministration and Support
Services","1002003360 P2 General Administration
and Support Services","146,217,078","26,013,180","120,203,898",17.8,386,0
"1004003360 P4 Wildlife and
Tourism",1004003360 P4 Wildlife and Tourism,"27,722,800",,"27,722,800",-,386,0
,Sub total,"319,631,028","26,013,180","293,617,848",8.1,386,0
"PUBLIC SERVICES, SPE-
CIAL PROGRAM AND
TOWN ADM",,,,,,386,0
"0210003360 P10 Public Par-
ticipation Services","0210003360 P10 Public Participation Ser-
vices","31,700,000",-,"31,700,000",-,386,0
"0701003360 P1 County Ex-
ecutive Services","0701003360 P1 County Executive Ser-
vices","1,270,000",-,"1,270,000",-,386,0
"662,752,2970704003360 P4
Human Resources Man-
agement and decentralised
services","662,752,2970704003360 P4 Human Re-
sources Management and decentralised
services","511,136,180","326,292,949","184,843,231",63.8,386,0
"0716003360 P16 Special
Programs",0716003360 P16 Special Programs,"163,210,000","100,000,000","63,210,000",61.3,386,0
"0713003360 P13 Environ-
ment, Beautification and
Sanitation services","0713003360 P13 Environment, Beautifi-
cation and Sanitation services","15,484,000",-,"15,484,000",-,386,0
"0714003360 P14 Engineer-
ing, Maintenance and Phys-
ical infrastructure services","0714003360 P14 Engineering, Mainte-
nance and Physical infrastructure services","35,500,000",-,"35,500,000",-,386,0
"0720003360 P20 Service
Delivery and Performance
Management","0720003360 P20 Service Delivery and
Performance Management","5,400,000",-,"5,400,000",-,386,0
"0721003360 P21 Gover-
nance and Ethics",0721003360 P21 Governance and Ethics,"1,870,000",-,"1,870,000",-,386,0
,Sub total,"765,570,180","426,292,949","339,277,231",55.7,386,0
"EDUCATION , YOUTH
,GENDER AND SOCIAL
SERVICE",,,,,,386,0
"0501003360 P1 Sports pro-
motion and development","0501003360 P1 Sports promotion and de-
velopment","80,108,700",-,"80,108,700",-,386,0
"0502003360 P2 Early Child-
hood Education Develop-
ment Services","0502003360 P2 Early Childhood Educa-
tion Development Services","110,186,600","40,000,000","70,186,600",36.3,386,0
"0503003360 P3 Gender, Cul-
ture and Social services","0503003360 P3 Gender, Culture and So-
cial services","85,251,000",-,-,-,386,0
"0504003360 P4 Youth poly-
technics",0504003360 P4 Youth polytechnics,"31,289,797",-,-,-,386,0
"0507003360 P6 School Sup-
port and Development Ser-
vices","0507003360 P6 School Support and De-
velopment Services","116,000,000",-,-,-,386,0
"0505003360 P5 General Ad-
ministration and Support
Services","0505003360 P5 General Administration
and Support Services","319,204,154","156,515,986","162,688,168",49.0,386,0
,Sub total,"742,040,251","196,515,986","545,524,265",26.5,386,0
"ICT ,TRADE, INDUSTRI-
ALIZATION AND COOP-
ERATIVE DEVLOPMENT",,,,,,386,0
"0209003360 P9 ICT Infra-
structure Services","0209003360 P9 ICT Infrastructure Ser-
vices","48,576,000",,"48,576,000",-,386,0
"0301003360 P1 General ad-
ministration, Planning and
Support Services","0301003360 P1 General administration,
Planning and Support Services","107,715,689","45,504,745","62,210,944",42.2,386,0
