Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.) (","Variance
Kshs.)",Absorption (%),page_number,table_index,"Actual Payments
(Kshs.)","Variance
(Kshs.)"
,General Administration,"148,578,565",,,33.1,170,0,"49,178,657","99,399,908"
,Human Development Services,"86,113,823",,,26.0,170,0,"22,372,628","63,741,195"
,"Development & Management of County Ad-
ministrative Systems","25,010,078",,,37.4,170,0,"9,360,173","15,649,905"
,"Social Responsibility Including Civic & Public
Management","35,957,380",,,3.2,170,0,"1,162,279","34,795,101"
,Sub Total,"295,659,846",,,28.6,170,0,"84,583,737","211,076,109"
"Management of Coun-
ty Affairs and Special
Affairs",Inter-Government Coordination and Protocol,"3,272,417",,,11.5,170,0,"375,200","2,897,217"
,Sub Total,"3,272,417",,,11.5,170,0,"375,200","2,897,217"
"Inter-Governmental
Relations, Communi-
cation and Coordina-
tion.",Governor’s Press Service and Communication,"18,855,443",,,13.8,170,0,"2,601,025","16,254,418"
,Internal Auditing Services,"15,000,000",,,9.0,170,0,"1,346,875","13,653,125"
,Sub Total,"33,855,443",,,10.3,170,0,"3,497,900","29,907,543"
"County Public Service
Board",General Administration and Support Services,"786,053,297",,,22.5,170,0,"176,713,538","609,339,759"
,"Human Resource Recruitment and Develop-
ment","26,316,588",,,4.1,170,0,"1,084,570","25,232,018"
,"Human Resource Audit and Staff Rationaliza-
tion","970,000",,,16.9,170,0,"164,300","805,700"
,Promotion of Values and Principles,"7,895,341",,,10.0,170,0,"792,400","7,102,941"
,Sub Total,"821,235,226",,,21.8,170,0,"178,754,808","642,480,418"
"Public Finance Man-
agement",Revenue Mobilisation,"58,120,030",,,17.3,170,0,"10,069,145","48,050,885"
,Assets Management,"23,000,000",,,5.5,170,0,"1,253,790","21,746,210"
,Management of Public Financial Resources,"10,500,000",,,13.9,170,0,"1,458,100","9,041,900"
,Budget Formulation and Coordination,"137,789,916",,,27.4,170,0,"37,730,840","100,059,076"
,Sub Total,"229,409,946",,,22.0,170,0,"50,511,875","178,898,071"
"County Planning &
Development Coordi-
nation Services",Policy Formulation and Planning,"16,160,000",,,3.7,170,0,"599,400","15,560,600"
,Monitoring and Evaluation,"41,846,674",,,17.0,170,0,"7,095,110","34,751,564"
,Sub Total,"58,006,674",,,13.3,170,0,"7,694,510","50,312,164"
"County Communica-
tion and ICT Services",Management of Information System,"963,750",,,3.1,170,0,"29,600","934,150"
,Sub Total,"963,750",,,3.1,170,0,"29,600","934,150"
"County Assembly Ser-
vice Board",Committee Services,"235,524,574",,,26.3,171,0,"61,875,891","173,648,683"
,,,,,-,171,0,,
,Representation & Public Participation,"103,016,000",,,36.6,171,0,"37,747,329","65,268,67"
