Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)",Absorption (%),page_number,table_index
,"Human Settlements and Sus-
tainable Urbanization Forums","2,000,000",-,"2,000,000",-,99,0
,"Climate Resilience for Urban
Poor","1,000,000",-,"1,000,000",-,99,0
,Sub total,"37,285,630",-,"37,285,630",-,99,0
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,99,0
"Planning and Administrative
services","Administrative and Support
Services","162,826,059","125,734,262","37,091,797",77.2,99,0
,"Policy Development and Im-
plementation Services","30,123,140",-,"30,123,140",-,99,0
,Sub total,"192,949,199","125,734,262","67,214,937",65.2,99,0
"Trade, Cooperative and En-
trepreneurship Development
Service","Cooperative Development
Services",-,-,-,-,99,0
,"Enterprise Development and
Promotion Services","10,000,000",-,"10,000,000",-,99,0
,"Trade Infrastructure Develop-
ment Services","60,000,000","14,842,675","45,157,325",24.,99,0
,Sub total,"70,000,000","14,842,675","55,157,325",21.2,99,0
"Industrial Development and
Investment Services","Value Chain Development
Services","30,935,404",-,"30,935,404",-,99,0
,"Financial and Investment Ser-
vices",-,-,-,-,99,0
,Sub total,"30,935,404",-,"30,935,404",-,99,0
"Department of Water, Environment and Natural Resources",,,,,,100,0
General Administrative services,"Administrative Support Ser-
vices","115,848,105","38,700,000","77,148,105",33.4,100,0
,Policy and Planning Services,"3,500,000",-,"3,500,000",-,100,0
,Sub total,"119,348,105","38,700,000","80,648,105",32.4,100,0
"Water Supply and Management
Services",Urban Water Supply Services,"11,000,000",-,"11,000,000",-,100,0
,Ward Based Projects,"200,000,000","109,935,002","90,064,998",55.0,100,0
,Other Water Projects,"14,000,000",-,"14,000,000",-,100,0
,Industrial water Supply,"5,000,000",-,"5,000,000",-,100,0
,Sub total,"230,000,000","109,935,002","120,064,998",47.8,100,0
"Environmental Protection and
Management Services","Pollution and Waste Manage-
ment services","24,000,000",-,"24,000,000",-,100,0
,"Forestry Development Ser-
vices","13,000,000",-,"13,000,000",-,100,0
,Climate Change Services,"13,000,000",-,"13,000,000",-,100,0
,Sub total,"50,000,000",-,"50,000,000",-,100,0
"Department of Finance, Economic Planning and Service Delivery",,,,,,100,0
"General administration and
support services","Staff Remuneration and Wel-
fare Support Services","112,375,703","41,932,066","70,443,637",37.3,100,0
,"General Logistics, Coordina-
tion and Asset Management
Services","16,177,298",-,"16,177,298",-,100,0
,"Devolution and Service Deliv-
ery Support Services","30,532,068",-,"30,532,068",-,100,0
,Sub total,"159,085,069","41,932,066","117,153,003",26.4,100,0
"Planning, budgeting and devel-
opment coordination services","Economic planning and de-
velopment services","5,600,200",-,"5,600,200",-,100,0
,Resource Allocation Services,"10,129,000",-,"10,129,000",-,100,0
,"Community Development
Participation Services","15,146,874",-,"15,146,874",-,100,0
,Sub total,"30,876,074",-,"30,876,074",-,100,0
"Strategy and service delivery
management services","Monitoring and evaluation
services","2,987,200",-,"2,987,200",-,100,0
,"Strategy and service delivery
improvement services","14,085,993",-,"14,085,993",-,100,0
,Sub total,"17,073,193",-,"17,073,193",-,100,0
Resource mobilization services,"External Resources Mobiliza-
tion Services","1,934,248",-,"1,934,248",-,100,0
,"Internal Revenue Generation
Services","4,221,280",-,"4,221,280",-,100,0
,Sub total,"6,155,528",-,"6,155,528",-,100,0
Financial management services,"Accounting and Financial Re-
porting Services","12,554,530",-,"12,554,530",-,100,0
,Audit and Advisory Services,"4,956,997",-,"4,956,997",-,100,0
,"Emergency Management Ser-
vices","120,000,000","4,548,172","115,451,828",3.8,100,0
,Sub total,"135,511,527","4,548,172","130,963,355",3.4,100,0
Executive Services(Office of the Governor),,,,,,100,0
"Public service administration
support services","Human resource management
and development services","260,167,019","101,090,930","159,076,089",38.9,100,0
,"supply chain management ser-
vices","5,159,541",-,"5,159,541",-,100,0
,Legal Services,"16,000,000",-,"16,000,000",-,100,0
,"Logistics, security and asset
management services","34,174,728",-,"34,174,728",-,100,0
,"Performance contracting and
appraisal services","7,500,000",-,"7,500,000",-,100,0
,Sub total,"323,001,288","101,090,930","221,910,358",31.3,100,0
"Governance and coordination
services","Executive management and li-
aison services","74,568,410","1,705,640","72,862,770",2.3,101,0
,"Field coordination and admin-
istration services","133,266,000",-,"133,266,000",-,101,0
,Sub total,"207,834,410","1,705,640","206,128,770",0.8,101,0
"Strategy and service delivery
improvement services",Strategy and advisory services,"20,399,120",-,"20,399,120",-,101,0
,Efficiency monitoring services,"22,953,000",-,"22,953,000",-,101,0
,"Information and communica-
tion services","6,250,000",-,"6,250,000",-,101,0
,Disaster management services,"11,860,600",-,"11,860,600",-,101,0
,"Compliance and Enforcement
services","54,000,000",-,,-,101,0
,Sub total,"115,462,720",-,"61,462,720",-,101,0
County Public Service Board,,,,,,101,0
"Policy, Planning and Adminis-
tration Services",Policy and Planning Services,"2,124,900",-,"2,124,900",-,101,0
,"Administrative Support Ser-
vices","51,444,305","12,654,524","38,789,781",24.6,101,0
,"Facility Improvement & Ca-
pacity Strengthening Services","2,000,000",-,"2,000,000",-,101,0
,Sub total,"55,569,205","12,654,524","42,914,681",22.8,101,0
"Personnel Sourcing and Man-
agement Services","Recruitment, Selection and
Deployment Services","11,817,000",,"11,817,000",-,101,0
,"Human Resource Advisory
Services","8,230,000","500,000","7,730,000",6.1,101,0
,"Capacity Development Ser-
vices","3,295,500",-,"3,295,500",-,101,0
,Sub total,"23,342,500","500,000","22,842,500",2.1,101,0
"Performance Management
Services","Performance Contracting and
Appraisal Services","783,000",-,"783,000",-,101,0
,Sub total,"783,000",,"783,000",-,101,0
County Assembly Service Board,,,,,,101,0
Legislative Services,"Members welfare Support ser-
vices","291,765,464","110,710,463","181,055,001",37.9,101,0
,"Legislative development and
approval services","79,570,958","29,257,844","50,313,114",36.8,101,0
,Sub total,"371,336,422","139,968,307","231,368,115",37.7,101,0
Oversight and Control Services,Capacity building services,"3,500,000","13,932,105","(10,432,105)",398.1,101,0
,Report writing services,"5,300,000","21,766,446","(16,466,446)",410.7,101,0
,"Public participation and edu-
cation services","6,533,554","6,533,554",-,100.0,101,0
,Sub total,"15,333,554","42,232,105","(26,898,551)",275.4,101,0
Ward Representation Services,Staff welfare support services,"53,168,048","25,961,403","27,206,645",48.8,101,0
,"Ward operations and mainte-
nance","84,000,000","10,056,266","73,943,734",12.0,101,0
,Sub total,"137,168,048","36,017,669","101,150,379",26.3,101,0
"Policy, Planning and Adminis-
trative support services","Administrative support ser-
vices","245,896,952","144,888,304","101,008,648",58.9,101,0
,"Financial management Ser-
vices","162,497,600","14,212,500","148,285,100",8.7,101,0
,"Assembly infrastructure de-
velopment Services","122,283,800",-,"122,283,800",-,101,0
,Sub total,"530,678,352","159,100,804","371,577,548",30.0,101,0
Homa Bay Municipal Board,,,,,,101,0
"Policy, Planning, General
Administration and Support
Services",Policy and Planning Services,"3,613,000",-,"3,613,000",-,101,0
,"Administration and Support
Services","22,987,000","1,001,000","21,986,000",4.4,101,0
,Sub total,"26,600,000","1,001,000","25,599,000",3.8,101,0
