VOTE CODE TITLE,Programme,"Approved Esti-
mates (Kshs)","Total Payments
(Kshs)",Variances (Kshs),"Absorption Rate
( %)",page_number,table_index
,,"115,669,348","38,939,581","76,729,767",33.66,266,0
,,,-,-,,266,0
,"0718005310 General Administrative Ser-
vices","342,053,220","176,799,650","165,253,570",51.69,266,0
,,,-,-,,266,0
,"0719000 P3: Economic and Financial Policy
Formulation and Management","114,763,900","11,452,392","103,311,508",9.98,266,0
,,"1,584,048,051","452,639,413","1,131,408,638",-,266,0
"5315000000
HEALTH","0401000 P.1 Preventive & Promotive Health
Services",,-,-,-,266,0
,,,-,-,-,266,0
,0402005310 Curative care,,-,-,-,266,0
,"0404005310 General administration, plan-
ning and support services",,"547,710,790","(547,710,790)",-,266,0
,,-,"547,710,790","(547,710,790)",-,266,0
"5316000000 URBAN
PLANNING AND
LANDS","0106000 P 6 General Administration Plan-
ning and Support Services",,"18,719,782","(18,719,782)",-,266,0
,"0114005310 P.8:Urban Planning, compli-
ance & enforcement",,-,-,-,266,0
,,,-,-,-,266,0
,0115005310 P.9:Land management,,-,-,-,266,0
,,,"11,575,741","(11,575,741)",-,266,0
,,,-,-,-,266,0
,,-,"30,295,522","(30,295,522)",-,266,0
"5317000000 PUBLIC
WORKS ,TRANS-
PORT & INFRA-
STRUCTURE","0207000 P1: General Administration Plan-
ning and Support Services",,"66,210,079","(66,210,079)",-,266,0
,"0211005310 P5:Roads,Drainage & Bridges",,-,-,-,266,0
,,,-,-,-,266,0
,0212005310 P6:Road Safety Interventions,,-,-,-,266,0
,"0213005310 P7: Institutional Buildings &
Maintenance",,-,-,-,266,0
,,-,"66,210,079","(66,210,079)",-,266,0
"5318000000 EDU-
CATION,YOUTH
AFFAIRS, SPORTS,
CULTURE & SO-
CIAL SERVICES","0508005310 General administration, plan-
ning and support services","1,516,771,660","318,978,882","1,197,792,778",21.03,267,0
,0509005310 P9 Education services,"597,000",-,"597,000",-,267,0
,,"101,451,995",-,"101,451,995",-,267,0
,,"51,061,486",-,"51,061,486",-,267,0
,0902005310 2.1 Social Services,"169,664,857","68,950,651","100,714,205",40.64,267,0
,,"3,335,700",-,"3,335,700",-,267,0
,,"45,726,600","320,950","45,405,650",0.70,267,0
,,"36,243,300",-,"36,243,300",-,267,0
,,"49,531,000",-,"49,531,000",-,267,0
,,"2,347,600",-,"2,347,600",-,267,0
,,"21,851,000",-,"21,851,000",-,267,0
,,"1,998,582,198","388,250,483","1,610,331,715",,267,0
"5319000000
TRADE,COMMER-
CE,TOURISM &
COOPERATIVES","0301000 P.1 General Administration Plan-
ning and Support Services","415,969,749","96,885,416","319,084,334",23.29,267,0
,"0310005310 P.10 Co-operative Develop-
ment and Audit Services","12,016,200",-,"12,016,200",-,267,0
,,"3,977,000",-,"3,977,000",-,267,0
,"0311005310 P.11 Tourism Promotion and
Marketing","13,427,500",-,"13,427,500",-,267,0
,"0312005310 P.12 Trade development and
Market Services","139,779,500",-,"139,779,500",-,267,0
,,"265,887,300",-,"265,887,300",-,267,0
,"0313005310 P.13 Licensing and Fair Trade
Practices",-,-,-,,267,0
,,"23,004,100",-,"23,004,100",-,267,0
,,"10,740,200",-,"10,740,200",-,267,0
,,"7,726,000",-,"7,726,000",-,267,0
,,"892,527,549","96,885,416","795,642,134",,267,0
"5320000000 PUBLIC
SERVICE MANAGE-
MENT","0701000 P1 General Administration Plan-
ning and Support Services","282,409,522","70,384,233","212,025,290",24.92,267,0
,0710000 P 5: Public Service Transformation,"921,602,900",-,"921,602,900",-,267,0
,,"66,894,600",-,"66,894,600",-,267,0
,"0723005310 P 23 Performance Management
and Public Service Delivery","29,088,200",-,"29,088,200",-,267,0
,,"4,113,100",-,"4,113,100",-,267,0
,,"1,081,400",-,"1,081,400",-,267,0
,,"1,305,189,722","70,384,233","1,234,805,490",-,267,0
"5321000000 AGRI-
CULTURE, LIVE-
STOCK DEVELOP-
MENT, FISHERIES
& FORESTRY","0106000 P 6 General Administration Plan-
ning and Support Services","229,298,081","82,304,281","146,993,800",35.89,267,0
,"P;0119005310:Urban Agriculture Promo-
tion & Regulation","6,566,619","196,800","6,369,819",3.00,267,0
,,"22,566,374","200,000","22,366,374",0.89,267,0
,,"24,998,340","198,400","24,799,940",0.79,267,0
,"0116005310 P.10:Animal Health, Safety and
Quality Assurance","72,753,200","125,125","72,628,075",0.17,267,0
,0117005310 P.11:Aforestation,"7,343,900",-,"7,343,900",-,267,0
,0118015310 Food Systems and Surveillance,"7,339,740","22,750","7,316,990",0.31,267,0
,"5321000801 Agricultural Development
Support Project",,-,-,-,267,0
,,"370,866,254","83,047,356","287,818,898",-,267,0
"5323000000 EN-
VIROMENT,WA-
TER,ENERGY
& NATURAL
RESOURCES","1001005310 P1 General Administration &
Support Services",,"35,338,146","(35,338,146)",-,267,0
,,-,"35,338,146","(35,338,146)",-,267,0
"5324000000 URBAN
RENEWAL AND
HOUSING","0102000 P.2 Housing Development and Hu-
man Settlement",,-,-,-,267,0
,,,-,-,-,267,0
,"0106000 P 6 General Administration Plan-
ning and Support Services",,"8,067,039","(8,067,039)",-,267,0
,0113005310 P.7: Building Services,,-,-,-,267,0
,,-,"8,067,039","(8,067,039)",-,267,0
"5325000000 WARD
DEVELOPMENT
PROGRAMMES",0214005310 P8:Ward Development,,"316,000","(316,000)",-,267,0
,,-,"316,000","(316,000)",-,267,0
"5326000000 EMER-
GENCY FUND","0718005310 General Administrative Ser-
vices","130,000,000",-,"130,000,000",-,267,0
244,,,,,,267,0
